simulation_number,mutual_information,entropy,conditional_entropy,myZ,fyB,fyZ,mB,mZ,meB,meZ,fB,fZ,feB,feZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.16023652963771462,1.698827404551933,1.5385908749142183,consobrinu,consobrina,frāter minor,consobrina,frāter,consobrinu,consobrina,consobrina,consobrinu,consobrinu,consobrinu,soror minor,consobrina,consobrina,consobrinu,consobrina,consobrina,soror,consobrinu,consobrina,consobrinu,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrinu,soror,consobrina,consobrinu,consobrina,soror,consobrinu,consobrina,consobrinu,consobrina,consobrina,soror minor,consobrina,consobrinu,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,consobrina,consobrinu,consobrinu,frāter,consobrinu,consobrinu,consobrina,consobrina,consobrinu,consobrinu,consobrinu,consobrina,consobrina,consobrinu,consobrina,soror,consobrinu,consobrinu,consobrinu,consobrinu,frāter,consobrina,consobrinu,consobrina,frāter,consobrina,avunculus,māter,patrus,matertera,patrus,patrus,patrus,pater,matertera,māter,amita,amita,amita,patrus,matertera,matertera,avunculus,amita,amita,avunculus,amita,avunculus,pater,patrus,matertera,avunculus,avunculus,matertera
1,0.15572272179387991,1.6980494686390197,1.5423267468451398,consobrina,consobrinu,consobrinu,consobrinu,consobrina,soror,consobrinu,consobrina,frāter,consobrina,consobrinu,consobrinu,consobrina,consobrina,consobrinu,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrinu,soror,consobrina,consobrinu,consobrinu,consobrinu,consobrina,frāter,consobrina,consobrina,consobrinu,soror,consobrinu,frāter,soror,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrina,consobrina,consobrina,frāter,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,frāter minor,consobrinu,consobrina,consobrinu,soror minor,consobrinu,consobrina,consobrinu,consobrina,soror minor,consobrinu,consobrina,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrinu,matertera,matertera,avunculus,amita,matertera,pater,amita,matertera,amita,amita,māter,avunculus,māter,patrus,matertera,matertera,amita,patrus,pater,patrus,avunculus,patrus,patrus,avunculus,patrus,avunculus,amita,avunculus
2,0.13953792826474953,1.6436003491978366,1.504062420933087,soror minor,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,consobrina,soror,consobrinu,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrina,consobrinu,consobrina,frāter,consobrinu,frāter,consobrina,consobrinu,consobrina,soror,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrina,frāter minor,consobrinu,consobrina,consobrinu,frāter,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrina,consobrina,soror,consobrinu,frāter,consobrina,consobrinu,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrina,consobrina,soror minor,consobrina,soror,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrinu,avunculus,pater,matertera,matertera,avunculus,matertera,amita,patrus,amita,avunculus,avunculus,avunculus,matertera,patrus,amita,pater,amita,patrus,amita,patrus,patrus,māter,māter,amita,matertera,patrus,avunculus,matertera
3,0.09686268265618225,1.6651598616147025,1.5682971789585203,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrina,consobrinu,consobrinu,soror minor,consobrinu,consobrinu,consobrina,consobrinu,frāter minor,soror minor,consobrina,consobrinu,consobrina,consobrina,soror,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,frāter,consobrinu,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrina,soror,consobrinu,soror,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrina,consobrinu,frāter,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrina,frāter,consobrina,consobrinu,consobrina,frāter,consobrinu,consobrinu,consobrina,soror,consobrina,consobrina,amita,avunculus,amita,patrus,patrus,matertera,amita,amita,patrus,matertera,avunculus,patrus,pater,māter,patrus,matertera,amita,pater,amita,avunculus,avunculus,matertera,māter,patrus,matertera,avunculus,avunculus,matertera
4,0.1647666350173218,1.7269158318390976,1.5621491968217758,consobrinu,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrina,consobrina,consobrinu,consobrinu,consobrinu,consobrina,consobrina,frāter,consobrina,consobrina,soror minor,consobrina,consobrina,consobrinu,consobrina,consobrina,consobrinu,frāter minor,consobrina,consobrinu,consobrina,soror,consobrina,consobrinu,consobrinu,consobrina,consobrinu,frāter,consobrinu,consobrina,consobrinu,consobrina,consobrinu,soror,consobrinu,consobrina,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,consobrina,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,consobrina,soror minor,consobrinu,consobrina,consobrina,consobrinu,consobrinu,frāter,consobrinu,consobrina,consobrina,consobrinu,consobrinu,soror,consobrinu,consobrinu,consobrina,soror,consobrina,consobrina,consobrinu,consobrinu,consobrina,consobrinu,frāter,amita,avunculus,patrus,matertera,māter,pater,avunculus,amita,amita,patrus,matertera,avunculus,amita,patrus,matertera,patrus,māter,patrus,amita,patrus,pater,matertera,avunculus,matertera,avunculus,avunculus,amita,matertera
5,0.18178922292438648,1.6826959061217017,1.5009066831973152,consobrinu,consobrinu,frāter,consobrina,soror,consobrina,consobrinu,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrinu,frāter minor,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,frāter,consobrina,soror,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,consobrina,consobrinu,soror,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrina,soror,consobrinu,consobrina,consobrinu,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrinu,consobrina,consobrina,soror minor,soror minor,consobrina,consobrinu,consobrinu,consobrinu,frāter,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrina,consobrinu,consobrina,frāter,consobrina,consobrinu,consobrina,consobrinu,māter,patrus,patrus,matertera,patrus,amita,amita,amita,māter,amita,avunculus,matertera,patrus,avunculus,patrus,avunculus,matertera,amita,amita,pater,avunculus,matertera,matertera,avunculus,pater,matertera,avunculus,patrus
6,0.1806701742398129,1.6932875938754088,1.512617419635596,consobrina,consobrinu,consobrina,consobrina,consobrinu,consobrina,consobrina,consobrinu,consobrinu,soror,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrinu,soror,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrinu,soror minor,consobrinu,consobrinu,consobrina,consobrina,consobrinu,consobrinu,frāter,consobrina,consobrinu,consobrina,consobrina,consobrinu,consobrinu,consobrina,consobrinu,frāter,consobrinu,consobrinu,consobrinu,consobrina,frāter,soror,consobrina,consobrinu,soror,consobrina,consobrina,consobrina,consobrina,frāter minor,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrina,soror minor,consobrinu,consobrinu,frāter,consobrinu,consobrinu,consobrinu,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrina,consobrinu,consobrina,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrina,matertera,pater,matertera,amita,māter,avunculus,patrus,patrus,pater,amita,amita,matertera,māter,patrus,avunculus,avunculus,matertera,avunculus,matertera,patrus,avunculus,amita,patrus,matertera,amita,avunculus,patrus,amita
7,0.1405350232159106,1.7008240594933595,1.5602890362774489,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrina,soror,consobrinu,soror,consobrina,soror,consobrinu,consobrinu,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrina,soror minor,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,frāter minor,consobrina,consobrinu,consobrina,consobrina,consobrinu,frāter,consobrinu,consobrinu,consobrinu,consobrina,consobrina,consobrina,frāter,consobrina,consobrinu,soror minor,consobrinu,consobrinu,consobrinu,consobrina,consobrina,consobrinu,consobrina,consobrina,consobrinu,frāter,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrina,frāter,consobrinu,consobrinu,consobrina,soror,consobrina,consobrina,consobrinu,consobrinu,patrus,matertera,amita,pater,avunculus,pater,avunculus,avunculus,matertera,amita,patrus,patrus,amita,patrus,amita,amita,avunculus,avunculus,māter,matertera,avunculus,matertera,matertera,māter,matertera,amita,patrus,patrus
8,0.14472155981871637,1.7294159587613815,1.5846943989426652,consobrina,consobrina,consobrinu,soror minor,frāter,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,soror,consobrina,soror,consobrinu,soror minor,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrina,consobrinu,consobrinu,consobrina,frāter,consobrinu,consobrina,consobrinu,consobrinu,soror,consobrina,consobrina,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrinu,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrina,consobrinu,consobrinu,consobrina,frāter,consobrinu,consobrina,consobrinu,consobrina,consobrinu,soror,consobrinu,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrinu,consobrina,consobrina,frāter,consobrina,consobrina,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrinu,frāter minor,consobrina,patrus,avunculus,patrus,pater,pater,māter,matertera,avunculus,avunculus,patrus,amita,amita,amita,patrus,patrus,amita,matertera,matertera,māter,matertera,matertera,avunculus,amita,matertera,avunculus,amita,avunculus,patrus
9,0.12631129691472687,1.696301396938519,1.5699901000237921,consobrina,consobrinu,frāter minor,consobrina,consobrinu,soror minor,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrinu,soror,consobrina,consobrinu,soror,consobrina,consobrinu,consobrina,consobrinu,soror minor,consobrinu,frāter,consobrina,consobrinu,consobrinu,consobrina,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrina,consobrinu,consobrinu,consobrinu,consobrina,frāter,consobrinu,consobrina,consobrinu,consobrina,soror,consobrinu,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,consobrinu,consobrina,consobrina,frāter,consobrinu,consobrina,consobrinu,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrinu,consobrina,consobrinu,consobrina,consobrina,consobrinu,consobrinu,frāter,consobrinu,consobrina,consobrina,consobrinu,consobrinu,consobrina,consobrinu,consobrinu,consobrinu,soror,consobrina,consobrina,consobrina,consobrina,consobrina,consobrina,consobrinu,consobrina,consobrina,matertera,amita,avunculus,amita,avunculus,avunculus,matertera,amita,amita,patrus,avunculus,patrus,matertera,patrus,matertera,patrus,avunculus,pater,amita,pater,patrus,amita,matertera,māter,māter,avunculus,matertera,patrus
