simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.3234048433104073,1.7282190701015216,1.4048142267911143,بنت العم,إبن العم,بنت العم, بنت الخال,بنت العم, بنت الخال,بنت العم,بنت العم, ابن الخال,إبن العم,إبن العم,إبن العم, ابن الخال,إبن العم, بنت الخال, بنت الخال, ابن الخال, ابن الخال,إبن العم,بنت العم, بنت الخال,إبن العم, ابن الخال,أخ, بنت الخال,إبن العم, ابن الخال, ابن الخال,إبن العم,أخ,أخت,إبن العم,إبن العم, بنت الخال,إبن العم, بنت الخال,بنت العم, بنت الخال,بنت العم,بنت العم, ابن الخال,إبن العم,بنت العم,أخت,بنت العم,إبن العم, بنت الخال,أخ,بنت العم, بنت الخال, ابن الخال, بنت الخال,بنت العم, بنت الخال, ابن الخال,أخت,بنت العم, بنت الخال,بنت العم,إبن العم, بنت الخال,إبن العم,إبن العم, ابن الخال, ابن الخال, ابن الخال, بنت الخال, ابن الخال, ابن الخال, ابن الخال,أخت,إبن العم,بنت العم, ابن الخال, بنت الخال,بنت العم,إبن العم, بنت الخال,إبن العم, بنت الخال,بنت العم, ابن الخال,بنت العم,بنت العم, ابن الخال,خال,خالة,خال,أب,خال,عم,عمة,خالة,خال,عمة,عم,عم,خالة,أم,عمة,خالة,عمة,أب,أم,عم
1,0.31131034363610377,1.7546798950453013,1.4433695514091975, ابن الخال, بنت الخال,بنت العم,إبن العم,أخت,إبن العم, بنت الخال,بنت العم,بنت العم, بنت الخال,إبن العم,إبن العم, بنت الخال, بنت الخال,بنت العم,بنت العم, ابن الخال,إبن العم,إبن العم,بنت العم, ابن الخال,بنت العم,بنت العم, ابن الخال,بنت العم,بنت العم,بنت العم, بنت الخال,أخت, ابن الخال, ابن الخال, بنت الخال, بنت الخال,إبن العم, ابن الخال,بنت العم,أخت,إبن العم, ابن الخال, ابن الخال, ابن الخال,إبن العم,إبن العم, بنت الخال,أخ,إبن العم, بنت الخال, ابن الخال, بنت الخال,إبن العم,بنت العم, ابن الخال,بنت العم,إبن العم, ابن الخال,بنت العم,إبن العم,إبن العم, بنت الخال,بنت العم, ابن الخال,إبن العم,إبن العم,بنت العم, بنت الخال,بنت العم, ابن الخال, ابن الخال,بنت العم, بنت الخال,إبن العم, بنت الخال, ابن الخال,إبن العم,إبن العم,أخت, ابن الخال, بنت الخال, ابن الخال,أخ, بنت الخال,بنت العم, بنت الخال, بنت الخال,أخ,عمة,أم,عم,أب,أب,عمة,عمة,خال,عم,خالة,خال,عم,أم,خالة,عم,خال,خال,عمة,خالة,خالة
2,0.31899685926237376,1.7173082764094365,1.3983114171470628,بنت العم,بنت العم,بنت العم, بنت الخال,أخت, بنت الخال,إبن العم, ابن الخال,بنت العم,إبن العم, ابن الخال, بنت الخال,بنت العم, ابن الخال,أخ,إبن العم, ابن الخال, ابن الخال, ابن الخال,بنت العم, بنت الخال,أخت, بنت الخال, بنت الخال,بنت العم,أخ,أخت,بنت العم, بنت الخال,بنت العم,إبن العم,بنت العم, ابن الخال, ابن الخال, ابن الخال, بنت الخال,بنت العم, بنت الخال,إبن العم,إبن العم, بنت الخال, بنت الخال,أخت,بنت العم,بنت العم, بنت الخال,إبن العم, بنت الخال,بنت العم, ابن الخال, بنت الخال,إبن العم, ابن الخال, ابن الخال,إبن العم,إبن العم, ابن الخال, ابن الخال, ابن الخال,إبن العم,بنت العم, بنت الخال,إبن العم,إبن العم,بنت العم, ابن الخال,بنت العم,بنت العم,بنت العم, بنت الخال,إبن العم,إبن العم,بنت العم, ابن الخال,إبن العم, ابن الخال,إبن العم, بنت الخال,أخ,إبن العم,إبن العم, ابن الخال, بنت الخال, بنت الخال,إبن العم,خالة,خال,خال,عمة,أب,عمة,خال,عم,خالة,خالة,أم,عمة,عم,أب,عم,خالة,خال,عمة,عم,أم
3,0.32735562250230843,1.7424857827187215,1.415130160216413,بنت العم,بنت العم,بنت العم, ابن الخال, بنت الخال, بنت الخال, ابن الخال, بنت الخال, ابن الخال, بنت الخال, ابن الخال, ابن الخال,بنت العم,بنت العم,إبن العم,إبن العم,إبن العم,بنت العم,إبن العم,بنت العم, بنت الخال,بنت العم,أخت,أخ,بنت العم, بنت الخال, ابن الخال, بنت الخال, ابن الخال,بنت العم,أخت, بنت الخال,أخ,بنت العم,بنت العم, ابن الخال, ابن الخال, ابن الخال,أخ,إبن العم, ابن الخال, بنت الخال, بنت الخال, ابن الخال,بنت العم, بنت الخال, بنت الخال,بنت العم,إبن العم,إبن العم,إبن العم,إبن العم,إبن العم,بنت العم,إبن العم,بنت العم, ابن الخال,إبن العم,إبن العم,إبن العم,إبن العم, ابن الخال,بنت العم, بنت الخال, ابن الخال, ابن الخال, بنت الخال,بنت العم,إبن العم,إبن العم, بنت الخال, ابن الخال,بنت العم, بنت الخال, ابن الخال, بنت الخال,إبن العم,أخت,أخت, ابن الخال, بنت الخال, بنت الخال,بنت العم,إبن العم,إبن العم,أم,خال,خالة,خالة,عمة,أب,أب,خال,خالة,عمة,عمة,عمة,أم,خال,عم,عم,خال,عم,خالة,عم
4,0.4979720940125072,1.7173082764094363,1.219336182396929,إبن العم,إبن العم, بنت الخال,إبن العم, بنت الخال,بنت العم, بنت الخال, ابن الخال,بنت العم,إبن العم,إبن العم, ابن الخال,إبن العم, بنت الخال,أخ,إبن العم,بنت العم, بنت الخال,بنت العم, بنت الخال,بنت العم, بنت الخال, ابن الخال,إبن العم,بنت العم, ابن الخال,بنت العم, ابن الخال,إبن العم, ابن الخال, بنت الخال, ابن الخال, بنت الخال, ابن الخال, بنت الخال,أخ,إبن العم,بنت العم, بنت الخال, ابن الخال, ابن الخال,أخ,أخت, بنت الخال,أخت,بنت العم, ابن الخال, بنت الخال,إبن العم, ابن الخال, ابن الخال,إبن العم,بنت العم,إبن العم,إبن العم,بنت العم, بنت الخال, بنت الخال,إبن العم,إبن العم,أخت,أخت,بنت العم,بنت العم, ابن الخال, بنت الخال,بنت العم,إبن العم, ابن الخال,إبن العم, ابن الخال, ابن الخال,بنت العم,إبن العم, بنت الخال,بنت العم, ابن الخال,إبن العم,بنت العم,بنت العم,بنت العم, بنت الخال,بنت العم, بنت الخال, ابن الخال,أم,أم,عمة,خالة,عم,خال,خال,عمة,خال,خالة,خالة,أب,عم,أب,عمة,عمة,خال,عم,خالة,عم
5,0.33644410482924947,1.7282190701015219,1.3917749652722724,بنت العم,أخ, ابن الخال, بنت الخال,بنت العم, بنت الخال, بنت الخال, بنت الخال,أخت,إبن العم,بنت العم, ابن الخال,إبن العم, بنت الخال,أخت, بنت الخال,بنت العم, ابن الخال,بنت العم, بنت الخال,إبن العم,بنت العم,إبن العم, بنت الخال,بنت العم,بنت العم,إبن العم,بنت العم,إبن العم, ابن الخال, بنت الخال,إبن العم, ابن الخال, ابن الخال,إبن العم,إبن العم,إبن العم,بنت العم, بنت الخال,إبن العم, ابن الخال,إبن العم, ابن الخال, بنت الخال,بنت العم,إبن العم,أخت,إبن العم,بنت العم,بنت العم,بنت العم,بنت العم,إبن العم,إبن العم, ابن الخال, ابن الخال, بنت الخال, ابن الخال, ابن الخال, ابن الخال, ابن الخال, بنت الخال, بنت الخال, ابن الخال,إبن العم, ابن الخال, بنت الخال, ابن الخال,إبن العم, ابن الخال,بنت العم,إبن العم,بنت العم,بنت العم,أخ,بنت العم,إبن العم, بنت الخال, بنت الخال,أخت,أخ, بنت الخال, بنت الخال, ابن الخال,بنت العم,خالة,أب,أب,خال,خال,عمة,عم,أم,خال,عم,عمة,خالة,خالة,أم,خال,عم,خالة,عمة,عمة,عم
6,0.34392762777585695,1.716024957774942,1.372097329999085,إبن العم,بنت العم,إبن العم, ابن الخال, ابن الخال, ابن الخال, ابن الخال,إبن العم,إبن العم, بنت الخال,بنت العم,إبن العم, بنت الخال,إبن العم, بنت الخال, ابن الخال,بنت العم,أخ,إبن العم, بنت الخال, ابن الخال,إبن العم, ابن الخال,إبن العم,إبن العم, بنت الخال,بنت العم,إبن العم,بنت العم,بنت العم, بنت الخال,بنت العم,بنت العم, بنت الخال,إبن العم, بنت الخال, بنت الخال,أخت, بنت الخال,بنت العم, بنت الخال,إبن العم,أخت, بنت الخال,إبن العم, بنت الخال, ابن الخال,بنت العم,أخت,بنت العم, ابن الخال, ابن الخال, ابن الخال, ابن الخال, ابن الخال, ابن الخال,أخت, بنت الخال,بنت العم,بنت العم,بنت العم,إبن العم,أخ, ابن الخال, بنت الخال,إبن العم, بنت الخال,بنت العم, ابن الخال,بنت العم,أخ,إبن العم,بنت العم, بنت الخال,إبن العم, بنت الخال,إبن العم,بنت العم, بنت الخال,بنت العم, ابن الخال, ابن الخال,إبن العم,بنت العم, ابن الخال,عمة,عمة,عم,عم,أم,خال,خال,أم,عم,أب,خال,عم,خالة,أب,عمة,خالة,خالة,خال,عمة,خالة
7,0.3714349616236632,1.7173082764094367,1.3458733147857735,بنت العم,بنت العم,بنت العم, بنت الخال,بنت العم,إبن العم,إبن العم,بنت العم, ابن الخال,بنت العم,إبن العم,أخت, ابن الخال,بنت العم,أخت,إبن العم, ابن الخال, بنت الخال, ابن الخال,بنت العم, بنت الخال,بنت العم,بنت العم,إبن العم, بنت الخال,أخت, بنت الخال, بنت الخال,بنت العم,بنت العم,بنت العم, بنت الخال,إبن العم, بنت الخال, ابن الخال,إبن العم,أخ, ابن الخال, ابن الخال,إبن العم,إبن العم, ابن الخال,أخ, بنت الخال, بنت الخال, ابن الخال,بنت العم,إبن العم, بنت الخال, ابن الخال,بنت العم, ابن الخال, ابن الخال, بنت الخال, بنت الخال, بنت الخال, بنت الخال, ابن الخال,بنت العم, بنت الخال,إبن العم,إبن العم,إبن العم,أخ, ابن الخال,إبن العم,إبن العم, بنت الخال,إبن العم, بنت الخال,إبن العم,بنت العم,بنت العم,أخت,إبن العم,بنت العم, بنت الخال,بنت العم, ابن الخال,إبن العم,إبن العم, ابن الخال, ابن الخال, ابن الخال, ابن الخال,عمة,خال,عمة,خال,أب,خال,عمة,عم,أم,خالة,خالة,عم,خالة,أم,خال,عم,عم,خالة,عمة,أب
8,0.40465326056462114,1.7282190701015216,1.3235658095369005,إبن العم, ابن الخال,إبن العم,أخ, بنت الخال,إبن العم,إبن العم, ابن الخال,إبن العم,إبن العم,بنت العم, ابن الخال,إبن العم, ابن الخال, ابن الخال,إبن العم, ابن الخال, بنت الخال,بنت العم, بنت الخال,بنت العم, ابن الخال,بنت العم, بنت الخال, بنت الخال,بنت العم, بنت الخال,إبن العم, بنت الخال,أخت,أخ,بنت العم,بنت العم, ابن الخال,إبن العم, ابن الخال, ابن الخال, بنت الخال,إبن العم,بنت العم, بنت الخال, بنت الخال, بنت الخال,بنت العم, بنت الخال,بنت العم,بنت العم, ابن الخال,بنت العم,أخت, بنت الخال, ابن الخال,أخ, ابن الخال,إبن العم, بنت الخال,إبن العم,إبن العم, بنت الخال, ابن الخال,بنت العم,إبن العم,إبن العم,بنت العم,بنت العم,إبن العم,أخت, بنت الخال,بنت العم, بنت الخال,إبن العم,بنت العم, ابن الخال,بنت العم, ابن الخال,بنت العم, ابن الخال,إبن العم,بنت العم,إبن العم,أخت, بنت الخال, ابن الخال, ابن الخال, بنت الخال,عمة,خالة,أب,خال,عم,أم,عم,خال,خالة,عم,خال,أب,خالة,أم,خال,عمة,عمة,عمة,عم,خالة
9,0.4342864604309351,1.7452765656324054,1.3109901052014703,أخ,بنت العم,بنت العم, ابن الخال, ابن الخال, ابن الخال,بنت العم,إبن العم,إبن العم,أخت, ابن الخال,إبن العم, ابن الخال, بنت الخال, ابن الخال,إبن العم,إبن العم, ابن الخال,إبن العم, بنت الخال,أخت,بنت العم, بنت الخال,بنت العم, ابن الخال, ابن الخال,إبن العم,إبن العم,بنت العم,إبن العم, ابن الخال,إبن العم,بنت العم, بنت الخال,أخت,بنت العم, ابن الخال,إبن العم,إبن العم, ابن الخال, بنت الخال, بنت الخال,بنت العم, بنت الخال, بنت الخال,بنت العم,إبن العم,أخ, بنت الخال, بنت الخال,إبن العم,بنت العم,إبن العم, بنت الخال, ابن الخال, بنت الخال,بنت العم,بنت العم, بنت الخال,بنت العم,إبن العم,بنت العم, بنت الخال, بنت الخال,بنت العم, ابن الخال, بنت الخال,إبن العم, ابن الخال,بنت العم, بنت الخال,بنت العم, ابن الخال,إبن العم, ابن الخال,أخت, ابن الخال,إبن العم,إبن العم, بنت الخال, بنت الخال,بنت العم,أخ, ابن الخال,بنت العم,عمة,خالة,أب,أم,خال,عمة,خالة,خال,عم,خال,خالة,خالة,عم,أب,عمة,خال,عم,أم,عم,عمة
