simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09138222773134119,1.2179502641543896,1.1265680364230484,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìmbádí,cìkìsí,cìkìsí,сìt'cílà',сìcdàˑ,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìmbádí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìmbádí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìcdàˑ,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìmbádí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìmbádí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,сìcdàˑ,сìt'cílà',сìt'cílà',сìcdàˑ,cìkìsí,сìt'cílà',сìcdàˑ,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',cìmbádí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,сìcdàˑ,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìbídjí,cìbídjí,cì'nándí,cì'nándí,сìdà'á,cìbídjí,cìbídjí,сìdà'á,cìbídjí,cì'àˑcí,cì'nándí,cìbídjí,сìdà'á,cì'nándí,cìbídjí,cì'nándí,cìbídjí,cì'nándí,cìbídjí,cì'àˑcí,cìbídjí,сìdà'á,сìdà'á,cìbídjí,cìbídjí,cì'nándí,сìdà'á,cì'nándí
1,0.0297070398247663,1.254606270835733,1.2248992310109668,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìcdàˑ,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìcdàˑ,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìmbádí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìmbádí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìcdàˑ,сìcdàˑ,сìt'cílà',сìt'cílà',cìmbádí,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìcdàˑ,cìkìsí,сìt'cílà',cìmbádí,сìt'cílà',сìt'cílà',cìmbádí,cìkìsí,сìt'cílà',cìkìsí,cìmbádí,сìcdàˑ,cì'nándí,cì'nándí,cì'àˑcí,cìbídjí,cìbídjí,cìbídjí,cìbídjí,сìdà'á,cìbídjí,cì'nándí,cìbídjí,cì'nándí,cìbídjí,cìbídjí,cì'nándí,cìbídjí,сìdà'á,cì'nándí,cìbídjí,сìdà'á,cìbídjí,cìbídjí,сìdà'á,сìdà'á,cì'nándí,cì'àˑcí,сìdà'á,cì'nándí
2,0.0741424862541209,1.2268471749232508,1.15270468866913,сìt'cílà',сìcdàˑ,cìmbádí,сìt'cílà',сìcdàˑ,cìmbádí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,сìcdàˑ,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìmbádí,сìt'cílà',сìt'cílà',сìcdàˑ,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìmbádí,сìcdàˑ,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìmbádí,сìt'cílà',сìt'cílà',cìkìsí,сìcdàˑ,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìmbádí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìbídjí,cì'nándí,cì'nándí,cìbídjí,сìdà'á,сìdà'á,cìbídjí,cì'àˑcí,cìbídjí,сìdà'á,cìbídjí,cì'nándí,cì'àˑcí,cìbídjí,сìdà'á,cì'nándí,cìbídjí,сìdà'á,cì'nándí,cìbídjí,cì'nándí,cìbídjí,cìbídjí,cì'nándí,cì'nándí,сìdà'á,cìbídjí,cìbídjí
3,0.07901441486788796,1.2309424802853473,1.1519280654174593,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìmbádí,cìkìsí,cìkìsí,сìt'cílà',сìcdàˑ,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìmbádí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìmbádí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìcdàˑ,cìkìsí,cìkìsí,cìkìsí,сìcdàˑ,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìkìsí,сìcdàˑ,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìmbádí,сìcdàˑ,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìmbádí,сìcdàˑ,сìt'cílà',cìmbádí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìdà'á,сìdà'á,cì'nándí,cì'nándí,cìbídjí,cì'nándí,cìbídjí,cìbídjí,cìbídjí,cìbídjí,cì'nándí,cì'àˑcí,cì'nándí,cì'nándí,cìbídjí,cìbídjí,cì'nándí,cì'nándí,cìbídjí,сìdà'á,сìdà'á,cìbídjí,cìbídjí,cìbídjí,cì'àˑcí,сìdà'á,cìbídjí,сìdà'á
4,0.11453317350133241,1.200613815372493,1.0860806418711606,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìcdàˑ,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìcdàˑ,cìkìsí,сìt'cílà',сìcdàˑ,сìt'cílà',cìkìsí,сìcdàˑ,cìkìsí,cìmbádí,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìmbádí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìmbádí,cìkìsí,cìmbádí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìmbádí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìcdàˑ,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìcdàˑ,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìmbádí,сìdà'á,cìbídjí,cì'nándí,cì'nándí,cì'nándí,cìbídjí,cìbídjí,cìbídjí,cì'nándí,cì'àˑcí,сìdà'á,сìdà'á,cìbídjí,cì'nándí,сìdà'á,cì'nándí,cì'nándí,cìbídjí,cìbídjí,cìbídjí,cì'nándí,cìbídjí,cì'àˑcí,сìdà'á,cìbídjí,сìdà'á,cìbídjí,cìbídjí
5,0.0545604369242918,1.1879844844349416,1.1334240475106498,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìcdàˑ,cìkìsí,cìmbádí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìcdàˑ,cìkìsí,cìkìsí,cìkìsí,сìcdàˑ,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìmbádí,cìmbádí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',сìcdàˑ,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìmbádí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìmbádí,сìt'cílà',сìt'cílà',сìcdàˑ,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìcdàˑ,сìt'cílà',cìkìsí,cìmbádí,cì'nándí,cì'nándí,cìbídjí,cìbídjí,cì'nándí,cì'nándí,cì'nándí,cìbídjí,cì'nándí,cìbídjí,cì'nándí,cìbídjí,cì'nándí,сìdà'á,cìbídjí,cìbídjí,сìdà'á,cìbídjí,сìdà'á,сìdà'á,сìdà'á,cì'àˑcí,cìbídjí,сìdà'á,cì'àˑcí,cìbídjí,cìbídjí,cìbídjí
6,0.08772107280070784,1.2844202699276621,1.1966991971269543,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìmbádí,cìkìsí,cìkìsí,сìcdàˑ,сìt'cílà',cìkìsí,cìkìsí,сìcdàˑ,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìmbádí,cìkìsí,cìkìsí,cìkìsí,cìmbádí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìcdàˑ,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìcdàˑ,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,сìcdàˑ,сìcdàˑ,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìmbádí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìmbádí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìmbádí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cì'nándí,cì'àˑcí,cìbídjí,cì'àˑcí,сìdà'á,cìbídjí,сìdà'á,cìbídjí,cì'nándí,сìdà'á,cìbídjí,cì'nándí,сìdà'á,cìbídjí,cìbídjí,cìbídjí,cì'nándí,cìbídjí,сìdà'á,cì'nándí,cìbídjí,cì'nándí,cì'nándí,cìbídjí,cìbídjí,сìdà'á,cìbídjí,cì'nándí
7,0.0825060337465442,1.2712861648985507,1.1887801311520065,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìmbádí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìmbádí,cìkìsí,cìkìsí,cìkìsí,сìcdàˑ,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìmbádí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìmbádí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìcdàˑ,сìt'cílà',сìcdàˑ,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,сìcdàˑ,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìmbádí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,сìcdàˑ,сìcdàˑ,cìkìsí,cìmbádí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cì'nándí,сìdà'á,cìbídjí,cì'nándí,сìdà'á,cì'nándí,cìbídjí,cì'nándí,cìbídjí,cìbídjí,cì'nándí,cì'nándí,cì'nándí,сìdà'á,cì'àˑcí,сìdà'á,cì'àˑcí,cìbídjí,cìbídjí,cìbídjí,cìbídjí,cìbídjí,cìbídjí,сìdà'á,cì'nándí,cìbídjí,сìdà'á,cìbídjí
8,0.05966408186722649,1.205727150921704,1.1460630690544775,сìcdàˑ,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìcdàˑ,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìmbádí,сìcdàˑ,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',cìmbádí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìmbádí,cìmbádí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìcdàˑ,сìt'cílà',сìt'cílà',сìt'cílà',сìcdàˑ,сìt'cílà',cìkìsí,cìkìsí,cìmbádí,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìmbádí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìcdàˑ,сìdà'á,cìbídjí,cìbídjí,cì'nándí,cìbídjí,cì'nándí,cìbídjí,cìbídjí,сìdà'á,сìdà'á,cì'nándí,сìdà'á,cì'àˑcí,cì'nándí,cì'àˑcí,сìdà'á,cì'nándí,cìbídjí,cìbídjí,cìbídjí,cì'nándí,cìbídjí,cì'nándí,cì'nándí,cìbídjí,cìbídjí,сìdà'á,cìbídjí
9,0.06610213526318898,1.2502360381822917,1.1841339029191027,cìmbádí,сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìcdàˑ,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',cìkìsí,cìkìsí,cìmbádí,сìt'cílà',cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,сìcdàˑ,сìt'cílà',сìcdàˑ,cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìt'cílà',сìcdàˑ,сìcdàˑ,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',сìcdàˑ,cìkìsí,сìt'cílà',cìmbádí,сìt'cílà',сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìmbádí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìkìsí,cìmbádí,cìkìsí,сìt'cílà',cìkìsí,cìkìsí,cìkìsí,сìt'cílà',сìt'cílà',cìkìsí,cìmbádí,cìkìsí,cìkìsí,cìkìsí,сìt'cílà',cìkìsí,cì'àˑcí,cìbídjí,cì'nándí,cì'nándí,сìdà'á,cìbídjí,сìdà'á,cìbídjí,cìbídjí,cìbídjí,cì'nándí,cì'nándí,cì'nándí,cìbídjí,cì'nándí,сìdà'á,сìdà'á,cìbídjí,cìbídjí,cìbídjí,сìdà'á,cìbídjí,cìbídjí,сìdà'á,cìbídjí,cì'nándí,cì'àˑcí,cì'nándí
