simulation_number,mutual_information,entropy,conditional_entropy,meB,feB,mFBeS,mFZeS,mMBeS,mMZeS,fFBeS,fFZeS,fMBeS,meZ,feZ,mFBeD,mFZeD,mMBeD,mMZeD,fFBeD,fFZeD,fMBeD,fMZeD,myZ,fyZ,mFByD,mFZyD,mMByD,mMZyD,fFByD,fFZyD,fMByD,fMZyD,myB,fyB,mFByS,mFZyS,mMByS,mMZyS,fFByS,fFZyS,fMByS,fMZyS,fF,mM,fM,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mFyB,fFyB,mMeZ,fMeZ,mFeB,fFeB,mMyZ,fMyZ
0,0.07567111245376568,0.6365141682948128,0.5608430558410471,nɛɹmɒ,nɛɹmɒ,avi,nənə,adzj,nənə,nɛɹmɒ,nɛɹmɒ,avi,nənə,nənə,avi,adzj,adzj,adzj,nɛɹmɒ,avi,adzj,nənə,avi,nɛɹmɒ,nənə,nɛɹmɒ,adzj,nənə,nɛɹmɒ,adzj,nɛɹmɒ,avi,adzj,nənə,avi,nənə,adzj,avi,nɛɹmɒ,avi,adzj,nənə,abojɛ,animo,animo,amovɛɹ,"ale, avɯ",amo,"ale, avɯ",amojɛ,"ale, avɯ",abojɛ,"ale, avɯ",abovɛɹ,abovɛɹ,amojɛ,animo,animo,amo,aba,amovɛɹ
1,0.05070605901326819,0.6365141682948128,0.5858081092815446,nənə,nənə,nənə,avi,adzj,adzj,nɛɹmɒ,adzj,nənə,adzj,nɛɹmɒ,avi,adzj,nənə,nɛɹmɒ,nɛɹmɒ,nənə,adzj,avi,nənə,nɛɹmɒ,adzj,avi,avi,nɛɹmɒ,avi,nənə,avi,nɛɹmɒ,nɛɹmɒ,nɛɹmɒ,avi,nɛɹmɒ,adzj,avi,adzj,adzj,nənə,nənə,abovɛɹ,abojɛ,abojɛ,amo,amovɛɹ,animo,amojɛ,"ale, avɯ",animo,amovɛɹ,aba,animo,amo,amojɛ,animo,"ale, avɯ",abovɛɹ,"ale, avɯ","ale, avɯ"
2,0.19696409830058592,1.0986122886681096,0.9016481903675236,adzj,adzj,nɛɹmɒ,nənə,adzj,nənə,avi,avi,avi,adzj,nɛɹmɒ,nɛɹmɒ,nɛɹmɒ,nənə,nənə,adzj,nənə,nənə,nɛɹmɒ,avi,nɛɹmɒ,adzj,avi,nənə,nənə,nɛɹmɒ,adzj,nənə,avi,adzj,avi,nɛɹmɒ,nɛɹmɒ,avi,avi,nənə,adzj,adzj,nɛɹmɒ,aba,amojɛ,abojɛ,abojɛ,amo,amojɛ,"ale, avɯ","ale, avɯ",abovɛɹ,amo,amovɛɹ,"ale, avɯ",animo,abovɛɹ,animo,animo,animo,"ale, avɯ",amovɛɹ
3,0.26888461641353123,1.0986122886681096,0.8297276722545783,nɛɹmɒ,avi,nənə,nɛɹmɒ,nənə,avi,nɛɹmɒ,avi,nɛɹmɒ,nɛɹmɒ,nənə,nənə,adzj,avi,nɛɹmɒ,avi,avi,nɛɹmɒ,nənə,adzj,adzj,nənə,adzj,nɛɹmɒ,adzj,avi,nənə,avi,nɛɹmɒ,nənə,adzj,nɛɹmɒ,adzj,adzj,avi,nənə,nənə,adzj,adzj,aba,abojɛ,"ale, avɯ",amovɛɹ,abojɛ,"ale, avɯ","ale, avɯ",abovɛɹ,amovɛɹ,animo,abovɛɹ,animo,amojɛ,animo,animo,amojɛ,"ale, avɯ",amo,amo
4,0.03783555622688284,0.6365141682948128,0.5986786120679299,adzj,adzj,adzj,nɛɹmɒ,nənə,nənə,nɛɹmɒ,nənə,adzj,nɛɹmɒ,nənə,nɛɹmɒ,nɛɹmɒ,nənə,avi,adzj,adzj,nənə,nənə,avi,avi,adzj,nɛɹmɒ,nənə,nɛɹmɒ,nɛɹmɒ,adzj,nɛɹmɒ,nənə,nənə,avi,adzj,adzj,avi,nɛɹmɒ,avi,avi,avi,avi,abojɛ,abojɛ,animo,amo,abovɛɹ,amovɛɹ,"ale, avɯ","ale, avɯ",animo,"ale, avɯ",abovɛɹ,amovɛɹ,"ale, avɯ",amo,amojɛ,animo,amojɛ,aba,animo
5,0.14759163056671099,1.0986122886681096,0.9510206581013986,avi,avi,nɛɹmɒ,nɛɹmɒ,nənə,nɛɹmɒ,adzj,avi,nənə,adzj,adzj,nənə,nɛɹmɒ,adzj,adzj,nənə,nənə,avi,adzj,avi,nɛɹmɒ,adzj,nɛɹmɒ,nənə,avi,nənə,nənə,nɛɹmɒ,adzj,avi,adzj,nɛɹmɒ,avi,avi,nɛɹmɒ,nənə,nɛɹmɒ,adzj,nənə,aba,"ale, avɯ",abovɛɹ,animo,animo,amo,abojɛ,amojɛ,animo,abovɛɹ,amo,amojɛ,"ale, avɯ",abojɛ,animo,amovɛɹ,amovɛɹ,"ale, avɯ","ale, avɯ"
6,-2.220446049250313e-16,1.0986122886681096,1.0986122886681098,nɛɹmɒ,nɛɹmɒ,nɛɹmɒ,nənə,adzj,avi,nɛɹmɒ,nənə,adzj,adzj,avi,avi,nənə,avi,adzj,nɛɹmɒ,nɛɹmɒ,avi,nənə,avi,adzj,avi,nɛɹmɒ,adzj,adzj,avi,nənə,adzj,nənə,nənə,nənə,adzj,nənə,nɛɹmɒ,avi,nɛɹmɒ,adzj,nənə,nɛɹmɒ,"ale, avɯ",amojɛ,aba,"ale, avɯ",abojɛ,animo,abojɛ,amo,"ale, avɯ",amovɛɹ,amovɛɹ,abovɛɹ,animo,animo,animo,amojɛ,abovɛɹ,amo,"ale, avɯ"
7,0.15912854207370308,1.0986122886681096,0.9394837465944065,adzj,nənə,nɛɹmɒ,avi,adzj,nɛɹmɒ,nənə,adzj,avi,nɛɹmɒ,avi,nɛɹmɒ,adzj,avi,nɛɹmɒ,nənə,adzj,nənə,avi,nənə,nɛɹmɒ,avi,adzj,avi,nənə,adzj,nənə,avi,adzj,nɛɹmɒ,nɛɹmɒ,nɛɹmɒ,nɛɹmɒ,adzj,nənə,nənə,nənə,adzj,avi,animo,amojɛ,amovɛɹ,abovɛɹ,abovɛɹ,"ale, avɯ",abojɛ,animo,amovɛɹ,"ale, avɯ",animo,amo,"ale, avɯ","ale, avɯ",amo,animo,amojɛ,abojɛ,aba
8,0.2688846164135311,1.0986122886681096,0.8297276722545784,adzj,nənə,nɛɹmɒ,nənə,avi,adzj,avi,adzj,nɛɹmɒ,adzj,nənə,nənə,adzj,nɛɹmɒ,avi,nənə,nənə,nənə,adzj,nənə,avi,adzj,nɛɹmɒ,avi,avi,nənə,nɛɹmɒ,avi,nɛɹmɒ,nɛɹmɒ,nɛɹmɒ,adzj,avi,nənə,nɛɹmɒ,avi,nɛɹmɒ,adzj,adzj,"ale, avɯ",abojɛ,amo,aba,amojɛ,"ale, avɯ",animo,animo,"ale, avɯ",animo,amo,abovɛɹ,"ale, avɯ",abojɛ,amovɛɹ,amovɛɹ,animo,abovɛɹ,amojɛ
9,0.19696409830058603,1.0986122886681096,0.9016481903675235,adzj,adzj,adzj,avi,nənə,avi,nənə,avi,adzj,nənə,avi,nɛɹmɒ,adzj,nɛɹmɒ,adzj,adzj,nɛɹmɒ,nɛɹmɒ,nənə,avi,avi,nənə,nənə,adzj,nənə,nənə,adzj,nənə,nɛɹmɒ,adzj,nɛɹmɒ,nənə,nɛɹmɒ,avi,avi,avi,nɛɹmɒ,nɛɹmɒ,nɛɹmɒ,"ale, avɯ",animo,abovɛɹ,"ale, avɯ",amo,amovɛɹ,amojɛ,abojɛ,abovɛɹ,aba,amojɛ,amovɛɹ,"ale, avɯ",animo,"ale, avɯ",animo,abojɛ,animo,amo
