simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.13844504133850366,1.0114042647073516,0.8729592233688479,chichiak,takelek,takelek,takelek,takelek,takelek,chichiak,chichiak,chichiak,chichiak,chichiak,chichiak,chichiak,takelek,chichiak,chichiak,tigik,takelek,chichiak,chichiak,chichiak,chickiak,tigik,takelek,chickiak,takelek,chichiak,chichiak,tigik,chichiak,tigik,chichiak,tigik,takelek,chichiak,tigik,takelek,tigik,tigik,takelek,takelek,chichiak,tigik,chichiak,chichiak,chichiak,tigik,tigik,takelek,takelek,chichiak,chichiak,takelek,tigik,chichiak,chickiak,takelek,chichiak,tigik,tigik,chickiak,chichiak,chickiak,chickiak,takelek,chichiak,tigik,chichiak,tigik,takelek,takelek,chichiak,chichiak,tigik,tigik,chickiak,chickiak,tigik,chichiak,tigik,tigik,takelek,chichiak,chichiak,chickiak,ma,meruk,ma,ma,reme,reme,ma,reme,ma,ma,reme,reme,reme,meruk,reme,reme,meruk,reme,meruk,reme
1,0.18800028241605649,1.0296530140645737,0.8416527316485172,chichiak,takelek,takelek,chichiak,tigik,takelek,chichiak,chichiak,chichiak,takelek,takelek,chichiak,chickiak,takelek,tigik,chickiak,tigik,takelek,tigik,chickiak,tigik,chichiak,chichiak,chichiak,takelek,chickiak,chickiak,chichiak,takelek,chichiak,tigik,chichiak,tigik,tigik,takelek,takelek,takelek,tigik,chichiak,chichiak,takelek,chichiak,tigik,chichiak,tigik,chichiak,takelek,chichiak,chickiak,chichiak,chichiak,chichiak,tigik,chichiak,chichiak,takelek,chichiak,chichiak,tigik,chichiak,tigik,chickiak,takelek,chichiak,chichiak,takelek,chickiak,tigik,takelek,takelek,chichiak,tigik,chickiak,takelek,chichiak,tigik,tigik,tigik,tigik,chichiak,chichiak,takelek,chichiak,tigik,chichiak,reme,reme,reme,reme,reme,ma,reme,meruk,reme,ma,meruk,reme,ma,reme,ma,ma,meruk,ma,reme,meruk
2,0.1807776762908202,1.0374312377016655,0.8566535614108453,tigik,chichiak,chickiak,tigik,chichiak,chichiak,takelek,takelek,tigik,takelek,chichiak,chichiak,takelek,chickiak,chichiak,takelek,tigik,tigik,chichiak,chichiak,chichiak,takelek,chichiak,chichiak,chichiak,takelek,tigik,chichiak,tigik,chickiak,chichiak,chichiak,tigik,tigik,takelek,chichiak,tigik,chichiak,chickiak,chickiak,chichiak,tigik,chickiak,chichiak,takelek,takelek,chichiak,tigik,takelek,chichiak,chichiak,tigik,takelek,takelek,takelek,tigik,takelek,chichiak,chichiak,tigik,chichiak,chichiak,takelek,chickiak,tigik,chichiak,takelek,takelek,chichiak,chichiak,chickiak,chickiak,chichiak,chichiak,chichiak,takelek,takelek,tigik,tigik,takelek,tigik,chichiak,tigik,tigik,chichiak,ma,reme,ma,reme,ma,ma,reme,meruk,meruk,ma,meruk,reme,reme,reme,reme,meruk,reme,reme,ma,reme
3,0.048695613731158605,1.0039479810030614,0.9552523672719028,chichiak,chickiak,chickiak,chickiak,tigik,chichiak,chichiak,chichiak,takelek,tigik,tigik,tigik,chichiak,tigik,takelek,chichiak,takelek,chichiak,takelek,tigik,chichiak,tigik,takelek,takelek,tigik,chichiak,chickiak,takelek,chichiak,chichiak,takelek,tigik,takelek,chichiak,tigik,chichiak,chickiak,tigik,tigik,chichiak,takelek,chichiak,chichiak,chickiak,tigik,chichiak,chichiak,chichiak,chichiak,chichiak,chichiak,chichiak,chichiak,takelek,tigik,takelek,chichiak,chickiak,tigik,takelek,chickiak,chichiak,chichiak,chichiak,chichiak,takelek,takelek,chichiak,takelek,chichiak,takelek,chichiak,chichiak,takelek,tigik,takelek,tigik,tigik,tigik,chichiak,chickiak,tigik,tigik,takelek,takelek,reme,reme,ma,reme,reme,reme,meruk,reme,reme,meruk,reme,ma,meruk,meruk,ma,ma,reme,reme,ma,ma
4,0.05004443457194685,1.0039479810030614,0.9539035464311145,tigik,takelek,tigik,chickiak,chichiak,chickiak,chickiak,chichiak,chichiak,chichiak,tigik,chichiak,takelek,takelek,chichiak,chichiak,chichiak,chichiak,tigik,chichiak,tigik,takelek,tigik,chichiak,chichiak,chickiak,tigik,tigik,tigik,chichiak,tigik,takelek,takelek,tigik,chichiak,chichiak,chichiak,chichiak,takelek,tigik,chichiak,takelek,chichiak,chickiak,takelek,chichiak,tigik,takelek,takelek,chickiak,chichiak,chichiak,chichiak,chichiak,tigik,takelek,takelek,takelek,tigik,chichiak,takelek,tigik,tigik,takelek,tigik,chichiak,takelek,chichiak,chickiak,takelek,chichiak,takelek,takelek,tigik,chichiak,tigik,chickiak,chichiak,chichiak,chichiak,chichiak,chickiak,takelek,tigik,chichiak,reme,reme,ma,reme,reme,meruk,reme,reme,ma,ma,meruk,reme,ma,meruk,reme,ma,meruk,reme,reme,ma
5,0.0920801151442654,1.0114042647073516,0.9193241495630862,takelek,chichiak,chichiak,chickiak,tigik,chichiak,takelek,chichiak,chickiak,chichiak,tigik,takelek,chichiak,chickiak,tigik,takelek,chichiak,takelek,takelek,tigik,chichiak,tigik,chichiak,chickiak,chichiak,takelek,tigik,tigik,chichiak,takelek,chichiak,tigik,chickiak,chickiak,takelek,chichiak,chichiak,chichiak,chichiak,takelek,tigik,chichiak,tigik,tigik,chichiak,tigik,chickiak,tigik,takelek,chichiak,tigik,chichiak,chichiak,takelek,chichiak,chichiak,tigik,takelek,chichiak,takelek,chichiak,chichiak,chickiak,chichiak,tigik,chickiak,chichiak,tigik,takelek,chichiak,takelek,chichiak,takelek,chichiak,tigik,chichiak,chichiak,takelek,tigik,tigik,takelek,tigik,chichiak,takelek,takelek,ma,reme,ma,ma,reme,reme,reme,meruk,reme,meruk,reme,ma,reme,meruk,reme,ma,meruk,reme,reme,ma
6,0.02246074501523343,1.0374312377016655,1.014970492686432,chichiak,chickiak,chichiak,chickiak,tigik,chichiak,chickiak,chichiak,tigik,takelek,chichiak,takelek,takelek,chichiak,chichiak,takelek,tigik,chichiak,chichiak,takelek,tigik,tigik,takelek,takelek,chichiak,tigik,chichiak,chichiak,chickiak,chichiak,chichiak,takelek,chichiak,tigik,chichiak,chichiak,tigik,chickiak,tigik,chickiak,takelek,chichiak,chichiak,takelek,chichiak,tigik,takelek,tigik,takelek,takelek,tigik,chichiak,chichiak,chichiak,chickiak,chickiak,tigik,takelek,tigik,chichiak,chichiak,tigik,takelek,tigik,chichiak,tigik,chickiak,takelek,chichiak,tigik,takelek,tigik,chichiak,takelek,takelek,chichiak,takelek,tigik,chichiak,chichiak,chichiak,takelek,chichiak,tigik,chichiak,reme,ma,ma,reme,meruk,meruk,reme,ma,reme,reme,reme,meruk,ma,reme,reme,ma,meruk,ma,reme,reme
7,0.09087666251735271,1.0374312377016655,0.9465545751843127,chichiak,chichiak,chichiak,takelek,takelek,chichiak,chichiak,chichiak,chickiak,chichiak,tigik,takelek,takelek,chichiak,takelek,chickiak,chickiak,chickiak,takelek,takelek,takelek,chichiak,tigik,chichiak,takelek,chichiak,takelek,tigik,chickiak,chichiak,chickiak,takelek,takelek,tigik,chichiak,tigik,chichiak,chichiak,chichiak,chichiak,tigik,tigik,chichiak,chichiak,takelek,chichiak,chichiak,takelek,tigik,chichiak,takelek,tigik,chickiak,tigik,chichiak,takelek,tigik,tigik,chichiak,chichiak,tigik,chichiak,chichiak,chichiak,tigik,chichiak,tigik,chichiak,chichiak,takelek,tigik,tigik,takelek,takelek,takelek,chichiak,chichiak,tigik,takelek,tigik,tigik,chickiak,chickiak,chichiak,tigik,ma,reme,reme,ma,reme,meruk,reme,reme,ma,ma,meruk,ma,meruk,reme,reme,reme,reme,ma,reme,meruk
8,0.15728242210454002,1.0296530140645737,0.8723705919600336,chickiak,takelek,chichiak,tigik,takelek,chichiak,chichiak,chichiak,chichiak,chichiak,chickiak,tigik,chickiak,takelek,takelek,chichiak,takelek,chichiak,tigik,tigik,chichiak,takelek,tigik,chichiak,chichiak,chichiak,chichiak,chickiak,takelek,takelek,chichiak,chichiak,chichiak,tigik,takelek,takelek,chickiak,chichiak,chichiak,tigik,takelek,takelek,chichiak,chickiak,takelek,takelek,chickiak,tigik,chichiak,chichiak,chichiak,takelek,chickiak,takelek,takelek,tigik,takelek,tigik,chichiak,tigik,chichiak,chickiak,tigik,tigik,chichiak,tigik,chichiak,chichiak,chichiak,tigik,tigik,chichiak,chichiak,chichiak,takelek,takelek,chichiak,tigik,takelek,tigik,tigik,tigik,tigik,chichiak,chichiak,reme,meruk,reme,reme,ma,reme,reme,meruk,reme,meruk,ma,reme,reme,reme,ma,ma,ma,meruk,reme,ma
9,0.08938180832760523,1.0296530140645737,0.9402712057369684,takelek,chichiak,chichiak,chichiak,tigik,takelek,chichiak,takelek,chickiak,takelek,chichiak,takelek,chichiak,chickiak,takelek,tigik,chichiak,tigik,tigik,chichiak,chickiak,chichiak,tigik,chichiak,tigik,takelek,tigik,chickiak,chichiak,takelek,takelek,chichiak,chichiak,chichiak,tigik,chichiak,takelek,chickiak,tigik,tigik,chichiak,chickiak,tigik,takelek,takelek,chichiak,chichiak,chichiak,tigik,takelek,chichiak,chichiak,chichiak,takelek,chichiak,chichiak,chichiak,takelek,tigik,tigik,takelek,chichiak,chichiak,tigik,chichiak,takelek,chichiak,takelek,tigik,takelek,tigik,chichiak,chichiak,takelek,chickiak,chickiak,chichiak,chichiak,tigik,takelek,tigik,tigik,tigik,chickiak,chichiak,reme,reme,reme,reme,meruk,ma,reme,reme,reme,ma,ma,meruk,reme,reme,ma,meruk,ma,meruk,ma,reme
