simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,fFeBD,fFeZD,fFyZD,fMeBD,fMyBD,fMeZD,fMyZD,fFBeD,fFByD,fFZeD,fFZyD,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.17202052795721734,1.8217759425825693,1.649755414625352,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,kaizeli,muhulwani,muhulwani,kaizeli,kaizeli,munyani,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,muhulwani,munyani,munyani,kaizeli,kaizeli,muhulwani,munyani,kaizeli,kaizeli,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,kaizeli,munyani,muhulwani,munyani,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,me yomuhulu,me,ndate yo munyinyani,ndate yo muhulu,ndate wa musali,ndate wa musali,ndate yo muhulu,me,me yomunginyani,ndate wa musali,ndate wa musali,me,me yomuhulu,ndate wa musali,ndole,me,me,me,me,me,ndate yo munyinyani,ndole,me yomunginyani,ndate wa musali
1,0.26078343458996645,1.7478324480094607,1.4870490134194942,kaizeli,munyani,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,munyani,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,muhulwani,kaizeli,muhulwani,kaizeli,kaizeli,muhulwani,munyani,munyani,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,munyani,muhulwani,kaizeli,munyani,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,me yomunginyani,ndate yo muhulu,ndate wa musali,me,me,ndate wa musali,me,ndate wa musali,ndate yo muhulu,ndate wa musali,ndate yo munyinyani,ndate wa musali,ndole,me yomunginyani,ndole,ndate wa musali,me,me yomuhulu,me yomuhulu,me,ndate yo munyinyani,me,me,me
2,0.1835294561012426,1.675779942136719,1.4922504860354764,kaizeli,kaizeli,muhulwani,munyani,munyani,kaizeli,munyani,kaizeli,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,muhulwani,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,munyani,munyani,kaizeli,muhulwani,kaizeli,muhulwani,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,me,ndate yo munyinyani,me yomuhulu,ndate yo munyinyani,me yomunginyani,me,me,ndole,ndate wa musali,me,me,ndate yo muhulu,me,ndate wa musali,ndate wa musali,ndate wa musali,ndate wa musali,ndole,ndate wa musali,me,ndate yo muhulu,me yomunginyani,me,me yomuhulu
3,0.1506916580346842,1.6353127156964113,1.4846210576617271,muhulwani,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,muhulwani,kaizeli,munyani,munyani,kaizeli,kaizeli,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,munyani,kaizeli,munyani,kaizeli,kaizeli,kaizeli,munyani,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,me,ndate yo munyinyani,ndate yo muhulu,ndate wa musali,me,ndate wa musali,me yomuhulu,ndole,ndate wa musali,ndate yo muhulu,me,me,ndate wa musali,ndate wa musali,ndate wa musali,me,me yomuhulu,me yomunginyani,me yomunginyani,ndate yo munyinyani,ndole,me,me,me
4,0.14862375354657775,1.7516627920237111,1.6030390384771334,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,munyani,kaizeli,kaizeli,kaizeli,muhulwani,munyani,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,munyani,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,munyani,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,munyani,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,munyani,kaizeli,muhulwani,muhulwani,muhulwani,kaizeli,kaizeli,muhulwani,kaizeli,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,me,me yomunginyani,ndate yo munyinyani,me yomuhulu,me,me,ndate wa musali,ndate wa musali,me yomuhulu,me,ndate yo munyinyani,ndate wa musali,ndate yo muhulu,ndate wa musali,ndate wa musali,ndate wa musali,me yomunginyani,ndate yo muhulu,me,me,ndole,me,ndole,me
5,0.09920680578052066,1.6531905881150353,1.5539837823345146,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,munyani,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,muhulwani,munyani,munyani,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,munyani,kaizeli,kaizeli,kaizeli,munyani,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,munyani,muhulwani,kaizeli,muhulwani,munyani,ndate yo munyinyani,me,ndate wa musali,me,ndate wa musali,me yomuhulu,ndate wa musali,ndole,me,me,me,me,ndate wa musali,ndate yo munyinyani,me,me yomunginyani,me yomunginyani,ndate yo muhulu,ndole,ndate yo muhulu,me yomuhulu,me,ndate wa musali,ndate wa musali
6,0.14956264695841726,1.7502512465926054,1.6006885996341882,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,muhulwani,muhulwani,muhulwani,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,kaizeli,kaizeli,munyani,munyani,kaizeli,kaizeli,munyani,kaizeli,munyani,kaizeli,kaizeli,munyani,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,munyani,me yomuhulu,ndole,ndate yo munyinyani,ndate yo munyinyani,me yomunginyani,me,me,me,ndate wa musali,ndate wa musali,ndate wa musali,me,me yomuhulu,me,me,ndate wa musali,ndate wa musali,ndate yo muhulu,ndole,ndate wa musali,me,me,ndate yo muhulu,me yomunginyani
7,0.19622404063174503,1.7664011743776697,1.5701771337459247,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,kaizeli,munyani,munyani,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,muhulwani,kaizeli,munyani,kaizeli,kaizeli,munyani,kaizeli,kaizeli,kaizeli,munyani,munyani,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,muhulwani,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,ndate yo munyinyani,me yomuhulu,me,me,me,me,ndate wa musali,ndate yo munyinyani,me,me,ndate wa musali,me yomunginyani,ndole,me yomuhulu,me,ndate yo muhulu,ndole,ndate wa musali,ndate wa musali,ndate yo muhulu,ndate wa musali,me,ndate wa musali,me yomunginyani
8,0.10585259708204653,1.8296023306381883,1.7237497335561418,kaizeli,kaizeli,muhulwani,kaizeli,munyani,muhulwani,munyani,kaizeli,munyani,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,muhulwani,kaizeli,munyani,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,muhulwani,kaizeli,munyani,kaizeli,munyani,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,munyani,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,ndole,ndate wa musali,me,ndate yo munyinyani,me,ndate wa musali,me,ndole,ndate yo munyinyani,me,me,ndate yo muhulu,me yomunginyani,ndate wa musali,ndate yo muhulu,me yomunginyani,me yomuhulu,me,me,me yomuhulu,me,ndate wa musali,ndate wa musali,ndate wa musali
9,0.24012380118531795,1.702969863836548,1.46284606265123,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,munyani,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,muhulwani,kaizeli,kaizeli,muhulwani,muhulwani,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,muhulwani,kaizeli,muhulwani,kaizeli,munyani,munyani,kaizeli,muhulwani,muhulwani,munyani,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,kaizeli,munyani,kaizeli,kaizeli,muhulwani,munyani,kaizeli,kaizeli,kaizeli,me,me,ndate wa musali,me,me,me yomunginyani,ndate yo muhulu,ndate wa musali,me yomuhulu,me,ndate wa musali,me,me,ndole,ndate yo muhulu,ndole,ndate yo munyinyani,me,ndate wa musali,ndate wa musali,ndate wa musali,ndate yo munyinyani,me yomunginyani,me yomuhulu
