simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.1151756995278459,1.140352470501135,1.025176770973289,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tutu',mama',tutu',mama',"amah, ambah",tutu',mama',tutu',mama',tutu',"amah, ambah",mama',ineh,ineh,tutu',tutu',tutu',mama',mama',mama'
1,0.09561418694651969,1.1935496040981333,1.0979354171516136,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tutu',ineh,mama',mama',ineh,tutu',mama',mama',tutu',mama',"amah, ambah",tutu',mama',mama',tutu',tutu',tutu',"amah, ambah",tutu',mama'
2,0.05393910350659503,1.2356950957386335,1.1817559922320384,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tata',"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"amah, ambah",mama',"amah, ambah",ineh,tutu',tutu',tutu',mama',tutu',tutu',mama',tutu',tutu',mama',mama',tutu',mama',mama',mama',ineh
3,0.11124185364336303,1.192854958575232,1.081613104931869,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tutu',ineh,tutu',mama',tutu',"amah, ambah",tutu',mama',ineh,mama',mama',tutu',tutu',tutu',mama',mama',mama',mama',"amah, ambah",tutu'
4,0.06167105238703674,1.1935496040981333,1.1318785517110965,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tata',tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,mama',mama',mama',mama',mama',tutu',tutu',tutu',"amah, ambah",tutu',mama',tutu',mama',mama',ineh,"amah, ambah",tutu',ineh,tutu',tutu'
5,0.014122502933917813,1.1907686023357982,1.1766460994018804,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,"ani', andi'","ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tata',"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,mama',tutu',tutu',tutu',tutu',mama',"amah, ambah",ineh,mama',"amah, ambah",mama',mama',tutu',mama',tutu',ineh,tutu',mama',tutu',mama'
6,0.09807286927321068,1.1403524705011352,1.0422796012279245,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'","ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tata',tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,mama',"amah, ambah",tutu',mama',mama',ineh,mama',mama',tutu',tutu',tutu',tutu',tutu',"amah, ambah",mama',tutu',mama',tutu',ineh,mama'
7,0.05889005062470165,1.1907686023357982,1.1318785517110965,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'","ani', andi'",tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tutu',mama',mama',mama',"amah, ambah",ineh,tutu',mama',tutu',mama',tutu',tutu',"amah, ambah",tutu',mama',ineh,tutu',mama',tutu',mama'
8,0.15423806913013594,1.1907686023357982,1.0365305332056622,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'","ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,ineh,"amah, ambah",mama',mama',mama',mama',tutu',mama',tutu',tutu',tutu',tutu',mama',tutu',mama',mama',ineh,"amah, ambah",tutu',tutu'
9,0.055878644421735846,1.1935496040981333,1.1376709596763974,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tata',tuwari,"ani', andi'",tuwari,tuwari,"ani', andi'",tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tata',tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tuwari,tutu',mama',mama',mama',tutu',mama',ineh,tutu',ineh,mama',tutu',"amah, ambah","amah, ambah",mama',mama',tutu',tutu',mama',tutu',tutu'
