simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fMeBS,fMyBS,fFZeS,fFZyS,fMBeS,fMByS,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,0.3321353865651383,1.183873947814816,0.8517385612496776,kogup,kogup,"kogup, nungu waru, nungu goko, evaru, navaru",ninugu,"kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru, navaru",tang,"nungu waru, nungu goko, evaru",kogup,"kogup, nungu waru, nungu goko, evaru",kogup,"kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",kogup,kogup,ninugu,"kogup, nungu waru, nungu goko, evaru",tang,tang,ninugu,"nungu waru, nungu goko, evaru",kogup,"kogup, nungu waru, nungu goko, evaru, navaru",kogup,ninugu,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru",nimugu,tamang,nambangil,nambangil,tamang,tamang,tamang,nimugu,tamang,nambangil,nambangil,nanga,tamang,nanga
1,0.367400668394945,1.3337360272028098,0.9663353588078648,kogup,kogup,"kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru",kogup,kogup,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru",ninugu,"kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru",kogup,tang,ninugu,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru",ninugu,"nungu waru, nungu goko, evaru",kogup,kogup,tang,"kogup, nungu waru, nungu goko, evaru",ninugu,kogup,"nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",tang,nanga,nambangil,nambangil,tamang,nambangil,tamang,nambangil,nanga,tamang,nimugu,tamang,tamang,nimugu,tamang
2,0.1927336275885918,1.2995106904051756,1.1067770628165838,"nungu waru, nungu goko, evaru",kogup,ninugu,kogup,"kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru",tang,"nungu waru, nungu goko, evaru",kogup,"kogup, nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru",kogup,kogup,kogup,kogup,kogup,"kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru",tang,"nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru",ninugu,"kogup, nungu waru, nungu goko, evaru",tang,ninugu,ninugu,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru",kogup,tamang,nanga,nambangil,nanga,nambangil,nimugu,nambangil,tamang,nimugu,tamang,nambangil,tamang,tamang,tamang
3,0.16770951275760726,1.0315837194926705,0.8638742067350632,"kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru",kogup,kogup,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru",kogup,"kogup, nungu waru, nungu goko, evaru",kogup,kogup,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru",tang,"kogup, nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",tang,ninugu,kogup,ninugu,kogup,kogup,ninugu,"kogup, nungu waru, nungu goko, evaru, navaru",ninugu,tang,"nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",tamang,tamang,tamang,nanga,nimugu,tamang,nambangil,nambangil,tamang,nambangil,nimugu,tamang,nambangil,nanga
4,0.4897602599124037,0.9922819748525737,0.5025217149401701,"nungu waru, nungu goko, evaru",kogup,kogup,"kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",ninugu,tang,kogup,tang,"nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru",kogup,ninugu,kogup,kogup,"kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru, navaru",kogup,"nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru",ninugu,ninugu,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru",kogup,"kogup, nungu waru, nungu goko, evaru",tang,"kogup, nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",nambangil,nanga,tamang,tamang,tamang,tamang,tamang,tamang,nambangil,nambangil,nimugu,nimugu,nambangil,nanga
5,0.20332714003449537,1.2943911524754386,1.0910640124409432,"nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",ninugu,kogup,kogup,kogup,ninugu,"nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",tang,"kogup, nungu waru, nungu goko, evaru, navaru",kogup,kogup,"kogup, nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru",kogup,kogup,"kogup, nungu waru, nungu goko, evaru",ninugu,"nungu waru, nungu goko, evaru",tang,"kogup, nungu waru, nungu goko, evaru",tang,kogup,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru",ninugu,"kogup, nungu waru, nungu goko, evaru",nimugu,nanga,tamang,nambangil,nambangil,tamang,tamang,tamang,nimugu,nambangil,nanga,tamang,nambangil,tamang
6,0.28509706899092635,1.197445930168231,0.9123488611773046,tang,"kogup, nungu waru, nungu goko, evaru",kogup,ninugu,"kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",ninugu,tang,"nungu waru, nungu goko, evaru",kogup,kogup,"kogup, nungu waru, nungu goko, evaru, navaru",ninugu,kogup,"kogup, nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",ninugu,"nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",kogup,kogup,"nungu waru, nungu goko, evaru",tang,"kogup, nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru",kogup,kogup,"kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru",kogup,kogup,nambangil,tamang,tamang,nimugu,tamang,tamang,nambangil,nimugu,tamang,nambangil,nambangil,nanga,tamang,nanga
7,0.28770654292558406,1.3181602554389003,1.0304537125133162,"kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",kogup,"kogup, nungu waru, nungu goko, evaru",tang,"kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru",kogup,kogup,kogup,"nungu waru, nungu goko, evaru",kogup,kogup,ninugu,"kogup, nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru",ninugu,ninugu,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru",kogup,"kogup, nungu waru, nungu goko, evaru",tang,"nungu waru, nungu goko, evaru",kogup,kogup,kogup,ninugu,"kogup, nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",tang,tamang,nambangil,nanga,nimugu,nambangil,tamang,tamang,nambangil,tamang,nambangil,nanga,tamang,tamang,nimugu
8,0.09668468546995235,1.0110373360577514,0.914352650587799,kogup,kogup,tang,kogup,"kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru",tang,kogup,ninugu,"nungu waru, nungu goko, evaru",kogup,"kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru",kogup,ninugu,"kogup, nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",ninugu,"nungu waru, nungu goko, evaru",kogup,"kogup, nungu waru, nungu goko, evaru",tang,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru",ninugu,"nungu waru, nungu goko, evaru",kogup,kogup,"nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru",tamang,nambangil,tamang,nanga,nambangil,nimugu,tamang,nanga,nambangil,tamang,nambangil,nimugu,tamang,tamang
9,0.36295846575640056,1.3473080095562247,0.9843495437998241,"kogup, nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru, navaru","kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru",ninugu,"nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",kogup,kogup,kogup,kogup,tang,"kogup, nungu waru, nungu goko, evaru",kogup,"kogup, nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru",kogup,"nungu waru, nungu goko, evaru","kogup, nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru","nungu waru, nungu goko, evaru",tang,"kogup, nungu waru, nungu goko, evaru, navaru","nungu waru, nungu goko, evaru",kogup,"kogup, nungu waru, nungu goko, evaru, navaru",ninugu,"nungu waru, nungu goko, evaru",kogup,kogup,ninugu,"kogup, nungu waru, nungu goko, evaru",ninugu,"kogup, nungu waru, nungu goko, evaru, navaru",tang,tamang,nambangil,nimugu,nanga,nambangil,nanga,nimugu,tamang,nambangil,nambangil,tamang,tamang,tamang,tamang
