simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.0443909749674023,1.034601232910181,0.9902102579427787,"mɛtɛhal, jUnjɛ-","mɛtɛhal, jUnjɛ-","tala, tall, tajɛ-",mɛnɛ- re,"tala-, tajɛ","tala-, tajɛ",mɛnɛ- re,rahɛ-,irni-,rahɛ-,"mløsɔ-, mɔsjU-",rahɛ-,"teta, tema-",irni-,rahɛ-,"teta, tema-",irni-,"mløsɔ-, mɔsjU-","teta, tema-",irni-,"teta, tema-","mløsɔ-, mɔsjU-","mløsɔ-, mɔsjU-",rahɛ-,"teta, tema-","teta, tema-",rahɛ-
1,0.14053932702562122,0.5982695885852573,0.45773026155963603,"tala-, tajɛ","tala-, tajɛ","mɛtɛhal, jUnjɛ-",mɛnɛ- re,mɛnɛ- re,"tala, tall, tajɛ-","mɛtɛhal, jUnjɛ-","teta, tema-","teta, tema-","teta, tema-",rahɛ-,irni-,"mløsɔ-, mɔsjU-",irni-,rahɛ-,"mløsɔ-, mɔsjU-",irni-,"teta, tema-","teta, tema-",rahɛ-,rahɛ-,"mløsɔ-, mɔsjU-","teta, tema-",irni-,rahɛ-,rahɛ-,"mløsɔ-, mɔsjU-"
2,0.242433026555958,1.034601232910181,0.792168206354223,mɛnɛ- re,mɛnɛ- re,"mɛtɛhal, jUnjɛ-","tala-, tajɛ","tala-, tajɛ","mɛtɛhal, jUnjɛ-","tala, tall, tajɛ-","teta, tema-",irni-,"teta, tema-",rahɛ-,rahɛ-,irni-,"mløsɔ-, mɔsjU-",irni-,irni-,rahɛ-,"mløsɔ-, mɔsjU-","mløsɔ-, mɔsjU-",rahɛ-,"teta, tema-","teta, tema-","teta, tema-","teta, tema-",rahɛ-,"mløsɔ-, mɔsjU-",rahɛ-
3,0.242433026555958,1.034601232910181,0.792168206354223,"tala-, tajɛ","tala, tall, tajɛ-","mɛtɛhal, jUnjɛ-",mɛnɛ- re,"tala-, tajɛ",mɛnɛ- re,"mɛtɛhal, jUnjɛ-",irni-,"teta, tema-",rahɛ-,"teta, tema-","mløsɔ-, mɔsjU-","teta, tema-","mløsɔ-, mɔsjU-",rahɛ-,"teta, tema-","mløsɔ-, mɔsjU-",irni-,"teta, tema-",rahɛ-,rahɛ-,irni-,"teta, tema-","mløsɔ-, mɔsjU-",irni-,rahɛ-,rahɛ-
4,0.08878194993480448,0.9799711820833054,0.8911892321485009,"tala-, tajɛ","tala-, tajɛ","tala, tall, tajɛ-",mɛnɛ- re,"mɛtɛhal, jUnjɛ-",mɛnɛ- re,"mɛtɛhal, jUnjɛ-","mløsɔ-, mɔsjU-","teta, tema-",rahɛ-,rahɛ-,irni-,irni-,irni-,rahɛ-,"teta, tema-","teta, tema-",rahɛ-,rahɛ-,"mløsɔ-, mɔsjU-","mløsɔ-, mɔsjU-","teta, tema-","mløsɔ-, mɔsjU-","teta, tema-","teta, tema-",rahɛ-,irni-
5,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,mɛnɛ- re,mɛnɛ- re,"tala-, tajɛ","tala, tall, tajɛ-","mɛtɛhal, jUnjɛ-","mɛtɛhal, jUnjɛ-","tala-, tajɛ",irni-,"teta, tema-",irni-,"teta, tema-","teta, tema-",rahɛ-,"mløsɔ-, mɔsjU-",rahɛ-,irni-,rahɛ-,"mløsɔ-, mɔsjU-",rahɛ-,irni-,"mløsɔ-, mɔsjU-",rahɛ-,"mløsɔ-, mɔsjU-","teta, tema-","teta, tema-",rahɛ-,"teta, tema-"
6,0.34145405235023607,1.0346012329101812,0.6931471805599452,mɛnɛ- re,"mɛtɛhal, jUnjɛ-","tala-, tajɛ",mɛnɛ- re,"tala, tall, tajɛ-","mɛtɛhal, jUnjɛ-","tala-, tajɛ","mløsɔ-, mɔsjU-",rahɛ-,"teta, tema-","mløsɔ-, mɔsjU-",irni-,"teta, tema-",irni-,rahɛ-,rahɛ-,rahɛ-,"mløsɔ-, mɔsjU-",irni-,"mløsɔ-, mɔsjU-","teta, tema-","teta, tema-","teta, tema-",irni-,"teta, tema-",rahɛ-,rahɛ-
7,0.04439097496740252,1.0346012329101812,0.9902102579427787,mɛnɛ- re,"mɛtɛhal, jUnjɛ-","tala, tall, tajɛ-","mɛtɛhal, jUnjɛ-","tala-, tajɛ",mɛnɛ- re,"tala-, tajɛ","mløsɔ-, mɔsjU-",rahɛ-,rahɛ-,irni-,irni-,"mløsɔ-, mɔsjU-","teta, tema-",rahɛ-,"mløsɔ-, mɔsjU-","mløsɔ-, mɔsjU-","teta, tema-",irni-,"teta, tema-","teta, tema-",irni-,rahɛ-,rahɛ-,"teta, tema-","teta, tema-",rahɛ-
8,0.14341200076168037,1.0346012329101812,0.8911892321485009,"mɛtɛhal, jUnjɛ-","tala-, tajɛ","mɛtɛhal, jUnjɛ-","tala, tall, tajɛ-",mɛnɛ- re,"tala-, tajɛ",mɛnɛ- re,irni-,rahɛ-,rahɛ-,"teta, tema-",irni-,"teta, tema-",rahɛ-,"teta, tema-","mløsɔ-, mɔsjU-",rahɛ-,"mløsɔ-, mɔsjU-","mløsɔ-, mɔsjU-","teta, tema-","mløsɔ-, mɔsjU-",irni-,"teta, tema-",rahɛ-,irni-,rahɛ-,"teta, tema-"
9,0.14341200076168037,1.0346012329101812,0.8911892321485009,"tala, tall, tajɛ-","mɛtɛhal, jUnjɛ-","tala-, tajɛ","mɛtɛhal, jUnjɛ-",mɛnɛ- re,"tala-, tajɛ",mɛnɛ- re,"mløsɔ-, mɔsjU-","teta, tema-","teta, tema-",rahɛ-,"teta, tema-","teta, tema-","teta, tema-","mløsɔ-, mɔsjU-","mløsɔ-, mɔsjU-","teta, tema-",irni-,rahɛ-,irni-,rahɛ-,rahɛ-,rahɛ-,rahɛ-,irni-,"mløsɔ-, mɔsjU-",irni-
