simulation_number,mutual_information,entropy,conditional_entropy,mFZS,mFBeS,mFByS,mFBeD,mFByD,mFZeD,mFZyD,fFZS,fFBeS,fFByS,fFBeD,fFByD,fFZeD,fFZyD,mB,mZ,meB,myB,meZ,myZ,mMBD,mFZeS,mFZyS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,fB,fZ,feB,fyB,feZ,fyZ,fMBD,fFZeS,fFZyS,fMZyS,fMBeD,fMByD,fMZeD,mFeZS,mFyZS,mMeBD,mMyBD,fFeZS,fFyZS,fMeBD,fMyBD,mM,mFZ,mMB,mMZ,mFeB,mFyB,fF,fM,fFZ,fMB,fMZ,fFeB,fFyB,mF,mFB,mMeZ,fFB,fMeZ,mFeZ,mFyZ,mMyZ,mMeB,mMyB,fFeZ,fFyZ,fMyZ,fMeB,fMyB
0,0.7114673877957751,1.8958559032014777,1.1843885154057026,machinan,annan,thambi,mathani,machan,thankachi,machinan,machinan,athan,machinan,thambi,mathani,annan,thankachi,akkah,athan,mathani,akkah,koodappirantaval,thambi,machan,mathani,machinan,kaozhunthan,koodappirantavan,athan,athan,akkah,akkah,mathani,thambi,thankachi,thambi,0,koodappirantaval,akkah,annan,mathani,thambi,koodappirantavan,annan,machinan,annan,mathani,machan,thankachi,akkah,0,mathani,periyatha,mama,periayya,periayya,athai,aia,chinnayya,peri amma,mama,amma,periyatha,mama,mama,mama,peri amma,periyatha,periyatha,aia,athai,athai,iya,athai,chinnayya,iya,athai,athai,mama,amma
1,0.8423822650794721,1.8817833026098698,1.0394010375303977,mathani,koodappirantaval,akkah,thambi,mathani,mathani,machinan,machinan,mathani,mathani,machan,thankachi,athan,thambi,akkah,machan,thambi,akkah,0,akkah,thankachi,annan,0,mathani,machinan,thambi,annan,machinan,annan,thankachi,machinan,koodappirantavan,machinan,annan,athan,athan,thambi,thankachi,mathani,annan,koodappirantavan,akkah,mathani,machan,akkah,athan,koodappirantaval,thambi,kaozhunthan,periyatha,peri amma,aia,chinnayya,mama,amma,iya,periyatha,athai,periyatha,amma,mama,mama,periyatha,athai,aia,athai,athai,mama,athai,peri amma,athai,chinnayya,mama,iya,periayya,periayya,mama
2,0.7229620395632739,2.013191535689612,1.2902294961263383,koodappirantavan,mathani,mathani,machan,annan,athan,thambi,koodappirantaval,athan,athan,annan,machinan,akkah,kaozhunthan,machinan,akkah,machinan,mathani,annan,mathani,machinan,mathani,thankachi,annan,0,thankachi,thambi,thankachi,thambi,thambi,machinan,athan,koodappirantavan,thankachi,akkah,annan,machan,akkah,koodappirantaval,machinan,mathani,thambi,mathani,machan,thambi,mathani,0,akkah,akkah,athai,athai,mama,athai,iya,peri amma,periyatha,peri amma,periayya,amma,periayya,aia,mama,aia,periyatha,periyatha,iya,periyatha,amma,mama,mama,athai,mama,athai,mama,chinnayya,athai,chinnayya
3,0.8784352661894137,2.159805010940612,1.2813697447511982,koodappirantavan,machan,machinan,annan,kaozhunthan,machinan,akkah,mathani,akkah,mathani,akkah,mathani,thambi,koodappirantavan,0,thambi,koodappirantaval,athan,machan,annan,mathani,akkah,athan,thankachi,machinan,annan,akkah,mathani,machinan,mathani,thambi,mathani,thankachi,thankachi,thambi,thankachi,machinan,annan,athan,annan,koodappirantaval,mathani,machinan,thambi,thambi,0,machan,athan,akkah,periayya,athai,amma,athai,mama,periyatha,periayya,periyatha,iya,peri amma,peri amma,mama,athai,chinnayya,aia,athai,amma,mama,mama,periyatha,athai,aia,mama,iya,mama,athai,chinnayya,periyatha
4,0.7522994541882642,1.872552013034512,1.1202525588462477,annan,machinan,0,machinan,akkah,akkah,thambi,mathani,thankachi,machan,kaozhunthan,mathani,mathani,koodappirantaval,athan,thambi,akkah,annan,annan,thambi,thankachi,machinan,machinan,athan,akkah,mathani,koodappirantavan,thankachi,thambi,mathani,thambi,akkah,machinan,koodappirantaval,athan,thankachi,akkah,machan,mathani,machinan,annan,machan,mathani,thambi,annan,mathani,athan,koodappirantavan,0,periyatha,peri amma,athai,periyatha,amma,periyatha,mama,athai,mama,mama,chinnayya,periayya,athai,periayya,mama,athai,chinnayya,peri amma,periyatha,athai,iya,mama,athai,amma,aia,aia,iya,mama
5,0.7551407105189545,1.757650846115397,1.0025101355964425,annan,akkah,machinan,akkah,machinan,annan,0,akkah,thankachi,athan,annan,mathani,annan,akkah,machinan,akkah,thambi,thambi,mathani,koodappirantavan,mathani,athan,annan,0,mathani,machinan,mathani,machinan,thambi,mathani,kaozhunthan,koodappirantaval,koodappirantavan,mathani,athan,machinan,thambi,thambi,thankachi,akkah,mathani,machan,thankachi,thambi,athan,machan,thankachi,koodappirantaval,machan,mama,athai,periyatha,athai,periayya,mama,mama,iya,aia,periyatha,periayya,amma,chinnayya,athai,mama,amma,athai,peri amma,peri amma,iya,athai,aia,chinnayya,periyatha,periyatha,mama,mama,athai
6,0.8010578349017383,2.0021279513141854,1.201070116412447,akkah,annan,machinan,mathani,athan,mathani,mathani,machinan,annan,thankachi,akkah,thambi,mathani,kaozhunthan,machan,annan,akkah,akkah,koodappirantavan,0,thambi,annan,thambi,thankachi,machan,mathani,athan,athan,thambi,koodappirantaval,akkah,koodappirantaval,mathani,athan,machan,mathani,machinan,annan,akkah,machinan,thankachi,mathani,machinan,thambi,thankachi,thambi,0,machinan,koodappirantavan,peri amma,aia,iya,athai,periyatha,mama,periyatha,athai,mama,mama,iya,peri amma,athai,mama,chinnayya,periayya,athai,periyatha,mama,athai,athai,aia,mama,amma,amma,periyatha,chinnayya,periayya
7,0.821413765143223,2.0767921557843887,1.2553783906411657,akkah,machan,mathani,annan,kaozhunthan,mathani,machinan,athan,mathani,thankachi,mathani,thambi,machinan,annan,thankachi,thankachi,machinan,thambi,machan,mathani,thambi,0,machinan,akkah,athan,akkah,thambi,athan,akkah,athan,0,machan,koodappirantavan,machinan,koodappirantavan,akkah,akkah,koodappirantaval,annan,mathani,thambi,mathani,annan,machinan,mathani,koodappirantaval,annan,thambi,thankachi,peri amma,iya,periyatha,periyatha,periyatha,iya,mama,periayya,amma,amma,athai,mama,periayya,athai,mama,mama,periyatha,athai,chinnayya,mama,athai,chinnayya,athai,aia,aia,mama,peri amma,athai
8,0.6549726878040003,1.961097689003768,1.3061250011997676,koodappirantavan,thankachi,mathani,machinan,mathani,athan,akkah,athan,thankachi,thankachi,machinan,akkah,athan,0,thambi,akkah,athan,machinan,thambi,mathani,thambi,annan,machan,mathani,kaozhunthan,mathani,annan,0,machan,koodappirantavan,machinan,koodappirantaval,thambi,annan,annan,akkah,thankachi,thambi,mathani,machinan,mathani,thambi,mathani,machinan,machan,akkah,annan,koodappirantaval,akkah,peri amma,chinnayya,aia,periyatha,mama,athai,periayya,athai,mama,mama,periyatha,amma,iya,periayya,athai,iya,athai,periyatha,mama,amma,athai,aia,chinnayya,mama,peri amma,athai,periyatha,mama
9,0.9437746881427544,1.9864495764947605,1.042674888352006,mathani,thambi,akkah,athan,mathani,athan,0,thambi,athan,machinan,thambi,mathani,annan,thankachi,thambi,koodappirantaval,mathani,machinan,machan,mathani,akkah,mathani,athan,machinan,thankachi,koodappirantaval,machinan,machinan,0,akkah,thankachi,annan,thankachi,annan,machan,kaozhunthan,annan,annan,thambi,mathani,machan,mathani,akkah,akkah,koodappirantavan,akkah,koodappirantavan,machinan,thambi,periyatha,athai,periayya,chinnayya,athai,periyatha,iya,chinnayya,periyatha,mama,athai,amma,iya,periyatha,peri amma,athai,athai,mama,mama,mama,mama,mama,aia,peri amma,aia,periayya,amma,athai
