simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.34145405235023585,1.034601232910181,0.6931471805599452,asé,weta,késa,kéla,asé,weta,weta,weta,weta,nara,wina,nara,késa,weta,weta,weta,kéla,nara,kéla,weta,nara,késa,weta,wina,weta,weta,késa,weta,kéla,ka'é,ka'é,weta,weta,nara,wina,wina,weta,asé,iné,inang,inang,amé,amé,iné,to'a,iné,iné,amé,inang,amé,to'a,inang,to'a,amé,iné,to'a,amé,iné
1,0.4101163182884092,1.0789922078775833,0.6688758895891741,weta,késa,nara,ka'é,weta,weta,kéla,wina,nara,weta,ka'é,weta,nara,wina,weta,weta,weta,weta,késa,nara,késa,weta,késa,weta,wina,weta,asé,kéla,kéla,weta,asé,wina,asé,nara,weta,weta,weta,kéla,inang,inang,iné,to'a,amé,amé,to'a,to'a,amé,amé,amé,inang,to'a,iné,iné,amé,iné,inang,iné,iné
2,0.18078686817343348,1.034601232910181,0.8538143647367475,asé,weta,weta,wina,weta,kéla,weta,késa,asé,ka'é,weta,kéla,nara,wina,weta,késa,nara,weta,weta,nara,weta,asé,weta,nara,wina,kéla,kéla,késa,weta,weta,weta,weta,ka'é,nara,weta,weta,késa,wina,iné,inang,iné,to'a,iné,to'a,amé,amé,amé,amé,amé,to'a,iné,inang,iné,amé,inang,inang,iné,to'a
3,0.2868240015233603,1.0789922078775833,0.792168206354223,nara,weta,wina,ka'é,wina,nara,weta,weta,késa,weta,weta,weta,weta,nara,nara,weta,weta,wina,kéla,késa,késa,kéla,weta,asé,weta,ka'é,kéla,nara,késa,weta,weta,weta,wina,kéla,asé,weta,weta,asé,iné,iné,inang,amé,amé,amé,iné,inang,to'a,to'a,inang,amé,amé,amé,to'a,iné,to'a,inang,iné,iné
4,0.24243302655595822,1.0346012329101812,0.792168206354223,ka'é,wina,késa,ka'é,weta,késa,weta,weta,weta,weta,weta,késa,asé,kéla,weta,wina,weta,nara,weta,késa,asé,asé,wina,weta,wina,weta,nara,kéla,nara,nara,nara,kéla,kéla,weta,weta,weta,weta,weta,iné,to'a,to'a,amé,amé,iné,inang,iné,inang,to'a,to'a,iné,amé,iné,iné,amé,amé,inang,amé,inang
5,0.14341200076168026,1.0346012329101812,0.891189232148501,weta,weta,wina,késa,weta,weta,kéla,wina,weta,késa,weta,asé,weta,weta,nara,weta,asé,weta,ka'é,wina,nara,késa,wina,nara,weta,nara,kéla,weta,kéla,nara,kéla,weta,asé,weta,késa,weta,ka'é,weta,inang,amé,iné,amé,amé,inang,iné,amé,iné,to'a,iné,iné,to'a,inang,to'a,inang,iné,amé,amé,to'a
6,0.24243302655595833,1.0346012329101812,0.7921682063542229,weta,weta,késa,ka'é,asé,nara,wina,nara,kéla,weta,weta,wina,ka'é,weta,kéla,késa,weta,nara,weta,weta,kéla,weta,weta,weta,kéla,weta,késa,késa,asé,nara,weta,asé,nara,wina,weta,weta,weta,wina,amé,inang,iné,inang,iné,to'a,amé,iné,inang,iné,amé,iné,to'a,amé,to'a,amé,to'a,inang,amé,iné
7,0.4101163182884091,1.0789922078775833,0.6688758895891742,kéla,késa,wina,wina,weta,késa,wina,weta,weta,nara,kéla,weta,weta,nara,kéla,nara,weta,weta,ka'é,késa,nara,weta,nara,weta,weta,ka'é,weta,asé,kéla,weta,wina,weta,késa,weta,asé,weta,asé,weta,iné,iné,amé,to'a,amé,inang,to'a,inang,inang,iné,amé,iné,iné,to'a,to'a,amé,amé,inang,amé,iné
8,0.10603713334992682,1.0346012329101812,0.9285640995602544,kéla,weta,kéla,weta,nara,weta,asé,weta,wina,késa,weta,késa,kéla,weta,weta,késa,nara,nara,weta,weta,késa,weta,asé,wina,kéla,weta,nara,weta,weta,weta,asé,wina,ka'é,ka'é,nara,weta,wina,weta,iné,to'a,iné,amé,to'a,inang,amé,inang,inang,amé,iné,to'a,iné,iné,amé,inang,amé,iné,amé,to'a
9,0.046462691877197204,0.5982695885852573,0.55180689670806,weta,késa,wina,késa,weta,weta,kéla,weta,weta,weta,wina,asé,wina,weta,weta,kéla,asé,weta,nara,asé,nara,késa,weta,nara,weta,ka'é,kéla,weta,weta,ka'é,weta,wina,weta,késa,nara,kéla,weta,nara,to'a,to'a,to'a,inang,amé,to'a,iné,inang,iné,amé,inang,amé,amé,iné,iné,inang,iné,amé,iné,amé
