simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,feB,fyB,feZ,fyZ,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09804741161825348,1.2707593688665693,1.1727119572483158,shol'o,aka,iza,aka,iza,iza,shӱzhar,iza,shӱzhar,shol'o,iza,shol'o,aka,shӱzhar,iza,aka,aka,aka,shol'o,shol'o,aka,shӱzhar,aka,shӱzhar,iza,shol'o,shӱzhar,aka,shol'o,shӱzhar,shol'o,iza,aka,shol'o,shӱzhar,shol'o,kunai,chӱchӱ,kugyza,kunai,kunai,kugyza,kunai,chӱchӱ,chӱchӱ,kunai,chӱchӱ,ava,kunai,kunai,kugyza,kunai,chӱchӱ,acha,chӱchӱ,kugyza,kugyza,kunai,kunai,kunai,ava,kunai,acha,kugyza
1,0.15744792998669244,1.342013163580896,1.1845652335942036,shol'o,iza,aka,shӱzhar,shol'o,aka,aka,aka,shol'o,shol'o,shol'o,iza,shӱzhar,shӱzhar,aka,shol'o,shӱzhar,shol'o,shol'o,iza,shol'o,aka,shӱzhar,aka,iza,shol'o,aka,iza,shӱzhar,iza,shӱzhar,shӱzhar,aka,iza,iza,aka,kunai,acha,chӱchӱ,kunai,kugyza,ava,chӱchӱ,kunai,kunai,kunai,chӱchӱ,kunai,kunai,kunai,kugyza,kunai,kugyza,kunai,kunai,ava,kugyza,kugyza,kunai,chӱchӱ,chӱchӱ,kugyza,acha,chӱchӱ
2,0.13713587056632104,1.2311058774392512,1.0939700068729301,iza,iza,shӱzhar,shӱzhar,aka,shol'o,shӱzhar,shol'o,shӱzhar,shol'o,aka,aka,shol'o,aka,aka,shol'o,shol'o,shӱzhar,iza,shol'o,aka,shol'o,shӱzhar,aka,shӱzhar,iza,shol'o,aka,shӱzhar,aka,iza,iza,iza,iza,shol'o,aka,kugyza,kunai,chӱchӱ,kunai,kunai,kunai,kunai,chӱchӱ,chӱchӱ,chӱchӱ,kugyza,chӱchӱ,kunai,chӱchӱ,kugyza,ava,kunai,kunai,kunai,acha,ava,kugyza,kugyza,kunai,acha,kunai,kugyza,kunai
3,0.15156388732217407,1.029830425692563,0.8782665383703889,shol'o,aka,aka,iza,shӱzhar,shӱzhar,iza,shӱzhar,iza,iza,aka,shӱzhar,shol'o,shӱzhar,shol'o,aka,shol'o,shol'o,shol'o,aka,shol'o,shӱzhar,iza,shol'o,aka,aka,shol'o,aka,iza,shӱzhar,shӱzhar,shol'o,iza,aka,iza,aka,kugyza,chӱchӱ,kunai,kunai,kunai,kunai,kugyza,kunai,acha,kunai,chӱchӱ,ava,kunai,kugyza,chӱchӱ,kunai,chӱchӱ,kugyza,kunai,kugyza,kunai,chӱchӱ,kunai,acha,ava,kugyza,chӱchӱ,kunai
4,0.33624015768792237,1.3038755293363848,0.9676353716484625,shӱzhar,shӱzhar,shol'o,shol'o,aka,iza,aka,aka,aka,aka,shӱzhar,shol'o,shӱzhar,iza,shӱzhar,aka,iza,shol'o,aka,shӱzhar,shӱzhar,iza,shol'o,iza,shol'o,aka,iza,iza,shol'o,iza,aka,shol'o,shӱzhar,shol'o,shol'o,aka,kunai,acha,ava,ava,chӱchӱ,kunai,chӱchӱ,chӱchӱ,kunai,kunai,chӱchӱ,kugyza,kunai,kugyza,kunai,kunai,kugyza,kunai,kunai,chӱchӱ,kugyza,chӱchӱ,kugyza,kunai,kugyza,kunai,acha,kunai
5,0.2543209523257772,1.3934922018662332,1.139171249540456,iza,iza,aka,shol'o,iza,shol'o,shӱzhar,aka,shӱzhar,aka,aka,aka,shӱzhar,shol'o,shӱzhar,aka,shol'o,iza,iza,shol'o,iza,shol'o,shol'o,aka,shӱzhar,shӱzhar,shol'o,aka,shӱzhar,shӱzhar,shol'o,shol'o,iza,aka,iza,aka,kunai,acha,kunai,kugyza,kunai,chӱchӱ,acha,kugyza,chӱchӱ,kunai,kugyza,kunai,kunai,kunai,chӱchӱ,ava,kunai,kunai,chӱchӱ,ava,kunai,chӱchӱ,kunai,kunai,kugyza,chӱchӱ,kugyza,kugyza
6,0.06469842321539354,1.0480086814483738,0.9833102582329802,shol'o,shӱzhar,iza,aka,iza,shӱzhar,iza,aka,shӱzhar,aka,shol'o,shӱzhar,iza,shӱzhar,shӱzhar,aka,shol'o,shol'o,aka,aka,iza,shol'o,aka,shӱzhar,aka,shol'o,shol'o,iza,aka,iza,shol'o,shӱzhar,aka,shol'o,iza,shol'o,kunai,kugyza,kunai,kunai,chӱchӱ,kunai,ava,chӱchӱ,kugyza,kunai,kunai,kunai,chӱchӱ,acha,kugyza,kugyza,kunai,kunai,chӱchӱ,kugyza,chӱchӱ,kunai,acha,chӱchӱ,kugyza,kunai,kunai,ava
7,0.2567665327653188,1.4108689756406223,1.1541024428753035,shol'o,iza,shol'o,shol'o,shӱzhar,aka,aka,aka,shol'o,aka,iza,shol'o,iza,shӱzhar,shӱzhar,shol'o,aka,iza,iza,aka,iza,shol'o,aka,shol'o,iza,shӱzhar,aka,shol'o,iza,shӱzhar,shӱzhar,shӱzhar,shӱzhar,aka,aka,shol'o,chӱchӱ,kunai,acha,kunai,ava,kugyza,kunai,kunai,kugyza,kunai,kunai,chӱchӱ,kugyza,kugyza,ava,kunai,chӱchӱ,kunai,kunai,acha,kunai,kunai,chӱchӱ,kugyza,chӱchӱ,kunai,chӱchӱ,kugyza
8,0.22304639418680217,1.219439914019273,0.9963935198324709,iza,iza,shӱzhar,aka,shӱzhar,iza,iza,shӱzhar,shol'o,shol'o,aka,shӱzhar,shol'o,shӱzhar,aka,shӱzhar,aka,shol'o,shol'o,aka,iza,shol'o,aka,shol'o,iza,aka,shol'o,iza,shӱzhar,aka,shol'o,iza,shӱzhar,aka,aka,shol'o,kunai,chӱchӱ,kugyza,kugyza,kugyza,kugyza,chӱchӱ,chӱchӱ,kunai,chӱchӱ,kunai,kunai,kunai,chӱchӱ,ava,kugyza,ava,kunai,kunai,kugyza,acha,kunai,chӱchӱ,kunai,kunai,kunai,acha,kunai
9,0.06363953998823502,1.1638767375393364,1.1002371975511014,shӱzhar,shol'o,iza,shӱzhar,shol'o,aka,aka,iza,shӱzhar,aka,shol'o,shol'o,aka,shol'o,aka,iza,shol'o,shӱzhar,iza,shӱzhar,shӱzhar,shol'o,aka,iza,aka,aka,shol'o,aka,shol'o,aka,shӱzhar,iza,shӱzhar,shol'o,iza,iza,kunai,kunai,ava,kunai,chӱchӱ,kunai,chӱchӱ,ava,kunai,kugyza,kugyza,kunai,kunai,kugyza,kugyza,kunai,kugyza,kunai,chӱchӱ,kunai,chӱchӱ,kunai,chӱchӱ,chӱchӱ,kunai,acha,acha,kugyza
