simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.07438859211480398,1.2135652713163756,1.1391766792015716,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,turaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,vivianá,tamaná,'na,vivianá,tamaná,vivianá,vivianá,mátuaná,mátuaná,vivianá,vivianá,'na,mátuaná,mátuaná,mátuaná,mátuaná,vivianá,mátuaná,mátuaná,vivianá
1,0.07042528298596573,1.192854958575232,1.1224296755892662,náuvaná,tasinavaviná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,turaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,'na,mátuaná,vivianá,mátuaná,vivianá,mátuaná,tamaná,mátuaná,mátuaná,vivianá,vivianá,mátuaná,vivianá,vivianá,tamaná,'na,mátuaná,vivianá,mátuaná,vivianá
2,0.01237200154928475,1.1624822949233928,1.150110293374108,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,turaná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,vivianá,mátuaná,tamaná,mátuaná,vivianá,mátuaná,mátuaná,vivianá,mátuaná,mátuaná,'na,vivianá,vivianá,'na,vivianá,mátuaná,mátuaná,vivianá,vivianá,tamaná
3,0.050480022493930354,1.1907686023357982,1.1402885798418678,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,turaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,vivianá,tamaná,mátuaná,mátuaná,vivianá,mátuaná,vivianá,vivianá,'na,tamaná,vivianá,mátuaná,mátuaná,vivianá,vivianá,'na,vivianá,mátuaná,mátuaná,mátuaná
4,0.08053634855769332,1.1403524705011352,1.0598161219434419,tasiná,turaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,mátuaná,mátuaná,vivianá,mátuaná,mátuaná,mátuaná,'na,vivianá,vivianá,'na,vivianá,mátuaná,tamaná,tamaná,vivianá,vivianá,vivianá,mátuaná,mátuaná,vivianá
5,0.039709954828179184,1.1907686023357982,1.151058647507619,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,tasiná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,turaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,mátuaná,mátuaná,vivianá,vivianá,mátuaná,vivianá,vivianá,'na,tamaná,mátuaná,vivianá,tamaná,'na,mátuaná,mátuaná,mátuaná,vivianá,mátuaná,vivianá,vivianá
6,0.03787150084547064,1.192854958575232,1.1549834577297613,náuvaná,náuvaná,turaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,vivianá,vivianá,mátuaná,vivianá,mátuaná,mátuaná,vivianá,mátuaná,vivianá,mátuaná,'na,'na,mátuaná,vivianá,vivianá,vivianá,tamaná,mátuaná,tamaná,mátuaná
7,0.07833497324858207,1.2135652713163756,1.1352302980677935,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,turaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,vivianá,mátuaná,vivianá,'na,vivianá,mátuaná,vivianá,'na,tamaná,mátuaná,vivianá,mátuaná,mátuaná,mátuaná,vivianá,vivianá,mátuaná,tamaná,vivianá,mátuaná
8,0.15772882506117014,1.1907686023357982,1.033039777274628,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,turaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,vivianá,mátuaná,mátuaná,mátuaná,mátuaná,'na,tamaná,mátuaná,vivianá,vivianá,mátuaná,'na,vivianá,vivianá,mátuaná,vivianá,vivianá,vivianá,mátuaná,tamaná
9,0.014122502933917813,1.1396856259428152,1.1255631230088974,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,turaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,tasiná,náuvaná,náuvaná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,mátuaná,tamaná,vivianá,vivianá,mátuaná,vivianá,vivianá,'na,mátuaná,vivianá,vivianá,mátuaná,tamaná,'na,mátuaná,mátuaná,mátuaná,mátuaná,vivianá,vivianá
