simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.03194153382093634,1.0472879586365091,1.0153464248155728,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-ateʔe,le-taʔa,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-asooro,l-ateʔe,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,le-taʔa,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-asooro
1,0.03533650155971535,1.1412131564005432,1.1058766548408279,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-anoʔo,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,l-ateʔe,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-asooro,l-ateʔe,ne-teesḳoʔ,le-taʔa,l-asooro,l-asooro,le-taʔa,ne-teesḳoʔ,l-asooro,l-asooro,l-asooro,l-asooro,ne-teesḳoʔ,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ
2,0.03696417665101792,1.0289547671978303,0.9919905905468124,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,ne-teesḳoʔ,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,l-ateʔe,l-asooro,le-taʔa,l-asooro,ne-teesḳoʔ,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,le-taʔa,ne-teesḳoʔ,l-asooro,l-asooro,ne-teesḳoʔ,l-asooro,l-ateʔe,ne-teesḳoʔ
3,0.03139342048728633,1.0794762220443754,1.048082801557089,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-ateʔe,l-asooro,le-taʔa,ne-teesḳoʔ,l-asooro,l-asooro,le-taʔa,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-asooro,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,l-ateʔe,l-asooro,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ
4,0.015381506208354212,1.133046031918094,1.1176645257097397,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,ne-teesḳoʔ,ne-teesḳoʔ,l-ateʔe,l-asooro,le-taʔa,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-asooro,le-taʔa,l-asooro,l-asooro,l-asooro,l-ateʔe,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,l-asooro,l-asooro,ne-teesḳoʔ,l-asooro
5,0.03148843178065874,1.1174400811009688,1.08595164932031,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-asooro,l-ateʔe,l-asooro,l-ateʔe,ne-teesḳoʔ,l-asooro,le-taʔa,l-asooro,l-asooro,ne-teesḳoʔ,le-taʔa,l-asooro,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ
6,0.0580967964887702,1.0649259573717993,1.006829160883029,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-ateʔe,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,l-asooro,le-taʔa,l-ateʔe,l-asooro,l-asooro,l-asooro,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-asooro,ne-teesḳoʔ,le-taʔa,l-asooro
7,0.06681992776476542,1.0794762220443754,1.01265629427961,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,le-taʔa,ne-teesḳoʔ,l-asooro,l-asooro,ne-teesḳoʔ,l-asooro,l-asooro,l-ateʔe,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-asooro,l-asooro,ne-teesḳoʔ,le-taʔa,ne-teesḳoʔ,ne-teesḳoʔ,l-ateʔe,l-asooro
8,0.06912805866184613,1.16779985634795,1.0986717976861038,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,ne-teesḳoʔ,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,le-taʔa,l-ateʔe,ne-teesḳoʔ,l-ateʔe,ne-teesḳoʔ,l-asooro,l-asooro,ne-teesḳoʔ,l-asooro,l-asooro,l-asooro,le-taʔa
9,0.03526967861828556,1.0476354185777987,1.0123657399595132,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-asooro,l-asooro,l-asooro,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,l-asooro,le-taʔa,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,le-taʔa,l-asooro,ne-teesḳoʔ,ne-teesḳoʔ,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-ateʔe,l-asooro,ne-teesḳoʔ,l-ateʔe,l-asooro
