simulation_number,mutual_information,entropy,conditional_entropy,myB,fyB,fyZ,myZ,meZ,mFBeD,mFByD,mFZeS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZyS,mMZeD,mMZyD,mFZyS,mMZeS,mFBeS,fFBeS,mFByS,fFByS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,fFZeS,fFZyS,feB,meB,feZ,mFeB,mFyB,fFeB,fFyB,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mMeZ,mMyZ,fMeZ,fMyZ,mF,fF,mM,fM
0,0.2386928131105548,1.3862943611198906,1.1476015480093358,ang-a-yuʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,nuʼ-kä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-leʼ-ä,il-lǔngʼ-ä,nu-käʼ-hä,ang-a-yuʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ǎ,naʼ-yǎ,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-leʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,nuʼ-kä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,na-yǎʼ,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,au-ningʼ-ä,il-lungʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,ukʼ-kä,at-chungʼ-ä,ukʼ-kä,ai-yugʼ-gä,ukʼ-kä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ang-ugʼ-gä,at-chungʼ-ä,ukʼ-kä,at-chungʼ-ä,at-chungʼ-ä,ang-ugʼ-gä,ang-ugʼ-gä,ai-yugʼ-gä,ah-nǎʼ-nǎ,ai-yugʼ-gä,ang-ugʼ-gä,ah-nǎʼ-nǎ,ai-yugʼ-gä,"ah-tǎʼ-tǎ, augʼ-o-tǎ"
1,0.4544543674493904,1.3862943611198906,0.9318399936705002,il-loʼ-ä,na-yǎʼ,il-loʼ-ä,il-loʼ-ä,naʼ-yǎ,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ǎ,nuʼ-kä,il-loʼ-ä,il-lungʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-leʼ-ä,ang-a-yuʼ-ä,au-ningʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-leʼ-ä,il-loʼ-ä,il-loʼ-ä,ang-a-yuʼ-ä,nu-käʼ-hä,nuʼ-kä,ang-ugʼ-gä,at-chungʼ-ä,ukʼ-kä,at-chungʼ-ä,ai-yugʼ-gä,ai-yugʼ-gä,ang-ugʼ-gä,ai-yugʼ-gä,ukʼ-kä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",at-chungʼ-ä,ah-nǎʼ-nǎ,ang-ugʼ-gä,ang-ugʼ-gä,at-chungʼ-ä,ukʼ-kä,ai-yugʼ-gä,ukʼ-kä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ah-nǎʼ-nǎ
2,0.17328679513998624,1.0397207708399179,0.8664339756999316,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,nu-käʼ-hä,il-loʼ-ä,au-ningʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,nuʼ-kä,naʼ-yǎ,ang-a-yuʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,na-yǎʼ,il-lǔngʼ-ä,il-leʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lungʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ǎ,il-loʼ-ä,il-leʼ-ä,il-lǔngʼ-ä,nuʼ-kä,ang-a-yuʼ-ä,il-lǔngʼ-ä,ukʼ-kä,at-chungʼ-ä,ai-yugʼ-gä,ai-yugʼ-gä,ang-ugʼ-gä,ang-ugʼ-gä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",at-chungʼ-ä,at-chungʼ-ä,ah-nǎʼ-nǎ,at-chungʼ-ä,ang-ugʼ-gä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ai-yugʼ-gä,ukʼ-kä,ang-ugʼ-gä,ukʼ-kä,ai-yugʼ-gä,ukʼ-kä,ah-nǎʼ-nǎ
3,0.21576155433883581,1.3862943611198906,1.1705328067810548,il-lǔngʼ-ä,nu-käʼ-hä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,ang-a-yuʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-leʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,nuʼ-kä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,au-ningʼ-ä,il-loʼ-ä,il-lǔngʼ-ǎ,il-leʼ-ä,naʼ-yǎ,il-lǔngʼ-ä,ang-a-yuʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lungʼ-ä,il-loʼ-ä,na-yǎʼ,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,nuʼ-kä,il-loʼ-ä,ah-nǎʼ-nǎ,ang-ugʼ-gä,at-chungʼ-ä,ang-ugʼ-gä,ah-nǎʼ-nǎ,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ai-yugʼ-gä,ukʼ-kä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ang-ugʼ-gä,ai-yugʼ-gä,ukʼ-kä,ai-yugʼ-gä,at-chungʼ-ä,ukʼ-kä,at-chungʼ-ä,ang-ugʼ-gä,ai-yugʼ-gä,ukʼ-kä,at-chungʼ-ä
4,0.41197960825054103,1.3862943611198906,0.9743147528693495,il-lǔngʼ-ä,il-loʼ-ä,nuʼ-kä,il-lǔngʼ-ä,il-lǔngʼ-ǎ,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,naʼ-yǎ,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,il-leʼ-ä,il-leʼ-ä,il-loʼ-ä,ang-a-yuʼ-ä,il-lǔngʼ-ä,il-lungʼ-ä,na-yǎʼ,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,nu-käʼ-hä,il-loʼ-ä,il-loʼ-ä,nuʼ-kä,il-lǔngʼ-ä,il-loʼ-ä,au-ningʼ-ä,il-loʼ-ä,il-loʼ-ä,ang-a-yuʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,ai-yugʼ-gä,at-chungʼ-ä,ang-ugʼ-gä,ukʼ-kä,ukʼ-kä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ang-ugʼ-gä,ang-ugʼ-gä,at-chungʼ-ä,at-chungʼ-ä,ang-ugʼ-gä,at-chungʼ-ä,ai-yugʼ-gä,ah-nǎʼ-nǎ,ai-yugʼ-gä,ukʼ-kä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ah-nǎʼ-nǎ,ukʼ-kä,ai-yugʼ-gä
5,0.1078807771694178,1.0397207708399179,0.9318399936705001,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-leʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lungʼ-ä,ang-a-yuʼ-ä,il-loʼ-ä,il-lǔngʼ-ǎ,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,ang-a-yuʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,na-yǎʼ,nuʼ-kä,il-lǔngʼ-ä,il-leʼ-ä,nu-käʼ-hä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,naʼ-yǎ,il-loʼ-ä,il-loʼ-ä,nuʼ-kä,il-loʼ-ä,il-lǔngʼ-ä,au-ningʼ-ä,ukʼ-kä,ai-yugʼ-gä,ukʼ-kä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",at-chungʼ-ä,ang-ugʼ-gä,ang-ugʼ-gä,at-chungʼ-ä,ukʼ-kä,ah-nǎʼ-nǎ,at-chungʼ-ä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ai-yugʼ-gä,ai-yugʼ-gä,ukʼ-kä,at-chungʼ-ä,ah-nǎʼ-nǎ,ai-yugʼ-gä,ang-ugʼ-gä,ang-ugʼ-gä
6,0.11934640655527728,1.0397207708399179,0.9203743642846406,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,nuʼ-kä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,na-yǎʼ,il-loʼ-ä,il-lǔngʼ-ä,il-lungʼ-ä,naʼ-yǎ,il-loʼ-ä,nuʼ-kä,il-leʼ-ä,il-leʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,ang-a-yuʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,ang-a-yuʼ-ä,il-lǔngʼ-ǎ,au-ningʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,nu-käʼ-hä,il-loʼ-ä,ukʼ-kä,ukʼ-kä,ai-yugʼ-gä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ukʼ-kä,at-chungʼ-ä,at-chungʼ-ä,ukʼ-kä,ah-nǎʼ-nǎ,ah-nǎʼ-nǎ,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ai-yugʼ-gä,ang-ugʼ-gä,at-chungʼ-ä,ang-ugʼ-gä,ai-yugʼ-gä,ang-ugʼ-gä,ang-ugʼ-gä,at-chungʼ-ä,ai-yugʼ-gä
7,0.21576155433883581,1.3862943611198906,1.1705328067810548,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-leʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,naʼ-yǎ,ang-a-yuʼ-ä,il-loʼ-ä,il-lǔngʼ-ǎ,il-loʼ-ä,nu-käʼ-hä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,au-ningʼ-ä,il-lǔngʼ-ä,ang-a-yuʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-leʼ-ä,nuʼ-kä,nuʼ-kä,il-lǔngʼ-ä,na-yǎʼ,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lungʼ-ä,il-loʼ-ä,ai-yugʼ-gä,at-chungʼ-ä,ukʼ-kä,ang-ugʼ-gä,ah-nǎʼ-nǎ,ang-ugʼ-gä,ang-ugʼ-gä,ai-yugʼ-gä,at-chungʼ-ä,ah-nǎʼ-nǎ,ai-yugʼ-gä,ukʼ-kä,ang-ugʼ-gä,at-chungʼ-ä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ukʼ-kä,ai-yugʼ-gä,ukʼ-kä,at-chungʼ-ä,"ah-tǎʼ-tǎ, augʼ-o-tǎ"
8,0.21576155433883581,1.3862943611198906,1.1705328067810548,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,na-yǎʼ,il-lungʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,ang-a-yuʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-leʼ-ä,il-loʼ-ä,nuʼ-kä,il-loʼ-ä,il-lǔngʼ-ǎ,il-loʼ-ä,au-ningʼ-ä,il-lǔngʼ-ä,nuʼ-kä,il-loʼ-ä,nu-käʼ-hä,il-loʼ-ä,il-lǔngʼ-ä,naʼ-yǎ,il-lǔngʼ-ä,il-loʼ-ä,ang-a-yuʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,il-leʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,at-chungʼ-ä,ai-yugʼ-gä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ai-yugʼ-gä,at-chungʼ-ä,ukʼ-kä,ang-ugʼ-gä,at-chungʼ-ä,ukʼ-kä,ang-ugʼ-gä,ukʼ-kä,ai-yugʼ-gä,ai-yugʼ-gä,ah-nǎʼ-nǎ,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ang-ugʼ-gä,ukʼ-kä,ah-nǎʼ-nǎ,ang-ugʼ-gä,at-chungʼ-ä
9,0.3465735902799726,1.0397207708399179,0.6931471805599453,nu-käʼ-hä,il-lungʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,ang-a-yuʼ-ä,il-leʼ-ä,naʼ-yǎ,au-ningʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-loʼ-ä,il-leʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,nuʼ-kä,il-lǔngʼ-ä,nuʼ-kä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ǎ,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,ang-a-yuʼ-ä,il-loʼ-ä,na-yǎʼ,at-chungʼ-ä,ah-nǎʼ-nǎ,at-chungʼ-ä,ang-ugʼ-gä,ai-yugʼ-gä,ang-ugʼ-gä,at-chungʼ-ä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",ang-ugʼ-gä,ai-yugʼ-gä,ah-nǎʼ-nǎ,ai-yugʼ-gä,ukʼ-kä,ukʼ-kä,ang-ugʼ-gä,ai-yugʼ-gä,"ah-tǎʼ-tǎ, augʼ-o-tǎ",at-chungʼ-ä,ukʼ-kä,ukʼ-kä
