simulation_number,mutual_information,entropy,conditional_entropy,feB,mFBeS,fFBeS,mFZeS,mFZyS,mMBeS,mMByS,feZ,fFBeD,fMZeD,meZ,mFBeD,mMZeD,fFZeS,fFZyS,fMBeS,fMByS,fyZ,fFByD,fMZyD,myZ,mFByD,mMZyD,myB,mFByS,mMZyS,fMZyS,fyB,fFByS,mFZeD,mFZyD,mMBeD,mMByD,meB,mMZeS,fMByD,fMBeD,fFZyD,fFZeD,mFeZ,mFyZ,fFeZ,fFyZ,mMeZ,mMyZ,fMeZ,fMyZ,mM,fM,mF,fF,mFeB,mFyB,fFeB,fFyB,mMeB,mMyB,fMeB,fMyB
0,0.6931471805599453,1.3862943611198906,0.6931471805599453,täʼ-she,tankʼ-she,me-sunʼ-kä,cheʼ-a,me-sunʼ-ka,she-chaʼ-she,ah-chaʼ-pä-she,tankʼ-she,a-cha-päʼ-zhe,cheʼ-a,me-sunʼ-kä,tibʼ-a-do,täʼ-she,me-tänkʼ-she,täʼ-she,tanʼ-ka,tänʼ-ka,she-chaʼ-she,a-cha-päʼ-she,hä-käʼ-she,me-täuʼ-kä,tibʼ-a-do,me-tänʼ-kä,hä-käʼ-she,täʼ-she,ah-chaʼ-pä-zhe,she-chaʼ-she,me-sunʼ-ka,tankʼ-she,me-tänkʼ-she,tibʼ-a-do,me-tänʼ-kä,hä-käʼ-she,me-tänkʼ-she,me-sunʼ-kä,me-sunʼ-kä,hä-käʼ-she,tanʼ-ka,she-chaʼ-she,ah-taʼ,tonkʼ-wa,ah-taʼ,enʼ-nä,ken-näʼ,ah-taʼ,ah-dikʼ-she,tonkʼ-wa,ken-näʼ,tonkʼ-wa,ah-taʼ,ah-dikʼ-she,ken-näʼ,tonkʼ-wa,ah-dikʼ-she,ah-taʼ,ah-dikʼ-she,ken-näʼ,ah-taʼ,enʼ-nä
1,0.1618211657541267,0.5623351446188083,0.4005139788646816,me-sunʼ-kä,me-tänkʼ-she,tänʼ-ka,ah-chaʼ-pä-zhe,me-tänʼ-kä,hä-käʼ-she,tankʼ-she,tibʼ-a-do,she-chaʼ-she,cheʼ-a,me-sunʼ-kä,hä-käʼ-she,me-täuʼ-kä,tankʼ-she,me-sunʼ-kä,me-sunʼ-kä,tibʼ-a-do,täʼ-she,a-cha-päʼ-she,me-sunʼ-ka,me-tänkʼ-she,a-cha-päʼ-zhe,cheʼ-a,tanʼ-ka,täʼ-she,hä-käʼ-she,me-tänkʼ-she,tankʼ-she,hä-käʼ-she,tanʼ-ka,täʼ-she,me-tänʼ-kä,she-chaʼ-she,ah-chaʼ-pä-she,täʼ-she,she-chaʼ-she,she-chaʼ-she,me-sunʼ-ka,tibʼ-a-do,tonkʼ-wa,ken-näʼ,ah-dikʼ-she,ah-dikʼ-she,enʼ-nä,tonkʼ-wa,ah-taʼ,ken-näʼ,ah-taʼ,ah-taʼ,ah-dikʼ-she,ah-taʼ,tonkʼ-wa,tonkʼ-wa,ken-näʼ,ah-taʼ,ken-näʼ,ah-taʼ,enʼ-nä,ah-dikʼ-she
2,0.6931471805599453,1.3862943611198906,0.6931471805599453,tibʼ-a-do,hä-käʼ-she,tanʼ-ka,me-sunʼ-ka,tibʼ-a-do,tankʼ-she,cheʼ-a,a-cha-päʼ-zhe,me-sunʼ-kä,täʼ-she,me-sunʼ-kä,hä-käʼ-she,täʼ-she,tankʼ-she,me-sunʼ-kä,cheʼ-a,me-tänʼ-kä,tibʼ-a-do,me-sunʼ-ka,she-chaʼ-she,me-tänkʼ-she,she-chaʼ-she,me-sunʼ-kä,ah-chaʼ-pä-zhe,tanʼ-ka,täʼ-she,me-tänkʼ-she,tänʼ-ka,she-chaʼ-she,me-tänkʼ-she,hä-käʼ-she,me-täuʼ-kä,a-cha-päʼ-she,ah-chaʼ-pä-she,me-tänʼ-kä,täʼ-she,hä-käʼ-she,she-chaʼ-she,tankʼ-she,ken-näʼ,tonkʼ-wa,ken-näʼ,ah-dikʼ-she,ken-näʼ,tonkʼ-wa,tonkʼ-wa,enʼ-nä,enʼ-nä,tonkʼ-wa,ah-taʼ,ah-dikʼ-she,ah-dikʼ-she,ah-taʼ,ah-taʼ,ah-dikʼ-she,ah-taʼ,ah-taʼ,ken-näʼ,ah-taʼ
3,0.3465735902799726,1.0397207708399179,0.6931471805599453,a-cha-päʼ-zhe,me-sunʼ-kä,tibʼ-a-do,she-chaʼ-she,tanʼ-ka,me-sunʼ-ka,she-chaʼ-she,me-sunʼ-kä,me-tänʼ-kä,me-tänkʼ-she,me-tänkʼ-she,cheʼ-a,me-tänʼ-kä,me-tänkʼ-she,täʼ-she,ah-chaʼ-pä-she,tankʼ-she,hä-käʼ-she,me-sunʼ-kä,tanʼ-ka,she-chaʼ-she,täʼ-she,täʼ-she,me-täuʼ-kä,hä-käʼ-she,ah-chaʼ-pä-zhe,tänʼ-ka,tibʼ-a-do,me-sunʼ-ka,täʼ-she,me-sunʼ-kä,hä-käʼ-she,a-cha-päʼ-she,tankʼ-she,she-chaʼ-she,tibʼ-a-do,cheʼ-a,hä-käʼ-she,tankʼ-she,tonkʼ-wa,ah-taʼ,tonkʼ-wa,ah-taʼ,ah-dikʼ-she,enʼ-nä,tonkʼ-wa,ah-dikʼ-she,ken-näʼ,ah-taʼ,ah-taʼ,ah-dikʼ-she,ah-taʼ,ah-dikʼ-she,ken-näʼ,ken-näʼ,enʼ-nä,ah-taʼ,tonkʼ-wa,ken-näʼ
4,0.3465735902799726,1.0397207708399179,0.6931471805599453,she-chaʼ-she,täʼ-she,me-sunʼ-kä,cheʼ-a,tibʼ-a-do,she-chaʼ-she,täʼ-she,she-chaʼ-she,me-tänʼ-kä,hä-käʼ-she,tanʼ-ka,she-chaʼ-she,täʼ-she,hä-käʼ-she,me-sunʼ-ka,me-tänkʼ-she,me-tänkʼ-she,tänʼ-ka,me-täuʼ-kä,tankʼ-she,me-sunʼ-kä,me-sunʼ-kä,tankʼ-she,me-sunʼ-ka,hä-käʼ-she,ah-chaʼ-pä-zhe,tibʼ-a-do,hä-käʼ-she,cheʼ-a,me-tänʼ-kä,tankʼ-she,a-cha-päʼ-zhe,ah-chaʼ-pä-she,me-tänkʼ-she,a-cha-päʼ-she,tanʼ-ka,tibʼ-a-do,me-sunʼ-kä,täʼ-she,ah-dikʼ-she,ah-dikʼ-she,ah-taʼ,ah-taʼ,ken-näʼ,ah-taʼ,ah-taʼ,enʼ-nä,ken-näʼ,ah-taʼ,tonkʼ-wa,ken-näʼ,ah-dikʼ-she,ken-näʼ,tonkʼ-wa,ah-taʼ,ah-dikʼ-she,tonkʼ-wa,tonkʼ-wa,enʼ-nä
5,0.6931471805599452,1.0397207708399179,0.34657359027997264,me-sunʼ-kä,tibʼ-a-do,me-tänkʼ-she,tibʼ-a-do,hä-käʼ-she,tankʼ-she,ah-chaʼ-pä-she,me-tänʼ-kä,täʼ-she,täʼ-she,hä-käʼ-she,tibʼ-a-do,me-sunʼ-kä,me-täuʼ-kä,täʼ-she,täʼ-she,me-sunʼ-kä,tankʼ-she,hä-käʼ-she,tankʼ-she,a-cha-päʼ-zhe,tanʼ-ka,me-sunʼ-ka,me-tänkʼ-she,she-chaʼ-she,ah-chaʼ-pä-zhe,cheʼ-a,me-sunʼ-ka,me-tänʼ-kä,cheʼ-a,me-sunʼ-kä,me-tänkʼ-she,she-chaʼ-she,tänʼ-ka,she-chaʼ-she,she-chaʼ-she,a-cha-päʼ-she,hä-käʼ-she,tanʼ-ka,ah-taʼ,ah-dikʼ-she,ah-dikʼ-she,tonkʼ-wa,ah-taʼ,ah-taʼ,tonkʼ-wa,ken-näʼ,ken-näʼ,ah-taʼ,ken-näʼ,tonkʼ-wa,ah-dikʼ-she,enʼ-nä,ah-taʼ,ah-taʼ,ah-dikʼ-she,tonkʼ-wa,enʼ-nä,ken-näʼ
6,0.2599301927099794,1.0397207708399179,0.7797905781299385,hä-käʼ-she,cheʼ-a,me-sunʼ-kä,me-tänʼ-kä,me-täuʼ-kä,hä-käʼ-she,tankʼ-she,ah-chaʼ-pä-zhe,me-sunʼ-ka,me-sunʼ-kä,me-tänkʼ-she,she-chaʼ-she,cheʼ-a,tänʼ-ka,she-chaʼ-she,me-tänʼ-kä,me-tänkʼ-she,hä-käʼ-she,hä-käʼ-she,tankʼ-she,täʼ-she,täʼ-she,täʼ-she,tibʼ-a-do,tanʼ-ka,a-cha-päʼ-she,me-sunʼ-kä,täʼ-she,tankʼ-she,tanʼ-ka,she-chaʼ-she,me-tänkʼ-she,me-sunʼ-ka,ah-chaʼ-pä-she,she-chaʼ-she,me-sunʼ-kä,a-cha-päʼ-zhe,tibʼ-a-do,tibʼ-a-do,ken-näʼ,ah-dikʼ-she,ah-taʼ,ah-taʼ,enʼ-nä,ah-dikʼ-she,tonkʼ-wa,ah-dikʼ-she,ken-näʼ,ken-näʼ,ah-taʼ,tonkʼ-wa,tonkʼ-wa,tonkʼ-wa,ah-dikʼ-she,enʼ-nä,ken-näʼ,ah-taʼ,ah-taʼ,ah-taʼ
7,0.6931471805599453,1.3862943611198906,0.6931471805599453,me-sunʼ-kä,tanʼ-ka,täʼ-she,tibʼ-a-do,she-chaʼ-she,me-tänkʼ-she,she-chaʼ-she,tibʼ-a-do,hä-käʼ-she,me-tänkʼ-she,hä-käʼ-she,ah-chaʼ-pä-zhe,ah-chaʼ-pä-she,she-chaʼ-she,me-sunʼ-kä,tanʼ-ka,tankʼ-she,me-sunʼ-kä,me-tänʼ-kä,me-sunʼ-ka,she-chaʼ-she,me-tänʼ-kä,täʼ-she,täʼ-she,tibʼ-a-do,a-cha-päʼ-she,a-cha-päʼ-zhe,me-täuʼ-kä,cheʼ-a,hä-käʼ-she,me-tänkʼ-she,me-sunʼ-kä,hä-käʼ-she,me-sunʼ-ka,tankʼ-she,cheʼ-a,täʼ-she,tänʼ-ka,tankʼ-she,ken-näʼ,ah-dikʼ-she,tonkʼ-wa,ken-näʼ,ah-taʼ,ah-dikʼ-she,ah-taʼ,ah-taʼ,enʼ-nä,ah-dikʼ-she,ah-taʼ,tonkʼ-wa,ken-näʼ,ken-näʼ,tonkʼ-wa,enʼ-nä,ah-taʼ,ah-taʼ,tonkʼ-wa,ah-dikʼ-she
8,0.2599301927099794,1.0397207708399179,0.7797905781299385,me-tänkʼ-she,hä-käʼ-she,me-tänʼ-kä,she-chaʼ-she,cheʼ-a,tankʼ-she,ah-chaʼ-pä-she,me-täuʼ-kä,she-chaʼ-she,me-sunʼ-kä,täʼ-she,ah-chaʼ-pä-zhe,täʼ-she,hä-käʼ-she,tibʼ-a-do,täʼ-she,she-chaʼ-she,a-cha-päʼ-zhe,täʼ-she,tankʼ-she,tänʼ-ka,a-cha-päʼ-she,tanʼ-ka,me-tänʼ-kä,tankʼ-she,me-sunʼ-kä,cheʼ-a,tibʼ-a-do,tanʼ-ka,me-sunʼ-ka,me-tänkʼ-she,me-sunʼ-kä,hä-käʼ-she,me-tänkʼ-she,tibʼ-a-do,hä-käʼ-she,she-chaʼ-she,me-sunʼ-kä,me-sunʼ-ka,tonkʼ-wa,ken-näʼ,ken-näʼ,ah-taʼ,ah-dikʼ-she,ken-näʼ,ah-taʼ,tonkʼ-wa,ah-dikʼ-she,ken-näʼ,ah-taʼ,ah-dikʼ-she,ah-taʼ,ah-taʼ,enʼ-nä,ah-taʼ,enʼ-nä,tonkʼ-wa,ah-dikʼ-she,tonkʼ-wa
9,0.5198603854199589,1.0397207708399179,0.5198603854199589,me-sunʼ-ka,täʼ-she,me-täuʼ-kä,cheʼ-a,tankʼ-she,me-sunʼ-kä,tanʼ-ka,a-cha-päʼ-zhe,tänʼ-ka,me-sunʼ-ka,me-tänʼ-kä,tibʼ-a-do,tibʼ-a-do,cheʼ-a,me-tänkʼ-she,she-chaʼ-she,me-tänʼ-kä,me-tänkʼ-she,täʼ-she,tankʼ-she,me-sunʼ-kä,me-tänkʼ-she,hä-käʼ-she,she-chaʼ-she,she-chaʼ-she,hä-käʼ-she,ah-chaʼ-pä-zhe,me-sunʼ-kä,tanʼ-ka,tibʼ-a-do,tankʼ-she,täʼ-she,täʼ-she,a-cha-päʼ-she,me-sunʼ-kä,hä-käʼ-she,hä-käʼ-she,she-chaʼ-she,ah-chaʼ-pä-she,ken-näʼ,tonkʼ-wa,ah-dikʼ-she,ah-taʼ,ah-dikʼ-she,ah-dikʼ-she,enʼ-nä,ken-näʼ,tonkʼ-wa,ah-taʼ,enʼ-nä,ah-taʼ,ah-taʼ,ah-taʼ,tonkʼ-wa,ken-näʼ,ah-dikʼ-she,tonkʼ-wa,ah-taʼ,ken-näʼ
