simulation_number,mutual_information,entropy,conditional_entropy,mFBeS,fFBeS,mFByS,fFByS,mMZeS,mMZyS,fMZyS,meZ,feZ,myB,fyB,meB,feB,fyZ,myZ,mFBeD,fFBeD,mFByD,fFByD,mMZeD,fMZeD,mMZyD,fMZyD,mFeZ,mFyZ,fFeZ,fFyZ,fF,mM,fM,mFeB,mFyB,fFeB,fFyB,mF,mMeZ,mMyZ,fMeZ,fMyZ
0,0.3465735902799726,1.0397207708399179,0.6931471805599453,ka-tǎtʼ,ko-ko-wä-malt,ka-tǎtʼ,ko-ko-wä-malt,al-kat-litsh-kilt,ko-ko-wä-malt,katʼ-sha,katʼ-so,al-kat-kitsh-kilt,ko-ko-wä-malt,katʼ-sha,kä-nǎ-nä,ko-ko-wä-malt,ko-ko-wä-malt,ko-ko-wä-malt,al-kat-litsh-kilt,al-kat-litsh-kilt,al-kat-litsh-kilt,al-kat-kitsh-kilt,al-kat-kitsh-kilt,katʼ-so,al-kat-kitsh-kilt,kä-rǎ-nä,nu-pweʼ-ä-tsiu,ka-ko-o'kt,kachʼ-ha,kachʼ-ha,kä-taʼ-to,nu-pweʼ-ä-tsiu,kachʼ-ha,nu-pweʼ-ä-tsiu,ka-ko-o'kt,ka-ko-o'kt,käʼ-to,nu-pweʼ-ä-tsiu,kachʼ-ha,kam-ä,ka-ko-o'kt,kam-ä
1,0.17328679513998624,1.0397207708399179,0.8664339756999316,ko-ko-wä-malt,ko-ko-wä-malt,al-kat-litsh-kilt,al-kat-litsh-kilt,katʼ-sha,kä-rǎ-nä,al-kat-kitsh-kilt,ko-ko-wä-malt,ko-ko-wä-malt,ka-tǎtʼ,ka-tǎtʼ,al-kat-kitsh-kilt,katʼ-sha,katʼ-so,katʼ-so,ko-ko-wä-malt,kä-nǎ-nä,al-kat-kitsh-kilt,ko-ko-wä-malt,al-kat-litsh-kilt,ko-ko-wä-malt,al-kat-kitsh-kilt,al-kat-litsh-kilt,kachʼ-ha,kä-taʼ-to,nu-pweʼ-ä-tsiu,kachʼ-ha,nu-pweʼ-ä-tsiu,kachʼ-ha,nu-pweʼ-ä-tsiu,kachʼ-ha,ka-ko-o'kt,kam-ä,nu-pweʼ-ä-tsiu,ka-ko-o'kt,ka-ko-o'kt,kam-ä,käʼ-to,ka-ko-o'kt
2,0.5198603854199589,1.0397207708399179,0.5198603854199589,al-kat-kitsh-kilt,katʼ-sha,al-kat-litsh-kilt,ko-ko-wä-malt,ko-ko-wä-malt,katʼ-so,ko-ko-wä-malt,kä-rǎ-nä,al-kat-litsh-kilt,al-kat-kitsh-kilt,ka-tǎtʼ,al-kat-kitsh-kilt,ko-ko-wä-malt,kä-nǎ-nä,al-kat-litsh-kilt,ko-ko-wä-malt,al-kat-kitsh-kilt,al-kat-litsh-kilt,ko-ko-wä-malt,katʼ-sha,ka-tǎtʼ,ko-ko-wä-malt,katʼ-so,nu-pweʼ-ä-tsiu,kachʼ-ha,nu-pweʼ-ä-tsiu,ka-ko-o'kt,ka-ko-o'kt,nu-pweʼ-ä-tsiu,kam-ä,kam-ä,kachʼ-ha,kachʼ-ha,kachʼ-ha,nu-pweʼ-ä-tsiu,ka-ko-o'kt,kä-taʼ-to,käʼ-to,ka-ko-o'kt
3,0.1503555363682671,0.5623351446188083,0.4119796082505412,al-kat-litsh-kilt,ko-ko-wä-malt,katʼ-sha,al-kat-kitsh-kilt,ka-tǎtʼ,katʼ-so,al-kat-kitsh-kilt,al-kat-litsh-kilt,kä-rǎ-nä,ko-ko-wä-malt,katʼ-sha,katʼ-so,ko-ko-wä-malt,ko-ko-wä-malt,al-kat-kitsh-kilt,al-kat-litsh-kilt,ko-ko-wä-malt,ko-ko-wä-malt,kä-nǎ-nä,al-kat-kitsh-kilt,ko-ko-wä-malt,ka-tǎtʼ,al-kat-litsh-kilt,kachʼ-ha,ka-ko-o'kt,ka-ko-o'kt,nu-pweʼ-ä-tsiu,kachʼ-ha,kachʼ-ha,ka-ko-o'kt,nu-pweʼ-ä-tsiu,kä-taʼ-to,kam-ä,käʼ-to,kachʼ-ha,nu-pweʼ-ä-tsiu,nu-pweʼ-ä-tsiu,ka-ko-o'kt,kam-ä
4,0.22722718372469508,1.0397207708399179,0.8124935871152228,ko-ko-wä-malt,katʼ-so,kä-nǎ-nä,ka-tǎtʼ,ko-ko-wä-malt,ko-ko-wä-malt,katʼ-sha,katʼ-sha,katʼ-so,ko-ko-wä-malt,kä-rǎ-nä,al-kat-kitsh-kilt,al-kat-litsh-kilt,al-kat-kitsh-kilt,al-kat-kitsh-kilt,ko-ko-wä-malt,al-kat-kitsh-kilt,ko-ko-wä-malt,al-kat-litsh-kilt,al-kat-litsh-kilt,ka-tǎtʼ,ko-ko-wä-malt,al-kat-litsh-kilt,kachʼ-ha,nu-pweʼ-ä-tsiu,kam-ä,kachʼ-ha,ka-ko-o'kt,ka-ko-o'kt,käʼ-to,nu-pweʼ-ä-tsiu,kachʼ-ha,kä-taʼ-to,ka-ko-o'kt,kam-ä,nu-pweʼ-ä-tsiu,kachʼ-ha,nu-pweʼ-ä-tsiu,ka-ko-o'kt
5,0.21576155433883604,1.3862943611198906,1.1705328067810545,ko-ko-wä-malt,ko-ko-wä-malt,katʼ-sha,katʼ-so,al-kat-kitsh-kilt,ko-ko-wä-malt,katʼ-sha,ko-ko-wä-malt,al-kat-litsh-kilt,al-kat-kitsh-kilt,ko-ko-wä-malt,ko-ko-wä-malt,ka-tǎtʼ,al-kat-kitsh-kilt,al-kat-kitsh-kilt,katʼ-so,ka-tǎtʼ,kä-rǎ-nä,al-kat-litsh-kilt,ko-ko-wä-malt,al-kat-litsh-kilt,kä-nǎ-nä,al-kat-litsh-kilt,nu-pweʼ-ä-tsiu,nu-pweʼ-ä-tsiu,käʼ-to,ka-ko-o'kt,kä-taʼ-to,ka-ko-o'kt,kam-ä,kachʼ-ha,kachʼ-ha,ka-ko-o'kt,kam-ä,nu-pweʼ-ä-tsiu,kachʼ-ha,ka-ko-o'kt,kachʼ-ha,nu-pweʼ-ä-tsiu
6,0.1078807771694178,1.0397207708399179,0.9318399936705001,al-kat-litsh-kilt,ka-tǎtʼ,katʼ-sha,kä-nǎ-nä,al-kat-kitsh-kilt,ko-ko-wä-malt,ka-tǎtʼ,ko-ko-wä-malt,ko-ko-wä-malt,al-kat-litsh-kilt,kä-rǎ-nä,al-kat-kitsh-kilt,al-kat-litsh-kilt,al-kat-kitsh-kilt,ko-ko-wä-malt,ko-ko-wä-malt,ko-ko-wä-malt,al-kat-litsh-kilt,ko-ko-wä-malt,katʼ-sha,katʼ-so,katʼ-so,al-kat-kitsh-kilt,kam-ä,nu-pweʼ-ä-tsiu,nu-pweʼ-ä-tsiu,nu-pweʼ-ä-tsiu,nu-pweʼ-ä-tsiu,ka-ko-o'kt,kam-ä,kachʼ-ha,kä-taʼ-to,kachʼ-ha,ka-ko-o'kt,ka-ko-o'kt,käʼ-to,kachʼ-ha,ka-ko-o'kt,kachʼ-ha
7,0.22722718372469508,1.0397207708399179,0.8124935871152228,al-kat-kitsh-kilt,ka-tǎtʼ,ko-ko-wä-malt,al-kat-litsh-kilt,katʼ-sha,ko-ko-wä-malt,ko-ko-wä-malt,ko-ko-wä-malt,ko-ko-wä-malt,kä-rǎ-nä,al-kat-kitsh-kilt,ko-ko-wä-malt,katʼ-so,al-kat-litsh-kilt,ka-tǎtʼ,al-kat-kitsh-kilt,katʼ-sha,al-kat-litsh-kilt,kä-nǎ-nä,katʼ-so,ko-ko-wä-malt,al-kat-kitsh-kilt,al-kat-litsh-kilt,nu-pweʼ-ä-tsiu,ka-ko-o'kt,kam-ä,kachʼ-ha,ka-ko-o'kt,ka-ko-o'kt,nu-pweʼ-ä-tsiu,käʼ-to,nu-pweʼ-ä-tsiu,kachʼ-ha,kä-taʼ-to,kachʼ-ha,kachʼ-ha,nu-pweʼ-ä-tsiu,kam-ä,ka-ko-o'kt
8,0.41197960825054114,0.6931471805599453,0.28116757230940415,katʼ-so,al-kat-litsh-kilt,ko-ko-wä-malt,katʼ-sha,al-kat-kitsh-kilt,ka-tǎtʼ,ko-ko-wä-malt,ko-ko-wä-malt,katʼ-so,ko-ko-wä-malt,kä-rǎ-nä,ka-tǎtʼ,katʼ-sha,ko-ko-wä-malt,ko-ko-wä-malt,al-kat-kitsh-kilt,kä-nǎ-nä,al-kat-litsh-kilt,al-kat-kitsh-kilt,al-kat-litsh-kilt,al-kat-litsh-kilt,al-kat-kitsh-kilt,ko-ko-wä-malt,kachʼ-ha,nu-pweʼ-ä-tsiu,ka-ko-o'kt,ka-ko-o'kt,kachʼ-ha,nu-pweʼ-ä-tsiu,kachʼ-ha,kam-ä,kä-taʼ-to,nu-pweʼ-ä-tsiu,ka-ko-o'kt,nu-pweʼ-ä-tsiu,käʼ-to,kachʼ-ha,ka-ko-o'kt,kam-ä
9,0.08664339756999306,1.0397207708399179,0.9530773732699248,katʼ-sha,al-kat-kitsh-kilt,ko-ko-wä-malt,ko-ko-wä-malt,kä-rǎ-nä,katʼ-so,katʼ-sha,al-kat-litsh-kilt,al-kat-litsh-kilt,katʼ-so,ka-tǎtʼ,ko-ko-wä-malt,al-kat-kitsh-kilt,ko-ko-wä-malt,al-kat-kitsh-kilt,ko-ko-wä-malt,al-kat-litsh-kilt,ka-tǎtʼ,ko-ko-wä-malt,ko-ko-wä-malt,al-kat-kitsh-kilt,al-kat-litsh-kilt,kä-nǎ-nä,kachʼ-ha,nu-pweʼ-ä-tsiu,ka-ko-o'kt,kachʼ-ha,nu-pweʼ-ä-tsiu,kam-ä,ka-ko-o'kt,kachʼ-ha,kam-ä,käʼ-to,ka-ko-o'kt,nu-pweʼ-ä-tsiu,kä-taʼ-to,ka-ko-o'kt,nu-pweʼ-ä-tsiu,kachʼ-ha
