simulation_number,mutual_information,entropy,conditional_entropy,mFZeD,mFZyD,myB,fyB,mFByS,fFByS,mMZyS,fMZyS,mMBeD,fMBeD,mMByD,fMByD,fFZeD,fFZyD,fFZeS,fFZyS,mMBeS,fMBeS,mMByS,fMByS,meB,feB,mFBeS,fFBeS,mMZeS,meZ,feZ,mFBeD,fFBeD,mMZeD,fMZeD,myZ,fyZ,mFByD,fFByD,mMZyD,fMZyD,mFZyS,mFZeS,mF,fF,mFeB,mFyB,fFeB,fFyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ,mMeB,mMyB,fMeB,fMyB,mFeZ,mFyZ,fFeZ,fFyZ
0,0.2272271837246952,1.0397207708399179,0.8124935871152227,nin-däʼ-nä,ne-zheseʼ-sä,neen-gwase-säʼ,ne-sǎ-säʼ,ne-mis-säʼ,ne-mis-säʼ,nin-däʼ-nä,shame-säʼ,se-me-mäʼ,ne-zheseʼ-sä,ne-zheseʼ-sä,ne-mis-säʼ,ne-sǎ-säʼ,ne-sǎ-säʼ,lan̤ʼ-gwä-lesʼ-sä,nin̤-ge-ahʼ,ne-go-se-mäʼ,lan-gwä-lesʼ-sä,ne-go-se-mäʼ,nin̤-ge-ahʼ,se-me-mäʼ,se-me-mäʼ,neen-gwase-säʼ,ne-mis-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-sǎ-säʼ,ne-go-se-mäʼ,se-me-mäʼ,ne-go-se-mäʼ,ne-sǎ-säʼ,ne-mis-säʼ,se-me-mäʼ,shame-säʼ,ne-zheseʼ-sä,ne-go-se-mäʼ,ne-go-se-mäʼ,ne-mis-säʼ,se-me-mäʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,no-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,ne-zheseʼ-sä,no-säʼ,no-säʼ,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,no-säʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,n'-saʼ-gwe-sǎʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,no-säʼ
1,0.4544543674493904,1.0397207708399179,0.5852664033905275,ne-zheseʼ-sä,se-me-mäʼ,nin̤-ge-ahʼ,ne-go-se-mäʼ,ne-mis-säʼ,ne-mis-säʼ,ne-mis-säʼ,nin̤-ge-ahʼ,ne-sǎ-säʼ,neen-gwase-säʼ,ne-go-se-mäʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-mis-säʼ,se-me-mäʼ,ne-go-se-mäʼ,ne-mis-säʼ,shame-säʼ,lan-gwä-lesʼ-sä,ne-mis-säʼ,nin-däʼ-nä,ne-zheseʼ-sä,neen-gwase-säʼ,ne-go-se-mäʼ,lan̤ʼ-gwä-lesʼ-sä,ne-go-se-mäʼ,se-me-mäʼ,ne-sǎ-säʼ,se-me-mäʼ,ne-sǎ-säʼ,se-me-mäʼ,shame-säʼ,ne-go-se-mäʼ,ne-zheseʼ-sä,ne-sǎ-säʼ,se-me-mäʼ,ne-zheseʼ-sä,ne-sǎ-säʼ,nin-däʼ-nä,no-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,no-säʼ,nin̤-ge-ahʼ,no-säʼ,no-säʼ,ne-zheseʼ-sä,ne-zheseʼ-sä,nin̤-ge-ahʼ,no-säʼ,ne-zheseʼ-sä,no-säʼ,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,n'-saʼ-gwe-sǎʼ,n'-saʼ-gwe-sǎʼ
2,0.3465735902799727,1.3862943611198906,1.0397207708399179,ne-zheseʼ-sä,ne-mis-säʼ,ne-zheseʼ-sä,nin-däʼ-nä,nin-däʼ-nä,shame-säʼ,se-me-mäʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-sǎ-säʼ,ne-go-se-mäʼ,ne-sǎ-säʼ,ne-zheseʼ-sä,ne-go-se-mäʼ,ne-go-se-mäʼ,ne-mis-säʼ,neen-gwase-säʼ,ne-mis-säʼ,neen-gwase-säʼ,se-me-mäʼ,lan̤ʼ-gwä-lesʼ-sä,se-me-mäʼ,ne-mis-säʼ,ne-sǎ-säʼ,ne-go-se-mäʼ,se-me-mäʼ,nin̤-ge-ahʼ,ne-mis-säʼ,lan-gwä-lesʼ-sä,shame-säʼ,nin̤-ge-ahʼ,ne-go-se-mäʼ,se-me-mäʼ,se-me-mäʼ,ne-sǎ-säʼ,ne-sǎ-säʼ,ne-mis-säʼ,ne-go-se-mäʼ,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,ne-zheseʼ-sä,no-säʼ,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,no-säʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,ne-zheseʼ-sä,no-säʼ,nin̤-ge-ahʼ,no-säʼ,no-säʼ,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,ne-zheseʼ-sä,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,no-säʼ
3,0.2157615543388356,1.0397207708399179,0.8239592165010823,se-me-mäʼ,nin-däʼ-nä,ne-mis-säʼ,ne-go-se-mäʼ,neen-gwase-säʼ,se-me-mäʼ,se-me-mäʼ,ne-go-se-mäʼ,ne-go-se-mäʼ,ne-sǎ-säʼ,neen-gwase-säʼ,shame-säʼ,ne-zheseʼ-sä,ne-zheseʼ-sä,se-me-mäʼ,shame-säʼ,se-me-mäʼ,ne-sǎ-säʼ,nin̤-ge-ahʼ,lan̤ʼ-gwä-lesʼ-sä,ne-mis-säʼ,ne-go-se-mäʼ,nin-däʼ-nä,ne-mis-säʼ,ne-mis-säʼ,ne-zheseʼ-sä,ne-mis-säʼ,ne-sǎ-säʼ,ne-sǎ-säʼ,ne-mis-säʼ,ne-zheseʼ-sä,ne-go-se-mäʼ,ne-sǎ-säʼ,se-me-mäʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,lan-gwä-lesʼ-sä,nin̤-ge-ahʼ,ne-go-se-mäʼ,ne-zheseʼ-sä,no-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,ne-zheseʼ-sä,n'-saʼ-gwe-sǎʼ,no-säʼ,ne-zheseʼ-sä,no-säʼ,no-säʼ,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,no-säʼ,nin̤-ge-ahʼ,no-säʼ
4,0.3465735902799726,1.0397207708399179,0.6931471805599453,se-me-mäʼ,ne-sǎ-säʼ,ne-sǎ-säʼ,ne-mis-säʼ,neen-gwase-säʼ,ne-go-se-mäʼ,ne-go-se-mäʼ,ne-go-se-mäʼ,se-me-mäʼ,ne-zheseʼ-sä,se-me-mäʼ,se-me-mäʼ,lan-gwä-lesʼ-sä,nin̤-ge-ahʼ,ne-mis-säʼ,se-me-mäʼ,ne-go-se-mäʼ,shame-säʼ,ne-sǎ-säʼ,se-me-mäʼ,nin-däʼ-nä,nin̤-ge-ahʼ,ne-zheseʼ-sä,neen-gwase-säʼ,ne-go-se-mäʼ,ne-zheseʼ-sä,lan̤ʼ-gwä-lesʼ-sä,ne-mis-säʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,ne-go-se-mäʼ,shame-säʼ,ne-mis-säʼ,ne-sǎ-säʼ,ne-mis-säʼ,ne-mis-säʼ,nin-däʼ-nä,nin̤-ge-ahʼ,ne-sǎ-säʼ,no-säʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,n'-saʼ-gwe-sǎʼ,ne-zheseʼ-sä,no-säʼ,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,no-säʼ,no-säʼ,no-säʼ
5,0.3465735902799726,1.0397207708399179,0.6931471805599453,ne-zheseʼ-sä,ne-mis-säʼ,ne-mis-säʼ,shame-säʼ,nin̤-ge-ahʼ,neen-gwase-säʼ,ne-sǎ-säʼ,ne-go-se-mäʼ,ne-go-se-mäʼ,lan̤ʼ-gwä-lesʼ-sä,se-me-mäʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-sǎ-säʼ,ne-sǎ-säʼ,ne-zheseʼ-sä,ne-mis-säʼ,neen-gwase-säʼ,ne-go-se-mäʼ,ne-go-se-mäʼ,se-me-mäʼ,se-me-mäʼ,ne-sǎ-säʼ,ne-zheseʼ-sä,ne-go-se-mäʼ,se-me-mäʼ,ne-sǎ-säʼ,ne-mis-säʼ,nin-däʼ-nä,nin-däʼ-nä,shame-säʼ,ne-zheseʼ-sä,se-me-mäʼ,ne-go-se-mäʼ,ne-mis-säʼ,ne-mis-säʼ,nin̤-ge-ahʼ,lan-gwä-lesʼ-sä,se-me-mäʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,n'-saʼ-gwe-sǎʼ,no-säʼ,ne-zheseʼ-sä,ne-zheseʼ-sä,no-säʼ,ne-zheseʼ-sä,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,no-säʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,no-säʼ,no-säʼ
6,0.2599301927099794,1.0397207708399179,0.7797905781299385,nin̤-ge-ahʼ,ne-go-se-mäʼ,se-me-mäʼ,shame-säʼ,ne-mis-säʼ,neen-gwase-säʼ,shame-säʼ,ne-go-se-mäʼ,ne-go-se-mäʼ,nin̤-ge-ahʼ,nin-däʼ-nä,ne-mis-säʼ,ne-mis-säʼ,se-me-mäʼ,ne-go-se-mäʼ,ne-sǎ-säʼ,ne-mis-säʼ,ne-zheseʼ-sä,ne-zheseʼ-sä,neen-gwase-säʼ,ne-zheseʼ-sä,ne-go-se-mäʼ,nin̤-ge-ahʼ,se-me-mäʼ,ne-zheseʼ-sä,ne-mis-säʼ,se-me-mäʼ,ne-mis-säʼ,nin̤-ge-ahʼ,ne-sǎ-säʼ,ne-sǎ-säʼ,lan̤ʼ-gwä-lesʼ-sä,lan-gwä-lesʼ-sä,ne-sǎ-säʼ,nin-däʼ-nä,se-me-mäʼ,ne-sǎ-säʼ,se-me-mäʼ,ne-go-se-mäʼ,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,no-säʼ,ne-zheseʼ-sä,n'-saʼ-gwe-sǎʼ,no-säʼ,no-säʼ,no-säʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,ne-zheseʼ-sä,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,no-säʼ,nin̤-ge-ahʼ
7,0.2272271837246952,1.0397207708399179,0.8124935871152227,nin̤-ge-ahʼ,ne-go-se-mäʼ,ne-go-se-mäʼ,ne-go-se-mäʼ,shame-säʼ,se-me-mäʼ,se-me-mäʼ,ne-go-se-mäʼ,ne-go-se-mäʼ,ne-sǎ-säʼ,nin̤-ge-ahʼ,ne-sǎ-säʼ,neen-gwase-säʼ,ne-zheseʼ-sä,se-me-mäʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,neen-gwase-säʼ,nin-däʼ-nä,ne-mis-säʼ,ne-go-se-mäʼ,nin̤-ge-ahʼ,shame-säʼ,ne-zheseʼ-sä,se-me-mäʼ,ne-sǎ-säʼ,lan-gwä-lesʼ-sä,ne-mis-säʼ,ne-zheseʼ-sä,ne-sǎ-säʼ,ne-mis-säʼ,nin-däʼ-nä,ne-mis-säʼ,lan̤ʼ-gwä-lesʼ-sä,ne-mis-säʼ,ne-mis-säʼ,ne-sǎ-säʼ,se-me-mäʼ,se-me-mäʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,nin̤-ge-ahʼ,no-säʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,ne-zheseʼ-sä,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,no-säʼ,nin̤-ge-ahʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,ne-zheseʼ-sä,no-säʼ,no-säʼ,ne-zheseʼ-sä,n'-saʼ-gwe-sǎʼ
8,0.6931471805599453,1.3862943611198906,0.6931471805599453,neen-gwase-säʼ,se-me-mäʼ,nin̤-ge-ahʼ,se-me-mäʼ,ne-zheseʼ-sä,ne-go-se-mäʼ,nin̤-ge-ahʼ,ne-mis-säʼ,ne-go-se-mäʼ,ne-zheseʼ-sä,ne-mis-säʼ,ne-sǎ-säʼ,ne-mis-säʼ,ne-zheseʼ-sä,lan-gwä-lesʼ-sä,ne-sǎ-säʼ,ne-sǎ-säʼ,se-me-mäʼ,ne-go-se-mäʼ,ne-go-se-mäʼ,shame-säʼ,ne-sǎ-säʼ,se-me-mäʼ,ne-go-se-mäʼ,lan̤ʼ-gwä-lesʼ-sä,ne-mis-säʼ,nin-däʼ-nä,se-me-mäʼ,ne-zheseʼ-sä,ne-sǎ-säʼ,se-me-mäʼ,ne-mis-säʼ,nin-däʼ-nä,neen-gwase-säʼ,ne-go-se-mäʼ,nin̤-ge-ahʼ,ne-mis-säʼ,shame-säʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,ne-zheseʼ-sä,no-säʼ,nin̤-ge-ahʼ,no-säʼ,nin̤-ge-ahʼ,no-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,no-säʼ,n'-saʼ-gwe-sǎʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,no-säʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä
9,0.5198603854199589,1.3862943611198906,0.8664339756999316,se-me-mäʼ,neen-gwase-säʼ,ne-sǎ-säʼ,nin̤-ge-ahʼ,ne-mis-säʼ,shame-säʼ,nin-däʼ-nä,ne-sǎ-säʼ,nin̤-ge-ahʼ,ne-go-se-mäʼ,neen-gwase-säʼ,ne-mis-säʼ,ne-go-se-mäʼ,ne-mis-säʼ,lan̤ʼ-gwä-lesʼ-sä,ne-sǎ-säʼ,lan-gwä-lesʼ-sä,se-me-mäʼ,se-me-mäʼ,ne-mis-säʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,shame-säʼ,ne-zheseʼ-sä,ne-go-se-mäʼ,nin-däʼ-nä,ne-zheseʼ-sä,ne-mis-säʼ,nin̤-ge-ahʼ,ne-sǎ-säʼ,ne-zheseʼ-sä,ne-sǎ-säʼ,ne-go-se-mäʼ,se-me-mäʼ,ne-go-se-mäʼ,ne-mis-säʼ,ne-go-se-mäʼ,se-me-mäʼ,se-me-mäʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,ne-zheseʼ-sä,no-säʼ,nin̤-ge-ahʼ,no-säʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,no-säʼ,nin̤-ge-ahʼ,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,no-säʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,n'-saʼ-gwe-sǎʼ
