simulation_number,mutual_information,entropy,conditional_entropy,meZ,feZ,mFBeD,fFBeD,fFZeD,fMBeD,mMZeD,fMZeD,mFZeD,mMBeD,meB,feB,mFBeS,fFBeS,mFZeS,fFZeS,mMBeS,fMBeS,mMZeS,fyZ,mFByD,fFByD,fFZyD,mMByD,fMByD,mMZyD,fMZyD,myZ,mFZyD,fFByS,mFByS,myB,fyB,mFZyS,fFZyS,fMByS,mMZyS,fMZyS,mMByS,fF,mMeZ,mMyZ,fMeZ,fMyZ,mM,fM,mFeB,mFyB,fFeB,fFyB,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB
0,0.31825708414740617,1.0986122886681096,0.7803552045207034,n'-chi-gu-numʼ,n'-chi-gu-numʼ,nu-meesʼ,n'-chi-guʼ-num,n'-seesʼ,nu-mees,nu-meesʼ,n'-seesʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-cheʼ-gu-numʼ,n'-seesʼ,n'-kwa-jeech,nu-meesʼ,n'-seesʼ,n'-chi-gu-numʼ,nu-meesʼ,nu-meesʼ,n'-kwa-jeech,n'-chiʼ-guʼ-num,nu-meesʼ,n'-kwa-jeechʼ,n'-kwa-jeechʼ,nu-meesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-chi-gu-numʼ,n'-chi-gu-numʼ,n'-chi-gu-numʼ,nu-meesʼ,nu-mees,n'-seesʼ,n'-seesʼ,n'-kwa-jeechʼ,nǔch,nu-lisʼ,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis,n'-ku-lǎ-mǔkʼ-sis,n'-tus,n'-su-gwisʼ,nu-lisʼ,n'-tus,n'-tus,n'-tus,n'-ku-lǎ-mǔkʼ-sis,nu-lisʼ,nee-cristʼ,n'-su-gwisʼ,nee-cristʼ,n'-ku-lǎ-mǔkʼ-sis,n'-su-gwisʼ,n'-su-gwisʼ
1,0.4054651081081643,1.0986122886681096,0.6931471805599453,n'-chi-guʼ-num,n'-chi-gu-numʼ,n'-kwa-jeechʼ,nu-meesʼ,nu-mees,n'-chi-gu-numʼ,n'-kwa-jeechʼ,nu-meesʼ,n'-kwa-jeechʼ,nu-meesʼ,n'-cheʼ-gu-numʼ,n'-chi-gu-numʼ,n'-chiʼ-guʼ-num,n'-kwa-jeechʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-kwa-jeech,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-chi-gu-numʼ,n'-chi-gu-numʼ,nu-meesʼ,nu-meesʼ,n'-seesʼ,n'-seesʼ,nu-meesʼ,nu-mees,n'-seesʼ,n'-seesʼ,n'-kwa-jeech,n'-kwa-jeechʼ,nu-meesʼ,n'-seesʼ,n'-seesʼ,n'-seesʼ,nu-meesʼ,nu-lisʼ,nu-lisʼ,n'-tus,n'-su-gwisʼ,n'-ku-lǎ-mǔkʼ-sis,nee-cristʼ,n'-ku-lǎ-mǔkʼ-sis,n'-su-gwisʼ,n'-su-gwisʼ,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis,n'-su-gwisʼ,nee-cristʼ,n'-ku-lǎ-mǔkʼ-sis,n'-tus,n'-tus,n'-tus,nu-lisʼ,nǔch
2,0.24633656603446108,1.0986122886681096,0.8522757226336485,nu-meesʼ,n'-seesʼ,nu-meesʼ,n'-kwa-jeechʼ,n'-chiʼ-guʼ-num,n'-seesʼ,nu-meesʼ,n'-kwa-jeechʼ,nu-meesʼ,n'-kwa-jeechʼ,n'-kwa-jeechʼ,n'-chi-guʼ-num,n'-kwa-jeechʼ,n'-seesʼ,n'-chi-gu-numʼ,n'-chi-gu-numʼ,n'-seesʼ,nu-meesʼ,n'-chi-gu-numʼ,nu-meesʼ,n'-chi-gu-numʼ,nu-mees,n'-seesʼ,n'-seesʼ,n'-chi-gu-numʼ,n'-seesʼ,n'-kwa-jeech,n'-chi-gu-numʼ,n'-seesʼ,n'-kwa-jeech,n'-cheʼ-gu-numʼ,nu-meesʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-kwa-jeechʼ,nu-mees,nu-meesʼ,nǔch,n'-ku-lǎ-mǔkʼ-sis,n'-ku-lǎ-mǔkʼ-sis,n'-tus,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis,nu-lisʼ,n'-tus,nu-lisʼ,n'-su-gwisʼ,n'-tus,n'-su-gwisʼ,n'-su-gwisʼ,nee-cristʼ,n'-tus,n'-su-gwisʼ,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis,nee-cristʼ
3,0.31825708414740617,1.0986122886681096,0.7803552045207034,n'-seesʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,nu-meesʼ,n'-seesʼ,nu-meesʼ,n'-chi-gu-numʼ,n'-chi-guʼ-num,n'-chi-gu-numʼ,nu-meesʼ,n'-chiʼ-guʼ-num,nu-mees,nu-meesʼ,n'-chi-gu-numʼ,n'-seesʼ,nu-meesʼ,nu-meesʼ,n'-kwa-jeech,n'-kwa-jeechʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-cheʼ-gu-numʼ,n'-kwa-jeechʼ,n'-kwa-jeech,n'-seesʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-seesʼ,nu-mees,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,nu-meesʼ,nu-meesʼ,n'-chi-gu-numʼ,n'-seesʼ,n'-tus,n'-ku-lǎ-mǔkʼ-sis,n'-su-gwisʼ,n'-ku-lǎ-mǔkʼ-sis,nee-cristʼ,nee-cristʼ,nu-lisʼ,nu-lisʼ,nǔch,n'-ku-lǎ-mǔkʼ-sis,n'-ku-lǎ-mǔkʼ-sis,n'-tus,nu-lisʼ,n'-su-gwisʼ,n'-su-gwisʼ,n'-su-gwisʼ,n'-tus,n'-tus,nu-lisʼ
4,0.47738562622110947,1.0986122886681096,0.6212266624470001,n'-chi-gu-numʼ,n'-kwa-jeechʼ,nu-meesʼ,n'-chi-guʼ-num,n'-cheʼ-gu-numʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-kwa-jeech,nu-meesʼ,nu-mees,n'-seesʼ,n'-chi-gu-numʼ,nu-mees,nu-meesʼ,n'-chi-gu-numʼ,n'-kwa-jeech,nu-meesʼ,n'-seesʼ,n'-chiʼ-guʼ-num,n'-chi-gu-numʼ,nu-meesʼ,n'-chi-gu-numʼ,n'-seesʼ,nu-meesʼ,n'-seesʼ,n'-seesʼ,nu-meesʼ,n'-kwa-jeechʼ,n'-kwa-jeechʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-seesʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,nu-meesʼ,nee-cristʼ,n'-su-gwisʼ,n'-tus,n'-su-gwisʼ,n'-ku-lǎ-mǔkʼ-sis,nu-lisʼ,n'-su-gwisʼ,n'-ku-lǎ-mǔkʼ-sis,nu-lisʼ,nǔch,n'-ku-lǎ-mǔkʼ-sis,nu-lisʼ,n'-tus,nee-cristʼ,n'-ku-lǎ-mǔkʼ-sis,n'-tus,n'-su-gwisʼ,n'-tus,nu-lisʼ
5,0.47738562622110947,1.0986122886681096,0.6212266624470001,nu-mees,n'-chi-gu-numʼ,nu-meesʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,nu-meesʼ,n'-chiʼ-guʼ-num,n'-seesʼ,n'-seesʼ,n'-cheʼ-gu-numʼ,n'-seesʼ,n'-chi-gu-numʼ,nu-meesʼ,nu-meesʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-kwa-jeechʼ,n'-kwa-jeechʼ,nu-mees,n'-chi-gu-numʼ,n'-kwa-jeech,nu-meesʼ,nu-meesʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-seesʼ,nu-meesʼ,n'-seesʼ,n'-chi-gu-numʼ,n'-seesʼ,n'-chi-guʼ-num,n'-kwa-jeechʼ,n'-kwa-jeech,n'-seesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,nu-meesʼ,nu-lisʼ,n'-tus,n'-tus,n'-su-gwisʼ,nu-lisʼ,n'-tus,n'-ku-lǎ-mǔkʼ-sis,n'-tus,nee-cristʼ,nee-cristʼ,n'-su-gwisʼ,nǔch,n'-ku-lǎ-mǔkʼ-sis,n'-ku-lǎ-mǔkʼ-sis,nu-lisʼ,n'-su-gwisʼ,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis,n'-su-gwisʼ
6,0.009519050094316639,0.6365141682948128,0.6269951182004961,n'-seesʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-kwa-jeechʼ,n'-kwa-jeech,n'-chi-gu-numʼ,n'-seesʼ,n'-chi-gu-numʼ,nu-meesʼ,nu-mees,nu-meesʼ,nu-meesʼ,n'-chi-gu-numʼ,n'-chi-gu-numʼ,n'-chiʼ-guʼ-num,n'-seesʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-kwa-jeech,n'-kwa-jeechʼ,n'-seesʼ,nu-meesʼ,n'-cheʼ-gu-numʼ,nu-meesʼ,nu-mees,n'-chi-gu-numʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,nu-meesʼ,n'-seesʼ,n'-kwa-jeechʼ,nu-meesʼ,n'-seesʼ,n'-chi-gu-numʼ,n'-chi-guʼ-num,n'-seesʼ,n'-kwa-jeechʼ,nu-meesʼ,n'-kwa-jeechʼ,n'-tus,n'-su-gwisʼ,nu-lisʼ,nu-lisʼ,nǔch,n'-tus,n'-ku-lǎ-mǔkʼ-sis,n'-tus,n'-su-gwisʼ,nee-cristʼ,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis,n'-tus,n'-su-gwisʼ,n'-ku-lǎ-mǔkʼ-sis,nee-cristʼ,n'-su-gwisʼ,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis
7,0.15912854207370314,0.6365141682948128,0.47738562622110964,n'-chi-gu-numʼ,nu-meesʼ,n'-seesʼ,n'-seesʼ,nu-meesʼ,nu-meesʼ,nu-mees,n'-kwa-jeechʼ,n'-seesʼ,n'-chi-guʼ-num,nu-meesʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-kwa-jeech,n'-chi-gu-numʼ,nu-meesʼ,n'-seesʼ,n'-kwa-jeechʼ,nu-meesʼ,n'-kwa-jeechʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,nu-meesʼ,n'-seesʼ,n'-chi-gu-numʼ,n'-kwa-jeech,n'-kwa-jeechʼ,nu-meesʼ,n'-seesʼ,n'-chi-gu-numʼ,nu-mees,n'-cheʼ-gu-numʼ,n'-seesʼ,n'-chiʼ-guʼ-num,nee-cristʼ,n'-su-gwisʼ,n'-ku-lǎ-mǔkʼ-sis,nu-lisʼ,nǔch,n'-tus,nee-cristʼ,nu-lisʼ,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis,n'-tus,n'-su-gwisʼ,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis,n'-su-gwisʼ,n'-ku-lǎ-mǔkʼ-sis,n'-tus,n'-su-gwisʼ,n'-tus
8,0.03783555622688284,0.6365141682948128,0.5986786120679299,nu-meesʼ,nu-meesʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-seesʼ,n'-cheʼ-gu-numʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,nu-meesʼ,n'-seesʼ,n'-chi-gu-numʼ,n'-seesʼ,nu-meesʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-chi-gu-numʼ,n'-chiʼ-guʼ-num,n'-chi-guʼ-num,nu-meesʼ,n'-kwa-jeechʼ,nu-mees,n'-chi-gu-numʼ,nu-meesʼ,n'-seesʼ,nu-meesʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-seesʼ,n'-seesʼ,nu-mees,n'-kwa-jeech,nu-meesʼ,n'-seesʼ,n'-kwa-jeech,n'-kwa-jeechʼ,n'-kwa-jeechʼ,n'-tus,nee-cristʼ,n'-su-gwisʼ,nu-lisʼ,n'-tus,n'-ku-lǎ-mǔkʼ-sis,n'-ku-lǎ-mǔkʼ-sis,n'-su-gwisʼ,n'-tus,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis,nee-cristʼ,n'-ku-lǎ-mǔkʼ-sis,n'-su-gwisʼ,n'-su-gwisʼ,n'-tus,nǔch,nu-lisʼ,nu-lisʼ
9,0.40546510810816416,1.0986122886681096,0.6931471805599454,n'-kwa-jeechʼ,nu-meesʼ,n'-chi-gu-numʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-seesʼ,n'-chi-gu-numʼ,nu-meesʼ,n'-seesʼ,n'-chi-guʼ-num,n'-kwa-jeechʼ,n'-seesʼ,n'-seesʼ,nu-meesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,n'-seesʼ,n'-kwa-jeech,nu-meesʼ,n'-seesʼ,n'-seesʼ,n'-chi-gu-numʼ,n'-chiʼ-guʼ-num,n'-kwa-jeech,nu-mees,nu-mees,nu-meesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,n'-cheʼ-gu-numʼ,nu-meesʼ,n'-chi-gu-numʼ,nu-meesʼ,n'-kwa-jeechʼ,n'-seesʼ,nu-meesʼ,n'-tus,n'-tus,nǔch,nu-lisʼ,n'-su-gwisʼ,n'-ku-lǎ-mǔkʼ-sis,n'-su-gwisʼ,nu-lisʼ,nu-lisʼ,n'-tus,n'-su-gwisʼ,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis,nee-cristʼ,n'-su-gwisʼ,n'-ku-lǎ-mǔkʼ-sis,n'-ku-lǎ-mǔkʼ-sis,nee-cristʼ,n'-tus
