simulation_number,mutual_information,entropy,conditional_entropy,fFZeS,fFZyS,mMBeD,fMBeD,mMByD,fMByD,fFZeD,fFZyD,mMBeS,fMBeS,mMByS,fMByS,mFZeD,mFZyD,mFByS,fFByS,mFByD,fFByD,mMZyS,mMZyD,myB,fyB,myZ,fyZ,fMZyS,fMZyD,meB,feB,mFBeS,fFBeS,mMZeS,meZ,feZ,mFBeD,fFBeD,mMZeD,fMZeD,mFZeS,mFZyS,mF,fF,mFeB,mFyB,fFeB,fFyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ,mMeB,mMyB,fMeB,fMyB,mFeZ,mFyZ,fFeZ,fFyZ
0,0.6931471805599453,1.3862943611198906,0.6931471805599453,ne-lǎʼ-gwä-la-säʼ,ne-sheʼ-mä,ne-she-mäʼ,ne-zheʼ-sä,nin̤-gwa-säʼ,ne-sheʼ-mis-säʼ,ne-sanʼ-zä,ne-she-mäʼ,ne-lǎʼ-gwä-la-säʼ,ne-sanʼ-zä,ne-sheʼ-mä,ne-zheʼ-sä,ne-she-mäʼ,ne-sheʼ-mä,ne-mis-säʼ,ne-mis-säʼ,ne-she-mäʼ,nin-däʼ-nä,ne-sanʼ-zä,ne-mis-säʼ,nin̤-ge-ahʼ,ne-she-mäʼ,ne-zheʼ-sä,ne-mis-säʼ,nin̤-gwa-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-mis-säʼ,nin̤-ge-ahʼ,ne-sheʼ-mä,ne-zheʼ-sä,ne-sheʼ-mis-säʼ,ne-sanʼ-zä,ne-she-mäʼ,ne-sheʼ-mä,ne-sheʼ-mä,nin-däʼ-nä,ne-misʼ-säʼ,ne-sanʼ-zä,ne-zheʼ-sä,no-säʼ,no-säʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,nin̤-ge-ahʼ,no-säʼ,ne-zheʼ-sä,no-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,no-säʼ,ne-zaʼ-gos-säʼ,no-säʼ
1,0.17328679513998624,1.0397207708399179,0.8664339756999316,ne-mis-säʼ,ne-lǎʼ-gwä-la-säʼ,ne-sanʼ-zä,nin̤-ge-ahʼ,ne-zheʼ-sä,ne-sheʼ-mä,ne-she-mäʼ,ne-she-mäʼ,ne-sheʼ-mä,ne-sheʼ-mä,ne-lǎʼ-gwä-la-säʼ,ne-sheʼ-mä,ne-she-mäʼ,nin̤-gwa-säʼ,nin̤-gwa-säʼ,ne-zheʼ-sä,ne-sheʼ-mä,ne-mis-säʼ,ne-she-mäʼ,nin-däʼ-nä,nin-däʼ-nä,ne-sanʼ-zä,ne-sheʼ-mis-säʼ,ne-she-mäʼ,ne-sanʼ-zä,nin̤-ge-ahʼ,ne-sanʼ-zä,ne-mis-säʼ,ne-sheʼ-mä,ne-misʼ-säʼ,ne-mis-säʼ,ne-mis-säʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-she-mäʼ,ne-zheʼ-sä,ne-sanʼ-zä,ne-sheʼ-mis-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,no-säʼ,ne-zaʼ-gos-säʼ,ne-zaʼ-gos-säʼ,no-säʼ,ne-zheʼ-sä,ne-zheʼ-sä,no-säʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,no-säʼ,ne-zheʼ-sä,no-säʼ,no-säʼ,ne-zheʼ-sä
2,0.5198603854199589,1.3862943611198906,0.8664339756999316,ne-zheʼ-sä,nin̤-gwa-säʼ,nin-däʼ-nä,ne-sheʼ-mä,ne-sanʼ-zä,ne-sheʼ-mä,ne-she-mäʼ,nin-däʼ-nä,ne-sheʼ-mä,ne-sheʼ-mä,ne-she-mäʼ,ne-mis-säʼ,ne-she-mäʼ,ne-lǎʼ-gwä-la-säʼ,ne-mis-säʼ,ne-mis-säʼ,ne-sheʼ-mä,ne-sanʼ-zä,ne-she-mäʼ,ne-sheʼ-mis-säʼ,ne-sanʼ-zä,nin̤-ge-ahʼ,ne-sheʼ-mä,ne-zheʼ-sä,ne-mis-säʼ,ne-sanʼ-zä,ne-she-mäʼ,ne-she-mäʼ,ne-zheʼ-sä,ne-mis-säʼ,ne-sheʼ-mis-säʼ,ne-misʼ-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,ne-lǎʼ-gwä-la-säʼ,ne-sanʼ-zä,nin̤-gwa-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,no-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,no-säʼ,ne-zaʼ-gos-säʼ,no-säʼ,ne-zheʼ-sä,no-säʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,no-säʼ,no-säʼ,ne-zheʼ-sä
3,0.1449101279698241,0.5623351446188083,0.4174250166489842,ne-mis-säʼ,ne-sheʼ-mä,nin̤-ge-ahʼ,ne-mis-säʼ,nin̤-gwa-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,nin-däʼ-nä,ne-sheʼ-mä,ne-sheʼ-mä,ne-lǎʼ-gwä-la-säʼ,nin̤-gwa-säʼ,ne-sanʼ-zä,ne-sheʼ-mis-säʼ,ne-sanʼ-zä,ne-mis-säʼ,ne-zheʼ-sä,ne-she-mäʼ,ne-sanʼ-zä,ne-sheʼ-mis-säʼ,ne-she-mäʼ,ne-mis-säʼ,ne-she-mäʼ,ne-sheʼ-mä,ne-misʼ-säʼ,nin-däʼ-nä,ne-zheʼ-sä,ne-she-mäʼ,ne-sanʼ-zä,ne-lǎʼ-gwä-la-säʼ,ne-mis-säʼ,ne-she-mäʼ,nin̤-ge-ahʼ,ne-sheʼ-mä,ne-sanʼ-zä,ne-sheʼ-mä,ne-zheʼ-sä,nin̤-ge-ahʼ,ne-she-mäʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,ne-zaʼ-gos-säʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,no-säʼ,ne-zaʼ-gos-säʼ,ne-zaʼ-gos-säʼ,no-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,ne-zheʼ-sä,nin̤-ge-ahʼ,no-säʼ,no-säʼ,no-säʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,no-säʼ,nin̤-ge-ahʼ
4,0.17328679513998624,1.0397207708399179,0.8664339756999316,ne-sheʼ-mis-säʼ,nin̤-ge-ahʼ,ne-sheʼ-mä,ne-she-mäʼ,ne-sanʼ-zä,ne-sanʼ-zä,ne-zheʼ-sä,ne-she-mäʼ,ne-sheʼ-mä,ne-sheʼ-mis-säʼ,ne-lǎʼ-gwä-la-säʼ,nin̤-ge-ahʼ,nin̤-gwa-säʼ,ne-mis-säʼ,nin̤-gwa-säʼ,ne-sanʼ-zä,ne-she-mäʼ,ne-she-mäʼ,nin-däʼ-nä,ne-misʼ-säʼ,ne-mis-säʼ,ne-she-mäʼ,ne-zheʼ-sä,ne-mis-säʼ,ne-zheʼ-sä,ne-mis-säʼ,nin̤-ge-ahʼ,ne-she-mäʼ,ne-sheʼ-mä,ne-sheʼ-mä,ne-lǎʼ-gwä-la-säʼ,ne-sheʼ-mä,ne-zheʼ-sä,nin-däʼ-nä,nin̤-ge-ahʼ,ne-sheʼ-mä,ne-mis-säʼ,ne-sanʼ-zä,ne-sanʼ-zä,ne-zheʼ-sä,no-säʼ,no-säʼ,no-säʼ,no-säʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,no-säʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,ne-zaʼ-gos-säʼ,no-säʼ,nin̤-ge-ahʼ
5,0.28116757230940403,1.0397207708399179,0.7585531985305138,nin̤-gwa-säʼ,ne-sanʼ-zä,ne-mis-säʼ,nin̤-ge-ahʼ,ne-sanʼ-zä,ne-she-mäʼ,nin̤-ge-ahʼ,ne-she-mäʼ,ne-lǎʼ-gwä-la-säʼ,ne-mis-säʼ,ne-sheʼ-mis-säʼ,ne-mis-säʼ,ne-lǎʼ-gwä-la-säʼ,ne-zheʼ-sä,ne-mis-säʼ,nin-däʼ-nä,nin̤-ge-ahʼ,ne-she-mäʼ,ne-sanʼ-zä,ne-misʼ-säʼ,nin-däʼ-nä,ne-she-mäʼ,ne-sheʼ-mä,ne-she-mäʼ,ne-sheʼ-mis-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,ne-zheʼ-sä,nin̤-gwa-säʼ,ne-zheʼ-sä,ne-sheʼ-mä,ne-sheʼ-mä,ne-sheʼ-mä,ne-she-mäʼ,ne-sanʼ-zä,ne-sheʼ-mä,ne-sheʼ-mä,ne-mis-säʼ,ne-sanʼ-zä,no-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,ne-zheʼ-sä,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,no-säʼ,no-säʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,no-säʼ,nin̤-ge-ahʼ,no-säʼ,no-säʼ,ne-zheʼ-sä
6,0.16182116575412675,0.5623351446188083,0.40051397886468154,nin̤-gwa-säʼ,ne-sheʼ-mä,ne-mis-säʼ,ne-sanʼ-zä,ne-mis-säʼ,ne-lǎʼ-gwä-la-säʼ,nin-däʼ-nä,ne-sanʼ-zä,ne-zheʼ-sä,nin-däʼ-nä,ne-zheʼ-sä,ne-lǎʼ-gwä-la-säʼ,ne-sanʼ-zä,ne-mis-säʼ,ne-misʼ-säʼ,ne-sheʼ-mis-säʼ,ne-sheʼ-mä,ne-she-mäʼ,ne-she-mäʼ,ne-sheʼ-mä,nin̤-gwa-säʼ,ne-she-mäʼ,ne-mis-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,ne-sanʼ-zä,ne-zheʼ-sä,ne-sheʼ-mä,nin̤-ge-ahʼ,ne-she-mäʼ,nin̤-ge-ahʼ,ne-sheʼ-mä,ne-sheʼ-mä,ne-sheʼ-mis-säʼ,ne-mis-säʼ,ne-sanʼ-zä,ne-she-mäʼ,ne-she-mäʼ,no-säʼ,no-säʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,no-säʼ,ne-zaʼ-gos-säʼ,ne-zheʼ-sä,ne-zheʼ-sä,no-säʼ,no-säʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,ne-zaʼ-gos-säʼ,no-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ
7,0.5198603854199589,1.3862943611198906,0.8664339756999316,ne-sheʼ-mä,ne-zheʼ-sä,ne-she-mäʼ,ne-sheʼ-mis-säʼ,ne-sheʼ-mä,ne-mis-säʼ,ne-zheʼ-sä,ne-sheʼ-mä,ne-sheʼ-mä,ne-she-mäʼ,ne-she-mäʼ,ne-zheʼ-sä,ne-mis-säʼ,nin̤-ge-ahʼ,ne-misʼ-säʼ,ne-mis-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-sanʼ-zä,nin̤-ge-ahʼ,ne-sanʼ-zä,ne-mis-säʼ,ne-sheʼ-mä,ne-sheʼ-mä,nin̤-gwa-säʼ,ne-sanʼ-zä,ne-sanʼ-zä,ne-zheʼ-sä,nin-däʼ-nä,ne-she-mäʼ,ne-sheʼ-mis-säʼ,ne-she-mäʼ,nin-däʼ-nä,ne-she-mäʼ,ne-lǎʼ-gwä-la-säʼ,nin̤-gwa-säʼ,ne-sanʼ-zä,ne-lǎʼ-gwä-la-säʼ,ne-mis-säʼ,ne-zheʼ-sä,no-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,no-säʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,ne-zheʼ-sä,no-säʼ,ne-zaʼ-gos-säʼ,no-säʼ,nin̤-ge-ahʼ,no-säʼ,ne-zaʼ-gos-säʼ,no-säʼ,ne-zheʼ-sä
8,0.3465735902799726,1.0397207708399179,0.6931471805599453,ne-she-mäʼ,ne-sanʼ-zä,ne-sheʼ-mis-säʼ,ne-sheʼ-mä,ne-she-mäʼ,ne-sheʼ-mä,ne-sanʼ-zä,ne-she-mäʼ,nin̤-ge-ahʼ,ne-sheʼ-mä,ne-sheʼ-mä,ne-she-mäʼ,ne-she-mäʼ,nin-däʼ-nä,ne-mis-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,ne-sheʼ-mis-säʼ,ne-sanʼ-zä,nin̤-gwa-säʼ,ne-mis-säʼ,ne-sanʼ-zä,ne-lǎʼ-gwä-la-säʼ,ne-misʼ-säʼ,nin̤-ge-ahʼ,ne-sheʼ-mä,ne-zheʼ-sä,ne-sanʼ-zä,ne-zheʼ-sä,ne-mis-säʼ,nin̤-ge-ahʼ,ne-mis-säʼ,nin-däʼ-nä,nin̤-gwa-säʼ,ne-mis-säʼ,ne-lǎʼ-gwä-la-säʼ,ne-sheʼ-mä,ne-zheʼ-sä,ne-she-mäʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,no-säʼ,ne-zaʼ-gos-säʼ,no-säʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,no-säʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,no-säʼ,no-säʼ,ne-zheʼ-sä,no-säʼ,ne-zheʼ-sä,nin̤-ge-ahʼ
9,0.2599301927099794,1.0397207708399179,0.7797905781299385,ne-mis-säʼ,ne-she-mäʼ,ne-mis-säʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,ne-lǎʼ-gwä-la-säʼ,ne-sheʼ-mä,ne-sheʼ-mis-säʼ,ne-lǎʼ-gwä-la-säʼ,nin-däʼ-nä,ne-sheʼ-mä,nin-däʼ-nä,ne-she-mäʼ,ne-mis-säʼ,ne-sheʼ-mä,ne-sanʼ-zä,ne-misʼ-säʼ,ne-zheʼ-sä,ne-sheʼ-mä,ne-sanʼ-zä,ne-sanʼ-zä,ne-she-mäʼ,ne-sheʼ-mä,nin̤-gwa-säʼ,nin̤-ge-ahʼ,ne-she-mäʼ,ne-she-mäʼ,ne-sheʼ-mis-säʼ,ne-sanʼ-zä,nin̤-ge-ahʼ,ne-sheʼ-mä,ne-zheʼ-sä,ne-mis-säʼ,ne-sanʼ-zä,nin̤-gwa-säʼ,ne-mis-säʼ,ne-she-mäʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,ne-zheʼ-sä,ne-zaʼ-gos-säʼ,no-säʼ,nin̤-ge-ahʼ,no-säʼ,no-säʼ,ne-zaʼ-gos-säʼ,no-säʼ,nin̤-ge-ahʼ,nin̤-ge-ahʼ,no-säʼ,ne-zheʼ-sä,ne-zheʼ-sä,nin̤-ge-ahʼ,nin̤-ge-ahʼ,ne-zaʼ-gos-säʼ,nin̤-ge-ahʼ,no-säʼ,ne-zheʼ-sä,ne-zaʼ-gos-säʼ
