simulation_number,mutual_information,entropy,conditional_entropy,mFZeD,fyB,myB,mFBeS,fFBeS,fFByS,mMZeS,fFZeS,mFBeD,mFByS,mFZeS,mMBeS,fFZyD,fFByD,fFZeD,fFBeD,feB,myZ,fyZ,meZ,feZ,meB,mFeB,mFyB,fFeB,fFyB,mMeB,mMyB,fMeB,fMyB,mFeZ,mFyZ,mMeZ,mMyZ,fMeZ,fMyZ,fM,fFeZ,fFyZ,fF,mF,mM
0,0.6931471805599453,1.3862943611198906,0.6931471805599453,is-se-lachtʼ,is-sisʼ-sin-sä,is-see-se-mǎm,in-chitʼ-sha,in-tchitʼ-chä-opesʼ,eu'l-kähkʼ-tsä,is-sin-kwa-seehwʼ,is-sinʼ-sä,in-tchit-cha-opesʼ,is-sin-kwu-seehw',in-chit-sha,is-sin-kwu-seehw',en-katsʼ-tch',en'l-chitʼ-shä,is-sin-kwu-seehw',en'l-tsitsʼ-ǎ-opesʼ,is-soo-se-mǎm,is-sin-kwu-seehw',"is-se-lacht, is-sin-kwa-seehwʼ",en'l-tsitsʼ-ǎ-opesʼ,"is-lacht, sin-koo-sǎʼ-hu",en'l-chitʼ-shä,is-sǎʼ,e-skoʼ-i,en-le-ǎʼ-u,en-tomeʼ,is-se-mǎlt,is-se-mǎlt,is-sǎʼ,in-kachʼ-ha,en-teeʼ-kwl,in-kachʼ-ha,in-kachʼ-ha,is-sǎʼ,in-kachʼ-ha,in-kachʼ-ha,en-ne-mesʼ-tum,is-se-mǎlt,is-se-mǎlt,in-kachʼ-ha,en-teeʼ-kwl,is-sǎʼ
1,0.6931471805599452,1.0397207708399179,0.34657359027997264,en'l-tsitsʼ-ǎ-opesʼ,eu'l-kähkʼ-tsä,is-sin-kwa-seehwʼ,is-sin-kwu-seehw',is-sinʼ-sä,is-sin-kwu-seehw',en'l-chitʼ-shä,en-katsʼ-tch',is-sisʼ-sin-sä,en'l-chitʼ-shä,is-soo-se-mǎm,"is-lacht, sin-koo-sǎʼ-hu",is-sin-kwu-seehw',en'l-tsitsʼ-ǎ-opesʼ,"is-se-lacht, is-sin-kwa-seehwʼ",is-sin-kwu-seehw',is-se-lachtʼ,in-chit-sha,in-tchitʼ-chä-opesʼ,is-see-se-mǎm,in-chitʼ-sha,in-tchit-cha-opesʼ,en-teeʼ-kwl,in-kachʼ-ha,en-le-ǎʼ-u,e-skoʼ-i,is-sǎʼ,is-se-mǎlt,in-kachʼ-ha,is-se-mǎlt,in-kachʼ-ha,is-sǎʼ,is-se-mǎlt,is-se-mǎlt,in-kachʼ-ha,en-teeʼ-kwl,en-tomeʼ,is-sǎʼ,en-ne-mesʼ-tum,is-sǎʼ,in-kachʼ-ha,in-kachʼ-ha
2,0.3465735902799726,1.0397207708399179,0.6931471805599453,en'l-chitʼ-shä,en'l-tsitsʼ-ǎ-opesʼ,is-sinʼ-sä,in-chitʼ-sha,en'l-tsitsʼ-ǎ-opesʼ,is-sisʼ-sin-sä,is-sin-kwa-seehwʼ,is-see-se-mǎm,en'l-chitʼ-shä,is-sin-kwu-seehw',in-tchitʼ-chä-opesʼ,en-katsʼ-tch',eu'l-kähkʼ-tsä,is-sin-kwu-seehw',is-sin-kwu-seehw',"is-lacht, sin-koo-sǎʼ-hu",is-soo-se-mǎm,in-tchit-cha-opesʼ,is-se-lachtʼ,in-chit-sha,"is-se-lacht, is-sin-kwa-seehwʼ",is-sin-kwu-seehw',is-se-mǎlt,is-se-mǎlt,e-skoʼ-i,en-le-ǎʼ-u,in-kachʼ-ha,is-sǎʼ,in-kachʼ-ha,in-kachʼ-ha,is-se-mǎlt,in-kachʼ-ha,en-teeʼ-kwl,en-tomeʼ,en-teeʼ-kwl,en-ne-mesʼ-tum,is-sǎʼ,is-sǎʼ,in-kachʼ-ha,in-kachʼ-ha,is-se-mǎlt,is-sǎʼ
3,0.6931471805599452,1.0397207708399179,0.34657359027997264,in-tchitʼ-chä-opesʼ,en'l-tsitsʼ-ǎ-opesʼ,is-sinʼ-sä,"is-se-lacht, is-sin-kwa-seehwʼ",is-sin-kwu-seehw',is-sin-kwa-seehwʼ,in-tchit-cha-opesʼ,en'l-chitʼ-shä,en'l-chitʼ-shä,eu'l-kähkʼ-tsä,is-soo-se-mǎm,is-sin-kwu-seehw',en'l-tsitsʼ-ǎ-opesʼ,"is-lacht, sin-koo-sǎʼ-hu",is-sin-kwu-seehw',is-see-se-mǎm,is-sisʼ-sin-sä,in-chitʼ-sha,en-katsʼ-tch',in-chit-sha,is-se-lachtʼ,is-sin-kwu-seehw',en-teeʼ-kwl,in-kachʼ-ha,in-kachʼ-ha,en-ne-mesʼ-tum,is-sǎʼ,in-kachʼ-ha,in-kachʼ-ha,is-sǎʼ,e-skoʼ-i,en-tomeʼ,is-sǎʼ,is-sǎʼ,in-kachʼ-ha,en-le-ǎʼ-u,en-teeʼ-kwl,is-se-mǎlt,is-se-mǎlt,in-kachʼ-ha,is-se-mǎlt,is-se-mǎlt
4,0.3465735902799726,1.0397207708399179,0.6931471805599453,is-sin-kwu-seehw',en'l-tsitsʼ-ǎ-opesʼ,is-sisʼ-sin-sä,is-sin-kwu-seehw',in-chitʼ-sha,is-sin-kwa-seehwʼ,is-sin-kwu-seehw',is-se-lachtʼ,in-tchit-cha-opesʼ,in-chit-sha,in-tchitʼ-chä-opesʼ,is-sin-kwu-seehw',en'l-chitʼ-shä,en-katsʼ-tch',"is-lacht, sin-koo-sǎʼ-hu",is-sinʼ-sä,en'l-tsitsʼ-ǎ-opesʼ,eu'l-kähkʼ-tsä,is-see-se-mǎm,"is-se-lacht, is-sin-kwa-seehwʼ",en'l-chitʼ-shä,is-soo-se-mǎm,en-tomeʼ,in-kachʼ-ha,en-teeʼ-kwl,en-le-ǎʼ-u,in-kachʼ-ha,is-sǎʼ,is-se-mǎlt,en-teeʼ-kwl,is-se-mǎlt,in-kachʼ-ha,en-ne-mesʼ-tum,e-skoʼ-i,is-se-mǎlt,is-sǎʼ,in-kachʼ-ha,in-kachʼ-ha,in-kachʼ-ha,is-sǎʼ,is-se-mǎlt,is-sǎʼ
5,0.6931471805599453,1.3862943611198906,0.6931471805599453,en'l-tsitsʼ-ǎ-opesʼ,is-sisʼ-sin-sä,is-se-lachtʼ,en'l-chitʼ-shä,is-sinʼ-sä,is-soo-se-mǎm,is-sin-kwu-seehw',eu'l-kähkʼ-tsä,en'l-tsitsʼ-ǎ-opesʼ,"is-lacht, sin-koo-sǎʼ-hu",is-sin-kwu-seehw',"is-se-lacht, is-sin-kwa-seehwʼ",is-sin-kwu-seehw',in-chitʼ-sha,is-see-se-mǎm,en'l-chitʼ-shä,is-sin-kwa-seehwʼ,is-sin-kwu-seehw',en-katsʼ-tch',in-tchit-cha-opesʼ,in-tchitʼ-chä-opesʼ,in-chit-sha,in-kachʼ-ha,is-sǎʼ,is-se-mǎlt,in-kachʼ-ha,in-kachʼ-ha,in-kachʼ-ha,en-tomeʼ,is-sǎʼ,en-teeʼ-kwl,is-sǎʼ,is-se-mǎlt,is-sǎʼ,e-skoʼ-i,is-se-mǎlt,en-teeʼ-kwl,en-ne-mesʼ-tum,in-kachʼ-ha,en-le-ǎʼ-u,in-kachʼ-ha,is-se-mǎlt
6,0.2599301927099794,1.0397207708399179,0.7797905781299385,in-tchitʼ-chä-opesʼ,in-chit-sha,en'l-tsitsʼ-ǎ-opesʼ,is-sin-kwa-seehwʼ,eu'l-kähkʼ-tsä,is-sinʼ-sä,en'l-chitʼ-shä,"is-se-lacht, is-sin-kwa-seehwʼ",is-sin-kwu-seehw',en'l-tsitsʼ-ǎ-opesʼ,is-sin-kwu-seehw',in-chitʼ-sha,is-soo-se-mǎm,in-tchit-cha-opesʼ,is-sisʼ-sin-sä,is-see-se-mǎm,is-se-lachtʼ,en'l-chitʼ-shä,en-katsʼ-tch',is-sin-kwu-seehw',is-sin-kwu-seehw',"is-lacht, sin-koo-sǎʼ-hu",en-ne-mesʼ-tum,is-se-mǎlt,is-sǎʼ,in-kachʼ-ha,is-sǎʼ,e-skoʼ-i,in-kachʼ-ha,in-kachʼ-ha,in-kachʼ-ha,is-se-mǎlt,en-le-ǎʼ-u,is-sǎʼ,is-se-mǎlt,is-se-mǎlt,en-teeʼ-kwl,en-tomeʼ,in-kachʼ-ha,is-sǎʼ,en-teeʼ-kwl,in-kachʼ-ha
7,0.5198603854199589,0.6931471805599453,0.17328679513998632,en'l-chitʼ-shä,is-sin-kwu-seehw',in-tchitʼ-chä-opesʼ,"is-se-lacht, is-sin-kwa-seehwʼ",en'l-chitʼ-shä,in-tchit-cha-opesʼ,"is-lacht, sin-koo-sǎʼ-hu",en'l-tsitsʼ-ǎ-opesʼ,is-sin-kwu-seehw',is-sin-kwu-seehw',is-sinʼ-sä,eu'l-kähkʼ-tsä,en'l-tsitsʼ-ǎ-opesʼ,is-sisʼ-sin-sä,in-chit-sha,is-sin-kwa-seehwʼ,is-see-se-mǎm,is-soo-se-mǎm,in-chitʼ-sha,is-se-lachtʼ,en-katsʼ-tch',is-sin-kwu-seehw',is-sǎʼ,en-le-ǎʼ-u,en-ne-mesʼ-tum,en-tomeʼ,in-kachʼ-ha,in-kachʼ-ha,in-kachʼ-ha,in-kachʼ-ha,is-sǎʼ,is-se-mǎlt,is-se-mǎlt,is-se-mǎlt,en-teeʼ-kwl,e-skoʼ-i,is-sǎʼ,en-teeʼ-kwl,is-se-mǎlt,is-sǎʼ,in-kachʼ-ha,in-kachʼ-ha
8,0.6931471805599453,0.6931471805599453,-0.0,in-chit-sha,is-soo-se-mǎm,en'l-chitʼ-shä,"is-lacht, sin-koo-sǎʼ-hu",en'l-chitʼ-shä,is-sin-kwu-seehw',eu'l-kähkʼ-tsä,in-tchit-cha-opesʼ,en'l-tsitsʼ-ǎ-opesʼ,is-sinʼ-sä,is-see-se-mǎm,is-sin-kwa-seehwʼ,in-chitʼ-sha,is-sin-kwu-seehw',is-sisʼ-sin-sä,en-katsʼ-tch',en'l-tsitsʼ-ǎ-opesʼ,in-tchitʼ-chä-opesʼ,is-sin-kwu-seehw',is-se-lachtʼ,is-sin-kwu-seehw',"is-se-lacht, is-sin-kwa-seehwʼ",en-le-ǎʼ-u,in-kachʼ-ha,en-teeʼ-kwl,is-sǎʼ,en-tomeʼ,is-se-mǎlt,is-se-mǎlt,e-skoʼ-i,in-kachʼ-ha,en-teeʼ-kwl,is-se-mǎlt,en-ne-mesʼ-tum,in-kachʼ-ha,in-kachʼ-ha,in-kachʼ-ha,is-sǎʼ,is-se-mǎlt,in-kachʼ-ha,is-sǎʼ,is-sǎʼ
9,0.21576155433883565,0.5623351446188083,0.34657359027997264,is-sin-kwa-seehwʼ,is-se-lachtʼ,is-sisʼ-sin-sä,en'l-chitʼ-shä,is-sinʼ-sä,is-soo-se-mǎm,is-sin-kwu-seehw',en'l-chitʼ-shä,en'l-tsitsʼ-ǎ-opesʼ,is-sin-kwu-seehw',eu'l-kähkʼ-tsä,en'l-tsitsʼ-ǎ-opesʼ,"is-se-lacht, is-sin-kwa-seehwʼ",in-tchitʼ-chä-opesʼ,in-tchit-cha-opesʼ,"is-lacht, sin-koo-sǎʼ-hu",in-chit-sha,is-see-se-mǎm,is-sin-kwu-seehw',en-katsʼ-tch',is-sin-kwu-seehw',in-chitʼ-sha,is-sǎʼ,en-teeʼ-kwl,in-kachʼ-ha,is-sǎʼ,is-se-mǎlt,en-teeʼ-kwl,is-sǎʼ,en-le-ǎʼ-u,in-kachʼ-ha,en-tomeʼ,in-kachʼ-ha,is-se-mǎlt,is-se-mǎlt,e-skoʼ-i,is-sǎʼ,is-se-mǎlt,en-ne-mesʼ-tum,in-kachʼ-ha,in-kachʼ-ha,in-kachʼ-ha
