simulation_number,mutual_information,entropy,conditional_entropy,fMZeD,mFBeD,mMZeD,feZ,meZ,feB,meB,mFBeS,mMZeS,fFBeS,mFZeS,mFZyS,mMBeS,fMBeS,fFByD,fMZyD,fyZ,mFByD,mMZyD,myZ,fMByD,mFZyD,mMByD,fFZyD,fFZyS,fMByS,fFZeS,mMByS,fMZyS,mMZyS,fyB,myB,fFByS,mFByS,fMBeD,fFZeD,mFZeD,mMBeD,fMeB,fMyB,mMeB,mMyB,fFeZ,fFyZ,mFeZ,mFyZ,fMeZ,mMeZ,fFeB,mFeB,fMyZ,mMyZ,fFyB,mFyB,fM,mM,fF,mF
0,0.5198603854199589,1.0397207708399179,0.5198603854199589,támmǔdǔ,chěllělǔ,tǎmmǔdǔ,märǎdǐ,märǎdǐ,tǎmmǔdǔ,vǎdǐně,mǎrǎdǎlǔ,ǎkkǎ,vǎdǐně,chěllělǔ,támmǔlǔ,akkǎ,támmǔdǔ,akkǎ,mǎrǎdǎlǔ,annǎ,annǎ,ǎkkǎ,bävǎ,chěllělǔ,bävǎ,támmǔlǔ,bävǎ,mǎrǎdǎlǔ,mǎrǎdǎlǔ,chěllělǔ,märǎdi,annǎ,vǎdǐně,bävä,märǎdi,akkǎ,annǎ,annǎ,chěllělǔ,vadine,chěllělǔ,pěttǎndrǐ,mênǎttǎ,tanrǐ,pěttǎndrǐ,mênǎttǎ,mênǎttǎ,pǐnǎtǎllǐ,pǐnatǎndri,mênǎttǎ,pětǎllǐ,tanrǐ,tállǐ,tállǐ,pǐnǎtǎllǐ,mēnǎmāmǎ,mēnǎmāmǎ,mēnǎmāmǎ,pǐnatǎndri,mēnǎmāmǎ,pětǎllǐ
1,0.3465735902799727,1.3862943611198906,1.0397207708399179,annǎ,tǎmmǔdǔ,annǎ,chěllělǔ,ǎkkǎ,vǎdǐně,vǎdǐně,mǎrǎdǎlǔ,akkǎ,bävä,chěllělǔ,támmǔlǔ,támmǔlǔ,vadine,bävǎ,märǎdi,bävǎ,tǎmmǔdǔ,bävǎ,märǎdi,támmǔdǔ,annǎ,annǎ,akkǎ,akkǎ,chěllělǔ,mǎrǎdǎlǔ,chěllělǔ,chěllělǔ,mǎrǎdǎlǔ,ǎkkǎ,märǎdǐ,märǎdǐ,chěllělǔ,támmǔdǔ,annǎ,vǎdǐně,mǎrǎdǎlǔ,pǐnǎtǎllǐ,tanrǐ,pětǎllǐ,pěttǎndrǐ,pǐnatǎndri,mênǎttǎ,mēnǎmāmǎ,pǐnǎtǎllǐ,tanrǐ,mēnǎmāmǎ,mēnǎmāmǎ,tállǐ,mênǎttǎ,mēnǎmāmǎ,tállǐ,mênǎttǎ,pǐnatǎndri,pěttǎndrǐ,pětǎllǐ,mênǎttǎ
2,0.3465735902799726,1.0397207708399179,0.6931471805599453,bävä,tǎmmǔdǔ,annǎ,mǎrǎdǎlǔ,märǎdǐ,mǎrǎdǎlǔ,bävǎ,chěllělǔ,märǎdi,mǎrǎdǎlǔ,támmǔdǔ,ǎkkǎ,vǎdǐně,mǎrǎdǎlǔ,annǎ,märǎdi,chěllělǔ,annǎ,akkǎ,támmǔlǔ,vǎdǐně,chěllělǔ,vadine,vǎdǐně,chěllělǔ,bävǎ,märǎdǐ,bävǎ,annǎ,támmǔlǔ,tǎmmǔdǔ,annǎ,chěllělǔ,támmǔdǔ,akkǎ,chěllělǔ,ǎkkǎ,akkǎ,tanrǐ,mēnǎmāmǎ,pǐnatǎndri,pǐnǎtǎllǐ,pǐnatǎndri,pǐnǎtǎllǐ,pětǎllǐ,tállǐ,mênǎttǎ,pěttǎndrǐ,pětǎllǐ,mênǎttǎ,mēnǎmāmǎ,tállǐ,mēnǎmāmǎ,pěttǎndrǐ,mēnǎmāmǎ,mênǎttǎ,mênǎttǎ,tanrǐ
3,0.2599301927099794,1.0397207708399179,0.7797905781299385,ǎkkǎ,chěllělǔ,märǎdi,annǎ,chěllělǔ,märǎdǐ,chěllělǔ,vadine,bävǎ,támmǔlǔ,märǎdi,bävä,mǎrǎdǎlǔ,ǎkkǎ,chěllělǔ,annǎ,mǎrǎdǎlǔ,mǎrǎdǎlǔ,tǎmmǔdǔ,annǎ,chěllělǔ,bävǎ,akkǎ,annǎ,märǎdǐ,akkǎ,bävǎ,annǎ,támmǔdǔ,vǎdǐně,vǎdǐně,akkǎ,vǎdǐně,tǎmmǔdǔ,chěllělǔ,támmǔlǔ,mǎrǎdǎlǔ,támmǔdǔ,tállǐ,pěttǎndrǐ,mênǎttǎ,tállǐ,mēnǎmāmǎ,pǐnatǎndri,pǐnatǎndri,mênǎttǎ,pěttǎndrǐ,pǐnǎtǎllǐ,mênǎttǎ,pětǎllǐ,mēnǎmāmǎ,mênǎttǎ,pětǎllǐ,mēnǎmāmǎ,tanrǐ,mēnǎmāmǎ,pǐnǎtǎllǐ,tanrǐ
4,0.10788077716941791,1.3862943611198906,1.2784135839504727,chěllělǔ,chěllělǔ,vadine,tǎmmǔdǔ,mǎrǎdǎlǔ,mǎrǎdǎlǔ,märǎdǐ,mǎrǎdǎlǔ,vǎdǐně,chěllělǔ,annǎ,akkǎ,akkǎ,akkǎ,támmǔlǔ,chěllělǔ,märǎdǐ,chěllělǔ,märǎdi,märǎdi,annǎ,vǎdǐně,támmǔdǔ,chěllělǔ,ǎkkǎ,támmǔlǔ,támmǔdǔ,bävǎ,annǎ,vǎdǐně,mǎrǎdǎlǔ,tǎmmǔdǔ,bävä,bävǎ,annǎ,annǎ,bävǎ,ǎkkǎ,pǐnǎtǎllǐ,mênǎttǎ,tállǐ,mēnǎmāmǎ,mēnǎmāmǎ,mēnǎmāmǎ,tállǐ,tanrǐ,pětǎllǐ,tanrǐ,pǐnatǎndri,pěttǎndrǐ,mênǎttǎ,pǐnǎtǎllǐ,mênǎttǎ,mênǎttǎ,pětǎllǐ,pǐnatǎndri,mēnǎmāmǎ,pěttǎndrǐ
5,0.41197960825054103,1.3862943611198906,0.9743147528693495,mǎrǎdǎlǔ,támmǔlǔ,märǎdǐ,tǎmmǔdǔ,chěllělǔ,vadine,támmǔdǔ,bävǎ,akkǎ,akkǎ,chěllělǔ,vǎdǐně,märǎdi,annǎ,akkǎ,annǎ,vǎdǐně,chěllělǔ,tǎmmǔdǔ,chěllělǔ,támmǔdǔ,annǎ,annǎ,mǎrǎdǎlǔ,annǎ,bävǎ,ǎkkǎ,vǎdǐně,bävǎ,märǎdi,chěllělǔ,chěllělǔ,támmǔlǔ,ǎkkǎ,mǎrǎdǎlǔ,mǎrǎdǎlǔ,märǎdǐ,bävä,mênǎttǎ,mênǎttǎ,mênǎttǎ,pǐnatǎndri,pěttǎndrǐ,pǐnǎtǎllǐ,tanrǐ,mēnǎmāmǎ,pětǎllǐ,pětǎllǐ,mēnǎmāmǎ,mēnǎmāmǎ,mênǎttǎ,tállǐ,tállǐ,pěttǎndrǐ,pǐnǎtǎllǐ,mēnǎmāmǎ,pǐnatǎndri,tanrǐ
6,0.2599301927099794,1.0397207708399179,0.7797905781299385,támmǔlǔ,ǎkkǎ,annǎ,annǎ,chěllělǔ,bävǎ,vadine,chěllělǔ,akkǎ,mǎrǎdǎlǔ,märǎdi,vǎdǐně,märǎdi,märǎdǐ,vǎdǐně,támmǔdǔ,tǎmmǔdǔ,annǎ,annǎ,annǎ,chěllělǔ,akkǎ,chěllělǔ,mǎrǎdǎlǔ,chěllělǔ,chěllělǔ,támmǔlǔ,akkǎ,bävǎ,mǎrǎdǎlǔ,bävǎ,ǎkkǎ,mǎrǎdǎlǔ,bävä,tǎmmǔdǔ,vǎdǐně,märǎdǐ,támmǔdǔ,tanrǐ,pěttǎndrǐ,mênǎttǎ,mēnǎmāmǎ,tanrǐ,pǐnatǎndri,pětǎllǐ,pǐnǎtǎllǐ,mēnǎmāmǎ,mênǎttǎ,mênǎttǎ,pǐnǎtǎllǐ,tállǐ,pǐnatǎndri,pěttǎndrǐ,mênǎttǎ,pětǎllǐ,tállǐ,mēnǎmāmǎ,mēnǎmāmǎ
7,0.21576155433883565,0.5623351446188083,0.34657359027997264,támmǔlǔ,akkǎ,mǎrǎdǎlǔ,chěllělǔ,támmǔdǔ,mǎrǎdǎlǔ,märǎdǐ,ǎkkǎ,akkǎ,vǎdǐně,chěllělǔ,chěllělǔ,märǎdi,annǎ,vǎdǐně,mǎrǎdǎlǔ,vǎdǐně,märǎdi,ǎkkǎ,bävǎ,akkǎ,annǎ,bävǎ,bävǎ,annǎ,chěllělǔ,annǎ,támmǔdǔ,támmǔlǔ,bävä,annǎ,tǎmmǔdǔ,mǎrǎdǎlǔ,märǎdǐ,chěllělǔ,chěllělǔ,vadine,tǎmmǔdǔ,pětǎllǐ,mênǎttǎ,mênǎttǎ,tanrǐ,mênǎttǎ,tállǐ,pǐnǎtǎllǐ,pǐnatǎndri,tanrǐ,mênǎttǎ,pěttǎndrǐ,pǐnǎtǎllǐ,pěttǎndrǐ,pětǎllǐ,mēnǎmāmǎ,pǐnatǎndri,mēnǎmāmǎ,mēnǎmāmǎ,tállǐ,mēnǎmāmǎ
8,0.6931471805599453,1.3862943611198906,0.6931471805599453,annǎ,chěllělǔ,mǎrǎdǎlǔ,ǎkkǎ,annǎ,ǎkkǎ,támmǔdǔ,bävä,chěllělǔ,támmǔdǔ,vadine,märǎdǐ,támmǔlǔ,tǎmmǔdǔ,vǎdǐně,chěllělǔ,chěllělǔ,akkǎ,mǎrǎdǎlǔ,akkǎ,mǎrǎdǎlǔ,vǎdǐně,chěllělǔ,märǎdi,akkǎ,chěllělǔ,bävǎ,märǎdǐ,annǎ,bävǎ,támmǔlǔ,annǎ,vǎdǐně,annǎ,bävǎ,tǎmmǔdǔ,märǎdi,mǎrǎdǎlǔ,mênǎttǎ,mênǎttǎ,pětǎllǐ,mēnǎmāmǎ,pǐnǎtǎllǐ,mēnǎmāmǎ,tanrǐ,pětǎllǐ,tállǐ,pǐnǎtǎllǐ,pěttǎndrǐ,mēnǎmāmǎ,tállǐ,mênǎttǎ,pǐnatǎndri,mênǎttǎ,pǐnatǎndri,tanrǐ,mēnǎmāmǎ,pěttǎndrǐ
9,0.5198603854199589,1.3862943611198906,0.8664339756999316,bävǎ,bävä,chěllělǔ,akkǎ,támmǔdǔ,tǎmmǔdǔ,annǎ,annǎ,märǎdǐ,märǎdi,akkǎ,ǎkkǎ,chěllělǔ,märǎdi,ǎkkǎ,akkǎ,mǎrǎdǎlǔ,chěllělǔ,bävǎ,támmǔlǔ,vǎdǐně,támmǔlǔ,annǎ,bävǎ,támmǔdǔ,mǎrǎdǎlǔ,mǎrǎdǎlǔ,vadine,chěllělǔ,tǎmmǔdǔ,annǎ,märǎdǐ,annǎ,vǎdǐně,chěllělǔ,mǎrǎdǎlǔ,chěllělǔ,vǎdǐně,mēnǎmāmǎ,mênǎttǎ,tanrǐ,mēnǎmāmǎ,mēnǎmāmǎ,pǐnǎtǎllǐ,pětǎllǐ,mênǎttǎ,mênǎttǎ,mênǎttǎ,pǐnatǎndri,pěttǎndrǐ,tállǐ,tállǐ,pětǎllǐ,mēnǎmāmǎ,tanrǐ,pěttǎndrǐ,pǐnatǎndri,pǐnǎtǎllǐ
