simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.21207426669985352,1.0789922078775833,0.8669179411777298,tadigu,tadigu,taihugu,kakagu,kakagu,taihugu,kakagu,taihugu,taihugu,taihugu,tadigu,tadigu,kakagu,taihugu,taihugu,taihugu,tadigu,taihugu,kakagu,kakagu,kakagu,taihugu,taihugu,tadigu,tadigu,taihugu,taihugu,taihugu,kakagu,taihugu,kakagu,tadigu,taihugu,taihugu,taihugu,taihugu,tadigu,tadigu,vavagu,vavagu,sina,tamagu,vavagu,sina,tamagu,tamagu,sinagu,lalagu,tamagu,lalagu,tamagu,tamagu,vavagu,sinagu,lalagu,lalagu,sina,sina
1,0.13732453187634652,1.0789922078775833,0.9416676760012368,tadigu,tadigu,tadigu,kakagu,taihugu,taihugu,taihugu,tadigu,tadigu,kakagu,kakagu,taihugu,kakagu,taihugu,kakagu,taihugu,kakagu,taihugu,tadigu,taihugu,taihugu,tadigu,taihugu,taihugu,kakagu,taihugu,tadigu,taihugu,taihugu,tadigu,taihugu,kakagu,kakagu,taihugu,taihugu,taihugu,taihugu,tadigu,sina,sina,lalagu,sinagu,sinagu,lalagu,tamagu,vavagu,vavagu,sina,tamagu,vavagu,tamagu,lalagu,tamagu,lalagu,vavagu,tamagu,tamagu,sina
2,0.484866053111916,1.0789922078775833,0.5941261547656673,kakagu,taihugu,taihugu,tadigu,tadigu,taihugu,kakagu,kakagu,tadigu,tadigu,tadigu,taihugu,taihugu,tadigu,tadigu,taihugu,tadigu,taihugu,taihugu,taihugu,kakagu,tadigu,taihugu,taihugu,taihugu,taihugu,taihugu,taihugu,tadigu,kakagu,kakagu,kakagu,taihugu,taihugu,kakagu,taihugu,taihugu,kakagu,vavagu,vavagu,tamagu,sinagu,tamagu,sina,sina,lalagu,tamagu,vavagu,lalagu,tamagu,lalagu,sina,tamagu,vavagu,tamagu,sinagu,sina,lalagu
3,0.014032215111297708,1.376055285260417,1.3620230701491194,kakagu,taihugu,tadigu,tadigu,taihugu,kakagu,taihugu,kakagu,tadigu,taihugu,kakagu,tadigu,taihugu,taihugu,taihugu,taihugu,tadigu,kakagu,taihugu,taihugu,tadigu,taihugu,taihugu,kakagu,kakagu,tadigu,taihugu,taihugu,taihugu,kakagu,tadigu,tadigu,taihugu,taihugu,tadigu,taihugu,kakagu,taihugu,vavagu,tamagu,lalagu,sinagu,sina,vavagu,vavagu,tamagu,lalagu,lalagu,sina,tamagu,tamagu,tamagu,tamagu,lalagu,sinagu,vavagu,sina,sina
4,0.13732453187634652,0.9799711820833055,0.842646650206959,tadigu,tadigu,taihugu,taihugu,tadigu,kakagu,taihugu,taihugu,kakagu,taihugu,taihugu,taihugu,tadigu,taihugu,kakagu,kakagu,tadigu,tadigu,tadigu,taihugu,taihugu,tadigu,taihugu,tadigu,kakagu,taihugu,taihugu,taihugu,tadigu,kakagu,taihugu,taihugu,taihugu,kakagu,kakagu,taihugu,taihugu,kakagu,tamagu,lalagu,sina,sina,tamagu,sinagu,lalagu,vavagu,vavagu,sina,vavagu,tamagu,sinagu,lalagu,vavagu,sina,tamagu,lalagu,tamagu,tamagu
5,0.01403221511129793,1.376055285260417,1.3620230701491192,kakagu,tadigu,kakagu,tadigu,taihugu,taihugu,taihugu,kakagu,tadigu,kakagu,tadigu,taihugu,taihugu,kakagu,tadigu,tadigu,taihugu,taihugu,tadigu,taihugu,tadigu,taihugu,taihugu,taihugu,tadigu,taihugu,taihugu,tadigu,kakagu,kakagu,taihugu,taihugu,taihugu,taihugu,kakagu,taihugu,kakagu,taihugu,lalagu,sinagu,tamagu,vavagu,vavagu,lalagu,sinagu,vavagu,sina,tamagu,sina,vavagu,lalagu,tamagu,sina,tamagu,sina,tamagu,tamagu,lalagu
6,0.34145405235023607,1.0346012329101812,0.6931471805599452,tadigu,kakagu,kakagu,taihugu,tadigu,kakagu,kakagu,taihugu,taihugu,taihugu,tadigu,taihugu,taihugu,taihugu,kakagu,tadigu,tadigu,taihugu,kakagu,taihugu,taihugu,kakagu,taihugu,tadigu,tadigu,kakagu,taihugu,taihugu,taihugu,kakagu,taihugu,taihugu,taihugu,taihugu,tadigu,tadigu,tadigu,taihugu,lalagu,sina,lalagu,tamagu,vavagu,tamagu,tamagu,tamagu,tamagu,vavagu,lalagu,sinagu,sina,sina,vavagu,tamagu,vavagu,lalagu,sinagu,sina
7,0.007016107555648965,1.0346012329101812,1.0275851253545323,taihugu,taihugu,tadigu,tadigu,kakagu,taihugu,kakagu,tadigu,kakagu,tadigu,taihugu,taihugu,kakagu,taihugu,tadigu,tadigu,tadigu,taihugu,tadigu,taihugu,taihugu,tadigu,taihugu,taihugu,taihugu,taihugu,taihugu,kakagu,taihugu,kakagu,kakagu,taihugu,taihugu,taihugu,kakagu,taihugu,kakagu,tadigu,sina,vavagu,sina,lalagu,tamagu,lalagu,sinagu,vavagu,sina,tamagu,vavagu,tamagu,lalagu,sinagu,vavagu,tamagu,tamagu,lalagu,tamagu,sina
8,0.242433026555958,1.034601232910181,0.792168206354223,kakagu,taihugu,taihugu,tadigu,tadigu,taihugu,kakagu,taihugu,kakagu,tadigu,taihugu,tadigu,taihugu,kakagu,tadigu,kakagu,taihugu,taihugu,taihugu,tadigu,taihugu,taihugu,tadigu,taihugu,kakagu,taihugu,kakagu,tadigu,taihugu,taihugu,taihugu,taihugu,tadigu,kakagu,taihugu,kakagu,taihugu,tadigu,vavagu,sina,sinagu,sina,sina,vavagu,lalagu,tamagu,tamagu,tamagu,vavagu,sina,sinagu,tamagu,tamagu,lalagu,lalagu,tamagu,lalagu,vavagu
9,0.06866226593817326,1.034601232910181,0.9659389669720078,tadigu,taihugu,taihugu,taihugu,kakagu,kakagu,kakagu,taihugu,taihugu,kakagu,taihugu,tadigu,tadigu,tadigu,taihugu,kakagu,taihugu,taihugu,tadigu,tadigu,tadigu,taihugu,taihugu,tadigu,taihugu,kakagu,kakagu,kakagu,taihugu,taihugu,taihugu,tadigu,taihugu,kakagu,taihugu,taihugu,tadigu,taihugu,vavagu,lalagu,vavagu,sina,lalagu,sinagu,tamagu,tamagu,sina,vavagu,sina,tamagu,vavagu,sina,lalagu,tamagu,sinagu,lalagu,tamagu,tamagu
