simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.15524496775003938,1.5518494709842936,1.3966045032342542,aten,aten,lutno,aten,aten,lutno,lutno,aten,aten,adou,aten,lutno,adou,adou,adou,lutno,adou,aten,aten,aten,lutno,adou,lutno,aten,aten,adou,aten,aten,lutno,lutno,lutno,aten,lutno,adou,agatno,lutno,aten,adou,lutno,adou,lutno,aten,adou,lutno,lutno,aten,adou,aten,aten,agatno,adou,aten,adou,adou,adou,aten,aten,adou,adou,atua,aten,lutno,lutno,aten,lutno,adou,adou,adou,lutno,aten,aten,adou,lutno,aten,lutno,lutno,lutno,aten,adou,aten,aten,aten,aten,aten,adou,tumno,babu,tumno,"babu, ide",ilau,babu,"babu, ide",babu,tumno,"ide, tna","ide, tna","babu, ide",tumno,ilau,babu,"babu, ide"
1,0.17521550500281124,1.5518494709842936,1.3766339659814824,lutno,aten,aten,aten,lutno,adou,aten,adou,adou,aten,lutno,lutno,lutno,aten,lutno,adou,aten,aten,adou,adou,aten,atua,lutno,adou,lutno,aten,adou,lutno,aten,lutno,adou,aten,aten,aten,adou,adou,aten,lutno,adou,adou,aten,aten,lutno,aten,lutno,aten,lutno,aten,lutno,agatno,lutno,aten,lutno,adou,aten,aten,adou,aten,aten,aten,adou,aten,aten,adou,lutno,lutno,lutno,adou,aten,adou,aten,aten,lutno,lutno,aten,adou,aten,adou,adou,aten,agatno,lutno,adou,lutno,adou,"babu, ide","babu, ide",babu,tumno,"ide, tna","ide, tna",tumno,babu,ilau,tumno,"babu, ide",tumno,babu,babu,ilau,"babu, ide"
2,0.17638046252963102,1.564942423414796,1.388561960885165,aten,lutno,adou,adou,lutno,aten,lutno,aten,adou,lutno,adou,adou,adou,adou,lutno,lutno,aten,adou,atua,lutno,aten,adou,adou,aten,lutno,aten,aten,lutno,aten,aten,adou,adou,adou,lutno,aten,aten,adou,aten,lutno,adou,lutno,lutno,adou,aten,lutno,aten,lutno,lutno,aten,adou,agatno,aten,aten,aten,aten,adou,adou,aten,lutno,agatno,lutno,adou,adou,aten,lutno,lutno,aten,aten,aten,lutno,lutno,aten,lutno,aten,aten,adou,adou,aten,aten,aten,aten,lutno,adou,aten,aten,babu,"babu, ide","ide, tna",babu,ilau,tumno,tumno,"ide, tna",babu,tumno,"babu, ide","babu, ide","babu, ide",ilau,tumno,babu
3,0.2104439039586592,1.5503094886229003,1.339865584664241,aten,lutno,adou,adou,adou,aten,aten,adou,aten,adou,aten,adou,aten,aten,adou,adou,adou,aten,lutno,aten,aten,adou,adou,adou,aten,aten,adou,lutno,adou,adou,aten,adou,lutno,lutno,lutno,lutno,aten,adou,aten,adou,lutno,aten,lutno,aten,aten,lutno,lutno,lutno,aten,adou,aten,aten,aten,aten,aten,aten,lutno,lutno,aten,adou,lutno,adou,atua,lutno,lutno,aten,lutno,agatno,aten,lutno,aten,aten,aten,lutno,lutno,lutno,aten,adou,adou,adou,aten,lutno,lutno,agatno,aten,babu,"babu, ide",tumno,tumno,"ide, tna","ide, tna",babu,babu,tumno,ilau,tumno,"babu, ide","babu, ide",ilau,babu,"babu, ide"
4,0.1495253504008549,1.5503094886229003,1.4007841382220454,lutno,adou,aten,adou,adou,aten,lutno,adou,lutno,adou,aten,adou,aten,aten,adou,aten,agatno,adou,lutno,adou,aten,adou,lutno,aten,adou,aten,lutno,aten,lutno,lutno,aten,adou,adou,agatno,lutno,lutno,lutno,aten,lutno,adou,aten,aten,adou,aten,lutno,lutno,aten,aten,aten,aten,lutno,aten,aten,aten,adou,aten,adou,adou,aten,aten,adou,lutno,lutno,aten,adou,aten,aten,lutno,aten,lutno,lutno,adou,adou,lutno,adou,aten,adou,atua,lutno,aten,aten,lutno,lutno,aten,aten,babu,"babu, ide",babu,babu,tumno,tumno,tumno,ilau,"ide, tna","babu, ide","babu, ide","ide, tna",tumno,"babu, ide",ilau,babu
5,0.12659347007383115,1.5518494709842936,1.4252560009104625,lutno,aten,lutno,lutno,adou,lutno,aten,aten,adou,aten,aten,aten,adou,lutno,aten,lutno,lutno,adou,adou,aten,aten,aten,adou,aten,aten,aten,adou,aten,aten,adou,aten,adou,aten,adou,aten,aten,adou,lutno,aten,lutno,aten,agatno,lutno,lutno,aten,adou,lutno,aten,adou,lutno,lutno,lutno,aten,adou,lutno,lutno,aten,aten,aten,atua,adou,lutno,aten,adou,lutno,aten,aten,adou,lutno,adou,adou,adou,aten,lutno,adou,agatno,adou,lutno,adou,adou,lutno,aten,lutno,aten,aten,"ide, tna",babu,babu,"babu, ide","babu, ide","ide, tna",tumno,ilau,tumno,"babu, ide",tumno,babu,tumno,ilau,"babu, ide",babu
6,0.17292667162456654,1.5518494709842936,1.378922799359727,aten,lutno,adou,aten,aten,adou,aten,adou,aten,lutno,aten,aten,aten,adou,agatno,lutno,lutno,aten,lutno,adou,aten,aten,aten,aten,lutno,adou,aten,adou,lutno,lutno,aten,lutno,aten,agatno,aten,adou,lutno,adou,lutno,aten,aten,aten,lutno,adou,adou,aten,aten,aten,aten,aten,lutno,adou,adou,aten,lutno,adou,adou,adou,lutno,atua,aten,adou,aten,lutno,aten,lutno,aten,adou,lutno,lutno,adou,aten,adou,adou,lutno,lutno,lutno,adou,aten,adou,lutno,aten,adou,aten,lutno,ilau,babu,babu,tumno,"ide, tna",tumno,"babu, ide","babu, ide",ilau,babu,tumno,"ide, tna","babu, ide",babu,tumno,"babu, ide"
7,0.219622235837573,1.5518494709842936,1.3322272351467206,adou,adou,adou,lutno,aten,aten,lutno,aten,aten,aten,lutno,lutno,adou,aten,adou,aten,lutno,aten,aten,lutno,aten,lutno,adou,lutno,lutno,aten,lutno,lutno,aten,adou,adou,adou,lutno,adou,lutno,adou,aten,aten,aten,adou,aten,aten,aten,aten,aten,adou,adou,adou,adou,aten,aten,lutno,aten,adou,adou,aten,aten,agatno,lutno,adou,aten,adou,lutno,lutno,lutno,lutno,aten,lutno,aten,adou,aten,aten,lutno,lutno,adou,aten,adou,atua,aten,aten,lutno,lutno,aten,agatno,adou,"ide, tna",tumno,babu,tumno,tumno,babu,ilau,"babu, ide","ide, tna","babu, ide",tumno,babu,ilau,"babu, ide","babu, ide",babu
8,0.25408683312099356,1.5503094886229003,1.2962226555019067,aten,aten,lutno,aten,aten,adou,aten,aten,aten,atua,lutno,aten,adou,lutno,lutno,aten,aten,adou,lutno,adou,aten,aten,aten,aten,lutno,adou,adou,adou,aten,lutno,lutno,aten,adou,adou,lutno,lutno,agatno,lutno,aten,agatno,aten,aten,aten,adou,adou,lutno,adou,adou,aten,adou,adou,aten,aten,aten,adou,aten,lutno,aten,lutno,lutno,adou,adou,lutno,adou,lutno,adou,lutno,lutno,adou,lutno,aten,aten,lutno,adou,adou,aten,lutno,aten,adou,aten,aten,aten,aten,lutno,lutno,ilau,babu,babu,babu,babu,ilau,"ide, tna",tumno,tumno,"ide, tna",tumno,"babu, ide","babu, ide",tumno,"babu, ide","babu, ide"
9,0.029326449003802768,1.5518494709842936,1.5225230219804908,adou,lutno,aten,lutno,aten,aten,lutno,lutno,aten,aten,adou,lutno,aten,adou,adou,adou,aten,lutno,aten,adou,aten,aten,adou,lutno,aten,aten,lutno,adou,aten,aten,lutno,adou,adou,adou,adou,aten,aten,aten,aten,lutno,lutno,lutno,aten,agatno,lutno,adou,aten,aten,lutno,agatno,lutno,adou,aten,lutno,aten,aten,lutno,aten,lutno,aten,adou,lutno,adou,adou,aten,aten,lutno,aten,lutno,adou,adou,adou,lutno,adou,aten,adou,adou,aten,adou,lutno,lutno,aten,aten,atua,aten,tumno,"babu, ide",tumno,"babu, ide","babu, ide",babu,tumno,ilau,babu,"ide, tna",tumno,"ide, tna",babu,babu,ilau,"babu, ide"
