simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.32449431450141564,1.3340295991155566,1.009535284614141,"haihanau, tua-nga'an",haihanau,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,ha'anga,ha'anga,"haihanau, tua-nga'an",ha'anga,ha'anga,haihanau,haihanau,ha'anga,"ha'anga, tua-nga'ane",haihanau,ha'anga,haihanau,"haihanau, tau-tua-hini, tua-hine","haihanau, tua-nga'an","ha'anga, tua-nga'ane",ha'anga,tua-hine,haihanau,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,haihanau,ha'anga,ha'anga,ha'anga,"ha'anga, tua-nga'ane",ha'anga,tua-hine,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,ha'anga,haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,tua-nga'ane,"haihanau, tua-nga'an","haihanau, tau-tua-hini, tua-hine",ha'anga,"haihanau, tau-tua-hini, tua-hine",tau-kete,"haihanau, tua-nga'an",haihanau,"ha'anga, tua-nga'ane",ha'anga,haihanau,"haihanau, tau-tua-hini, tua-hine","haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,haihanau,ha'anga,haihanau,ha'anga,haihanau,tua-nga'ane,haihanau,taina,haihanau,ha'anga,ha'anga,ha'anga,taina,ha'anga,haihanau,haihanau,ha'anga,haihanau,haihanau,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,"ha'anga, tua-nga'ane",tinau,tinau,tinana,"tua-tina, tau tu'aatina",tinau,"tua-tina, tau tu'aatina",tinau,"tua-tina, tau tu'aatina","tua-tina, tau tu'aatina",tamana,tinana,tamana
1,0.33689754950284667,1.314775737547273,0.9778781880444264,ha'anga,haihanau,ha'anga,ha'anga,ha'anga,"haihanau, tua-nga'an",haihanau,"ha'anga, tua-nga'ane",tua-nga'ane,ha'anga,"haihanau, tau-tua-hini, tua-hine","haihanau, tua-nga'an","haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,haihanau,haihanau,haihanau,tau-kete,"ha'anga, tua-nga'ane",ha'anga,haihanau,ha'anga,ha'anga,taina,ha'anga,"haihanau, tau-tua-hini, tua-hine","haihanau, tua-nga'an",ha'anga,haihanau,tua-hine,ha'anga,"ha'anga, tua-nga'ane",haihanau,taina,ha'anga,ha'anga,ha'anga,ha'anga,haihanau,haihanau,haihanau,"haihanau, tau-tua-hini, tua-hine","ha'anga, tua-nga'ane","haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,ha'anga,haihanau,"haihanau, tua-nga'an",ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,tua-nga'ane,haihanau,"haihanau, tua-nga'an","haihanau, tau-tua-hini, tua-hine",tua-hine,haihanau,ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine","haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,haihanau,haihanau,ha'anga,ha'anga,haihanau,haihanau,ha'anga,"ha'anga, tua-nga'ane",ha'anga,ha'anga,ha'anga,haihanau,ha'anga,haihanau,"tua-tina, tau tu'aatina","tua-tina, tau tu'aatina","tua-tina, tau tu'aatina","tua-tina, tau tu'aatina",tinau,tinau,tinau,tamana,tinau,tamana,tinana,tinana
2,0.35836170753189245,1.3512571681030596,0.9928954605711672,haihanau,"haihanau, tau-tua-hini, tua-hine","haihanau, tua-nga'an",haihanau,ha'anga,ha'anga,haihanau,haihanau,"haihanau, tua-nga'an",haihanau,"haihanau, tau-tua-hini, tua-hine",haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,tua-hine,"ha'anga, tua-nga'ane",haihanau,"ha'anga, tua-nga'ane",haihanau,ha'anga,tau-kete,ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,"ha'anga, tua-nga'ane",haihanau,ha'anga,tua-nga'ane,ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,ha'anga,ha'anga,"haihanau, tua-nga'an",haihanau,haihanau,ha'anga,haihanau,ha'anga,haihanau,tua-nga'ane,ha'anga,haihanau,ha'anga,ha'anga,ha'anga,ha'anga,tua-hine,ha'anga,"haihanau, tua-nga'an",taina,"ha'anga, tua-nga'ane","ha'anga, tua-nga'ane",haihanau,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,haihanau,haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,ha'anga,"haihanau, tua-nga'an",ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,"haihanau, tau-tua-hini, tua-hine",taina,ha'anga,haihanau,ha'anga,ha'anga,ha'anga,ha'anga,haihanau,tinau,"tua-tina, tau tu'aatina",tamana,tinana,tinau,"tua-tina, tau tu'aatina",tinana,tinau,"tua-tina, tau tu'aatina",tinau,"tua-tina, tau tu'aatina",tamana
3,0.5418789897817441,1.3168020301280539,0.7749230403463098,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine","haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,haihanau,ha'anga,haihanau,"ha'anga, tua-nga'ane",ha'anga,"haihanau, tua-nga'an",tua-nga'ane,ha'anga,ha'anga,"ha'anga, tua-nga'ane",haihanau,haihanau,"haihanau, tau-tua-hini, tua-hine",tua-hine,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,ha'anga,haihanau,"haihanau, tau-tua-hini, tua-hine",haihanau,taina,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,"haihanau, tua-nga'an",tau-kete,haihanau,ha'anga,ha'anga,ha'anga,ha'anga,"haihanau, tua-nga'an",haihanau,ha'anga,ha'anga,haihanau,"ha'anga, tua-nga'ane",ha'anga,ha'anga,haihanau,haihanau,haihanau,haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine","haihanau, tau-tua-hini, tua-hine","haihanau, tua-nga'an",ha'anga,ha'anga,tua-nga'ane,ha'anga,"haihanau, tau-tua-hini, tua-hine","haihanau, tua-nga'an",haihanau,ha'anga,haihanau,ha'anga,taina,"ha'anga, tua-nga'ane",ha'anga,haihanau,haihanau,ha'anga,haihanau,ha'anga,haihanau,ha'anga,haihanau,tua-hine,ha'anga,"ha'anga, tua-nga'ane",ha'anga,haihanau,haihanau,"tua-tina, tau tu'aatina",tinana,"tua-tina, tau tu'aatina",tinau,tinau,tamana,tinana,tinau,tamana,"tua-tina, tau tu'aatina",tinau,"tua-tina, tau tu'aatina"
4,0.37862112727986086,1.3340295991155566,0.9554084718356958,haihanau,"haihanau, tau-tua-hini, tua-hine",haihanau,haihanau,tua-nga'ane,ha'anga,ha'anga,haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,"ha'anga, tua-nga'ane",haihanau,ha'anga,ha'anga,haihanau,"ha'anga, tua-nga'ane",haihanau,haihanau,haihanau,taina,haihanau,haihanau,ha'anga,haihanau,"haihanau, tua-nga'an","ha'anga, tua-nga'ane",ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,ha'anga,"ha'anga, tua-nga'ane",ha'anga,"haihanau, tua-nga'an",ha'anga,ha'anga,ha'anga,ha'anga,"haihanau, tua-nga'an",ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,ha'anga,ha'anga,haihanau,ha'anga,ha'anga,haihanau,haihanau,haihanau,"ha'anga, tua-nga'ane",ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",tua-hine,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,"haihanau, tua-nga'an",ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",tua-hine,haihanau,tau-kete,haihanau,ha'anga,"haihanau, tua-nga'an","haihanau, tau-tua-hini, tua-hine",haihanau,haihanau,tua-nga'ane,"haihanau, tau-tua-hini, tua-hine",ha'anga,taina,tinau,tinau,"tua-tina, tau tu'aatina",tinana,tamana,"tua-tina, tau tu'aatina",tinana,tamana,"tua-tina, tau tu'aatina",tinau,tinau,"tua-tina, tau tu'aatina"
5,0.2226256244098619,1.314775737547273,1.0921501131374112,haihanau,ha'anga,ha'anga,taina,"haihanau, tau-tua-hini, tua-hine",haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,"haihanau, tau-tua-hini, tua-hine","haihanau, tua-nga'an",haihanau,ha'anga,"ha'anga, tua-nga'ane","haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,taina,haihanau,"ha'anga, tua-nga'ane","haihanau, tua-nga'an",ha'anga,ha'anga,haihanau,ha'anga,haihanau,haihanau,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,"haihanau, tua-nga'an",tua-hine,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,ha'anga,ha'anga,ha'anga,haihanau,haihanau,haihanau,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,haihanau,"haihanau, tau-tua-hini, tua-hine",tua-nga'ane,haihanau,ha'anga,"ha'anga, tua-nga'ane",haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine",tau-kete,"ha'anga, tua-nga'ane",tua-hine,haihanau,haihanau,"haihanau, tua-nga'an",ha'anga,ha'anga,ha'anga,ha'anga,haihanau,"ha'anga, tua-nga'ane",tua-nga'ane,haihanau,ha'anga,ha'anga,haihanau,ha'anga,ha'anga,haihanau,ha'anga,"haihanau, tua-nga'an",haihanau,tinau,tamana,tinau,tinau,"tua-tina, tau tu'aatina",tinana,tamana,"tua-tina, tau tu'aatina",tinau,tinana,"tua-tina, tau tu'aatina","tua-tina, tau tu'aatina"
6,0.2272398098838737,1.3168020301280539,1.0895622202441801,ha'anga,"haihanau, tau-tua-hini, tua-hine","haihanau, tau-tua-hini, tua-hine",haihanau,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,ha'anga,haihanau,haihanau,"haihanau, tau-tua-hini, tua-hine","ha'anga, tua-nga'ane",haihanau,ha'anga,ha'anga,tua-nga'ane,"haihanau, tua-nga'an",haihanau,"haihanau, tau-tua-hini, tua-hine",haihanau,haihanau,haihanau,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,ha'anga,"haihanau, tua-nga'an",haihanau,haihanau,ha'anga,haihanau,ha'anga,haihanau,"ha'anga, tua-nga'ane",ha'anga,ha'anga,ha'anga,haihanau,tua-nga'ane,haihanau,ha'anga,ha'anga,haihanau,tua-hine,haihanau,ha'anga,"ha'anga, tua-nga'ane",ha'anga,ha'anga,ha'anga,ha'anga,haihanau,"haihanau, tau-tua-hini, tua-hine",ha'anga,tau-kete,ha'anga,"haihanau, tua-nga'an",ha'anga,"haihanau, tua-nga'an",ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,ha'anga,haihanau,ha'anga,ha'anga,"ha'anga, tua-nga'ane",ha'anga,"ha'anga, tua-nga'ane",tua-hine,"haihanau, tua-nga'an",haihanau,taina,ha'anga,ha'anga,haihanau,taina,ha'anga,"tua-tina, tau tu'aatina",tamana,tinau,"tua-tina, tau tu'aatina","tua-tina, tau tu'aatina",tinau,tinana,tinana,"tua-tina, tau tu'aatina",tamana,tinau,tinau
7,0.41680026217285926,1.3474848769969379,0.9306846148240786,ha'anga,haihanau,ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,"ha'anga, tua-nga'ane",tua-nga'ane,ha'anga,ha'anga,haihanau,ha'anga,haihanau,"haihanau, tau-tua-hini, tua-hine",haihanau,ha'anga,tua-hine,haihanau,"haihanau, tua-nga'an",ha'anga,ha'anga,"ha'anga, tua-nga'ane",taina,haihanau,"haihanau, tua-nga'an",ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,"haihanau, tua-nga'an",ha'anga,"haihanau, tua-nga'an",ha'anga,haihanau,taina,ha'anga,ha'anga,haihanau,"haihanau, tau-tua-hini, tua-hine",ha'anga,tua-hine,tau-kete,haihanau,haihanau,ha'anga,haihanau,"haihanau, tua-nga'an",haihanau,ha'anga,ha'anga,"ha'anga, tua-nga'ane",ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,tua-nga'ane,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine","haihanau, tau-tua-hini, tua-hine",haihanau,ha'anga,haihanau,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,"ha'anga, tua-nga'ane",ha'anga,ha'anga,haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,haihanau,haihanau,haihanau,"ha'anga, tua-nga'ane",haihanau,ha'anga,tinau,tinau,tamana,tamana,"tua-tina, tau tu'aatina",tinana,"tua-tina, tau tu'aatina",tinana,"tua-tina, tau tu'aatina",tinau,tinau,"tua-tina, tau tu'aatina"
8,0.41003951834939734,1.314775737547273,0.9047362191978757,ha'anga,ha'anga,ha'anga,ha'anga,haihanau,ha'anga,ha'anga,haihanau,ha'anga,haihanau,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,tua-hine,ha'anga,taina,ha'anga,ha'anga,ha'anga,"ha'anga, tua-nga'ane",ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine","haihanau, tua-nga'an",haihanau,"haihanau, tau-tua-hini, tua-hine",ha'anga,tau-kete,"ha'anga, tua-nga'ane","haihanau, tau-tua-hini, tua-hine",tua-nga'ane,haihanau,"haihanau, tau-tua-hini, tua-hine",haihanau,"haihanau, tau-tua-hini, tua-hine",ha'anga,haihanau,"haihanau, tua-nga'an","haihanau, tua-nga'an",tua-nga'ane,ha'anga,haihanau,haihanau,"ha'anga, tua-nga'ane",ha'anga,"haihanau, tua-nga'an","ha'anga, tua-nga'ane",ha'anga,taina,ha'anga,haihanau,haihanau,haihanau,haihanau,"haihanau, tau-tua-hini, tua-hine",tua-hine,haihanau,"ha'anga, tua-nga'ane",ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,ha'anga,"haihanau, tua-nga'an",haihanau,ha'anga,haihanau,haihanau,haihanau,haihanau,ha'anga,haihanau,tinau,tamana,"tua-tina, tau tu'aatina","tua-tina, tau tu'aatina",tinau,tinau,tamana,"tua-tina, tau tu'aatina",tinana,tinana,tinau,"tua-tina, tau tu'aatina"
9,0.3091921400515818,1.314775737547273,1.0055835974956913,haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,tua-hine,ha'anga,tua-nga'ane,haihanau,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,ha'anga,haihanau,ha'anga,haihanau,"ha'anga, tua-nga'ane",ha'anga,haihanau,taina,ha'anga,haihanau,haihanau,"haihanau, tua-nga'an",tua-hine,"haihanau, tua-nga'an",haihanau,ha'anga,ha'anga,"haihanau, tua-nga'an","haihanau, tua-nga'an",ha'anga,"ha'anga, tua-nga'ane",haihanau,haihanau,haihanau,haihanau,"ha'anga, tua-nga'ane",haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,"haihanau, tau-tua-hini, tua-hine",tua-nga'ane,taina,ha'anga,ha'anga,"ha'anga, tua-nga'ane",ha'anga,ha'anga,ha'anga,haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,ha'anga,haihanau,ha'anga,"haihanau, tua-nga'an",ha'anga,ha'anga,ha'anga,ha'anga,"haihanau, tau-tua-hini, tua-hine",ha'anga,"ha'anga, tua-nga'ane",haihanau,ha'anga,ha'anga,haihanau,haihanau,"haihanau, tau-tua-hini, tua-hine",ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,haihanau,ha'anga,"haihanau, tau-tua-hini, tua-hine",haihanau,tau-kete,tinau,"tua-tina, tau tu'aatina","tua-tina, tau tu'aatina","tua-tina, tau tu'aatina",tinau,"tua-tina, tau tu'aatina",tamana,tinana,tinau,tinau,tinana,tamana
