simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.10171554224058199,1.3751146687214826,1.2733991264809006,munak,ngathan,munak,pugarli,munak,pugarli,pugarli,ngathan,pugarli,munak,pugarli,pugarli,ngathan,ngathan,munak,pugarli,pugarli,ngathan,pugarli,ngathan,ngathan,ngathan,pugarli,ngathan,pugarli,munak,ngathan,ngathan,pugarli,ngathan,pugarli,pugarli,pugarli,munak,pugarli,ngathan,ngathan,ngathan,munak,pugarli,pugarli,pugarli,pugarli,munak,ngathan,pugarli,pugarli,ngathan,munak,munak,pugarli,munak,ngathan,pugarli,pugarli,ngathan,munak,munak,pugarli,pugarli,pugarli,munak,pugarli,ngathan,ngathan,munak,munak,pugarli,ngathan,pugarli,munak,pugarli,pugarli,munak,pugarli,pugarli,munak,munak,munak,pugarli,pugarli,pugarli,pugarli,pugarli,munak,kaka,pipi,kaka,kaka,kale,yile,pipi,yile,yile,kale,kale,pipi,kaka,yile,yile,kale,yile,kale,kale,pipi
1,0.10268981620342932,1.376397987355977,1.2737081711525478,ngathan,pugarli,pugarli,munak,munak,ngathan,ngathan,pugarli,pugarli,pugarli,ngathan,munak,pugarli,pugarli,pugarli,ngathan,pugarli,munak,ngathan,munak,munak,ngathan,pugarli,munak,ngathan,pugarli,ngathan,munak,munak,ngathan,pugarli,ngathan,pugarli,pugarli,ngathan,ngathan,pugarli,munak,pugarli,pugarli,pugarli,munak,munak,munak,pugarli,ngathan,pugarli,ngathan,pugarli,munak,pugarli,pugarli,pugarli,munak,pugarli,munak,ngathan,pugarli,ngathan,pugarli,munak,munak,pugarli,pugarli,ngathan,munak,pugarli,munak,pugarli,ngathan,pugarli,munak,pugarli,pugarli,pugarli,ngathan,pugarli,pugarli,munak,pugarli,ngathan,ngathan,pugarli,munak,pugarli,yile,pipi,kaka,pipi,kale,kale,pipi,yile,kale,kaka,kale,yile,yile,yile,kale,kaka,yile,pipi,kaka,kale
2,0.11365426340518336,1.358231894813244,1.2445776314080605,munak,pugarli,pugarli,pugarli,munak,munak,munak,munak,pugarli,munak,pugarli,munak,pugarli,pugarli,pugarli,ngathan,munak,munak,ngathan,pugarli,ngathan,munak,pugarli,pugarli,pugarli,pugarli,pugarli,pugarli,ngathan,munak,ngathan,ngathan,munak,pugarli,ngathan,ngathan,munak,pugarli,ngathan,munak,ngathan,pugarli,ngathan,munak,pugarli,pugarli,pugarli,ngathan,pugarli,ngathan,ngathan,pugarli,ngathan,pugarli,pugarli,pugarli,pugarli,munak,pugarli,ngathan,pugarli,pugarli,ngathan,pugarli,ngathan,pugarli,munak,ngathan,munak,munak,ngathan,munak,pugarli,munak,ngathan,pugarli,pugarli,pugarli,pugarli,ngathan,pugarli,munak,pugarli,pugarli,munak,kale,yile,yile,pipi,pipi,kaka,yile,pipi,kale,kale,kaka,yile,yile,pipi,yile,kaka,kale,kale,kale,kaka
3,0.08518872922361109,1.3717688966297237,1.2865801674061126,ngathan,pugarli,pugarli,munak,ngathan,munak,munak,pugarli,munak,munak,munak,pugarli,munak,pugarli,munak,pugarli,ngathan,pugarli,pugarli,ngathan,ngathan,pugarli,ngathan,pugarli,munak,ngathan,pugarli,munak,pugarli,ngathan,ngathan,pugarli,pugarli,ngathan,pugarli,pugarli,pugarli,munak,pugarli,pugarli,pugarli,munak,munak,ngathan,munak,pugarli,ngathan,pugarli,munak,pugarli,pugarli,pugarli,ngathan,munak,pugarli,pugarli,munak,munak,ngathan,ngathan,ngathan,pugarli,pugarli,munak,munak,pugarli,ngathan,ngathan,munak,pugarli,munak,pugarli,munak,pugarli,ngathan,ngathan,pugarli,pugarli,pugarli,pugarli,ngathan,pugarli,ngathan,pugarli,pugarli,yile,yile,yile,pipi,kaka,kale,kale,kaka,pipi,kale,kale,pipi,kaka,yile,kale,yile,pipi,kale,yile,kaka
4,0.07239820977558353,1.34791009821198,1.2755118884363965,ngathan,pugarli,pugarli,ngathan,munak,munak,pugarli,munak,ngathan,pugarli,pugarli,pugarli,pugarli,pugarli,ngathan,munak,munak,ngathan,munak,munak,munak,pugarli,munak,ngathan,munak,pugarli,pugarli,ngathan,ngathan,pugarli,munak,pugarli,pugarli,pugarli,pugarli,ngathan,pugarli,munak,pugarli,pugarli,pugarli,munak,ngathan,pugarli,pugarli,pugarli,pugarli,ngathan,munak,pugarli,ngathan,munak,pugarli,pugarli,ngathan,pugarli,pugarli,munak,ngathan,pugarli,ngathan,ngathan,munak,munak,pugarli,pugarli,pugarli,pugarli,ngathan,ngathan,pugarli,pugarli,pugarli,munak,pugarli,ngathan,munak,munak,ngathan,munak,ngathan,ngathan,munak,pugarli,pugarli,yile,yile,kale,kale,pipi,kaka,kaka,kale,yile,pipi,yile,kaka,kale,kaka,kale,pipi,yile,pipi,kale,yile
5,0.05453129745892382,1.3717688966297237,1.3172375991707999,pugarli,pugarli,ngathan,pugarli,ngathan,pugarli,pugarli,munak,munak,pugarli,pugarli,ngathan,ngathan,munak,pugarli,ngathan,pugarli,munak,pugarli,pugarli,munak,pugarli,munak,pugarli,munak,ngathan,pugarli,pugarli,munak,pugarli,pugarli,pugarli,munak,pugarli,pugarli,pugarli,pugarli,munak,munak,pugarli,munak,ngathan,munak,pugarli,pugarli,pugarli,pugarli,pugarli,ngathan,pugarli,munak,ngathan,ngathan,ngathan,pugarli,munak,ngathan,munak,pugarli,munak,pugarli,munak,ngathan,munak,ngathan,pugarli,pugarli,pugarli,pugarli,munak,ngathan,ngathan,pugarli,munak,ngathan,munak,ngathan,ngathan,ngathan,munak,pugarli,pugarli,ngathan,ngathan,pugarli,pipi,kaka,kale,kaka,yile,yile,kale,yile,pipi,kale,kaka,pipi,yile,kale,pipi,yile,kale,kale,yile,kaka
6,0.07544804245073178,1.3698615354811865,1.2944134930304547,ngathan,munak,pugarli,pugarli,pugarli,munak,pugarli,ngathan,munak,pugarli,pugarli,ngathan,pugarli,munak,pugarli,ngathan,pugarli,ngathan,munak,munak,ngathan,munak,pugarli,ngathan,munak,pugarli,munak,munak,pugarli,ngathan,ngathan,munak,ngathan,pugarli,pugarli,pugarli,ngathan,ngathan,munak,pugarli,pugarli,pugarli,pugarli,ngathan,munak,munak,pugarli,ngathan,munak,munak,pugarli,munak,munak,ngathan,pugarli,ngathan,ngathan,ngathan,pugarli,munak,pugarli,pugarli,pugarli,pugarli,ngathan,munak,pugarli,ngathan,ngathan,pugarli,munak,pugarli,ngathan,pugarli,pugarli,pugarli,pugarli,munak,pugarli,pugarli,pugarli,pugarli,munak,pugarli,pugarli,yile,yile,kaka,kale,pipi,kale,kale,pipi,yile,kaka,kaka,kale,kale,yile,yile,pipi,pipi,kale,kaka,yile
7,0.057229716362967586,1.360577281741834,1.3033475653788664,pugarli,ngathan,munak,ngathan,munak,pugarli,pugarli,munak,munak,pugarli,pugarli,pugarli,pugarli,munak,pugarli,pugarli,ngathan,ngathan,pugarli,munak,munak,ngathan,ngathan,pugarli,munak,munak,munak,pugarli,pugarli,ngathan,ngathan,ngathan,pugarli,pugarli,pugarli,munak,pugarli,munak,ngathan,pugarli,ngathan,ngathan,ngathan,pugarli,pugarli,pugarli,pugarli,munak,ngathan,pugarli,munak,pugarli,ngathan,pugarli,pugarli,ngathan,munak,pugarli,munak,pugarli,pugarli,munak,ngathan,munak,ngathan,pugarli,munak,munak,ngathan,pugarli,ngathan,munak,ngathan,munak,pugarli,pugarli,pugarli,munak,pugarli,pugarli,pugarli,pugarli,ngathan,pugarli,pugarli,kale,pipi,kaka,kaka,yile,kale,kale,kaka,yile,yile,kale,yile,pipi,pipi,kaka,pipi,kale,yile,kale,yile
8,0.12528845073963324,1.3698615354811865,1.2445730847415533,pugarli,munak,munak,ngathan,ngathan,ngathan,ngathan,munak,pugarli,ngathan,munak,pugarli,pugarli,pugarli,pugarli,pugarli,pugarli,ngathan,ngathan,munak,pugarli,pugarli,pugarli,pugarli,munak,ngathan,munak,munak,pugarli,pugarli,pugarli,pugarli,pugarli,pugarli,munak,pugarli,ngathan,pugarli,pugarli,pugarli,munak,munak,ngathan,ngathan,pugarli,ngathan,munak,munak,pugarli,ngathan,pugarli,munak,ngathan,munak,munak,ngathan,pugarli,munak,ngathan,munak,munak,ngathan,ngathan,ngathan,munak,munak,pugarli,pugarli,pugarli,ngathan,munak,ngathan,pugarli,pugarli,pugarli,pugarli,pugarli,pugarli,pugarli,pugarli,pugarli,ngathan,munak,pugarli,pugarli,yile,kaka,kaka,kale,kaka,pipi,kale,kale,kale,yile,kale,yile,pipi,yile,kaka,pipi,kale,yile,yile,pipi
9,0.06186917632381794,1.3698615354811865,1.3079923591573686,ngathan,ngathan,pugarli,munak,ngathan,munak,munak,munak,pugarli,pugarli,pugarli,pugarli,pugarli,pugarli,ngathan,pugarli,pugarli,pugarli,pugarli,ngathan,pugarli,ngathan,pugarli,pugarli,pugarli,ngathan,pugarli,pugarli,pugarli,munak,munak,munak,ngathan,pugarli,pugarli,pugarli,ngathan,ngathan,ngathan,pugarli,ngathan,pugarli,munak,munak,pugarli,munak,munak,ngathan,munak,pugarli,munak,munak,pugarli,munak,pugarli,pugarli,pugarli,pugarli,munak,pugarli,ngathan,pugarli,pugarli,munak,pugarli,munak,munak,pugarli,munak,pugarli,ngathan,pugarli,munak,ngathan,pugarli,pugarli,ngathan,munak,ngathan,ngathan,ngathan,ngathan,pugarli,munak,ngathan,kale,yile,pipi,yile,pipi,kaka,yile,pipi,pipi,kaka,kale,yile,kale,kale,yile,yile,kale,kaka,kale,kaka
