simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,mFZD,mFBS,mFZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeZD,mFyZD,mFBeS,mFByS,mFZeS,mFZyS,mFZeD,mFZyD,feB,fyB,feZ,fFZD,fFBS,fFZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fFBeS,fFByS,fFZeS,fFZyS,fFZeD,fFZyD,myZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mMeB,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fMeB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMyB
0,0.3285469467830613,1.806492623463402,1.4779456766803407,puwan,puwan,napu-napu,napu-napu,puwan,ngamany,papa,ngamany,ngamany,puwan,ngamany,ngamany,kuwira,napu-napu,napu-napu,kuwira,muwarn,puwan,papa,ngamany,napu-napu,puwan,puwan,napu-napu,puwan,ngamany,puwan,napu-napu,ngamany,napu-napu,muwarn,napu-napu,ngamany,napu-napu,puwan,ngamany,puwan,puwan,puthama,pathany,pathany,mukimuki,mukimuki,pathany,karruwalany,yapu,puthama,puthama,puthama,kathi,pathany,puthama,kathi,karruwalany,kaya,yapu,kaya,mukimuki,karruwalany,pathany,pathany,puthama,karruwalany,mukimuki,mukimuki,mukimuki
1,0.3818395303519184,1.725731591188737,1.3438920608368186,ngamany,puwan,puwan,puwan,napu-napu,kuwira,napu-napu,ngamany,napu-napu,napu-napu,puwan,napu-napu,puwan,ngamany,muwarn,ngamany,napu-napu,ngamany,puwan,napu-napu,napu-napu,puwan,muwarn,napu-napu,ngamany,ngamany,papa,puwan,ngamany,kuwira,ngamany,puwan,puwan,napu-napu,puwan,papa,puwan,ngamany,karruwalany,puthama,karruwalany,karruwalany,pathany,mukimuki,mukimuki,mukimuki,pathany,kathi,mukimuki,pathany,kathi,pathany,kaya,pathany,puthama,puthama,mukimuki,puthama,mukimuki,puthama,pathany,yapu,puthama,karruwalany,kaya,yapu
2,0.4244637196053809,1.7738213940577305,1.3493576744523497,napu-napu,puwan,puwan,napu-napu,muwarn,ngamany,papa,ngamany,puwan,papa,ngamany,napu-napu,puwan,ngamany,napu-napu,napu-napu,puwan,kuwira,ngamany,kuwira,ngamany,ngamany,puwan,ngamany,puwan,puwan,puwan,muwarn,napu-napu,napu-napu,puwan,puwan,napu-napu,ngamany,napu-napu,napu-napu,puwan,ngamany,kaya,mukimuki,pathany,puthama,pathany,pathany,puthama,kathi,kathi,pathany,mukimuki,yapu,mukimuki,karruwalany,karruwalany,mukimuki,karruwalany,yapu,puthama,puthama,karruwalany,puthama,puthama,mukimuki,mukimuki,pathany,kaya,pathany
3,0.39008449833136405,1.7807586073698491,1.390674109038485,puwan,puwan,napu-napu,ngamany,puwan,napu-napu,puwan,napu-napu,puwan,papa,puwan,puwan,kuwira,papa,ngamany,napu-napu,muwarn,ngamany,ngamany,napu-napu,ngamany,ngamany,ngamany,napu-napu,ngamany,ngamany,puwan,napu-napu,muwarn,puwan,napu-napu,napu-napu,kuwira,puwan,puwan,ngamany,napu-napu,puwan,pathany,pathany,yapu,karruwalany,puthama,pathany,mukimuki,kathi,puthama,pathany,yapu,puthama,puthama,mukimuki,kaya,pathany,puthama,kathi,mukimuki,pathany,puthama,mukimuki,karruwalany,karruwalany,mukimuki,mukimuki,kaya,karruwalany
4,0.29352235859383713,1.591061334637002,1.2975389760431648,napu-napu,ngamany,ngamany,puwan,ngamany,kuwira,napu-napu,puwan,ngamany,puwan,puwan,puwan,muwarn,ngamany,puwan,puwan,puwan,napu-napu,ngamany,napu-napu,puwan,napu-napu,papa,puwan,ngamany,muwarn,puwan,kuwira,napu-napu,napu-napu,papa,puwan,ngamany,ngamany,napu-napu,ngamany,napu-napu,napu-napu,yapu,mukimuki,pathany,puthama,karruwalany,pathany,karruwalany,karruwalany,pathany,pathany,pathany,kaya,kathi,puthama,kathi,mukimuki,mukimuki,puthama,puthama,pathany,yapu,karruwalany,mukimuki,mukimuki,mukimuki,puthama,puthama,kaya
5,0.3940771161074117,1.7359984965633037,1.341921380455892,napu-napu,ngamany,napu-napu,ngamany,puwan,ngamany,puwan,papa,puwan,puwan,napu-napu,puwan,puwan,napu-napu,muwarn,puwan,napu-napu,kuwira,puwan,napu-napu,papa,ngamany,puwan,ngamany,puwan,muwarn,napu-napu,napu-napu,ngamany,kuwira,ngamany,ngamany,napu-napu,ngamany,ngamany,puwan,napu-napu,puwan,kaya,karruwalany,pathany,mukimuki,pathany,pathany,puthama,puthama,karruwalany,mukimuki,kaya,pathany,mukimuki,puthama,mukimuki,yapu,pathany,kathi,karruwalany,karruwalany,puthama,mukimuki,kathi,pathany,mukimuki,yapu,puthama,puthama
6,0.30672642118000115,1.772087011169405,1.4653605899894038,puwan,ngamany,papa,ngamany,puwan,puwan,ngamany,ngamany,puwan,ngamany,napu-napu,puwan,ngamany,napu-napu,ngamany,puwan,napu-napu,napu-napu,puwan,muwarn,ngamany,napu-napu,puwan,napu-napu,napu-napu,napu-napu,puwan,ngamany,papa,napu-napu,kuwira,ngamany,napu-napu,muwarn,puwan,puwan,kuwira,puwan,puthama,mukimuki,mukimuki,kathi,pathany,mukimuki,puthama,pathany,kathi,pathany,puthama,mukimuki,pathany,puthama,pathany,yapu,karruwalany,pathany,karruwalany,mukimuki,mukimuki,puthama,yapu,kaya,puthama,karruwalany,kaya,karruwalany
7,0.32337306612829053,1.7725788461242704,1.4492057799959799,muwarn,puwan,kuwira,napu-napu,napu-napu,ngamany,puwan,puwan,puwan,napu-napu,napu-napu,puwan,napu-napu,ngamany,papa,ngamany,napu-napu,ngamany,ngamany,puwan,puwan,puwan,muwarn,napu-napu,ngamany,napu-napu,puwan,ngamany,ngamany,puwan,puwan,napu-napu,napu-napu,kuwira,puwan,ngamany,ngamany,papa,karruwalany,pathany,mukimuki,yapu,mukimuki,pathany,pathany,puthama,mukimuki,yapu,puthama,mukimuki,pathany,kathi,puthama,kaya,puthama,puthama,mukimuki,kaya,puthama,mukimuki,karruwalany,kathi,karruwalany,karruwalany,pathany,pathany
8,0.3002109752703508,1.6774271797923017,1.377216204521951,napu-napu,ngamany,ngamany,puwan,papa,kuwira,ngamany,puwan,puwan,napu-napu,napu-napu,ngamany,napu-napu,napu-napu,ngamany,napu-napu,ngamany,puwan,muwarn,papa,puwan,ngamany,puwan,puwan,puwan,kuwira,puwan,napu-napu,ngamany,puwan,ngamany,napu-napu,ngamany,puwan,puwan,napu-napu,napu-napu,muwarn,pathany,puthama,kaya,yapu,mukimuki,yapu,kathi,mukimuki,puthama,mukimuki,puthama,kaya,pathany,mukimuki,pathany,mukimuki,mukimuki,karruwalany,kathi,pathany,puthama,karruwalany,pathany,puthama,pathany,puthama,karruwalany,karruwalany
9,0.521699796829366,1.704230780008075,1.182530983178709,ngamany,puwan,papa,puwan,muwarn,ngamany,napu-napu,ngamany,napu-napu,ngamany,puwan,napu-napu,puwan,ngamany,napu-napu,napu-napu,napu-napu,ngamany,napu-napu,napu-napu,napu-napu,muwarn,ngamany,puwan,papa,ngamany,puwan,kuwira,puwan,puwan,puwan,kuwira,ngamany,puwan,puwan,puwan,ngamany,napu-napu,mukimuki,kathi,puthama,pathany,kaya,puthama,karruwalany,puthama,karruwalany,mukimuki,yapu,pathany,puthama,pathany,karruwalany,puthama,mukimuki,pathany,pathany,yapu,mukimuki,kathi,kaya,mukimuki,mukimuki,puthama,pathany,karruwalany
