simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFBeS,mFZeS,mFBeD,mFZeD,mMBeS,mMZeS,mMBeD,mMZeD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFByS,mFZyS,mMByS,mMZyS,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFBeS,fFZeS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMBeD,fMByD,fMZeD,fMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFByS,fFZyS,fMByS,fMZyS,mB,fB,mFByD,mFZyD,mMByD,mMZyD,mM,mFB,mFZ,mMB,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFB,fFZ,fMB,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,mF,mFeB,mFyB,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,0.34983239310529934,2.060756201645224,1.7109238085399248,awongwè,ezómbi,awongwè,awarerè,awarerè,nkovuni,ngwè,awarerè,onèró zaḿi,ezómbi,awongwè,nkovuni,awongwè,ezómbi,ezómbi,ezómbi,onwângwẽ,ndjalyè nanto,ndjalyè noḿe,ndjalyè noḿe,ezómbi,awongwè,awongwè,ezómbi,ngwè,ndjalyè noḿe,ngwè,awongwè,ngwè,awarerè,awongwè,awarerè,ngwè,nkovuni,ezómbi,ezómbi,awarerè,ngwè,onwângwẽ,awongwè,ezómbi,awongwè,awongwè,ndjalyè nanto,awarerè,awongwè,awarerè,awongwè,awarerè,awarerè,ngwè,ndjalyè nanto,ndjalyè noḿe,awongwè,awarerè,nkovuni,ndjalyè noḿe,ezómbi,awarerè,awongwè,awarerè,awongwè,ezómbi,awongwè,awarerè,awongwè,ezómbi,awarerè,awarerè,onèró zaḿi,ngwè,ezómbi,ndjalyè nanto,ezómbi,ezómbi,awarerè,awongwè,awongwè,ezómbi,ndjalyè noḿe,awarerè,awarerè,awongwè,awongwè,ezómbi,awarerè,ndjalyè noḿe,awarerè,ngwè,mbal'waḿi,rèra,iya,rèrè,ngw'erumbe zaḿi,ngw'onèró zaḿi,rèrè,rèra,rer'erumbe zaḿi,ezómbi za rer'iyaḿi,iya,mbal'waḿi,ezómbi za rer'iyaḿi,ezómbi za rer'iyaḿi,ezómbi za rer'iyaḿi,ngwè,mbal'waḿi,rer'onèró zaḿi,ezómbi za rer'iyaḿi,mbal'waḿi,ngwè,ezómbi za rer'iyaḿi,ngwè,ngwè,ngwè,ngwè,rèrè,rèrè
1,0.36604176928360777,2.0194564859087256,1.6534147166251179,awarerè,onèró zaḿi,ndjalyè noḿe,awongwè,ndjalyè nanto,awongwè,ngwè,ezómbi,awarerè,ndjalyè noḿe,awarerè,ngwè,awongwè,awongwè,awongwè,ezómbi,awarerè,ezómbi,ngwè,awongwè,awarerè,ndjalyè noḿe,ngwè,ezómbi,awongwè,awongwè,awongwè,ndjalyè noḿe,awongwè,ezómbi,ngwè,ezómbi,ndjalyè nanto,awarerè,ezómbi,awarerè,awongwè,awarerè,awongwè,awarerè,ndjalyè nanto,awarerè,ezómbi,ezómbi,awarerè,onèró zaḿi,ngwè,awongwè,awongwè,awarerè,awarerè,ngwè,ezómbi,ezómbi,onwângwẽ,ezómbi,awarerè,awarerè,awongwè,awarerè,awongwè,awongwè,ngwè,nkovuni,ezómbi,ngwè,ezómbi,awongwè,ezómbi,onwângwẽ,nkovuni,awongwè,nkovuni,awarerè,awongwè,awongwè,awarerè,awarerè,ndjalyè noḿe,ndjalyè nanto,ndjalyè noḿe,ezómbi,ezómbi,awarerè,nkovuni,awarerè,ezómbi,ndjalyè noḿe,awongwè,rèra,ezómbi za rer'iyaḿi,mbal'waḿi,ngw'onèró zaḿi,ezómbi za rer'iyaḿi,rer'erumbe zaḿi,rèrè,ezómbi za rer'iyaḿi,ngwè,ngwè,iya,ezómbi za rer'iyaḿi,ezómbi za rer'iyaḿi,iya,rèra,ezómbi za rer'iyaḿi,ngwè,rèrè,mbal'waḿi,rèrè,ngwè,mbal'waḿi,ngwè,rer'onèró zaḿi,mbal'waḿi,ngw'erumbe zaḿi,rèrè,ngwè
2,0.4524181317239073,2.0561471121138344,1.603728980389927,awarerè,ndjalyè noḿe,awongwè,awarerè,ngwè,nkovuni,ngwè,awongwè,awongwè,awongwè,ezómbi,ezómbi,nkovuni,ngwè,nkovuni,awarerè,ezómbi,ndjalyè nanto,awongwè,ndjalyè nanto,awarerè,ndjalyè nanto,awarerè,ezómbi,ngwè,ndjalyè noḿe,awongwè,awongwè,awongwè,awarerè,awongwè,awarerè,ezómbi,awarerè,awarerè,ngwè,awarerè,awongwè,awongwè,ndjalyè noḿe,ndjalyè nanto,awarerè,onwângwẽ,ndjalyè noḿe,ezómbi,awongwè,ndjalyè noḿe,awongwè,ezómbi,ezómbi,awarerè,ezómbi,ezómbi,ezómbi,awongwè,awarerè,awarerè,ezómbi,ezómbi,awarerè,ezómbi,ndjalyè noḿe,onwângwẽ,ezómbi,awarerè,awongwè,awarerè,awongwè,ngwè,nkovuni,ndjalyè noḿe,awongwè,awarerè,onèró zaḿi,ezómbi,onèró zaḿi,awarerè,ngwè,awongwè,awongwè,awarerè,ezómbi,ngwè,awongwè,awarerè,awongwè,ngwè,ezómbi,awongwè,rèrè,mbal'waḿi,ezómbi za rer'iyaḿi,rer'onèró zaḿi,ezómbi za rer'iyaḿi,iya,ngwè,mbal'waḿi,ezómbi za rer'iyaḿi,rèra,ngwè,ngwè,mbal'waḿi,ngwè,ngw'onèró zaḿi,ngwè,ezómbi za rer'iyaḿi,ngwè,rèra,ezómbi za rer'iyaḿi,rer'erumbe zaḿi,mbal'waḿi,iya,rèrè,ngw'erumbe zaḿi,ezómbi za rer'iyaḿi,rèrè,rèrè
3,0.4621555475113204,2.079606306194169,1.6174507586828488,ezómbi,ezómbi,ezómbi,awongwè,nkovuni,awongwè,awarerè,awarerè,ndjalyè nanto,awongwè,awarerè,awarerè,awongwè,ezómbi,ndjalyè noḿe,awarerè,awarerè,awongwè,ngwè,ngwè,onèró zaḿi,awongwè,ndjalyè nanto,ndjalyè noḿe,ndjalyè nanto,ndjalyè noḿe,nkovuni,awongwè,ezómbi,nkovuni,awongwè,awongwè,ndjalyè noḿe,ngwè,onwângwẽ,awarerè,ezómbi,awongwè,ezómbi,awarerè,awongwè,awongwè,awarerè,ezómbi,awongwè,awongwè,awongwè,ezómbi,awarerè,onwângwẽ,ezómbi,awongwè,ezómbi,awongwè,awongwè,awongwè,ndjalyè noḿe,awarerè,awongwè,ezómbi,ezómbi,ezómbi,ngwè,ezómbi,nkovuni,ngwè,ndjalyè nanto,awarerè,awongwè,awarerè,awarerè,ezómbi,awarerè,awarerè,onèró zaḿi,awarerè,ngwè,awarerè,ndjalyè noḿe,ezómbi,ndjalyè noḿe,ngwè,awarerè,awarerè,awongwè,ngwè,awarerè,ezómbi,ngwè,ngwè,rèra,rèrè,ngw'erumbe zaḿi,rèra,rèrè,ngwè,iya,iya,rèrè,ezómbi za rer'iyaḿi,ngwè,ezómbi za rer'iyaḿi,ngwè,rer'onèró zaḿi,ngwè,mbal'waḿi,rèrè,ngw'onèró zaḿi,ezómbi za rer'iyaḿi,mbal'waḿi,ezómbi za rer'iyaḿi,rer'erumbe zaḿi,ezómbi za rer'iyaḿi,mbal'waḿi,ezómbi za rer'iyaḿi,ngwè,mbal'waḿi
4,0.4428960242408213,2.0528084491085092,1.609912424867688,ngwè,awarerè,awongwè,awarerè,awongwè,awongwè,ndjalyè noḿe,awarerè,ezómbi,awarerè,awongwè,nkovuni,awarerè,ngwè,ezómbi,awarerè,awongwè,ndjalyè noḿe,ndjalyè noḿe,awarerè,ezómbi,onwângwẽ,ezómbi,onèró zaḿi,ngwè,awongwè,ngwè,ndjalyè noḿe,nkovuni,nkovuni,awarerè,ndjalyè nanto,ezómbi,ngwè,ngwè,awongwè,ezómbi,awarerè,awongwè,onwângwẽ,awongwè,ngwè,awarerè,ezómbi,awongwè,ezómbi,awarerè,awarerè,ezómbi,ndjalyè nanto,ezómbi,awongwè,nkovuni,ezómbi,ndjalyè noḿe,ndjalyè noḿe,ezómbi,awongwè,awongwè,awongwè,awarerè,awarerè,onèró zaḿi,awarerè,ezómbi,ngwè,awongwè,awongwè,awongwè,awongwè,ezómbi,awarerè,awongwè,awongwè,ndjalyè nanto,ezómbi,awongwè,awarerè,ndjalyè noḿe,awarerè,ezómbi,awarerè,ezómbi,ndjalyè nanto,awarerè,ngwè,ezómbi,awongwè,awarerè,iya,ngwè,ngwè,rèrè,ezómbi za rer'iyaḿi,ezómbi za rer'iyaḿi,rer'erumbe zaḿi,rèrè,rèra,ngw'onèró zaḿi,ngwè,rèrè,mbal'waḿi,ngw'erumbe zaḿi,ngwè,ngwè,ezómbi za rer'iyaḿi,rèrè,mbal'waḿi,iya,rer'onèró zaḿi,ezómbi za rer'iyaḿi,mbal'waḿi,mbal'waḿi,rèra,ezómbi za rer'iyaḿi,ezómbi za rer'iyaḿi,ngwè
5,0.39988186614902643,1.9664720979889543,1.5665902318399278,awarerè,awarerè,ezómbi,onwângwẽ,ezómbi,onèró zaḿi,awarerè,ezómbi,awongwè,awongwè,awarerè,ngwè,ndjalyè nanto,awarerè,ngwè,awongwè,awarerè,awarerè,awongwè,ndjalyè noḿe,ezómbi,awongwè,awongwè,awarerè,awongwè,ezómbi,ngwè,awarerè,awarerè,awongwè,awongwè,onèró zaḿi,ezómbi,awongwè,ndjalyè noḿe,ndjalyè noḿe,awarerè,awongwè,awarerè,awarerè,ezómbi,ngwè,nkovuni,awongwè,ezómbi,awarerè,ezómbi,awongwè,awarerè,awarerè,ndjalyè noḿe,ndjalyè nanto,ndjalyè nanto,ndjalyè noḿe,ndjalyè nanto,nkovuni,awongwè,ngwè,ezómbi,awarerè,ndjalyè noḿe,awongwè,awarerè,ngwè,awarerè,ngwè,awarerè,awongwè,ezómbi,awarerè,awongwè,ezómbi,ezómbi,ngwè,nkovuni,ngwè,ezómbi,awongwè,onwângwẽ,awongwè,awongwè,ndjalyè noḿe,ezómbi,ezómbi,awongwè,nkovuni,ezómbi,ezómbi,awongwè,ngwè,ngwè,ezómbi za rer'iyaḿi,ngw'erumbe zaḿi,ezómbi za rer'iyaḿi,ngw'onèró zaḿi,ngwè,rer'onèró zaḿi,mbal'waḿi,rèrè,rèrè,ezómbi za rer'iyaḿi,mbal'waḿi,ezómbi za rer'iyaḿi,rèrè,ngwè,rèrè,rèra,ezómbi za rer'iyaḿi,ngwè,iya,rèra,mbal'waḿi,rer'erumbe zaḿi,mbal'waḿi,iya,ezómbi za rer'iyaḿi,ngwè
6,0.5059203259085123,2.0472272577839346,1.5413069318754222,awongwè,ndjalyè noḿe,ngwè,awongwè,ngwè,ndjalyè nanto,onèró zaḿi,awarerè,awarerè,onèró zaḿi,awarerè,ezómbi,ezómbi,ezómbi,ngwè,awarerè,awongwè,awarerè,awongwè,ezómbi,awarerè,ndjalyè noḿe,awongwè,awarerè,ndjalyè nanto,ezómbi,ngwè,awongwè,awarerè,awongwè,onwângwẽ,awongwè,ngwè,onwângwẽ,awongwè,ezómbi,awarerè,awongwè,awarerè,awongwè,awongwè,nkovuni,ngwè,ndjalyè noḿe,ndjalyè noḿe,ndjalyè nanto,ngwè,ezómbi,awarerè,awongwè,nkovuni,awongwè,ndjalyè noḿe,ezómbi,awarerè,awarerè,awongwè,awarerè,awongwè,ezómbi,ezómbi,awarerè,awarerè,awongwè,ezómbi,awarerè,awongwè,awarerè,ezómbi,ezómbi,nkovuni,ezómbi,awongwè,awarerè,ezómbi,ngwè,ndjalyè noḿe,ezómbi,nkovuni,ezómbi,ezómbi,awarerè,ndjalyè nanto,ngwè,awongwè,awarerè,awongwè,ndjalyè noḿe,awongwè,ezómbi za rer'iyaḿi,rèra,ngwè,mbal'waḿi,ngwè,ngwè,ngwè,mbal'waḿi,rèrè,ezómbi za rer'iyaḿi,rèra,iya,rèrè,rèrè,mbal'waḿi,ngw'onèró zaḿi,ngwè,ezómbi za rer'iyaḿi,ezómbi za rer'iyaḿi,iya,rer'erumbe zaḿi,rèrè,rer'onèró zaḿi,ngwè,ngw'erumbe zaḿi,mbal'waḿi,ezómbi za rer'iyaḿi,ezómbi za rer'iyaḿi
7,0.3495531810101311,2.1055885490394464,1.7560353680293153,ndjalyè noḿe,ezómbi,ezómbi,awarerè,ndjalyè noḿe,ndjalyè noḿe,nkovuni,ezómbi,awarerè,awongwè,onèró zaḿi,awarerè,onèró zaḿi,ndjalyè nanto,awongwè,ezómbi,ezómbi,ngwè,awarerè,ndjalyè noḿe,awarerè,awongwè,ezómbi,ngwè,ndjalyè nanto,awarerè,awongwè,ngwè,awongwè,awongwè,ezómbi,awarerè,ezómbi,awongwè,ngwè,ezómbi,awongwè,awongwè,ezómbi,ngwè,awongwè,ezómbi,onwângwẽ,awarerè,nkovuni,awongwè,awongwè,awarerè,ezómbi,awarerè,ezómbi,awongwè,awongwè,ngwè,awarerè,ndjalyè nanto,awongwè,awarerè,awongwè,onwângwẽ,ezómbi,awarerè,ngwè,awarerè,ndjalyè noḿe,ndjalyè noḿe,awongwè,ndjalyè nanto,ezómbi,awongwè,ezómbi,awongwè,nkovuni,awarerè,ndjalyè noḿe,awongwè,awarerè,ngwè,awarerè,ezómbi,ngwè,awarerè,awarerè,awarerè,awongwè,nkovuni,ezómbi,awarerè,awongwè,ngwè,rèrè,rer'onèró zaḿi,ezómbi za rer'iyaḿi,ngw'onèró zaḿi,rèra,ezómbi za rer'iyaḿi,ngwè,ezómbi za rer'iyaḿi,mbal'waḿi,rer'erumbe zaḿi,ngw'erumbe zaḿi,rèrè,ezómbi za rer'iyaḿi,mbal'waḿi,ezómbi za rer'iyaḿi,ngwè,rèrè,ngwè,ezómbi za rer'iyaḿi,mbal'waḿi,ngwè,iya,ngwè,rèra,rèrè,iya,mbal'waḿi
8,0.42118775378732765,2.02283860025916,1.6016508464718322,ngwè,awarerè,awongwè,awarerè,awongwè,awongwè,ndjalyè noḿe,ndjalyè noḿe,ezómbi,awongwè,awarerè,awarerè,awarerè,ngwè,awongwè,awarerè,awarerè,ndjalyè nanto,awarerè,onwângwẽ,awongwè,awarerè,ngwè,ezómbi,ezómbi,ezómbi,awarerè,awarerè,nkovuni,awongwè,ndjalyè nanto,awongwè,awarerè,ezómbi,awarerè,awarerè,ngwè,ezómbi,onwângwẽ,ezómbi,awongwè,ndjalyè noḿe,awarerè,awarerè,onèró zaḿi,ezómbi,ezómbi,onèró zaḿi,ngwè,awongwè,awongwè,awongwè,awarerè,ezómbi,ngwè,awongwè,awongwè,awongwè,ngwè,ezómbi,ndjalyè nanto,awongwè,nkovuni,ezómbi,ezómbi,ndjalyè noḿe,awongwè,awongwè,ezómbi,ezómbi,ngwè,awarerè,awarerè,ndjalyè noḿe,awarerè,nkovuni,ndjalyè noḿe,awarerè,ezómbi,ezómbi,ndjalyè nanto,ezómbi,nkovuni,awongwè,ngwè,awongwè,awongwè,ndjalyè noḿe,awongwè,ngwè,ngwè,ngwè,mbal'waḿi,rèrè,rèrè,rèrè,rer'onèró zaḿi,ngw'onèró zaḿi,rèrè,ngwè,iya,iya,rèra,mbal'waḿi,rer'erumbe zaḿi,ngwè,ngwè,ezómbi za rer'iyaḿi,ezómbi za rer'iyaḿi,ezómbi za rer'iyaḿi,mbal'waḿi,ezómbi za rer'iyaḿi,ezómbi za rer'iyaḿi,mbal'waḿi,rèra,ngw'erumbe zaḿi,ezómbi za rer'iyaḿi
9,0.3442753411361006,2.0467551520990206,1.70247981096292,ngwè,awarerè,awongwè,onwângwẽ,ezómbi,ndjalyè nanto,awongwè,ezómbi,awongwè,awongwè,awongwè,awarerè,ezómbi,ngwè,ezómbi,awongwè,awarerè,awongwè,ndjalyè noḿe,ndjalyè noḿe,ngwè,awarerè,awongwè,awongwè,ndjalyè nanto,ezómbi,awongwè,awarerè,awongwè,awarerè,awarerè,ezómbi,ndjalyè nanto,awongwè,awarerè,awongwè,awongwè,nkovuni,awongwè,ndjalyè noḿe,ezómbi,ezómbi,awongwè,awarerè,ezómbi,ngwè,ngwè,onèró zaḿi,ndjalyè noḿe,ndjalyè nanto,awongwè,ezómbi,ezómbi,awarerè,awarerè,ndjalyè noḿe,awarerè,onwângwẽ,awarerè,awarerè,ngwè,ezómbi,ezómbi,onèró zaḿi,awongwè,awarerè,awongwè,awongwè,ndjalyè noḿe,ndjalyè noḿe,awarerè,awarerè,awongwè,awarerè,awongwè,nkovuni,ngwè,ezómbi,ngwè,ezómbi,ngwè,ezómbi,ezómbi,nkovuni,nkovuni,awarerè,awarerè,awarerè,ezómbi,ngw'erumbe zaḿi,iya,rèra,rèrè,rèrè,rer'onèró zaḿi,ngw'onèró zaḿi,rèrè,ezómbi za rer'iyaḿi,ezómbi za rer'iyaḿi,mbal'waḿi,ezómbi za rer'iyaḿi,ezómbi za rer'iyaḿi,ngwè,ngwè,mbal'waḿi,ngwè,rer'erumbe zaḿi,rèrè,rèra,mbal'waḿi,ngwè,ngwè,ezómbi za rer'iyaḿi,iya,mbal'waḿi,ezómbi za rer'iyaḿi,ngwè
