simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mMZS,mFBD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fMBD,fMZD,mFeZS,mFyZS,mFeBD,mFyBD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFBeD,mFByD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,0.24437588416276945,1.0027399543973452,0.7583640702345757,fafnagu,agasugu,"fagu, agasugu",dasigu,agasugu,"fagu, agasugu","fagu, agasugu","agasugu, alismara, karasigu","agasugu, alismara, karasigu",agasugu,"agasugu, alismara, karasigu","fagu, kogaslunan",agasugu,fafnagu,fafnagu,"fagu, kogaslunan","fagu, agasugu",duagu,"agasugu, alismara, karasigu",agasugu,fagu,"agasugu, alismara, karasigu",fagu,"fagu, kogaslunan",fafnagu,agasugu,fafnagu,agasugu,fafnagu,"fagu, agasugu",agasugu,agasugu,"fagu, kogaslunan","agasugu, alismara, karasigu",fagu,fagu,agasugu,fafnagu,"agasugu, alismara, karasigu","fagu, agasugu",agasugu,"fagu, agasugu","fagu, kogaslunan",fafnagu,agasugu,fafnagu,agasugu,fafnagu,agasugu,agasugu,fafnagu,"fagu, agasugu","agasugu, alismara, karasigu",fafnagu,agasugu,agasugu,"fagu, agasugu",fafnagu,fagu,"agasugu, alismara, karasigu",fafnagu,fafnagu,agasugu,"fagu, agasugu",duagu,"agasugu, alismara, karasigu",fafnagu,fafnagu,fafnagu,agasugu,"mago, mama","mago, mama","mago, mama",mogorugu,mogorugu,"mago, mama","mago, mama",naga,naga,mogorugu,mogorugu,"mago, mama"
1,0.25322355786510997,1.0583453685867263,0.8051218107216164,agasugu,fafnagu,fafnagu,agasugu,fafnagu,"agasugu, alismara, karasigu",fafnagu,"agasugu, alismara, karasigu",fagu,agasugu,agasugu,"agasugu, alismara, karasigu",fafnagu,agasugu,fafnagu,"fagu, agasugu",fafnagu,fafnagu,"agasugu, alismara, karasigu",agasugu,"fagu, agasugu",agasugu,fagu,fafnagu,fafnagu,"fagu, agasugu","fagu, agasugu","fagu, agasugu","fagu, agasugu",fafnagu,agasugu,agasugu,fafnagu,fafnagu,agasugu,agasugu,fafnagu,agasugu,"fagu, agasugu","fagu, agasugu","agasugu, alismara, karasigu",agasugu,fafnagu,"fagu, kogaslunan",fagu,"fagu, kogaslunan",fafnagu,"agasugu, alismara, karasigu",agasugu,"fagu, kogaslunan",agasugu,fagu,duagu,"fagu, agasugu","agasugu, alismara, karasigu","fagu, agasugu",fafnagu,"fagu, kogaslunan",agasugu,agasugu,agasugu,"agasugu, alismara, karasigu","agasugu, alismara, karasigu","agasugu, alismara, karasigu","fagu, kogaslunan",fafnagu,agasugu,duagu,fagu,dasigu,mogorugu,naga,mogorugu,naga,"mago, mama","mago, mama",mogorugu,"mago, mama","mago, mama","mago, mama","mago, mama",mogorugu
2,0.23719041321321122,1.013916881041334,0.7767264678281227,fagu,agasugu,fafnagu,agasugu,agasugu,"fagu, agasugu",agasugu,duagu,fafnagu,"fagu, agasugu",fagu,"agasugu, alismara, karasigu",agasugu,fafnagu,dasigu,"agasugu, alismara, karasigu",fagu,"fagu, kogaslunan",agasugu,agasugu,fafnagu,fafnagu,duagu,agasugu,fafnagu,fafnagu,fagu,agasugu,agasugu,"fagu, agasugu",fafnagu,"agasugu, alismara, karasigu",agasugu,"fagu, agasugu",fafnagu,fagu,fafnagu,"fagu, agasugu","fagu, agasugu",fafnagu,"agasugu, alismara, karasigu","fagu, kogaslunan","fagu, agasugu",agasugu,"fagu, kogaslunan",fafnagu,fafnagu,"fagu, agasugu","fagu, agasugu","agasugu, alismara, karasigu","agasugu, alismara, karasigu","agasugu, alismara, karasigu",agasugu,agasugu,fafnagu,agasugu,agasugu,fafnagu,"fagu, kogaslunan","agasugu, alismara, karasigu",fafnagu,agasugu,agasugu,"fagu, agasugu",fafnagu,"agasugu, alismara, karasigu","fagu, kogaslunan","agasugu, alismara, karasigu",agasugu,fafnagu,"mago, mama",mogorugu,"mago, mama",naga,mogorugu,"mago, mama",mogorugu,"mago, mama","mago, mama",mogorugu,"mago, mama",naga
3,0.25649080394033863,1.066562484888105,0.8100716809477664,"fagu, agasugu",agasugu,fafnagu,agasugu,"fagu, agasugu","fagu, agasugu","agasugu, alismara, karasigu",fafnagu,"fagu, agasugu","fagu, kogaslunan",agasugu,fafnagu,fafnagu,agasugu,agasugu,fafnagu,duagu,fafnagu,"fagu, agasugu","agasugu, alismara, karasigu","agasugu, alismara, karasigu","agasugu, alismara, karasigu",fagu,"agasugu, alismara, karasigu","fagu, kogaslunan",fafnagu,fagu,agasugu,"fagu, kogaslunan",fafnagu,"fagu, agasugu","fagu, kogaslunan",duagu,fafnagu,agasugu,fafnagu,fafnagu,"fagu, agasugu",fafnagu,agasugu,fagu,"agasugu, alismara, karasigu","agasugu, alismara, karasigu",agasugu,fafnagu,"agasugu, alismara, karasigu","fagu, agasugu",agasugu,"fagu, agasugu",agasugu,agasugu,fafnagu,fafnagu,agasugu,fafnagu,"agasugu, alismara, karasigu","agasugu, alismara, karasigu","fagu, agasugu",agasugu,agasugu,agasugu,fagu,agasugu,agasugu,"fagu, kogaslunan",dasigu,agasugu,fafnagu,fagu,fafnagu,"mago, mama",mogorugu,naga,naga,mogorugu,"mago, mama",mogorugu,mogorugu,"mago, mama","mago, mama","mago, mama","mago, mama"
4,0.36931563265932277,1.0539780582227394,0.6846624255634166,agasugu,agasugu,agasugu,"fagu, agasugu",duagu,agasugu,"fagu, agasugu",agasugu,"agasugu, alismara, karasigu",agasugu,agasugu,"agasugu, alismara, karasigu",fafnagu,agasugu,"fagu, kogaslunan","agasugu, alismara, karasigu",agasugu,fafnagu,dasigu,fafnagu,"fagu, kogaslunan",fafnagu,"agasugu, alismara, karasigu",fafnagu,agasugu,"agasugu, alismara, karasigu",fafnagu,fafnagu,"fagu, kogaslunan","fagu, kogaslunan",fafnagu,"agasugu, alismara, karasigu",agasugu,"fagu, agasugu",agasugu,"fagu, agasugu","agasugu, alismara, karasigu","agasugu, alismara, karasigu",agasugu,agasugu,fafnagu,fafnagu,agasugu,fafnagu,agasugu,"agasugu, alismara, karasigu",agasugu,fagu,fagu,duagu,fafnagu,"fagu, agasugu",fafnagu,fafnagu,"fagu, agasugu",fagu,fagu,"fagu, agasugu","fagu, kogaslunan",fafnagu,agasugu,fagu,"agasugu, alismara, karasigu",fafnagu,"fagu, agasugu","fagu, agasugu","fagu, agasugu",fafnagu,agasugu,fafnagu,"mago, mama",naga,"mago, mama",naga,"mago, mama","mago, mama",mogorugu,mogorugu,mogorugu,"mago, mama",mogorugu,"mago, mama"
5,0.13582057057548158,1.0177713579953944,0.8819507874199128,duagu,agasugu,fafnagu,fafnagu,agasugu,agasugu,fafnagu,fafnagu,agasugu,duagu,"fagu, kogaslunan",fafnagu,fagu,agasugu,agasugu,"agasugu, alismara, karasigu",agasugu,"fagu, agasugu","agasugu, alismara, karasigu",dasigu,"fagu, kogaslunan","fagu, kogaslunan","fagu, agasugu","fagu, agasugu",agasugu,agasugu,"fagu, agasugu",agasugu,fafnagu,agasugu,"fagu, kogaslunan",agasugu,"agasugu, alismara, karasigu",agasugu,"fagu, agasugu","fagu, kogaslunan",fagu,"agasugu, alismara, karasigu","agasugu, alismara, karasigu","fagu, agasugu",fafnagu,"agasugu, alismara, karasigu",agasugu,"agasugu, alismara, karasigu",agasugu,agasugu,fafnagu,fafnagu,"fagu, agasugu",fafnagu,fafnagu,"fagu, agasugu",fafnagu,agasugu,"agasugu, alismara, karasigu",fagu,fafnagu,fafnagu,fafnagu,"fagu, agasugu",agasugu,"agasugu, alismara, karasigu",agasugu,"fagu, agasugu",fafnagu,fafnagu,"agasugu, alismara, karasigu",fagu,fafnagu,fagu,mogorugu,"mago, mama","mago, mama","mago, mama",mogorugu,"mago, mama",naga,mogorugu,"mago, mama","mago, mama",naga,mogorugu
6,0.08537587481890818,0.9836920185842926,0.8983161437653844,fafnagu,fafnagu,fafnagu,agasugu,agasugu,"agasugu, alismara, karasigu",duagu,agasugu,"fagu, kogaslunan","fagu, agasugu","agasugu, alismara, karasigu",fafnagu,"agasugu, alismara, karasigu","fagu, agasugu",agasugu,agasugu,"agasugu, alismara, karasigu","fagu, kogaslunan","agasugu, alismara, karasigu","fagu, agasugu","fagu, kogaslunan",agasugu,"fagu, agasugu",fafnagu,"fagu, kogaslunan",agasugu,agasugu,fafnagu,fafnagu,agasugu,fafnagu,dasigu,fafnagu,agasugu,fagu,"agasugu, alismara, karasigu","fagu, agasugu",duagu,fagu,fafnagu,"fagu, agasugu",fafnagu,"fagu, agasugu",fagu,fafnagu,agasugu,fafnagu,fagu,agasugu,"agasugu, alismara, karasigu","agasugu, alismara, karasigu",fafnagu,"fagu, kogaslunan",fafnagu,"fagu, agasugu",agasugu,"fagu, agasugu",fagu,agasugu,agasugu,fafnagu,fafnagu,agasugu,"agasugu, alismara, karasigu",agasugu,agasugu,agasugu,fafnagu,"agasugu, alismara, karasigu","fagu, agasugu",mogorugu,mogorugu,naga,"mago, mama",mogorugu,"mago, mama","mago, mama","mago, mama","mago, mama",naga,mogorugu,"mago, mama"
7,0.3993156818636018,0.9420556408095728,0.542739958945971,agasugu,fafnagu,fafnagu,agasugu,fagu,"agasugu, alismara, karasigu",fafnagu,agasugu,"fagu, agasugu",agasugu,fafnagu,"fagu, agasugu","fagu, kogaslunan",agasugu,agasugu,agasugu,dasigu,fafnagu,fafnagu,"agasugu, alismara, karasigu",agasugu,agasugu,agasugu,"fagu, kogaslunan",agasugu,duagu,fafnagu,"fagu, agasugu",agasugu,"agasugu, alismara, karasigu",fagu,"agasugu, alismara, karasigu",agasugu,agasugu,"fagu, agasugu","agasugu, alismara, karasigu",agasugu,fafnagu,fagu,fafnagu,agasugu,agasugu,"agasugu, alismara, karasigu","fagu, kogaslunan","agasugu, alismara, karasigu",fafnagu,fafnagu,duagu,fagu,fafnagu,agasugu,fagu,"fagu, agasugu",fafnagu,"fagu, agasugu","fagu, agasugu",fafnagu,"agasugu, alismara, karasigu","fagu, kogaslunan",fafnagu,"agasugu, alismara, karasigu",fafnagu,"agasugu, alismara, karasigu","fagu, agasugu",fafnagu,"fagu, kogaslunan","fagu, agasugu",fafnagu,"fagu, agasugu",agasugu,"mago, mama",mogorugu,"mago, mama","mago, mama","mago, mama",mogorugu,"mago, mama",mogorugu,"mago, mama",naga,naga,mogorugu
8,0.30129824376574443,0.9069764873331407,0.6056782435673963,"fagu, kogaslunan",agasugu,"fagu, agasugu","agasugu, alismara, karasigu",fafnagu,agasugu,fafnagu,fafnagu,fafnagu,fagu,"fagu, agasugu",duagu,"fagu, agasugu",fafnagu,agasugu,agasugu,"fagu, kogaslunan",fafnagu,agasugu,agasugu,fagu,"agasugu, alismara, karasigu",fafnagu,duagu,"fagu, agasugu",fafnagu,"fagu, agasugu","agasugu, alismara, karasigu","agasugu, alismara, karasigu","fagu, agasugu",agasugu,agasugu,"fagu, kogaslunan",agasugu,"agasugu, alismara, karasigu","fagu, agasugu",fafnagu,agasugu,fafnagu,agasugu,fafnagu,"agasugu, alismara, karasigu","fagu, agasugu","agasugu, alismara, karasigu",agasugu,"fagu, kogaslunan",fafnagu,agasugu,fagu,"agasugu, alismara, karasigu",agasugu,"fagu, agasugu","agasugu, alismara, karasigu",fagu,agasugu,"fagu, kogaslunan",fafnagu,fafnagu,fafnagu,agasugu,"agasugu, alismara, karasigu",dasigu,fagu,fafnagu,agasugu,"fagu, agasugu",fafnagu,agasugu,fafnagu,agasugu,"mago, mama",mogorugu,"mago, mama","mago, mama",naga,"mago, mama","mago, mama",mogorugu,mogorugu,naga,mogorugu,"mago, mama"
9,0.3484814321438958,1.004214913880662,0.6557334817367662,"fagu, agasugu",fagu,"fagu, agasugu",agasugu,agasugu,"fagu, kogaslunan",agasugu,"fagu, agasugu",agasugu,"agasugu, alismara, karasigu",fafnagu,"fagu, agasugu","agasugu, alismara, karasigu",fafnagu,agasugu,"agasugu, alismara, karasigu","fagu, kogaslunan",fafnagu,"fagu, kogaslunan",fafnagu,fafnagu,"fagu, agasugu",fafnagu,fafnagu,fafnagu,"agasugu, alismara, karasigu",fafnagu,fafnagu,fafnagu,agasugu,agasugu,"fagu, kogaslunan","agasugu, alismara, karasigu","agasugu, alismara, karasigu","agasugu, alismara, karasigu",fafnagu,"agasugu, alismara, karasigu",agasugu,agasugu,fagu,"fagu, agasugu",fafnagu,"fagu, kogaslunan","fagu, agasugu",agasugu,duagu,agasugu,agasugu,fafnagu,agasugu,"agasugu, alismara, karasigu",agasugu,fafnagu,agasugu,agasugu,agasugu,fafnagu,fafnagu,fagu,"agasugu, alismara, karasigu","fagu, agasugu",agasugu,fafnagu,"fagu, agasugu",duagu,fagu,"fagu, agasugu",fagu,dasigu,agasugu,mogorugu,mogorugu,mogorugu,"mago, mama","mago, mama",naga,naga,"mago, mama","mago, mama","mago, mama","mago, mama",mogorugu
