simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.110561582156953,1.376397987355977,1.265836405199024,"vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","suan, titi","vain, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","ngkoren, nana","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","ngkoren, nana","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","suan, titi","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","suan, titi","hivang, tawian","hivang, tawian","vain, tawian","ngkoren, nana","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","ngkoren, nana","vain, tawian","miim, vingon","lolo, tavalin","lolo, tavalin","miim, vingon","lolo, tavalin","lolo, tavalin","taman, aba, poop","taman, aba, poop","anuh, bwilamw","taman, aba, poop","anuh, bwilamw","miim, vingon","anuh, bwilamw","taman, aba, poop","taman, aba, poop","miim, vingon","anuh, bwilamw","taman, aba, poop","anuh, bwilamw","anuh, bwilamw"
1,0.1395721919871149,1.34791009821198,1.2083379062248651,"hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","suan, titi","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","suan, titi","vain, tawian","vain, tawian","vain, tawian","ngkoren, nana","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","ngkoren, nana","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","suan, titi","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","ngkoren, nana","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","ngkoren, nana","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","miim, vingon","anuh, bwilamw","taman, aba, poop","taman, aba, poop","taman, aba, poop","lolo, tavalin","miim, vingon","lolo, tavalin","miim, vingon","lolo, tavalin","anuh, bwilamw","taman, aba, poop","anuh, bwilamw","lolo, tavalin","taman, aba, poop","miim, vingon","taman, aba, poop","anuh, bwilamw","anuh, bwilamw","anuh, bwilamw"
2,0.13167919730364064,1.371768896629724,1.2400896993260833,"hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","ngkoren, nana","hivang, tawian","vain, tawian","vain, tawian","suan, titi","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","ngkoren, nana","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","ngkoren, nana","vain, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","suan, titi","vain, tawian","ngkoren, nana","vain, tawian","hivang, tawian","suan, titi","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","taman, aba, poop","anuh, bwilamw","miim, vingon","anuh, bwilamw","miim, vingon","lolo, tavalin","lolo, tavalin","anuh, bwilamw","taman, aba, poop","taman, aba, poop","anuh, bwilamw","taman, aba, poop","miim, vingon","anuh, bwilamw","taman, aba, poop","taman, aba, poop","lolo, tavalin","lolo, tavalin","miim, vingon","anuh, bwilamw"
3,0.02542327495289487,1.3717688966297237,1.3463456216768288,"hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","ngkoren, nana","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","suan, titi","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","ngkoren, nana","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","suan, titi","vain, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","ngkoren, nana","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","suan, titi","hivang, tawian","vain, tawian","ngkoren, nana","vain, tawian","taman, aba, poop","miim, vingon","anuh, bwilamw","lolo, tavalin","miim, vingon","taman, aba, poop","miim, vingon","anuh, bwilamw","taman, aba, poop","lolo, tavalin","taman, aba, poop","lolo, tavalin","lolo, tavalin","anuh, bwilamw","miim, vingon","anuh, bwilamw","anuh, bwilamw","anuh, bwilamw","taman, aba, poop","taman, aba, poop"
4,0.17889382340605442,1.355324148501538,1.1764303250954835,"vain, tawian","vain, tawian","vain, tawian","ngkoren, nana","suan, titi","hivang, tawian","hivang, tawian","ngkoren, nana","hivang, tawian","vain, tawian","ngkoren, nana","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","ngkoren, nana","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","suan, titi","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","suan, titi","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","lolo, tavalin","anuh, bwilamw","taman, aba, poop","lolo, tavalin","miim, vingon","lolo, tavalin","taman, aba, poop","miim, vingon","anuh, bwilamw","taman, aba, poop","lolo, tavalin","anuh, bwilamw","taman, aba, poop","miim, vingon","anuh, bwilamw","anuh, bwilamw","miim, vingon","taman, aba, poop","taman, aba, poop","anuh, bwilamw"
5,0.0860453389828133,1.355324148501538,1.2692788095187246,"vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","suan, titi","ngkoren, nana","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","ngkoren, nana","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","ngkoren, nana","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","ngkoren, nana","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","suan, titi","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","suan, titi","vain, tawian","vain, tawian","vain, tawian","anuh, bwilamw","taman, aba, poop","taman, aba, poop","lolo, tavalin","miim, vingon","taman, aba, poop","anuh, bwilamw","anuh, bwilamw","taman, aba, poop","taman, aba, poop","lolo, tavalin","lolo, tavalin","miim, vingon","miim, vingon","anuh, bwilamw","anuh, bwilamw","anuh, bwilamw","miim, vingon","lolo, tavalin","taman, aba, poop"
6,0.21867651384957942,1.3624474851916286,1.1437709713420492,"vain, tawian","hivang, tawian","hivang, tawian","suan, titi","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","suan, titi","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","ngkoren, nana","hivang, tawian","hivang, tawian","vain, tawian","ngkoren, nana","vain, tawian","hivang, tawian","ngkoren, nana","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","ngkoren, nana","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","suan, titi","vain, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","anuh, bwilamw","miim, vingon","anuh, bwilamw","anuh, bwilamw","lolo, tavalin","anuh, bwilamw","lolo, tavalin","lolo, tavalin","anuh, bwilamw","taman, aba, poop","taman, aba, poop","taman, aba, poop","miim, vingon","taman, aba, poop","taman, aba, poop","miim, vingon","lolo, tavalin","taman, aba, poop","miim, vingon","anuh, bwilamw"
7,0.10881291464433573,1.3698615354811867,1.261048620836851,"vain, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","ngkoren, nana","vain, tawian","hivang, tawian","suan, titi","ngkoren, nana","vain, tawian","hivang, tawian","vain, tawian","suan, titi","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","ngkoren, nana","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","ngkoren, nana","vain, tawian","hivang, tawian","suan, titi","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","taman, aba, poop","taman, aba, poop","anuh, bwilamw","miim, vingon","miim, vingon","anuh, bwilamw","taman, aba, poop","lolo, tavalin","anuh, bwilamw","miim, vingon","lolo, tavalin","lolo, tavalin","anuh, bwilamw","taman, aba, poop","anuh, bwilamw","lolo, tavalin","miim, vingon","taman, aba, poop","taman, aba, poop","anuh, bwilamw"
8,0.055627907468709825,1.3652324447549333,1.3096045372862235,"vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","suan, titi","vain, tawian","vain, tawian","ngkoren, nana","vain, tawian","vain, tawian","suan, titi","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","ngkoren, nana","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","suan, titi","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","ngkoren, nana","hivang, tawian","hivang, tawian","ngkoren, nana","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","lolo, tavalin","anuh, bwilamw","anuh, bwilamw","taman, aba, poop","taman, aba, poop","taman, aba, poop","miim, vingon","miim, vingon","anuh, bwilamw","lolo, tavalin","taman, aba, poop","taman, aba, poop","anuh, bwilamw","anuh, bwilamw","taman, aba, poop","lolo, tavalin","anuh, bwilamw","miim, vingon","lolo, tavalin","miim, vingon"
9,0.04601552849340029,1.3698615354811867,1.3238460069877864,"suan, titi","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","ngkoren, nana","hivang, tawian","suan, titi","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","ngkoren, nana","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","suan, titi","vain, tawian","ngkoren, nana","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","ngkoren, nana","hivang, tawian","vain, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","hivang, tawian","hivang, tawian","hivang, tawian","vain, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","hivang, tawian","vain, tawian","vain, tawian","hivang, tawian","vain, tawian","taman, aba, poop","lolo, tavalin","lolo, tavalin","taman, aba, poop","lolo, tavalin","miim, vingon","anuh, bwilamw","anuh, bwilamw","miim, vingon","taman, aba, poop","miim, vingon","anuh, bwilamw","taman, aba, poop","anuh, bwilamw","anuh, bwilamw","miim, vingon","lolo, tavalin","taman, aba, poop","anuh, bwilamw","taman, aba, poop"
