simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZD,fFZD,mFeZD,mFyZD,mFZeD,mFZyD,fFeZD,fFyZD,fFZeD,fFZyD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.4140337748361713,1.2112465729695872,0.7972127981334158,vave vakharru,vave vakharru,vave vakharru,jokhos-,vave vakharru,tas-,vave vakharru,tua-,tua-,jokhos-,vave vakharru,vave vakharru,vave vakharru,tua-,vave vakharru,vave vakharru,tas-,vave,jokho-,jokho-,jokho-,b'ev'e,vave,"nerra-, tana-, tete",vave,b'ev'e,"nerra-, tana-, tete",vave,jokho-
1,0.15137473349415975,1.3486289544613381,1.1972542209671784,tua-,vave vakharru,tua-,vave vakharru,tua-,vave vakharru,vave vakharru,tas-,jokhos-,vave vakharru,vave vakharru,vave vakharru,jokhos-,vave vakharru,vave vakharru,vave vakharru,tas-,vave,"nerra-, tana-, tete","nerra-, tana-, tete",vave,b'ev'e,b'ev'e,vave,jokho-,jokho-,jokho-,vave,jokho-
2,0.3333945993997529,1.365392686748971,1.031998087349218,vave vakharru,vave vakharru,jokhos-,jokhos-,vave vakharru,tua-,tas-,tua-,tua-,vave vakharru,vave vakharru,vave vakharru,vave vakharru,vave vakharru,tas-,vave vakharru,vave vakharru,b'ev'e,jokho-,vave,"nerra-, tana-, tete",b'ev'e,jokho-,"nerra-, tana-, tete",vave,jokho-,vave,jokho-,vave
3,0.2152019801511158,1.3486289544613381,1.1334269743102223,vave vakharru,tua-,vave vakharru,tas-,vave vakharru,jokhos-,tua-,vave vakharru,tas-,jokhos-,tua-,vave vakharru,vave vakharru,vave vakharru,vave vakharru,vave vakharru,vave vakharru,"nerra-, tana-, tete",vave,b'ev'e,"nerra-, tana-, tete",vave,vave,jokho-,vave,jokho-,jokho-,jokho-,b'ev'e
4,0.4303586906435264,1.3421131789144003,0.9117544882708739,tua-,vave vakharru,vave vakharru,tua-,jokhos-,tas-,vave vakharru,jokhos-,vave vakharru,vave vakharru,vave vakharru,vave vakharru,tua-,vave vakharru,vave vakharru,tas-,vave vakharru,jokho-,jokho-,b'ev'e,"nerra-, tana-, tete",vave,jokho-,vave,jokho-,vave,"nerra-, tana-, tete",b'ev'e,vave
5,0.3109289581712338,1.2945451658448959,0.9836162076736621,tas-,vave vakharru,tas-,vave vakharru,vave vakharru,vave vakharru,vave vakharru,vave vakharru,vave vakharru,tua-,tua-,vave vakharru,vave vakharru,jokhos-,tua-,jokhos-,vave vakharru,vave,vave,jokho-,b'ev'e,b'ev'e,"nerra-, tana-, tete",jokho-,vave,vave,jokho-,jokho-,"nerra-, tana-, tete"
6,0.3559896892026797,1.2112465729695874,0.8552568837669077,vave vakharru,vave vakharru,tas-,vave vakharru,vave vakharru,jokhos-,tua-,tas-,vave vakharru,vave vakharru,vave vakharru,vave vakharru,tua-,tua-,jokhos-,vave vakharru,vave vakharru,b'ev'e,vave,vave,jokho-,b'ev'e,vave,jokho-,"nerra-, tana-, tete","nerra-, tana-, tete",vave,jokho-,jokho-
7,0.2575777840782656,1.3222894693966978,1.0647116853184322,vave vakharru,vave vakharru,jokhos-,tua-,vave vakharru,vave vakharru,tua-,vave vakharru,tas-,tas-,vave vakharru,jokhos-,vave vakharru,vave vakharru,vave vakharru,vave vakharru,tua-,vave,jokho-,vave,"nerra-, tana-, tete",jokho-,b'ev'e,jokho-,vave,b'ev'e,vave,jokho-,"nerra-, tana-, tete"
8,0.38938770520353794,1.3730039128771998,0.9836162076736619,vave vakharru,vave vakharru,jokhos-,tua-,tas-,jokhos-,vave vakharru,vave vakharru,tua-,vave vakharru,tua-,vave vakharru,vave vakharru,vave vakharru,tas-,vave vakharru,vave vakharru,b'ev'e,b'ev'e,"nerra-, tana-, tete",jokho-,vave,jokho-,vave,vave,vave,"nerra-, tana-, tete",jokho-,jokho-
9,0.26254707849567804,1.2747214563271934,1.0121743778315153,vave vakharru,vave vakharru,tua-,vave vakharru,vave vakharru,vave vakharru,vave vakharru,tas-,jokhos-,tas-,vave vakharru,vave vakharru,vave vakharru,vave vakharru,jokhos-,tua-,tua-,vave,b'ev'e,vave,jokho-,jokho-,b'ev'e,"nerra-, tana-, tete",vave,"nerra-, tana-, tete",vave,jokho-,jokho-
