simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB
0,0.23739509358285937,1.0366279688586069,0.7992328752757475,marryara,boolara ngarumboodgee,kurta,ngaRamputyi,multherella,ngaRamputyi,kijerri,kijerri,multherella,marryara,boolara ngarumboodgee,ngarnka,thuwa,kaka,kaka,mama,mama,thuwa,kaka,kaka,thuwa,thuwa,kaka,thuwa,thuwa,kaka,ngarnka
1,0.19257144415520389,0.5297061990576545,0.3371347549024506,ngaRamputyi,kurta,kijerri,marryara,kijerri,boolara ngarumboodgee,marryara,multherella,multherella,boolara ngarumboodgee,ngaRamputyi,kaka,kaka,thuwa,thuwa,kaka,ngarnka,thuwa,kaka,ngarnka,kaka,mama,thuwa,kaka,thuwa,thuwa,mama
2,0.42684317509042224,1.3801087571572686,0.9532655820668463,multherella,multherella,ngaRamputyi,kijerri,boolara ngarumboodgee,marryara,boolara ngarumboodgee,marryara,ngaRamputyi,kijerri,kurta,thuwa,kaka,kaka,kaka,kaka,thuwa,kaka,thuwa,mama,ngarnka,kaka,thuwa,mama,thuwa,thuwa,ngarnka
3,0.5808758818815212,0.9950269901795212,0.414151108298,ngaRamputyi,boolara ngarumboodgee,kurta,kijerri,kijerri,boolara ngarumboodgee,multherella,multherella,ngaRamputyi,marryara,marryara,thuwa,thuwa,kaka,mama,kaka,ngarnka,thuwa,kaka,kaka,ngarnka,kaka,thuwa,thuwa,kaka,thuwa,mama
4,0.047947012075296835,0.6931471805599453,0.6452001684846485,ngaRamputyi,ngaRamputyi,multherella,kijerri,marryara,kurta,boolara ngarumboodgee,multherella,marryara,kijerri,boolara ngarumboodgee,mama,kaka,thuwa,thuwa,ngarnka,thuwa,thuwa,kaka,kaka,mama,ngarnka,thuwa,thuwa,kaka,kaka,kaka
5,0.3788961630151254,0.9950269901795212,0.6161308271643958,boolara ngarumboodgee,marryara,boolara ngarumboodgee,kijerri,multherella,multherella,ngaRamputyi,marryara,kijerri,kurta,ngaRamputyi,kaka,kaka,mama,kaka,thuwa,thuwa,thuwa,ngarnka,thuwa,ngarnka,kaka,kaka,thuwa,mama,thuwa,kaka
6,0.3434807882986616,1.0366279688586069,0.6931471805599453,kurta,marryara,boolara ngarumboodgee,ngaRamputyi,boolara ngarumboodgee,kijerri,marryara,kijerri,multherella,multherella,ngaRamputyi,kaka,ngarnka,thuwa,thuwa,thuwa,kaka,thuwa,thuwa,kaka,mama,kaka,mama,thuwa,ngarnka,kaka,kaka
7,0.42049714169421104,1.0366279688586069,0.6161308271643958,multherella,kurta,marryara,boolara ngarumboodgee,boolara ngarumboodgee,marryara,multherella,ngaRamputyi,kijerri,kijerri,ngaRamputyi,thuwa,kaka,kaka,thuwa,ngarnka,thuwa,mama,kaka,mama,kaka,thuwa,kaka,kaka,thuwa,thuwa,ngarnka
8,0.5329288698062244,0.9950269901795212,0.46209812037329684,kijerri,ngaRamputyi,marryara,kijerri,ngaRamputyi,kurta,multherella,boolara ngarumboodgee,boolara ngarumboodgee,multherella,marryara,mama,mama,ngarnka,kaka,thuwa,thuwa,thuwa,thuwa,thuwa,kaka,kaka,thuwa,kaka,ngarnka,kaka,kaka
9,0.34982682169487267,1.0720433435750707,0.722216521880198,boolara ngarumboodgee,multherella,kijerri,kurta,ngaRamputyi,kijerri,marryara,boolara ngarumboodgee,marryara,ngaRamputyi,multherella,kaka,ngarnka,thuwa,kaka,kaka,thuwa,thuwa,thuwa,thuwa,thuwa,ngarnka,kaka,kaka,kaka,mama,mama
