simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,fB,fZ,meB,meZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,feZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,myB,myZ,fyB,fyZ,mF,mM,fF,fM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.05464348699023458,1.0762815311530085,1.021638044162774,kan,kan,puurrii,kan,kan,bingi,kan,kan,kan,kan,kan,kan,kan,narbooe,kalpamay,kan,kan,kan,kan,puurrii,narbooe,kan,kan,kan,kan,kaathii,kan,kan,kan,kaakaa,kan,kan,kan,kan,kan,kan,kan,kaakaa,kan,kan,kan,kaathii,kan,kan,kan,kan,bingi,kan,kan,kan,kan,kan,kan,kan,kalpamay,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,koondi,koondi,kandoo,kandoo,kandoo,koondi,kandoo,koondi,koondi,koondi,kandoo,paapaa,paapaa,kandoo,kunii,koondi,kunii,koondi,koondi,kandoo,kandoo,kandoo,kandoo,kandoo,koondi,kandoo,koondi,koondi
1,0.09413275562209944,1.163259596687541,1.0691268410654415,kan,kan,bingi,kan,kan,kaakaa,kan,kan,kan,narbooe,kan,kan,kan,kan,kaathii,kan,kalpamay,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kaakaa,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,bingi,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,narbooe,kalpamay,kan,kan,kan,kan,kan,puurrii,kan,kan,kan,kan,kan,kaathii,puurrii,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kandoo,kunii,kandoo,koondi,kandoo,kandoo,koondi,paapaa,kandoo,koondi,koondi,kunii,kandoo,kandoo,kandoo,koondi,kandoo,koondi,paapaa,kandoo,koondi,koondi,koondi,koondi,koondi,kandoo,kandoo,koondi
2,0.08741226295555182,1.1285783001317093,1.0411660371761575,kan,kan,kan,kan,kan,puurrii,kaakaa,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kalpamay,kan,kan,kan,kan,kan,kan,kalpamay,kan,kaathii,kan,kan,kan,kan,kaathii,kan,kan,kan,kan,kan,kan,kan,kan,bingi,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,narbooe,kan,kaakaa,kan,kan,kan,puurrii,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,narbooe,kan,kan,kan,kan,kan,bingi,kan,kan,kandoo,koondi,kandoo,kandoo,kandoo,koondi,paapaa,koondi,kandoo,kandoo,koondi,koondi,kunii,kandoo,koondi,paapaa,kandoo,kunii,koondi,kandoo,kandoo,koondi,kandoo,kandoo,koondi,koondi,koondi,koondi
3,0.11868593186719223,1.0830645447483294,0.9643786128811371,narbooe,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kaathii,kan,kan,narbooe,bingi,kan,kan,kan,kan,kan,kan,kan,kaathii,kan,kan,puurrii,kan,kan,kan,kan,kan,kaakaa,bingi,kan,kan,puurrii,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kaakaa,kan,kan,kan,kan,kan,kan,kan,kan,kalpamay,kan,kalpamay,kan,kan,kan,paapaa,kandoo,kunii,kandoo,kandoo,kandoo,koondi,kandoo,kunii,paapaa,kandoo,koondi,koondi,koondi,kandoo,koondi,kandoo,koondi,kandoo,kandoo,kandoo,koondi,koondi,koondi,kandoo,koondi,koondi,koondi
4,0.07094390959037256,1.1397322162276198,1.0687883066372472,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,narbooe,kan,kan,kan,kan,kan,kan,kalpamay,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kaathii,kan,kan,kan,kaakaa,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,bingi,kan,kan,kan,kan,kan,kan,kan,puurrii,kan,bingi,kan,kan,kan,kalpamay,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,narbooe,kan,kan,kaathii,kan,kan,kan,kan,kan,puurrii,kaakaa,kan,kandoo,koondi,kunii,koondi,paapaa,kunii,kandoo,koondi,koondi,kandoo,kandoo,kandoo,kandoo,kandoo,koondi,paapaa,koondi,koondi,koondi,kandoo,koondi,kandoo,kandoo,koondi,kandoo,koondi,koondi,kandoo
5,0.09130957136929752,1.1689322860054332,1.0776227146361357,kan,kan,kan,kan,kan,kan,kan,kalpamay,kan,kan,kan,kan,kaakaa,kaakaa,kan,kan,kan,kan,kan,kan,kan,kan,kan,narbooe,kan,kan,kan,kan,kan,kan,kan,kalpamay,kaathii,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,narbooe,puurrii,kan,kan,bingi,kan,kan,kan,kan,kan,kan,kan,kan,puurrii,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,bingi,kan,kan,kan,kan,kaathii,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,koondi,kunii,kandoo,koondi,koondi,kandoo,koondi,paapaa,koondi,kandoo,koondi,kandoo,kandoo,kandoo,paapaa,koondi,kunii,kandoo,kandoo,koondi,koondi,koondi,koondi,kandoo,koondi,kandoo,kandoo,kandoo
6,0.09781649221466249,1.078766968938344,0.9809504767236814,kan,kan,kan,kan,kan,kan,kan,kan,kalpamay,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kaakaa,kan,kan,kan,kan,kan,kan,kan,kan,narbooe,kaathii,puurrii,kan,kan,kan,kan,kan,kan,kan,kan,kaakaa,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kalpamay,kan,kan,kan,kan,kan,kaathii,kan,puurrii,kan,kan,narbooe,kan,kan,kan,kan,kan,bingi,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,bingi,kan,kan,kan,kandoo,koondi,kandoo,koondi,kandoo,paapaa,koondi,kandoo,koondi,koondi,koondi,kunii,koondi,kandoo,kandoo,koondi,kandoo,kandoo,koondi,koondi,paapaa,koondi,kandoo,kandoo,kandoo,kandoo,koondi,kunii
7,0.08166082866421265,1.1276636966343467,1.046002867970134,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,bingi,kan,kan,kan,kan,puurrii,kan,kan,kan,kan,kalpamay,kan,kan,kan,kan,kaakaa,kan,kan,kan,kan,bingi,kan,kan,kan,kaathii,kan,kan,kalpamay,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,narbooe,puurrii,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kaakaa,kan,kan,narbooe,kaathii,kan,kan,kandoo,kandoo,kandoo,kandoo,koondi,koondi,koondi,kandoo,kandoo,koondi,kandoo,kunii,koondi,koondi,koondi,kandoo,kunii,paapaa,kandoo,kandoo,kandoo,kandoo,paapaa,koondi,koondi,koondi,koondi,koondi
8,0.07891307402648096,1.0289547671978303,0.9500416931713493,kan,kan,puurrii,kan,kan,kan,kan,kan,kan,kan,kan,narbooe,kan,kan,kalpamay,kan,kan,kan,kan,kan,kan,kan,kaakaa,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,puurrii,kan,kan,kan,kan,kaathii,kan,kan,kan,kaathii,kaakaa,kan,narbooe,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,bingi,kan,bingi,kan,kalpamay,kan,kan,kan,kan,kan,kan,koondi,kandoo,koondi,koondi,kandoo,kandoo,koondi,kandoo,kandoo,koondi,kandoo,koondi,kandoo,koondi,kunii,paapaa,kandoo,koondi,koondi,koondi,paapaa,kandoo,kandoo,kunii,koondi,kandoo,kandoo,koondi
9,0.18216960295220752,1.0289547671978303,0.8467851642456228,kan,kan,kan,kan,kan,kan,kan,kan,narbooe,kan,kan,kan,kan,kan,kan,kan,kan,kaathii,kan,kan,kan,kan,kan,kan,puurrii,kan,kan,bingi,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kaathii,kan,kan,kan,kan,kan,kan,kan,kalpamay,narbooe,puurrii,kan,kaakaa,bingi,kan,kalpamay,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kaakaa,kan,kan,koondi,kandoo,koondi,koondi,koondi,koondi,koondi,kandoo,koondi,kandoo,kandoo,paapaa,koondi,paapaa,kandoo,kunii,kandoo,kandoo,koondi,kandoo,kandoo,kandoo,kandoo,koondi,kunii,koondi,koondi,kandoo
