simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFB,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ
0,0.11640859001919734,1.7237797450461683,1.607371155026971,mwene,mwene,lumbu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,lumbu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,lumbu,tate mdodo,mame mdodo,mame mkulu,mame,tate,mame mdodo,mame,mame mkulu,mame mdodo,tate mdodo,tate mkulu,mame mkulu,tate,tate,mame,tate mkulu,mame mkulu,mame,mame,mame,mame mdodo,tate
1,0.11568828858357372,1.6914922210008863,1.5758039324173125,mkulu,mkulu,lumbu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,lumbu,mwene,lumbu,lumbu,mkulu,mkulu,lumbu,mkulu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,mwene,mkulu,lumbu,lumbu,lumbu,lumbu,tate,mame mkulu,mame mdodo,mame mkulu,mame mdodo,mame,mame,mame mdodo,mame,tate mdodo,tate,tate,mame mkulu,mame,tate,mame mkulu,tate mkulu,mame mdodo,mame,tate mkulu,mame,tate mdodo
2,0.071435363303054,1.6624474899737907,1.5910121266707367,mkulu,mkulu,mkulu,mkulu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,mwene,mwene,mkulu,mkulu,lumbu,mame mkulu,mame mkulu,mame mdodo,mame mdodo,mame mdodo,mame,tate,mame mkulu,tate,mame,mame mkulu,tate mkulu,tate mdodo,mame,mame mdodo,mame,tate,mame,tate mdodo,mame,tate,tate mkulu
3,0.08786285633582902,1.7065063973211698,1.6186435409853408,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,mkulu,mkulu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,mwene,lumbu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,lumbu,lumbu,mkulu,mwene,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,tate mdodo,mame mdodo,tate mdodo,mame,tate,tate mkulu,mame mkulu,mame,tate,mame mdodo,mame mkulu,mame mkulu,tate mkulu,mame mdodo,mame,tate,mame mkulu,mame mdodo,mame,mame,tate,mame
4,0.16438421143895532,1.7113174267841142,1.546933215345159,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,mwene,lumbu,mkulu,mkulu,mkulu,lumbu,mkulu,mkulu,mkulu,mkulu,mkulu,mkulu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,lumbu,mwene,lumbu,mkulu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,lumbu,mkulu,mame,mame mdodo,mame,tate,mame mkulu,mame mkulu,mame mdodo,mame,mame,mame mdodo,mame mkulu,tate mkulu,tate mkulu,tate,tate mdodo,tate,mame,tate,mame,tate mdodo,mame mkulu,mame mdodo
5,0.09740941652637347,1.6625091836713957,1.5650997671450222,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,mkulu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,mwene,mkulu,mwene,lumbu,tate mkulu,mame,mame,mame mkulu,mame mkulu,tate mdodo,mame,mame mdodo,mame mkulu,tate,mame,mame mkulu,mame,mame,tate,mame mdodo,tate,tate mkulu,mame mdodo,mame mdodo,tate mdodo,tate
6,0.04871870168380554,1.6824993675743036,1.633780665890498,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,mkulu,mkulu,mkulu,mkulu,mkulu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,mwene,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,mkulu,mkulu,lumbu,mwene,lumbu,mkulu,lumbu,mame mdodo,tate,mame,mame mkulu,mame mdodo,mame mdodo,mame,tate mdodo,mame,mame mkulu,tate mkulu,mame,mame,mame mkulu,mame,tate,tate,mame mkulu,mame mdodo,tate mdodo,tate,tate mkulu
7,0.05777799441158393,1.7168591150469406,1.6590811206353566,lumbu,mkulu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,lumbu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,mkulu,mkulu,mkulu,lumbu,mkulu,mkulu,mkulu,lumbu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,mkulu,mwene,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,lumbu,mwene,mame,tate,mame mdodo,tate,mame mdodo,mame mkulu,tate mdodo,mame mdodo,mame,mame,tate mkulu,tate,mame mkulu,mame mkulu,mame mdodo,tate mdodo,mame,tate,tate mkulu,mame mkulu,mame,mame
8,0.09815127072758245,1.7299425468166576,1.6317912760890751,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,mkulu,lumbu,mkulu,mwene,lumbu,mkulu,lumbu,lumbu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,mkulu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,mkulu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,mkulu,lumbu,lumbu,mkulu,mkulu,mwene,lumbu,mkulu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,tate,mame mdodo,mame,tate mkulu,mame mkulu,mame mkulu,tate mkulu,mame,mame mdodo,mame,tate,tate mdodo,tate,tate mdodo,mame mkulu,mame,mame mdodo,mame mkulu,mame,tate,mame,mame mdodo
9,0.07103013639249078,1.7334449490136676,1.6624148126211769,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,mkulu,lumbu,lumbu,lumbu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,lumbu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,mkulu,lumbu,lumbu,mkulu,mkulu,lumbu,mkulu,lumbu,mkulu,mkulu,mkulu,mkulu,mkulu,mkulu,lumbu,lumbu,mkulu,lumbu,lumbu,lumbu,mkulu,mkulu,mwene,mkulu,lumbu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mkulu,lumbu,mwene,lumbu,mkulu,lumbu,lumbu,mame,tate mkulu,mame mkulu,tate,mame mdodo,mame,mame,mame mkulu,tate,mame mkulu,mame mdodo,mame,tate,mame,mame mkulu,tate mdodo,mame mdodo,mame,tate mdodo,tate,mame mdodo,tate mkulu
