simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,myZ,myB,fB,fyZ,fyB,meB,meZ,feB,mFZ,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,mF,mM,fF,fM,mMB,mMeB,mMyB,fMB,fMeB,fMyB
0,0.16850676749172133,1.483883263407863,1.3153764959161416,wajida,kaga,wajida,kaga,kaga,wajida,wajida,wajida,naranbar,wurda,kaga,kaga,wajida,kaga,kaga,wurda,kaga,kaga,wajida,kaga,kaga,wajida,kaga,kaga,kaga,kaga,wurda,wajida,kaga,kaga,kaga,kaga,wajida,kaga,wajida,kaga,wajida,wajida,kaga,wajida,kaga,kaga,kaga,kaga,wajida,kaga,wajida,wajida,kaga,wurda,malyu,wajida,wajida,wajida,kaga,wajida,kaga,wajida,wajida,naranbar,wajida,wajida,wajida,wurda,wajida,wurda,kaga,wajida,wajida,kaga,kaga,wajida,kaga,kaga,malyu,kaga,kaga,wajida,wajida,wajida,wajida,wajida,wajida,kaga,kaga,wajida,kaga,wajida,kagadyiti,pi'i,amma,kagadyiti,kaggajitee,pi'i,argo,kagadyiti,argo,kaggajitee,pi'i,kagadyiti,kaggajitee,kagadyiti,pi'i,amma,kagadyiti,kaggajitee,pi'i,pi'i,kaggajitee,kaggajitee
1,0.09253605250938368,1.4332361304057517,1.340700077896368,wajida,wajida,wajida,kaga,wajida,kaga,kaga,kaga,malyu,wurda,kaga,kaga,kaga,kaga,kaga,wajida,wajida,wajida,wajida,wajida,wajida,wajida,kaga,wajida,wajida,wajida,wajida,wajida,kaga,kaga,kaga,wajida,wajida,wajida,kaga,kaga,kaga,wajida,kaga,kaga,kaga,wajida,kaga,kaga,wajida,wajida,kaga,wurda,wajida,kaga,wajida,wajida,wurda,wurda,wajida,kaga,kaga,wajida,wurda,wajida,kaga,kaga,naranbar,wajida,wajida,kaga,kaga,malyu,kaga,wajida,kaga,kaga,wajida,kaga,wajida,wajida,naranbar,kaga,kaga,wajida,wajida,kaga,kaga,kaga,wurda,wajida,kaga,kaga,kagadyiti,pi'i,kaggajitee,kagadyiti,amma,pi'i,pi'i,kaggajitee,kaggajitee,pi'i,pi'i,argo,kaggajitee,kagadyiti,kaggajitee,kagadyiti,pi'i,kagadyiti,kagadyiti,kaggajitee,amma,argo
2,0.10606337261912735,1.5101998164344297,1.4041364438153023,wajida,kaga,wajida,wajida,wajida,wajida,kaga,wajida,wajida,kaga,kaga,kaga,kaga,wajida,kaga,wajida,kaga,wurda,kaga,kaga,kaga,wajida,wurda,kaga,wajida,wajida,wajida,wajida,wajida,kaga,kaga,kaga,kaga,kaga,wajida,kaga,kaga,kaga,wajida,wajida,kaga,wajida,wajida,wajida,kaga,wajida,kaga,kaga,wajida,kaga,kaga,wajida,wurda,kaga,kaga,wajida,kaga,naranbar,wajida,kaga,kaga,malyu,kaga,kaga,kaga,wurda,kaga,wajida,kaga,wajida,kaga,naranbar,wajida,wurda,wajida,malyu,kaga,kaga,wajida,wurda,wajida,wajida,wajida,wajida,wajida,wajida,wajida,kaga,kaggajitee,kagadyiti,kagadyiti,amma,pi'i,kagadyiti,pi'i,amma,pi'i,kaggajitee,kaggajitee,pi'i,kaggajitee,argo,kagadyiti,argo,kagadyiti,pi'i,pi'i,kagadyiti,kaggajitee,kaggajitee
3,0.1363889678123913,1.5522075988684922,1.415818631056101,kaga,wajida,kaga,kaga,wurda,kaga,kaga,wajida,wajida,kaga,kaga,wajida,kaga,wajida,kaga,wajida,kaga,kaga,wurda,wajida,wurda,wajida,wajida,wurda,kaga,kaga,wurda,kaga,wurda,wajida,kaga,kaga,wajida,naranbar,kaga,kaga,wajida,wajida,kaga,kaga,kaga,wajida,wajida,kaga,wajida,wajida,kaga,kaga,wajida,kaga,kaga,kaga,wajida,wajida,kaga,wajida,wajida,wajida,wajida,kaga,wajida,kaga,wajida,wajida,wajida,kaga,wajida,kaga,wajida,wajida,malyu,kaga,kaga,wajida,wajida,kaga,wajida,wajida,kaga,wajida,wajida,malyu,kaga,naranbar,kaga,kaga,kaga,wajida,pi'i,argo,kagadyiti,pi'i,kaggajitee,kagadyiti,kagadyiti,kaggajitee,kagadyiti,pi'i,kaggajitee,pi'i,pi'i,kaggajitee,argo,kagadyiti,amma,kaggajitee,kaggajitee,amma,kagadyiti,pi'i
4,0.1109730180547619,1.4759157785678074,1.3649427605130455,kaga,wajida,wajida,wajida,wajida,kaga,kaga,wajida,kaga,wajida,kaga,wajida,wajida,kaga,naranbar,malyu,wajida,kaga,wurda,kaga,wajida,wajida,wurda,wajida,kaga,kaga,kaga,kaga,kaga,wajida,kaga,kaga,kaga,kaga,kaga,wajida,kaga,wajida,wurda,kaga,wajida,wajida,wurda,wajida,kaga,kaga,kaga,wajida,wajida,wajida,kaga,wajida,kaga,wajida,wajida,wajida,kaga,kaga,kaga,wajida,kaga,malyu,kaga,kaga,wajida,wajida,wajida,kaga,wurda,wajida,wajida,kaga,kaga,kaga,wajida,naranbar,wurda,wajida,kaga,kaga,wajida,wajida,wajida,wajida,kaga,wajida,kaga,kaga,kagadyiti,kaggajitee,kaggajitee,kagadyiti,kaggajitee,argo,kaggajitee,amma,kagadyiti,kagadyiti,kaggajitee,argo,pi'i,pi'i,kaggajitee,kagadyiti,kagadyiti,pi'i,amma,pi'i,pi'i,pi'i
5,0.10627284121511615,1.515601024423901,1.409328183208785,wajida,wajida,kaga,kaga,wajida,kaga,kaga,wajida,wajida,wajida,wajida,kaga,wajida,kaga,wajida,wajida,wajida,kaga,malyu,wajida,kaga,kaga,wajida,wajida,wajida,wajida,kaga,wajida,wajida,wurda,kaga,kaga,wurda,kaga,kaga,kaga,kaga,wajida,wajida,kaga,wajida,wajida,kaga,kaga,kaga,wurda,kaga,wajida,naranbar,wajida,kaga,wajida,wajida,wajida,kaga,wajida,kaga,kaga,kaga,kaga,wurda,kaga,wajida,wajida,kaga,kaga,wurda,kaga,kaga,kaga,wajida,wurda,kaga,kaga,wajida,wajida,kaga,wajida,kaga,naranbar,wajida,kaga,malyu,wajida,kaga,kaga,wajida,wajida,pi'i,amma,amma,kagadyiti,kaggajitee,kaggajitee,kagadyiti,argo,kagadyiti,pi'i,kagadyiti,pi'i,pi'i,kaggajitee,kaggajitee,pi'i,kaggajitee,pi'i,kagadyiti,kagadyiti,kaggajitee,argo
6,0.25459471586357774,1.441294496814334,1.1866997809507562,wajida,malyu,naranbar,wajida,wajida,wajida,wajida,kaga,kaga,wajida,kaga,kaga,kaga,kaga,wajida,kaga,wajida,wurda,wurda,kaga,wurda,wurda,kaga,wurda,wajida,wajida,kaga,kaga,wurda,kaga,wajida,kaga,kaga,kaga,wajida,wajida,wajida,kaga,kaga,wajida,kaga,kaga,wajida,wajida,wajida,wajida,wajida,kaga,wajida,wajida,wajida,kaga,wajida,wajida,kaga,kaga,kaga,wajida,wajida,naranbar,kaga,wajida,wajida,kaga,wajida,kaga,kaga,kaga,kaga,wajida,kaga,wajida,wajida,wajida,kaga,kaga,kaga,kaga,wajida,wajida,kaga,kaga,kaga,wajida,kaga,wajida,kaga,malyu,kaggajitee,kaggajitee,amma,kaggajitee,kagadyiti,kagadyiti,pi'i,kaggajitee,kaggajitee,pi'i,amma,kagadyiti,kagadyiti,pi'i,pi'i,argo,pi'i,kagadyiti,kagadyiti,kaggajitee,pi'i,argo
7,0.1628818940518606,1.5148583049398976,1.351976410888037,wajida,wajida,wajida,wajida,wajida,wajida,wajida,malyu,wajida,wajida,kaga,kaga,kaga,kaga,wajida,kaga,kaga,wajida,wajida,wajida,wurda,kaga,wajida,kaga,wajida,kaga,wajida,kaga,kaga,kaga,wajida,wajida,wurda,wajida,wajida,wajida,naranbar,kaga,kaga,kaga,kaga,kaga,kaga,kaga,kaga,wajida,kaga,wajida,kaga,kaga,kaga,wajida,wajida,malyu,kaga,wajida,wajida,kaga,kaga,kaga,wajida,wurda,wajida,wajida,wajida,wajida,wajida,kaga,wurda,kaga,wajida,kaga,naranbar,kaga,kaga,wajida,kaga,kaga,kaga,kaga,wajida,wajida,wurda,kaga,kaga,wajida,kaga,wurda,kaggajitee,kagadyiti,amma,pi'i,kagadyiti,pi'i,argo,argo,kaggajitee,pi'i,kaggajitee,kagadyiti,kagadyiti,pi'i,amma,pi'i,kagadyiti,pi'i,kaggajitee,kaggajitee,kaggajitee,kagadyiti
8,0.12105267235987816,1.481842178936406,1.3607895065765279,wajida,wajida,wajida,wurda,kaga,wajida,wajida,kaga,malyu,wajida,kaga,wajida,wajida,wajida,kaga,wajida,kaga,kaga,wurda,wajida,kaga,kaga,kaga,kaga,wajida,wajida,wajida,kaga,kaga,kaga,kaga,kaga,wajida,kaga,kaga,kaga,kaga,wajida,malyu,kaga,naranbar,wajida,wurda,wajida,kaga,wajida,naranbar,wajida,wajida,kaga,wajida,wajida,wajida,wajida,kaga,wajida,kaga,wajida,kaga,kaga,wajida,wajida,wurda,kaga,wurda,kaga,wajida,kaga,kaga,kaga,wajida,wajida,kaga,kaga,wajida,kaga,kaga,kaga,kaga,wajida,kaga,wajida,wurda,wajida,kaga,kaga,wajida,wajida,amma,kagadyiti,kagadyiti,kagadyiti,kagadyiti,pi'i,kaggajitee,pi'i,kaggajitee,kagadyiti,kaggajitee,kaggajitee,kaggajitee,pi'i,pi'i,argo,pi'i,kaggajitee,kagadyiti,pi'i,amma,argo
9,0.14488012667751748,1.5156010244239009,1.3707208977463834,kaga,kaga,kaga,kaga,wajida,wurda,kaga,kaga,kaga,kaga,kaga,wajida,kaga,wajida,kaga,wajida,kaga,kaga,wurda,wajida,wajida,kaga,wajida,kaga,kaga,wurda,kaga,wajida,kaga,kaga,naranbar,kaga,wajida,kaga,kaga,kaga,wajida,wajida,wajida,wajida,wurda,wajida,wajida,wajida,malyu,wajida,wajida,kaga,kaga,kaga,wajida,kaga,kaga,wajida,wajida,wajida,wajida,kaga,kaga,wajida,kaga,naranbar,wajida,wajida,wajida,kaga,wajida,wurda,wurda,kaga,wajida,kaga,wajida,malyu,kaga,wajida,kaga,wajida,wajida,wajida,kaga,kaga,wajida,wajida,kaga,kaga,wajida,wajida,pi'i,kaggajitee,kaggajitee,kagadyiti,pi'i,kaggajitee,argo,amma,amma,pi'i,kagadyiti,kagadyiti,kaggajitee,pi'i,kaggajitee,pi'i,kagadyiti,argo,kagadyiti,kagadyiti,pi'i,kaggajitee
