simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mMBS,mMeBS,mMyBS,mMBeS,mMByS,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB
0,0.4618736953792262,1.0933747175566468,0.6315010221774207,kédi,mwana,mwana,mukulu,ndumi,mukulu,ndumi,meghèghè,meghèghè,mwana,mwana,mwana,kédi,to-m'kas,ngu,tat',tat',kètshi,ngu,kètshi,to-m'kas,tat',ngu,to-m'kas,tat',kètshi,ngu
1,0.16975500864224602,0.8760057656431737,0.7062507570009277,meghèghè,mwana,kédi,mwana,meghèghè,mwana,mwana,kédi,mukulu,mukulu,ndumi,ndumi,mwana,ngu,tat',ngu,kètshi,ngu,tat',to-m'kas,ngu,to-m'kas,tat',kètshi,to-m'kas,kètshi,tat'
2,0.32547780217319455,1.0933747175566466,0.7678969153834521,mwana,meghèghè,ndumi,meghèghè,mwana,ndumi,kédi,mukulu,kédi,mwana,mwana,mukulu,mwana,ngu,to-m'kas,kètshi,kètshi,tat',tat',to-m'kas,tat',ngu,kètshi,ngu,ngu,tat',to-m'kas
3,0.5091373440826868,1.2396593920543855,0.7305220479716986,ndumi,mwana,kédi,mwana,meghèghè,mukulu,mwana,mwana,mukulu,kédi,meghèghè,ndumi,mwana,ngu,to-m'kas,to-m'kas,to-m'kas,tat',kètshi,ngu,ngu,kètshi,tat',tat',tat',kètshi,ngu
4,0.29799171605314856,1.2396593920543855,0.9416676760012369,ndumi,meghèghè,mwana,mwana,mwana,ndumi,kédi,mwana,meghèghè,mukulu,kédi,mwana,mukulu,kètshi,ngu,tat',to-m'kas,tat',to-m'kas,ngu,ngu,kètshi,tat',tat',ngu,to-m'kas,kètshi
5,0.5345517132929379,1.2720898688202853,0.7375381555273474,mwana,mwana,mwana,meghèghè,mukulu,mwana,kédi,ndumi,meghèghè,ndumi,mwana,kédi,mukulu,to-m'kas,ngu,tat',kètshi,tat',tat',ngu,ngu,to-m'kas,ngu,kètshi,to-m'kas,tat',kètshi
6,0.4861449863499969,1.254041901733449,0.7678969153834521,mukulu,ndumi,mwana,mwana,mwana,kédi,meghèghè,mwana,kédi,mukulu,ndumi,meghèghè,mwana,to-m'kas,ngu,tat',kètshi,kètshi,tat',to-m'kas,tat',ngu,kètshi,ngu,to-m'kas,ngu,tat'
7,0.32340608526339965,1.0913030006468518,0.7678969153834522,mwana,mwana,ndumi,meghèghè,kédi,meghèghè,mwana,mukulu,mwana,kédi,mwana,ndumi,mukulu,ngu,tat',tat',ngu,tat',ngu,kètshi,tat',to-m'kas,ngu,to-m'kas,kètshi,kètshi,to-m'kas
8,0.5506638184685804,0.8921178708188162,0.34145405235023585,ndumi,mwana,mwana,mwana,mwana,kédi,kédi,mukulu,ndumi,meghèghè,mukulu,meghèghè,mwana,kètshi,kètshi,ngu,ngu,tat',tat',to-m'kas,ngu,tat',ngu,tat',kètshi,to-m'kas,to-m'kas
9,0.24450474346575302,0.8760057656431737,0.6315010221774207,mwana,kédi,ndumi,meghèghè,mwana,ndumi,kédi,mukulu,mwana,meghèghè,mwana,mukulu,mwana,kètshi,tat',ngu,tat',kètshi,kètshi,tat',to-m'kas,ngu,ngu,to-m'kas,ngu,tat',to-m'kas
