simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mMeB,mMyB,fMeB,fMyB
0,0.22229640584492016,1.0382400185693472,0.8159436127244271,rəh iel,p̃ia karen,rəh iel,tu p̃ia,rəh iel,p̃ia karen,"kaka, wɨnɨ",rəh iel,p̃ia karen,rəh iel,notah,p̃ia karen,rəh iel,rəh iel,rəh iel,p̃ia karen,p̃ia karen,rəh iel,kaka,kaka,kaka,"kaka, wɨnɨ",p̃ia karen,p̃ia karen,"kaka, wɨnɨ",rəh iel,rəh iel,rəh iel,p̃ia karen,rəh iel,p̃ia karen,notah,rəh iel,rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ",p̃ia karen,rəh iel,rəh iel,rəh iel,kaka,rəh iel,kaka,p̃ia karen,kaka,"kaka, wɨnɨ",rəh iel,kaka,p̃ia karen,kaka,rəh iel,kaka,"kaka, wɨnɨ",rəh iel,"kaka, wɨnɨ",rəh iel,rəh iel,p̃ia karen,kaka,"kaka, wɨnɨ",rəh iel,p̃ia karen,rəh iel,rəh iel,rəh iel,kaka,p̃ia karen,rəh iel,rəh iel,p̃ia karen,"kaka, wɨnɨ",rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,"kaka, wɨnɨ","kaka, wɨnɨ",rəh iel,rəh iel,rəh iel,rəh iel,p̃ia karen,p̃ia karen,rəh iel,tɨm,etəmaa,etəmaa,tɨm,etəmaa,itə,itə,etəmaa
1,0.3200744654601423,1.0382400185693474,0.7181655531092052,rəh iel,"kaka, wɨnɨ",rəh iel,rəh iel,p̃ia karen,rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,"kaka, wɨnɨ",rəh iel,p̃ia karen,rəh iel,p̃ia karen,p̃ia karen,rəh iel,rəh iel,"kaka, wɨnɨ","kaka, wɨnɨ",p̃ia karen,p̃ia karen,"kaka, wɨnɨ",rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ",kaka,rəh iel,rəh iel,rəh iel,kaka,tu p̃ia,notah,rəh iel,kaka,kaka,p̃ia karen,rəh iel,rəh iel,rəh iel,rəh iel,rəh iel,kaka,p̃ia karen,rəh iel,rəh iel,notah,p̃ia karen,"kaka, wɨnɨ",p̃ia karen,rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,p̃ia karen,p̃ia karen,rəh iel,p̃ia karen,kaka,kaka,p̃ia karen,rəh iel,rəh iel,rəh iel,p̃ia karen,rəh iel,"kaka, wɨnɨ",rəh iel,p̃ia karen,p̃ia karen,"kaka, wɨnɨ",rəh iel,rəh iel,kaka,rəh iel,p̃ia karen,p̃ia karen,rəh iel,"kaka, wɨnɨ",rəh iel,kaka,kaka,kaka,rəh iel,itə,etəmaa,etəmaa,itə,tɨm,etəmaa,etəmaa,tɨm
2,0.1477042845183958,1.0634187732433902,0.9157144887249944,rəh iel,rəh iel,rəh iel,p̃ia karen,rəh iel,notah,rəh iel,rəh iel,p̃ia karen,"kaka, wɨnɨ",kaka,"kaka, wɨnɨ",p̃ia karen,rəh iel,rəh iel,rəh iel,kaka,"kaka, wɨnɨ",kaka,p̃ia karen,rəh iel,notah,"kaka, wɨnɨ",rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,p̃ia karen,rəh iel,p̃ia karen,rəh iel,rəh iel,p̃ia karen,rəh iel,rəh iel,kaka,rəh iel,kaka,rəh iel,p̃ia karen,rəh iel,rəh iel,p̃ia karen,"kaka, wɨnɨ","kaka, wɨnɨ",rəh iel,p̃ia karen,rəh iel,"kaka, wɨnɨ",rəh iel,rəh iel,"kaka, wɨnɨ",kaka,rəh iel,kaka,"kaka, wɨnɨ",p̃ia karen,p̃ia karen,"kaka, wɨnɨ",p̃ia karen,rəh iel,rəh iel,kaka,rəh iel,rəh iel,p̃ia karen,rəh iel,kaka,rəh iel,rəh iel,p̃ia karen,rəh iel,rəh iel,rəh iel,rəh iel,p̃ia karen,p̃ia karen,rəh iel,p̃ia karen,rəh iel,kaka,tu p̃ia,p̃ia karen,kaka,"kaka, wɨnɨ",etəmaa,etəmaa,tɨm,itə,itə,tɨm,etəmaa,etəmaa
3,0.13227630492449838,1.0382400185693472,0.9059637136448488,rəh iel,p̃ia karen,kaka,kaka,kaka,rəh iel,p̃ia karen,p̃ia karen,rəh iel,p̃ia karen,p̃ia karen,p̃ia karen,p̃ia karen,p̃ia karen,kaka,rəh iel,rəh iel,rəh iel,p̃ia karen,p̃ia karen,rəh iel,p̃ia karen,rəh iel,rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ","kaka, wɨnɨ","kaka, wɨnɨ",notah,rəh iel,kaka,rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,kaka,tu p̃ia,p̃ia karen,p̃ia karen,rəh iel,rəh iel,"kaka, wɨnɨ","kaka, wɨnɨ",rəh iel,"kaka, wɨnɨ",rəh iel,rəh iel,p̃ia karen,rəh iel,"kaka, wɨnɨ",kaka,rəh iel,p̃ia karen,rəh iel,p̃ia karen,kaka,kaka,rəh iel,rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,"kaka, wɨnɨ",rəh iel,rəh iel,p̃ia karen,"kaka, wɨnɨ",rəh iel,kaka,rəh iel,notah,rəh iel,p̃ia karen,kaka,rəh iel,rəh iel,rəh iel,rəh iel,rəh iel,p̃ia karen,etəmaa,itə,tɨm,etəmaa,itə,tɨm,etəmaa,etəmaa
4,0.19033179477501472,1.0382400185693472,0.8479082237943325,p̃ia karen,rəh iel,rəh iel,p̃ia karen,"kaka, wɨnɨ",rəh iel,p̃ia karen,"kaka, wɨnɨ",kaka,rəh iel,kaka,rəh iel,rəh iel,"kaka, wɨnɨ",tu p̃ia,p̃ia karen,rəh iel,rəh iel,p̃ia karen,"kaka, wɨnɨ",kaka,rəh iel,rəh iel,rəh iel,rəh iel,p̃ia karen,rəh iel,p̃ia karen,p̃ia karen,kaka,rəh iel,p̃ia karen,rəh iel,"kaka, wɨnɨ",rəh iel,notah,"kaka, wɨnɨ",p̃ia karen,rəh iel,rəh iel,rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,p̃ia karen,"kaka, wɨnɨ",rəh iel,rəh iel,p̃ia karen,p̃ia karen,rəh iel,rəh iel,p̃ia karen,kaka,kaka,rəh iel,rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,kaka,"kaka, wɨnɨ",kaka,rəh iel,p̃ia karen,p̃ia karen,rəh iel,notah,p̃ia karen,rəh iel,"kaka, wɨnɨ",rəh iel,kaka,kaka,rəh iel,rəh iel,p̃ia karen,rəh iel,p̃ia karen,rəh iel,kaka,rəh iel,"kaka, wɨnɨ",itə,itə,tɨm,etəmaa,etəmaa,etəmaa,etəmaa,tɨm
5,0.21910576741681542,1.0100997593541636,0.7909939919373482,rəh iel,rəh iel,rəh iel,notah,kaka,rəh iel,rəh iel,rəh iel,p̃ia karen,rəh iel,rəh iel,"kaka, wɨnɨ",p̃ia karen,"kaka, wɨnɨ",rəh iel,rəh iel,p̃ia karen,p̃ia karen,p̃ia karen,p̃ia karen,kaka,rəh iel,rəh iel,p̃ia karen,"kaka, wɨnɨ",p̃ia karen,rəh iel,rəh iel,"kaka, wɨnɨ",notah,p̃ia karen,kaka,p̃ia karen,p̃ia karen,"kaka, wɨnɨ",kaka,rəh iel,rəh iel,"kaka, wɨnɨ","kaka, wɨnɨ",kaka,rəh iel,rəh iel,p̃ia karen,rəh iel,p̃ia karen,rəh iel,rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ","kaka, wɨnɨ",rəh iel,rəh iel,kaka,kaka,rəh iel,rəh iel,rəh iel,p̃ia karen,rəh iel,p̃ia karen,rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,"kaka, wɨnɨ",kaka,p̃ia karen,tu p̃ia,"kaka, wɨnɨ",rəh iel,rəh iel,kaka,rəh iel,rəh iel,p̃ia karen,rəh iel,kaka,rəh iel,p̃ia karen,kaka,p̃ia karen,rəh iel,rəh iel,etəmaa,itə,etəmaa,etəmaa,etəmaa,itə,tɨm,tɨm
6,0.10887350845683619,1.0382400185693474,0.9293665101125113,rəh iel,rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ",p̃ia karen,p̃ia karen,notah,kaka,rəh iel,"kaka, wɨnɨ","kaka, wɨnɨ",rəh iel,kaka,"kaka, wɨnɨ",p̃ia karen,p̃ia karen,kaka,p̃ia karen,p̃ia karen,"kaka, wɨnɨ",rəh iel,rəh iel,p̃ia karen,rəh iel,rəh iel,rəh iel,rəh iel,p̃ia karen,rəh iel,tu p̃ia,rəh iel,rəh iel,p̃ia karen,notah,"kaka, wɨnɨ",rəh iel,"kaka, wɨnɨ",rəh iel,p̃ia karen,kaka,rəh iel,p̃ia karen,rəh iel,p̃ia karen,"kaka, wɨnɨ",rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,"kaka, wɨnɨ",rəh iel,rəh iel,rəh iel,rəh iel,kaka,rəh iel,rəh iel,p̃ia karen,rəh iel,kaka,p̃ia karen,kaka,rəh iel,p̃ia karen,rəh iel,p̃ia karen,"kaka, wɨnɨ",p̃ia karen,kaka,rəh iel,p̃ia karen,rəh iel,kaka,p̃ia karen,rəh iel,rəh iel,rəh iel,kaka,"kaka, wɨnɨ",kaka,rəh iel,rəh iel,rəh iel,rəh iel,tɨm,tɨm,etəmaa,itə,itə,etəmaa,etəmaa,etəmaa
7,0.16034655767942663,1.0100997593541636,0.849753201674737,rəh iel,rəh iel,rəh iel,rəh iel,p̃ia karen,"kaka, wɨnɨ",rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,kaka,kaka,p̃ia karen,kaka,"kaka, wɨnɨ",p̃ia karen,p̃ia karen,rəh iel,rəh iel,p̃ia karen,p̃ia karen,p̃ia karen,p̃ia karen,kaka,rəh iel,rəh iel,rəh iel,rəh iel,rəh iel,p̃ia karen,"kaka, wɨnɨ","kaka, wɨnɨ",notah,rəh iel,"kaka, wɨnɨ",kaka,rəh iel,p̃ia karen,kaka,rəh iel,rəh iel,tu p̃ia,rəh iel,notah,rəh iel,rəh iel,rəh iel,p̃ia karen,rəh iel,kaka,"kaka, wɨnɨ",p̃ia karen,rəh iel,p̃ia karen,rəh iel,rəh iel,"kaka, wɨnɨ",p̃ia karen,rəh iel,rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ","kaka, wɨnɨ",rəh iel,rəh iel,p̃ia karen,kaka,"kaka, wɨnɨ",rəh iel,rəh iel,kaka,p̃ia karen,p̃ia karen,rəh iel,rəh iel,kaka,p̃ia karen,rəh iel,kaka,rəh iel,p̃ia karen,rəh iel,"kaka, wɨnɨ",rəh iel,itə,tɨm,etəmaa,etəmaa,tɨm,etəmaa,etəmaa,itə
8,0.11246773963836221,1.0100997593541636,0.8976320197158014,"kaka, wɨnɨ",rəh iel,rəh iel,p̃ia karen,p̃ia karen,rəh iel,kaka,rəh iel,rəh iel,rəh iel,p̃ia karen,rəh iel,p̃ia karen,rəh iel,kaka,rəh iel,rəh iel,p̃ia karen,notah,rəh iel,p̃ia karen,p̃ia karen,rəh iel,p̃ia karen,notah,p̃ia karen,rəh iel,"kaka, wɨnɨ",kaka,rəh iel,rəh iel,rəh iel,p̃ia karen,rəh iel,rəh iel,rəh iel,p̃ia karen,"kaka, wɨnɨ",rəh iel,p̃ia karen,rəh iel,rəh iel,"kaka, wɨnɨ",kaka,"kaka, wɨnɨ","kaka, wɨnɨ",tu p̃ia,rəh iel,"kaka, wɨnɨ",rəh iel,kaka,p̃ia karen,"kaka, wɨnɨ","kaka, wɨnɨ",rəh iel,"kaka, wɨnɨ",rəh iel,rəh iel,kaka,rəh iel,rəh iel,rəh iel,rəh iel,kaka,rəh iel,kaka,rəh iel,rəh iel,rəh iel,p̃ia karen,p̃ia karen,rəh iel,kaka,rəh iel,p̃ia karen,p̃ia karen,p̃ia karen,rəh iel,kaka,rəh iel,"kaka, wɨnɨ",p̃ia karen,"kaka, wɨnɨ",kaka,rəh iel,tɨm,itə,etəmaa,etəmaa,etəmaa,etəmaa,itə,tɨm
9,0.22896580799423194,1.0579054247036734,0.8289396167094415,"kaka, wɨnɨ",kaka,tu p̃ia,p̃ia karen,rəh iel,rəh iel,rəh iel,rəh iel,p̃ia karen,kaka,p̃ia karen,kaka,rəh iel,p̃ia karen,kaka,rəh iel,p̃ia karen,kaka,"kaka, wɨnɨ",rəh iel,rəh iel,rəh iel,kaka,p̃ia karen,p̃ia karen,rəh iel,"kaka, wɨnɨ","kaka, wɨnɨ",rəh iel,p̃ia karen,rəh iel,rəh iel,rəh iel,notah,p̃ia karen,p̃ia karen,kaka,rəh iel,rəh iel,kaka,p̃ia karen,rəh iel,p̃ia karen,"kaka, wɨnɨ",rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,p̃ia karen,rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ",rəh iel,rəh iel,rəh iel,rəh iel,p̃ia karen,"kaka, wɨnɨ",kaka,p̃ia karen,"kaka, wɨnɨ",p̃ia karen,rəh iel,rəh iel,kaka,rəh iel,p̃ia karen,p̃ia karen,"kaka, wɨnɨ",notah,p̃ia karen,rəh iel,rəh iel,rəh iel,rəh iel,"kaka, wɨnɨ","kaka, wɨnɨ",rəh iel,rəh iel,rəh iel,kaka,rəh iel,rəh iel,etəmaa,itə,tɨm,tɨm,etəmaa,itə,etəmaa,etəmaa
