simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09350391405066616,1.6915569213524773,1.598053007301811,posim,tönim,gusum,tönim,posim,tönim,kam,posim,posim,tönim,gusum,posim,tönim,posim,tönim,posim,posim,posim,posim,kam,kam,tönim,tönim,tönim,kam,posim,tönim,posim,kam,etim,kam,posim,kam,kam,posim,posim,posim,posim,kam,posim,posim,kam,tönim,posim,posim,tönim,tönim,posim,posim,posim,posim,posim,posim,posim,tönim,posim,tönim,posim,posim,kam,kam,kam,posim,tönim,etim,kam,posim,kam,posim,posim,posim,kam,kam,tönim,kam,kam,tönim,tönim,posim,posim,kam,posim,tönim,kam,tönim,posim,kusem,nen,bononum,katim,kusem,bebem,bononum,katim,kusem,nen,bononum,bekûm,katim,bebem,katim,bebem,bekûm,kusem,katim,bebem,bebem,bononum,bononum,katim,bononum,kusem,kusem,bebem
1,0.11426537852743834,1.664820077102314,1.5505546985748757,posim,posim,posim,tönim,posim,kam,tönim,posim,etim,posim,kam,tönim,tönim,tönim,gusum,posim,tönim,posim,posim,tönim,tönim,tönim,kam,posim,posim,posim,posim,kam,posim,posim,tönim,kam,posim,kam,kam,posim,tönim,posim,posim,kam,kam,gusum,kam,tönim,posim,posim,posim,kam,posim,kam,posim,posim,posim,posim,posim,tönim,tönim,kam,tönim,posim,posim,tönim,kam,tönim,posim,posim,kam,kam,posim,kam,tönim,kam,posim,posim,tönim,posim,tönim,posim,kam,posim,posim,posim,kam,etim,kam,tönim,kusem,kusem,kusem,kusem,katim,bononum,katim,bebem,bebem,nen,katim,katim,bebem,bononum,bebem,kusem,bononum,bononum,bononum,nen,bebem,bebem,katim,bekûm,kusem,bekûm,bononum,katim
2,0.1185994242399453,1.68032350139865,1.5617240771587046,kam,gusum,posim,kam,etim,kam,tönim,posim,posim,kam,kam,posim,kam,tönim,tönim,tönim,kam,kam,tönim,posim,posim,kam,posim,posim,posim,tönim,posim,tönim,posim,kam,tönim,tönim,posim,kam,kam,posim,tönim,posim,posim,posim,posim,tönim,tönim,tönim,kam,tönim,tönim,posim,tönim,posim,kam,posim,posim,posim,kam,kam,tönim,etim,tönim,posim,posim,gusum,posim,posim,kam,kam,posim,posim,tönim,kam,kam,posim,posim,posim,posim,posim,tönim,tönim,posim,posim,kam,posim,posim,posim,posim,posim,bononum,bebem,katim,bekûm,bebem,katim,bononum,kusem,katim,nen,bebem,bebem,bononum,bebem,katim,nen,katim,bononum,bononum,bebem,bononum,kusem,kusem,kusem,katim,kusem,kusem,bekûm
3,0.16039706398690723,1.7005942255784645,1.5401971615915573,gusum,tönim,etim,posim,posim,tönim,posim,posim,tönim,tönim,posim,posim,kam,tönim,posim,kam,tönim,posim,kam,posim,kam,tönim,posim,posim,tönim,kam,kam,kam,posim,kam,tönim,posim,posim,posim,tönim,tönim,posim,posim,kam,kam,posim,posim,posim,kam,posim,posim,kam,etim,posim,posim,gusum,posim,kam,kam,tönim,tönim,posim,posim,posim,posim,tönim,posim,tönim,kam,posim,posim,tönim,kam,kam,posim,tönim,tönim,posim,kam,kam,posim,kam,tönim,posim,tönim,kam,posim,posim,posim,tönim,posim,nen,bononum,katim,katim,kusem,bebem,katim,kusem,bebem,bononum,bononum,bekûm,bekûm,bononum,katim,bebem,kusem,bebem,nen,bononum,katim,katim,kusem,bononum,bebem,bebem,kusem,kusem
4,0.23815026693562524,1.7099193186644137,1.4717690517287885,kam,kam,kam,posim,posim,posim,posim,tönim,tönim,tönim,tönim,gusum,posim,tönim,tönim,posim,posim,tönim,kam,tönim,tönim,tönim,tönim,kam,posim,kam,posim,tönim,posim,kam,posim,tönim,kam,posim,kam,tönim,tönim,posim,posim,posim,tönim,posim,posim,posim,tönim,posim,posim,kam,gusum,posim,posim,tönim,posim,posim,posim,tönim,kam,etim,posim,posim,kam,kam,posim,posim,kam,posim,kam,posim,kam,kam,posim,posim,kam,posim,tönim,kam,posim,posim,kam,posim,kam,posim,posim,posim,tönim,etim,kusem,bebem,katim,bekûm,kusem,kusem,bekûm,bebem,bebem,bononum,bononum,bebem,nen,bebem,katim,bononum,bononum,kusem,katim,nen,bebem,kusem,katim,kusem,katim,bononum,bononum,katim
5,0.20390778506865948,1.7106866222758264,1.5067788372071669,posim,posim,posim,kam,gusum,posim,tönim,posim,kam,posim,tönim,posim,posim,posim,posim,posim,tönim,tönim,posim,posim,posim,kam,kam,posim,posim,tönim,posim,posim,posim,kam,posim,tönim,kam,posim,kam,posim,posim,posim,posim,posim,posim,posim,posim,posim,tönim,tönim,kam,kam,tönim,posim,etim,tönim,tönim,kam,posim,tönim,tönim,kam,posim,kam,kam,posim,posim,tönim,kam,kam,kam,tönim,posim,tönim,tönim,tönim,tönim,posim,kam,posim,gusum,posim,kam,kam,tönim,etim,kam,posim,kam,tönim,bebem,katim,bebem,nen,bononum,katim,katim,bekûm,bononum,nen,kusem,bononum,bebem,kusem,katim,kusem,bononum,bekûm,bebem,bononum,kusem,bebem,bononum,katim,bebem,kusem,kusem,katim
6,0.20174153503459702,1.6242874825103462,1.4225459474757491,tönim,posim,kam,posim,kam,posim,kam,posim,kam,posim,etim,tönim,posim,posim,posim,tönim,posim,tönim,kam,tönim,posim,posim,kam,kam,kam,tönim,gusum,posim,posim,gusum,posim,tönim,tönim,posim,posim,posim,etim,tönim,posim,posim,kam,kam,posim,posim,tönim,kam,tönim,tönim,posim,kam,tönim,tönim,posim,kam,posim,posim,tönim,tönim,posim,posim,posim,kam,kam,tönim,tönim,tönim,posim,posim,posim,kam,kam,posim,posim,posim,posim,posim,posim,posim,posim,kam,kam,kam,tönim,posim,tönim,kam,bononum,bebem,bebem,katim,katim,kusem,bekûm,bebem,katim,kusem,katim,katim,bebem,bekûm,kusem,bebem,bononum,bononum,bebem,kusem,nen,nen,bononum,bononum,katim,bononum,kusem,kusem
7,0.08208516511198738,1.6500159146879287,1.5679307495759414,posim,posim,posim,kam,tönim,posim,posim,kam,kam,posim,tönim,tönim,posim,kam,kam,etim,posim,posim,posim,tönim,posim,kam,posim,tönim,kam,kam,posim,posim,tönim,kam,posim,tönim,posim,kam,tönim,posim,gusum,posim,posim,kam,posim,tönim,tönim,posim,posim,tönim,tönim,posim,etim,tönim,kam,posim,posim,posim,tönim,kam,tönim,kam,posim,posim,kam,tönim,kam,posim,posim,posim,gusum,posim,posim,kam,posim,tönim,posim,tönim,tönim,tönim,posim,kam,kam,posim,kam,kam,posim,posim,posim,tönim,katim,bebem,bebem,bononum,kusem,kusem,bekûm,katim,nen,bebem,bebem,nen,kusem,bononum,kusem,bebem,bononum,katim,bononum,katim,bekûm,bebem,kusem,katim,bononum,bononum,katim,kusem
8,0.13994823080308838,1.6505125306854778,1.5105642998823894,posim,posim,kam,posim,tönim,posim,kam,gusum,tönim,kam,tönim,posim,gusum,posim,tönim,kam,kam,posim,kam,posim,posim,posim,posim,tönim,kam,kam,posim,posim,etim,tönim,posim,tönim,posim,tönim,posim,kam,kam,tönim,posim,kam,kam,etim,posim,tönim,tönim,posim,kam,tönim,posim,posim,tönim,tönim,tönim,posim,posim,kam,posim,kam,posim,posim,posim,posim,tönim,posim,tönim,kam,posim,tönim,kam,kam,posim,posim,posim,tönim,tönim,posim,kam,tönim,posim,kam,posim,posim,kam,posim,posim,posim,katim,bononum,kusem,bebem,katim,bebem,bekûm,bebem,katim,bebem,bebem,katim,bekûm,bononum,katim,katim,bononum,kusem,kusem,kusem,nen,kusem,bononum,nen,kusem,bebem,bononum,bononum
9,0.14300483887332516,1.7316257324898559,1.5886208936165307,posim,posim,posim,posim,tönim,tönim,tönim,posim,posim,posim,etim,posim,kam,posim,posim,gusum,kam,kam,tönim,posim,tönim,tönim,gusum,posim,tönim,posim,posim,kam,posim,kam,kam,tönim,kam,posim,tönim,posim,kam,posim,kam,posim,posim,posim,kam,kam,kam,posim,posim,posim,posim,kam,kam,tönim,tönim,tönim,posim,kam,posim,posim,etim,posim,tönim,posim,posim,tönim,posim,posim,posim,posim,tönim,kam,posim,kam,kam,posim,tönim,tönim,posim,tönim,posim,tönim,posim,kam,kam,tönim,tönim,kam,nen,kusem,kusem,bebem,katim,bononum,bononum,kusem,bebem,bekûm,kusem,kusem,bebem,bononum,bebem,bononum,bebem,nen,katim,bekûm,bononum,bebem,kusem,katim,katim,bononum,katim,katim
