simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.39280503047087656,1.7632015710368427,1.3703965405659662,lunewe,gode,kapowe,lu,godenewe,sika,godenewe,gode,godenewe,kapa,kapa,lunewe,lunewe,kapowe,lunewe,gode,lunewe,gode,lu,gode,kapa,gode,gode,godenewe,sika,lu,sikanewe,lu,gode,lunewe,sikanewe,godenewe,sikanewe,godenewe,godenewe,godenewe,lu,lu,wowa,"tama, mama",mama kae,mama kae,wawe,wowa,wawe,"tina, awa",wowa,awa kae,"tina, awa",awa kae,wowa,"tama, mama","tama, mama",wawe,"tama, mama",wawe,"tina, awa","tina, awa"
1,0.6990391272402221,1.7424857827187215,1.0434466554784994,kapa,godenewe,sikanewe,sika,kapa,lunewe,gode,godenewe,godenewe,kapowe,sika,gode,godenewe,lunewe,gode,lu,lunewe,sikanewe,gode,godenewe,gode,gode,kapa,lunewe,lu,gode,kapowe,lu,godenewe,lu,godenewe,sikanewe,lunewe,godenewe,lu,lu,lunewe,gode,"tama, mama","tama, mama",wawe,wawe,awa kae,"tina, awa",wawe,"tama, mama",mama kae,wawe,wowa,"tama, mama",mama kae,"tina, awa",wowa,"tina, awa",wowa,"tina, awa",wowa,awa kae
2,0.4101584884302558,1.7466768476649221,1.3365183592346663,kapa,lunewe,lu,sikanewe,lu,godenewe,godenewe,lu,gode,kapa,godenewe,lu,sikanewe,lunewe,gode,kapa,godenewe,gode,sika,lunewe,lu,godenewe,gode,gode,gode,lunewe,sikanewe,lunewe,godenewe,sika,godenewe,godenewe,lu,gode,kapowe,gode,lunewe,kapowe,wowa,"tina, awa","tina, awa",wawe,"tama, mama","tama, mama","tama, mama",wowa,wawe,awa kae,wowa,awa kae,mama kae,wawe,wawe,wowa,mama kae,"tina, awa","tama, mama","tina, awa"
3,0.5577430813417317,1.7466768476649221,1.1889337663231905,lunewe,lu,lu,lu,gode,godenewe,godenewe,godenewe,gode,sika,gode,sika,gode,gode,lu,gode,gode,sikanewe,kapa,lunewe,kapowe,lunewe,godenewe,lunewe,kapa,gode,kapa,lunewe,godenewe,kapowe,godenewe,lu,godenewe,godenewe,lunewe,lu,sikanewe,sikanewe,wawe,wawe,"tama, mama","tina, awa",mama kae,wowa,awa kae,"tina, awa",awa kae,wawe,"tama, mama",wowa,mama kae,"tina, awa",wawe,"tina, awa",wowa,"tama, mama",wowa,"tama, mama"
4,0.3707182042928556,1.7424857827187215,1.3717675784258658,gode,godenewe,lu,lunewe,lunewe,gode,lunewe,godenewe,godenewe,sika,sikanewe,kapa,lu,lu,godenewe,lu,godenewe,sikanewe,kapowe,kapowe,godenewe,kapa,gode,lunewe,gode,lunewe,gode,gode,gode,sika,gode,lunewe,godenewe,godenewe,sikanewe,lu,lu,kapa,"tina, awa",awa kae,"tama, mama","tama, mama","tama, mama",wowa,awa kae,mama kae,"tama, mama",wowa,wowa,wowa,"tina, awa",wawe,mama kae,wawe,wawe,"tina, awa",wawe,"tina, awa"
5,0.6932383076342585,1.7424857827187215,1.049247475084463,godenewe,sikanewe,lu,gode,godenewe,sika,sikanewe,gode,gode,sika,gode,gode,godenewe,gode,lu,kapowe,lu,lunewe,lunewe,lu,godenewe,lu,lunewe,kapa,sikanewe,godenewe,kapa,godenewe,gode,kapowe,lunewe,gode,godenewe,lunewe,lu,kapa,lunewe,godenewe,wawe,wawe,wowa,wowa,"tama, mama","tina, awa","tama, mama","tama, mama","tama, mama",wawe,wowa,"tina, awa",awa kae,"tina, awa",wawe,awa kae,mama kae,"tina, awa",mama kae,wowa
6,0.4627742740876757,1.7655906887373864,1.3028164146497108,gode,kapowe,lunewe,gode,gode,godenewe,gode,godenewe,sika,lunewe,lu,sikanewe,lunewe,kapa,godenewe,godenewe,sikanewe,lunewe,gode,lu,lunewe,kapowe,lu,kapa,lu,lu,godenewe,sika,godenewe,kapa,gode,godenewe,gode,lunewe,lu,gode,godenewe,sikanewe,"tama, mama","tama, mama",awa kae,mama kae,wowa,awa kae,"tina, awa",wawe,"tama, mama",wawe,"tama, mama",wowa,"tina, awa","tina, awa","tina, awa",wawe,mama kae,wowa,wawe,wowa
7,0.4517910985404272,1.7466768476649221,1.294885749124495,lunewe,godenewe,sikanewe,lu,gode,lunewe,lu,gode,lunewe,gode,godenewe,lu,lu,gode,kapowe,sikanewe,gode,godenewe,kapowe,gode,godenewe,sika,godenewe,lunewe,godenewe,lunewe,lu,kapa,godenewe,sika,gode,sikanewe,kapa,gode,kapa,lu,godenewe,lunewe,mama kae,"tina, awa","tama, mama",wowa,awa kae,"tina, awa",wawe,"tina, awa","tina, awa",awa kae,wowa,"tama, mama",mama kae,"tama, mama",wowa,wowa,wawe,wawe,wawe,"tama, mama"
8,0.45953095616413075,1.746676847664922,1.2871458915007912,lu,godenewe,godenewe,kapowe,lunewe,godenewe,gode,lunewe,gode,kapa,lu,godenewe,godenewe,godenewe,lunewe,gode,kapa,lu,kapa,lu,gode,godenewe,gode,sika,sikanewe,lu,sika,lunewe,godenewe,sikanewe,gode,gode,gode,kapowe,lu,sikanewe,lunewe,lunewe,awa kae,awa kae,wawe,"tama, mama","tina, awa",wowa,wawe,"tina, awa","tina, awa",wowa,wowa,mama kae,"tama, mama","tama, mama","tama, mama",wawe,wawe,mama kae,wowa,"tina, awa"
9,0.4869810443833049,1.7282190701015216,1.2412380257182167,sika,gode,godenewe,gode,lunewe,godenewe,gode,sika,lunewe,sikanewe,gode,sikanewe,kapa,kapowe,lunewe,kapowe,gode,sikanewe,kapa,lu,lunewe,lu,godenewe,godenewe,lu,gode,lu,lunewe,lunewe,godenewe,godenewe,lu,godenewe,gode,kapa,lu,godenewe,gode,"tina, awa",wawe,awa kae,"tina, awa","tina, awa","tama, mama","tama, mama","tama, mama",wawe,wawe,"tina, awa",wawe,wowa,mama kae,wowa,wowa,wowa,mama kae,"tama, mama",awa kae
