simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09141128960820688,1.1247324941389025,1.0333212045306956,ainak,ainak,ainak,ainak,akanakan,ainak,akanakan,akanakan,apiak,ainak,ainak,akanakan,ainak,ainak,akanakan,ainak,akanakan,nukatceak,akanakan,ainak,ainak,ainak,akanakan,ainak,ainak,akanakan,akanakan,ainak,akanakan,ainak,,akanakan,nukatceak,ainak,ainak,nukatceak,nukatceak,apiak,akanakan,akanakan,akanakan,akanakan,ainak,ainak,akanakan,ainak,ainak,akanakan,akanakan,akanakan,ainak,ainak,ainak,ainak,,akanakan,akanakan,akanakan,akanakan,ainak,akanakan,akanakan,akanakan,ainak,ainak,akanakan,ainak,akanakan,akanakan,ainak,ataurok,akanakan,akanakan,ainak,akanakan,ainak,ainak,akanakan,,ainak,akanakan,akanakan,ainak,akanakan,akanakan,ainak,ainak,,akanakan,ataurok,atcak,angaluk,atcak,atcak,angaluk,aaka,atcak,atcak,angaluk,aaka,atcak,atcak,apa,atcak,angaluk,angaluk,angaluk,angaluk,angaluk,apa,angaluk,atcak,angaluk,atcak,atcak,angaluk,angaluk,atcak
1,0.09378464898552186,1.0759042409487949,0.982119591963273,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,ainak,ainak,akanakan,akanakan,akanakan,nukatceak,ainak,apiak,akanakan,ainak,akanakan,ainak,ainak,akanakan,ainak,ainak,ainak,akanakan,akanakan,akanakan,akanakan,akanakan,akanakan,akanakan,akanakan,,ainak,,ainak,nukatceak,akanakan,akanakan,ainak,ainak,akanakan,akanakan,ainak,akanakan,akanakan,akanakan,akanakan,akanakan,ainak,akanakan,akanakan,ainak,ainak,ainak,ataurok,ataurok,ainak,ainak,,ainak,akanakan,akanakan,akanakan,ainak,ainak,ainak,ainak,,ainak,akanakan,ainak,ainak,akanakan,ainak,nukatceak,nukatceak,apiak,akanakan,akanakan,ainak,akanakan,ainak,ainak,ainak,akanakan,ainak,akanakan,atcak,atcak,atcak,atcak,atcak,atcak,atcak,atcak,angaluk,angaluk,atcak,angaluk,aaka,atcak,angaluk,angaluk,angaluk,apa,angaluk,apa,atcak,aaka,angaluk,angaluk,angaluk,angaluk,angaluk,atcak
2,0.1444076016095457,1.1274374466998767,0.983029845090331,ainak,ainak,ainak,ainak,akanakan,ainak,akanakan,ainak,ainak,akanakan,,akanakan,ainak,ainak,ataurok,ainak,nukatceak,akanakan,ainak,ainak,ainak,akanakan,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,ainak,akanakan,akanakan,akanakan,akanakan,ainak,akanakan,akanakan,akanakan,akanakan,akanakan,akanakan,akanakan,ainak,nukatceak,akanakan,,ainak,akanakan,ainak,ainak,akanakan,ainak,ainak,ainak,ainak,ainak,ainak,ainak,akanakan,nukatceak,,ainak,akanakan,akanakan,akanakan,ainak,akanakan,ainak,akanakan,,ainak,akanakan,nukatceak,akanakan,akanakan,akanakan,ainak,akanakan,akanakan,ainak,ataurok,apiak,ainak,ainak,apiak,akanakan,akanakan,akanakan,ainak,angaluk,angaluk,atcak,aaka,angaluk,atcak,atcak,angaluk,angaluk,apa,atcak,angaluk,atcak,atcak,apa,angaluk,angaluk,aaka,angaluk,angaluk,atcak,atcak,angaluk,atcak,atcak,atcak,angaluk,atcak
3,0.11626151983248056,1.0378718918570304,0.9216103720245499,ainak,ainak,ainak,,ainak,akanakan,ainak,akanakan,ainak,ainak,akanakan,ainak,ainak,akanakan,akanakan,akanakan,ainak,akanakan,akanakan,akanakan,akanakan,ataurok,ainak,ainak,akanakan,akanakan,ataurok,akanakan,ainak,akanakan,akanakan,ainak,ainak,ainak,ainak,akanakan,ainak,akanakan,ainak,akanakan,apiak,akanakan,ainak,ainak,ainak,akanakan,akanakan,ainak,akanakan,akanakan,ainak,akanakan,nukatceak,ainak,ainak,akanakan,akanakan,ainak,ainak,ainak,akanakan,ainak,akanakan,akanakan,,nukatceak,akanakan,ainak,ainak,apiak,akanakan,nukatceak,akanakan,akanakan,akanakan,ainak,akanakan,ainak,akanakan,ainak,nukatceak,ainak,akanakan,ainak,ainak,,ainak,akanakan,akanakan,,atcak,angaluk,angaluk,angaluk,angaluk,angaluk,atcak,angaluk,atcak,atcak,atcak,atcak,angaluk,atcak,aaka,atcak,atcak,angaluk,angaluk,angaluk,apa,angaluk,atcak,apa,angaluk,aaka,atcak,atcak
4,0.10023732977520194,1.20702036199004,1.106783032214838,,akanakan,akanakan,akanakan,apiak,akanakan,akanakan,ainak,nukatceak,akanakan,nukatceak,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,akanakan,ainak,akanakan,akanakan,ainak,ainak,ainak,akanakan,ainak,akanakan,ainak,akanakan,akanakan,ainak,ainak,ainak,akanakan,akanakan,ataurok,ainak,ainak,ainak,akanakan,ainak,akanakan,ainak,apiak,ainak,akanakan,ainak,ainak,ainak,akanakan,akanakan,akanakan,akanakan,ainak,akanakan,ainak,,akanakan,akanakan,ainak,ainak,,akanakan,ainak,ainak,akanakan,nukatceak,ainak,akanakan,ainak,akanakan,ainak,ainak,akanakan,akanakan,ainak,ainak,akanakan,ainak,akanakan,akanakan,,ataurok,akanakan,ainak,ainak,ainak,nukatceak,angaluk,atcak,angaluk,apa,angaluk,angaluk,atcak,atcak,atcak,angaluk,atcak,angaluk,atcak,angaluk,atcak,angaluk,apa,aaka,atcak,aaka,atcak,angaluk,angaluk,atcak,angaluk,angaluk,atcak,atcak
5,0.06786895694783057,1.026888131737519,0.9590191747896883,,akanakan,ainak,ainak,ainak,nukatceak,ainak,ainak,,akanakan,ainak,ainak,akanakan,ainak,akanakan,akanakan,ainak,ainak,ainak,akanakan,ainak,ainak,akanakan,ainak,ainak,akanakan,akanakan,akanakan,akanakan,ainak,,ainak,apiak,akanakan,akanakan,akanakan,ainak,ainak,ainak,akanakan,ainak,akanakan,nukatceak,akanakan,akanakan,ainak,ainak,akanakan,ainak,akanakan,ainak,akanakan,akanakan,akanakan,ainak,akanakan,ainak,ataurok,nukatceak,akanakan,nukatceak,akanakan,akanakan,ainak,ainak,ainak,ainak,akanakan,ataurok,ainak,akanakan,akanakan,akanakan,ainak,,ainak,ainak,ainak,akanakan,akanakan,akanakan,akanakan,apiak,ainak,ainak,akanakan,akanakan,akanakan,ainak,akanakan,atcak,atcak,angaluk,atcak,atcak,angaluk,angaluk,angaluk,atcak,apa,aaka,angaluk,angaluk,angaluk,angaluk,angaluk,atcak,angaluk,atcak,atcak,angaluk,atcak,atcak,aaka,angaluk,atcak,apa,atcak
6,0.0796613922950431,1.0798307037434227,1.0001693114483796,ataurok,ainak,akanakan,ainak,ainak,akanakan,akanakan,ainak,akanakan,akanakan,ainak,ainak,ainak,ainak,nukatceak,akanakan,akanakan,ainak,akanakan,ainak,ainak,nukatceak,akanakan,akanakan,,akanakan,ainak,ainak,akanakan,ainak,akanakan,ainak,ainak,nukatceak,akanakan,ainak,akanakan,ainak,akanakan,akanakan,,ainak,ainak,akanakan,ainak,akanakan,nukatceak,akanakan,akanakan,ainak,ainak,ainak,ainak,apiak,akanakan,ainak,akanakan,akanakan,ainak,ainak,akanakan,akanakan,akanakan,akanakan,akanakan,ataurok,ainak,ainak,ainak,akanakan,ainak,ainak,,akanakan,akanakan,akanakan,akanakan,ainak,akanakan,ainak,,akanakan,ainak,akanakan,ainak,ainak,akanakan,ainak,apiak,akanakan,angaluk,atcak,apa,angaluk,angaluk,atcak,atcak,atcak,angaluk,atcak,angaluk,atcak,angaluk,aaka,atcak,atcak,atcak,angaluk,angaluk,atcak,atcak,angaluk,apa,aaka,atcak,angaluk,angaluk,angaluk
7,0.1114886386563454,1.0296429381434615,0.9181542994871161,akanakan,ainak,akanakan,akanakan,ainak,,akanakan,akanakan,akanakan,akanakan,ainak,akanakan,ainak,akanakan,nukatceak,ainak,ainak,akanakan,akanakan,akanakan,ainak,ainak,ainak,ainak,ainak,akanakan,apiak,ainak,ainak,akanakan,ainak,akanakan,akanakan,akanakan,ataurok,ainak,ainak,ainak,akanakan,akanakan,akanakan,ainak,ainak,ainak,ainak,ainak,akanakan,akanakan,akanakan,akanakan,akanakan,akanakan,ainak,ainak,akanakan,ainak,ataurok,akanakan,akanakan,ainak,ainak,ainak,akanakan,ainak,,akanakan,nukatceak,akanakan,akanakan,ainak,akanakan,ainak,nukatceak,ainak,apiak,ainak,nukatceak,ainak,,akanakan,ainak,akanakan,akanakan,ainak,ainak,ainak,ainak,akanakan,,akanakan,atcak,angaluk,atcak,angaluk,atcak,angaluk,aaka,apa,atcak,angaluk,atcak,angaluk,angaluk,atcak,angaluk,angaluk,angaluk,atcak,atcak,angaluk,atcak,angaluk,aaka,apa,atcak,atcak,atcak,angaluk
8,0.2292190600742372,1.1430618609218155,0.9138428008475783,ainak,akanakan,ainak,ainak,apiak,ainak,ainak,ainak,ainak,ainak,ainak,ainak,ainak,ainak,ainak,ainak,akanakan,ainak,akanakan,ainak,ainak,akanakan,akanakan,akanakan,akanakan,akanakan,ainak,akanakan,akanakan,ainak,ainak,ainak,akanakan,ainak,akanakan,akanakan,apiak,akanakan,akanakan,nukatceak,,akanakan,nukatceak,akanakan,ainak,ataurok,akanakan,ainak,akanakan,akanakan,akanakan,akanakan,ataurok,,ainak,ainak,akanakan,akanakan,akanakan,ainak,akanakan,ainak,ainak,ainak,akanakan,akanakan,ainak,ainak,nukatceak,ainak,ainak,ainak,akanakan,akanakan,nukatceak,akanakan,,akanakan,akanakan,akanakan,,akanakan,akanakan,akanakan,ainak,akanakan,ainak,ainak,ainak,akanakan,angaluk,atcak,atcak,angaluk,atcak,angaluk,atcak,angaluk,angaluk,angaluk,angaluk,angaluk,atcak,angaluk,angaluk,apa,apa,aaka,atcak,atcak,atcak,atcak,angaluk,atcak,aaka,atcak,atcak,angaluk
9,0.08836206469430397,1.1430618609218155,1.0546997962275115,akanakan,ainak,ainak,akanakan,ainak,akanakan,akanakan,ainak,akanakan,ainak,ainak,ainak,ainak,,akanakan,akanakan,akanakan,akanakan,akanakan,ainak,ataurok,akanakan,ainak,ainak,akanakan,ainak,akanakan,nukatceak,akanakan,akanakan,apiak,ainak,ainak,akanakan,akanakan,ainak,akanakan,ainak,akanakan,akanakan,ainak,akanakan,ainak,ainak,nukatceak,ainak,ainak,akanakan,ainak,ainak,akanakan,ainak,akanakan,nukatceak,akanakan,akanakan,ainak,akanakan,ainak,akanakan,akanakan,ainak,nukatceak,apiak,ataurok,akanakan,akanakan,ainak,,akanakan,ainak,ainak,ainak,ainak,akanakan,akanakan,akanakan,,ainak,ainak,ainak,,akanakan,akanakan,ainak,akanakan,ainak,ainak,ainak,akanakan,angaluk,aaka,angaluk,angaluk,atcak,angaluk,atcak,angaluk,atcak,atcak,atcak,angaluk,atcak,angaluk,atcak,apa,angaluk,atcak,apa,atcak,angaluk,angaluk,atcak,angaluk,atcak,angaluk,aaka,atcak
