simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.1586054165044013,1.3487876966267476,1.1901822801223463,ciè,aajii,böru,aajii,böru,böru,aajii,böru,böru,aajii,böru,ciè,ciè,aajii,"aajii, pwi jii, bèrè","ciè, tôô ciè, näigé",böru,aajii,ciè,ciè,böru,böru,böru,böru,böru,böru,aajii,aajii,ciè,böru,ciè,"ciè, tôô ciè",böru,böru,böru,ciè,aajii,böru,aajii,aajii,ciè,ciè,böru,"aajii, tôô jii",aajii,böru,böru,aajii,böru,böru,böru,böru,ciè,ciè,böru,ciè,böru,aajii,böru,aajii,ciè,"ciè, pwi ciè, bèrè",böru,ciè,böru,aajii,aajii,böru,"aajii, pwi jii",böru,ciè,ciè,böru,böru,böru,ciè,böru,aajii,böru,böru,"aajii, tôô jii, näigé",böru,böru,aajii,ciè,caa,caa,caa,nyââ,"pankaa, köaa",nyââ,nyââ,"pankaa, köaa","aunîa, aunéaa",nyââ,caa,"aunîa, aunéaa","pankaa, köaa","aunîa, aunéaa",caa,nyââ,"pankaa, köaa",nyââ,caa,"aunîa, aunéaa"
1,0.15894698062777457,1.371768896629724,1.2128219160019493,böru,aajii,böru,ciè,aajii,"aajii, tôô jii, näigé",ciè,"ciè, tôô ciè",böru,aajii,böru,böru,aajii,böru,böru,böru,böru,ciè,aajii,ciè,aajii,ciè,"ciè, tôô ciè, näigé",böru,"aajii, pwi jii",aajii,böru,ciè,aajii,böru,ciè,böru,aajii,böru,böru,aajii,böru,aajii,"aajii, tôô jii",ciè,böru,ciè,böru,böru,aajii,böru,ciè,böru,ciè,böru,böru,böru,böru,böru,böru,ciè,ciè,böru,aajii,böru,aajii,ciè,aajii,ciè,ciè,aajii,böru,böru,"aajii, pwi jii, bèrè",böru,aajii,böru,böru,böru,ciè,böru,aajii,böru,böru,"ciè, pwi ciè, bèrè",böru,ciè,böru,ciè,aajii,"aunîa, aunéaa",nyââ,caa,"aunîa, aunéaa","pankaa, köaa",caa,caa,nyââ,"pankaa, köaa",nyââ,caa,nyââ,"aunîa, aunéaa",caa,"aunîa, aunéaa","pankaa, köaa","pankaa, köaa",nyââ,caa,nyââ
2,0.09301030868456395,1.3553241485015382,1.2623138398169742,aajii,böru,ciè,böru,böru,aajii,aajii,böru,böru,böru,aajii,"aajii, tôô jii, näigé",böru,böru,"aajii, pwi jii, bèrè",böru,böru,böru,böru,böru,böru,böru,"aajii, tôô jii","aajii, pwi jii","ciè, tôô ciè, näigé",aajii,böru,ciè,aajii,böru,ciè,ciè,ciè,böru,böru,böru,aajii,ciè,aajii,böru,aajii,böru,ciè,ciè,böru,ciè,böru,böru,ciè,böru,böru,böru,böru,ciè,"ciè, pwi ciè, bèrè",böru,ciè,aajii,aajii,böru,böru,böru,böru,böru,aajii,ciè,aajii,böru,böru,böru,aajii,böru,aajii,ciè,"ciè, tôô ciè",aajii,aajii,aajii,ciè,böru,ciè,aajii,ciè,ciè,ciè,caa,"aunîa, aunéaa",caa,"pankaa, köaa","aunîa, aunéaa",nyââ,"pankaa, köaa",nyââ,"pankaa, köaa",nyââ,nyââ,caa,"aunîa, aunéaa","aunîa, aunéaa",caa,nyââ,caa,nyââ,"pankaa, köaa",caa
3,0.1807327152738285,1.366158847569202,1.1854261322953734,böru,böru,böru,böru,ciè,böru,böru,böru,böru,böru,böru,aajii,böru,ciè,böru,ciè,böru,böru,böru,böru,ciè,ciè,"aajii, pwi jii",böru,ciè,aajii,böru,aajii,aajii,böru,böru,böru,böru,böru,aajii,böru,"aajii, pwi jii, bèrè",ciè,böru,ciè,böru,böru,ciè,böru,böru,aajii,böru,"ciè, tôô ciè",böru,"aajii, tôô jii",böru,böru,aajii,aajii,aajii,böru,ciè,ciè,aajii,aajii,aajii,aajii,böru,"aajii, tôô jii, näigé","ciè, tôô ciè, näigé",ciè,böru,ciè,böru,ciè,aajii,böru,ciè,ciè,"ciè, pwi ciè, bèrè",aajii,ciè,aajii,böru,aajii,aajii,ciè,ciè,böru,aajii,"pankaa, köaa",caa,caa,caa,"pankaa, köaa","aunîa, aunéaa",nyââ,nyââ,"aunîa, aunéaa",caa,"pankaa, köaa",nyââ,"aunîa, aunéaa",caa,nyââ,caa,nyââ,"aunîa, aunéaa",nyââ,"pankaa, köaa"
4,0.26031021582279124,1.3763979873559773,1.116087771533186,aajii,aajii,aajii,böru,"aajii, tôô jii",aajii,böru,böru,böru,böru,ciè,ciè,ciè,böru,ciè,"aajii, tôô jii, näigé",böru,böru,böru,böru,böru,ciè,aajii,ciè,ciè,aajii,aajii,aajii,aajii,böru,aajii,aajii,böru,böru,böru,"aajii, pwi jii",böru,ciè,böru,böru,böru,"ciè, tôô ciè","ciè, tôô ciè, näigé",böru,ciè,böru,böru,böru,böru,ciè,böru,aajii,aajii,böru,ciè,ciè,ciè,böru,"ciè, pwi ciè, bèrè",böru,"aajii, pwi jii, bèrè",böru,ciè,aajii,ciè,böru,böru,ciè,aajii,böru,böru,aajii,böru,böru,ciè,ciè,böru,böru,aajii,böru,ciè,aajii,böru,böru,aajii,"aunîa, aunéaa",caa,"aunîa, aunéaa","pankaa, köaa","aunîa, aunéaa",nyââ,"aunîa, aunéaa",nyââ,"pankaa, köaa",caa,caa,"pankaa, köaa",nyââ,nyââ,caa,nyââ,caa,nyââ,"pankaa, köaa",caa
5,0.2198676093272296,1.358231894813244,1.1383642854860143,"aajii, tôô jii",böru,ciè,aajii,"ciè, tôô ciè, näigé",böru,ciè,böru,aajii,ciè,böru,böru,böru,böru,ciè,ciè,böru,böru,böru,"ciè, pwi ciè, bèrè",böru,aajii,ciè,böru,böru,aajii,böru,ciè,böru,aajii,ciè,ciè,böru,aajii,"ciè, tôô ciè",ciè,böru,aajii,aajii,böru,böru,böru,böru,aajii,ciè,ciè,böru,ciè,böru,böru,"aajii, pwi jii",aajii,ciè,"aajii, tôô jii, näigé",böru,böru,böru,aajii,böru,böru,ciè,aajii,ciè,aajii,böru,aajii,"aajii, pwi jii, bèrè",aajii,böru,aajii,böru,aajii,böru,aajii,böru,böru,böru,ciè,böru,böru,böru,böru,ciè,ciè,aajii,"aunîa, aunéaa",nyââ,nyââ,"aunîa, aunéaa",caa,"aunîa, aunéaa","pankaa, köaa",nyââ,"pankaa, köaa",nyââ,nyââ,caa,caa,"aunîa, aunéaa",caa,"pankaa, köaa",caa,"pankaa, köaa",nyââ,caa
6,0.09388859623065215,1.366158847569202,1.2722702513385498,"aajii, pwi jii, bèrè",aajii,aajii,böru,aajii,böru,böru,"aajii, tôô jii, näigé",aajii,böru,böru,ciè,ciè,ciè,aajii,böru,aajii,"aajii, pwi jii",ciè,"ciè, pwi ciè, bèrè",böru,böru,ciè,ciè,böru,böru,böru,böru,aajii,böru,ciè,böru,böru,böru,böru,ciè,aajii,böru,ciè,böru,aajii,ciè,"aajii, tôô jii",aajii,böru,böru,böru,ciè,ciè,böru,böru,böru,böru,böru,böru,aajii,aajii,böru,aajii,ciè,ciè,aajii,ciè,böru,böru,böru,aajii,böru,ciè,böru,böru,ciè,böru,aajii,böru,"ciè, tôô ciè",aajii,ciè,aajii,böru,böru,böru,aajii,ciè,"ciè, tôô ciè, näigé",caa,"pankaa, köaa","aunîa, aunéaa","aunîa, aunéaa",nyââ,"pankaa, köaa",caa,"aunîa, aunéaa",caa,caa,nyââ,caa,"pankaa, köaa","aunîa, aunéaa",nyââ,nyââ,"pankaa, köaa",caa,nyââ,nyââ
7,0.1922316549671652,1.3698615354811867,1.1776298805140215,aajii,aajii,böru,"aajii, tôô jii, näigé","aajii, tôô jii","aajii, pwi jii, bèrè",böru,ciè,ciè,böru,aajii,böru,böru,böru,aajii,böru,böru,ciè,böru,böru,"ciè, tôô ciè",ciè,ciè,ciè,böru,böru,ciè,böru,böru,ciè,aajii,ciè,aajii,ciè,böru,böru,böru,aajii,aajii,ciè,böru,böru,böru,aajii,böru,ciè,ciè,böru,aajii,ciè,aajii,böru,"aajii, pwi jii",böru,aajii,böru,böru,böru,böru,böru,aajii,böru,böru,böru,aajii,böru,ciè,ciè,aajii,böru,böru,"ciè, tôô ciè, näigé",böru,ciè,böru,aajii,ciè,ciè,aajii,böru,böru,aajii,"ciè, pwi ciè, bèrè",böru,aajii,nyââ,nyââ,nyââ,"aunîa, aunéaa","pankaa, köaa",caa,caa,"aunîa, aunéaa","pankaa, köaa",nyââ,caa,nyââ,"aunîa, aunéaa",caa,"pankaa, köaa",nyââ,caa,"aunîa, aunéaa","pankaa, köaa",caa
8,0.26111413493181534,1.358231894813244,1.0971177598814286,böru,böru,böru,ciè,böru,aajii,ciè,böru,aajii,ciè,aajii,böru,"ciè, tôô ciè",böru,böru,ciè,ciè,aajii,böru,ciè,aajii,böru,böru,böru,böru,böru,"aajii, tôô jii",aajii,ciè,böru,"aajii, pwi jii, bèrè",böru,ciè,böru,ciè,aajii,böru,aajii,"ciè, pwi ciè, bèrè",ciè,aajii,"ciè, tôô ciè, näigé",böru,böru,ciè,ciè,ciè,böru,böru,aajii,böru,böru,ciè,aajii,böru,aajii,böru,böru,böru,böru,aajii,"aajii, pwi jii",böru,aajii,böru,ciè,böru,böru,aajii,aajii,ciè,aajii,böru,böru,ciè,"aajii, tôô jii, näigé",böru,aajii,böru,aajii,böru,ciè,böru,böru,ciè,caa,caa,caa,"aunîa, aunéaa","pankaa, köaa",nyââ,"pankaa, köaa",nyââ,"aunîa, aunéaa",caa,"pankaa, köaa",caa,nyââ,"aunîa, aunéaa","pankaa, köaa",nyââ,caa,"aunîa, aunéaa",nyââ,nyââ
9,0.3614554342002,1.3479100982119798,0.9864546640117798,aajii,ciè,böru,aajii,aajii,böru,aajii,aajii,ciè,böru,böru,böru,böru,ciè,ciè,aajii,böru,böru,"aajii, tôô jii, näigé",aajii,aajii,ciè,"ciè, pwi ciè, bèrè",böru,böru,böru,böru,ciè,böru,böru,böru,aajii,ciè,aajii,aajii,böru,ciè,böru,böru,"ciè, tôô ciè",ciè,aajii,aajii,ciè,ciè,böru,aajii,böru,böru,"aajii, tôô jii",ciè,böru,böru,ciè,böru,"aajii, pwi jii",böru,böru,aajii,aajii,ciè,böru,böru,aajii,ciè,böru,böru,aajii,"ciè, tôô ciè, näigé",böru,böru,böru,böru,"aajii, pwi jii, bèrè",böru,böru,böru,ciè,böru,aajii,ciè,böru,böru,ciè,ciè,caa,nyââ,caa,caa,"pankaa, köaa","aunîa, aunéaa",nyââ,"aunîa, aunéaa",nyââ,"pankaa, köaa",caa,nyââ,caa,"pankaa, köaa","pankaa, köaa",nyââ,caa,nyââ,"aunîa, aunéaa","aunîa, aunéaa"
