simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,fFeZ,fFyZ,fMeZ,fMyZ
0,0.14255834765230224,0.8425434329028281,0.6999850852505258,ngalekodám,ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,"chudel(ék), chobek(úk)",ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekdós,ngalekodám,ngelekir a ruchad,ngalekdós,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekdós,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,"merreng(ék), chochel(ék)",ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,"merreng(ék), chochel(ék)",ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,ngalekdós,ngelekir a ruchad,ngalekdós,chochad(ák),chochad(ák),ngalekdós,ngalekodám,ngelekir a ruchad,ngalekdós,ngalekodám,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekodám,ngalekodám,ngalekdós,ngalekodám,chochad(ák),chochad(ák),ngalekodám,ngelekir a ruchad,ngalekdós,ngalekdós,ngelekir a ruchad,"desik, kladesióil","chadíl, uadíl","desik, kladesióil","desik, kladesióil","chadám, uadám","desik, kladesióil","chadíl, uadíl","desik, kladesióil","desik, kladesióil","desik, kladesióil","desik, kladesióil","chadám, uadám"
1,0.03951833361917767,0.8785381733984767,0.8390198397792991,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekdós,ngelekir a ruchad,chochad(ák),ngelekir a ruchad,ngalekodám,ngalekdós,ngalekodám,ngalekdós,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,"merreng(ék), chochel(ék)",chochad(ák),ngalekodám,ngalekodám,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekodám,ngalekodám,ngelekir a ruchad,"merreng(ék), chochel(ék)",ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekdós,ngalekodám,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekdós,ngalekodám,ngalekodám,ngelekir a ruchad,ngalekdós,ngalekdós,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,"chudel(ék), chobek(úk)",ngelekir a ruchad,ngalekodám,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,chochad(ák),chochad(ák),ngelekir a ruchad,ngalekodám,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekodám,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,"desik, kladesióil","desik, kladesióil","desik, kladesióil","chadíl, uadíl","desik, kladesióil","chadám, uadám","chadíl, uadíl","chadám, uadám","desik, kladesióil","desik, kladesióil","desik, kladesióil","desik, kladesióil"
2,0.15147493275792911,0.8425434329028281,0.691068500144899,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekdós,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,chochad(ák),ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekodám,ngelekir a ruchad,ngalekdós,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,"chudel(ék), chobek(úk)",ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,ngalekdós,ngalekdós,chochad(ák),ngalekdós,chochad(ák),ngalekodám,chochad(ák),"merreng(ék), chochel(ék)",ngalekdós,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,ngalekodám,ngalekodám,ngalekdós,ngalekodám,ngalekodám,ngalekodám,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekdós,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,"merreng(ék), chochel(ék)",ngalekdós,ngalekodám,ngelekir a ruchad,"desik, kladesióil","desik, kladesióil","desik, kladesióil","desik, kladesióil","chadám, uadám","desik, kladesióil","desik, kladesióil","chadám, uadám","desik, kladesióil","chadíl, uadíl","chadíl, uadíl","desik, kladesióil"
3,0.0965665725317505,0.8785381733984767,0.7819716008667262,ngelekir a ruchad,ngalekodám,ngalekdós,ngalekdós,ngalekodám,ngalekodám,ngalekdós,ngalekodám,chochad(ák),ngalekdós,ngalekodám,ngalekdós,ngelekir a ruchad,ngalekodám,ngalekodám,ngalekodám,ngalekodám,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,"merreng(ék), chochel(ék)",ngalekodám,"chudel(ék), chobek(úk)",ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,"merreng(ék), chochel(ék)",ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekdós,ngalekdós,ngalekodám,ngalekdós,ngalekodám,chochad(ák),ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,chochad(ák),ngelekir a ruchad,ngelekir a ruchad,ngalekdós,chochad(ák),ngalekdós,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,"desik, kladesióil","desik, kladesióil","desik, kladesióil","chadám, uadám","desik, kladesióil","desik, kladesióil","desik, kladesióil","chadám, uadám","desik, kladesióil","chadíl, uadíl","chadíl, uadíl","desik, kladesióil"
4,0.10700394280985592,0.8425434329028281,0.7355394900929721,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,chochad(ák),ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,ngalekodám,ngalekdós,"merreng(ék), chochel(ék)",ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,"chudel(ék), chobek(úk)",ngalekdós,ngelekir a ruchad,ngalekdós,chochad(ák),ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekodám,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,ngelekir a ruchad,ngalekdós,ngalekdós,ngalekdós,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekodám,ngalekodám,chochad(ák),ngalekodám,chochad(ák),ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,ngalekdós,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekodám,"merreng(ék), chochel(ék)",ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekodám,"desik, kladesióil","desik, kladesióil","desik, kladesióil","desik, kladesióil","desik, kladesióil","chadíl, uadíl","chadám, uadám","desik, kladesióil","chadám, uadám","chadíl, uadíl","desik, kladesióil","desik, kladesióil"
5,0.20740851986314823,0.8785381733984767,0.6711296535353285,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekodám,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekodám,ngalekdós,ngelekir a ruchad,"merreng(ék), chochel(ék)",ngalekdós,ngalekdós,ngelekir a ruchad,chochad(ák),ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,ngalekdós,ngelekir a ruchad,ngalekodám,ngalekdós,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,chochad(ák),ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekdós,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,chochad(ák),ngelekir a ruchad,ngalekdós,"chudel(ék), chobek(úk)",ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekdós,ngalekdós,ngalekdós,ngalekdós,ngalekdós,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekodám,chochad(ák),ngelekir a ruchad,ngalekodám,ngalekodám,ngalekodám,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,"merreng(ék), chochel(ék)",ngalekodám,"desik, kladesióil","desik, kladesióil","chadíl, uadíl","desik, kladesióil","chadám, uadám","desik, kladesióil","chadíl, uadíl","desik, kladesióil","desik, kladesióil","desik, kladesióil","chadám, uadám","desik, kladesióil"
6,0.10064676997270583,0.8425434329028281,0.7418966629301222,ngelekir a ruchad,ngalekdós,ngalekdós,ngalekdós,ngelekir a ruchad,chochad(ák),"merreng(ék), chochel(ék)",ngalekdós,ngalekdós,ngalekdós,ngelekir a ruchad,ngalekdós,ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,chochad(ák),ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekdós,ngalekdós,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,"chudel(ék), chobek(úk)",ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,chochad(ák),chochad(ák),ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekdós,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,ngalekodám,ngalekodám,ngalekdós,ngalekdós,ngalekodám,"merreng(ék), chochel(ék)",ngalekdós,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,"desik, kladesióil","desik, kladesióil","desik, kladesióil","desik, kladesióil","desik, kladesióil","chadíl, uadíl","chadíl, uadíl","chadám, uadám","desik, kladesióil","desik, kladesióil","chadám, uadám","desik, kladesióil"
7,0.0993212303660671,0.8425434329028281,0.743222202536761,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,chochad(ák),ngalekodám,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekdós,"chudel(ék), chobek(úk)",ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekdós,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekodám,chochad(ák),ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekodám,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,ngalekodám,chochad(ák),ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,"merreng(ék), chochel(ék)",ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekdós,ngalekdós,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekdós,chochad(ák),ngalekdós,ngalekdós,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekdós,ngalekdós,"merreng(ék), chochel(ék)",ngalekodám,"chadám, uadám","desik, kladesióil","desik, kladesióil","desik, kladesióil","chadíl, uadíl","desik, kladesióil","chadíl, uadíl","chadám, uadám","desik, kladesióil","desik, kladesióil","desik, kladesióil","desik, kladesióil"
8,0.3214041949012826,0.8425434329028281,0.5211392380015455,ngalekdós,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,"chudel(ék), chobek(úk)",ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekdós,ngelekir a ruchad,chochad(ák),ngalekodám,ngelekir a ruchad,"merreng(ék), chochel(ék)",ngalekdós,ngalekodám,ngalekdós,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngalekodám,ngalekodám,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,chochad(ák),ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekodám,ngalekdós,ngalekodám,ngalekdós,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,chochad(ák),ngalekdós,ngalekdós,ngalekodám,ngelekir a ruchad,ngalekdós,ngalekodám,ngalekdós,ngalekodám,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,chochad(ák),ngelekir a ruchad,ngalekodám,ngalekdós,"merreng(ék), chochel(ék)",ngalekodám,ngelekir a ruchad,ngelekir a ruchad,"desik, kladesióil","chadíl, uadíl","desik, kladesióil","desik, kladesióil","chadíl, uadíl","desik, kladesióil","desik, kladesióil","chadám, uadám","desik, kladesióil","desik, kladesióil","chadám, uadám","desik, kladesióil"
9,0.35630296673385,0.8425434329028281,0.4862404661689781,chochad(ák),ngalekdós,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekdós,ngalekdós,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,"merreng(ék), chochel(ék)",ngelekir a ruchad,ngalekodám,ngalekodám,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,ngalekdós,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,ngalekodám,ngalekdós,ngelekir a ruchad,chochad(ák),ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekodám,ngelekir a ruchad,ngalekodám,ngalekodám,ngalekodám,ngalekdós,ngelekir a ruchad,"chudel(ék), chobek(úk)",ngalekodám,ngelekir a ruchad,ngalekdós,ngalekdós,ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekdós,chochad(ák),"merreng(ék), chochel(ék)",ngalekodám,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngalekdós,ngalekodám,ngelekir a ruchad,ngalekdós,ngelekir a ruchad,chochad(ák),ngelekir a ruchad,ngelekir a ruchad,ngalekodám,ngelekir a ruchad,"chadíl, uadíl","chadíl, uadíl","desik, kladesióil","desik, kladesióil","desik, kladesióil","desik, kladesióil","chadám, uadám","desik, kladesióil","desik, kladesióil","desik, kladesióil","chadám, uadám","desik, kladesióil"
