simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.20808123059588102,1.355324148501538,1.147242917905657,mwane,"nae, sanei",tou,mwane,patne,tou,"nae, sanei",mwane,"nae, sanei",pwai,patne,patne,patne,pwai,pwai,pwai,pwai,mwane,pwai,tou,pwai,pwai,pwai,patne,pwai,pwai,mwane,"nae, sanei",pwai,pwai,pwai,pwai,tou,tou,pwai,mwane,patne,"nae, sanei",tama,tina,nukna,tama,tina,tina,nukna,tama,tama,sae,tina,sae,nukna,sae,tina,nukna,tama,tina,sae,tama
1,0.12541734569571172,1.3698615354811867,1.244444189785475,mwane,pwai,tou,mwane,patne,"nae, sanei",patne,"nae, sanei",patne,pwai,mwane,"nae, sanei",mwane,pwai,tou,"nae, sanei",patne,"nae, sanei",patne,patne,tou,pwai,pwai,mwane,pwai,pwai,pwai,pwai,pwai,pwai,pwai,tou,pwai,tou,pwai,mwane,pwai,pwai,tina,sae,nukna,tina,tina,tama,sae,tina,tama,tama,tina,sae,tina,tama,tama,nukna,sae,nukna,nukna,tama
2,0.12989690033213042,1.3717688966297237,1.2418719962975933,pwai,pwai,"nae, sanei",pwai,"nae, sanei",mwane,patne,pwai,mwane,"nae, sanei",patne,tou,pwai,patne,tou,mwane,tou,pwai,mwane,pwai,pwai,tou,pwai,patne,pwai,mwane,"nae, sanei","nae, sanei",patne,pwai,tou,pwai,pwai,pwai,pwai,mwane,pwai,patne,tina,nukna,tina,sae,nukna,tama,tina,tama,tama,nukna,tina,tina,tama,tina,sae,tama,sae,tama,nukna,sae
3,0.016757936809676854,1.3698615354811867,1.3531035986715099,"nae, sanei",pwai,pwai,mwane,tou,"nae, sanei",pwai,pwai,pwai,patne,patne,pwai,pwai,mwane,mwane,patne,tou,pwai,mwane,tou,pwai,patne,pwai,pwai,pwai,pwai,mwane,patne,pwai,mwane,"nae, sanei","nae, sanei",patne,tou,pwai,pwai,tou,"nae, sanei",tama,tama,sae,tama,nukna,sae,sae,nukna,tina,tama,tama,tama,tina,tina,nukna,tina,tina,tina,sae,nukna
4,0.3349603734829196,1.3652324447549333,1.0302720712720137,pwai,pwai,patne,pwai,pwai,pwai,pwai,mwane,tou,patne,pwai,pwai,pwai,pwai,mwane,"nae, sanei",mwane,patne,pwai,pwai,"nae, sanei",patne,mwane,pwai,mwane,"nae, sanei",tou,tou,mwane,patne,patne,tou,"nae, sanei",tou,pwai,pwai,"nae, sanei",pwai,tina,tama,tama,tina,tama,tina,tina,nukna,nukna,nukna,tama,tama,tina,tama,sae,sae,tina,sae,nukna,sae
5,0.10566770859355334,1.3751146687214826,1.2694469601279292,patne,patne,pwai,pwai,pwai,pwai,pwai,"nae, sanei",mwane,tou,pwai,mwane,pwai,"nae, sanei",patne,"nae, sanei",pwai,patne,pwai,mwane,pwai,pwai,tou,pwai,patne,tou,patne,pwai,mwane,mwane,pwai,pwai,tou,pwai,tou,mwane,"nae, sanei","nae, sanei",tama,nukna,sae,sae,tina,tina,tina,nukna,tama,tina,tina,nukna,tama,tama,nukna,sae,tina,tama,sae,tama
6,0.20340661812341088,1.3717688966297237,1.1683622785063128,patne,mwane,patne,tou,pwai,pwai,pwai,pwai,pwai,pwai,patne,patne,pwai,mwane,tou,"nae, sanei",pwai,"nae, sanei","nae, sanei",patne,"nae, sanei",tou,pwai,pwai,pwai,mwane,mwane,mwane,"nae, sanei",pwai,pwai,patne,pwai,tou,pwai,tou,pwai,mwane,tina,sae,tama,sae,tama,nukna,tina,sae,tama,tina,tina,tama,tina,tama,sae,nukna,tama,tina,nukna,nukna
7,0.20512877764719217,1.3647683466880345,1.1596395690408423,pwai,mwane,mwane,patne,patne,pwai,pwai,pwai,tou,"nae, sanei",mwane,pwai,tou,pwai,mwane,tou,"nae, sanei",mwane,pwai,patne,pwai,"nae, sanei",pwai,patne,tou,pwai,pwai,mwane,pwai,pwai,patne,"nae, sanei",patne,"nae, sanei",tou,pwai,pwai,pwai,nukna,tina,nukna,sae,sae,tama,tama,tina,tama,tama,tina,tama,nukna,sae,tina,tama,nukna,sae,tina,tina
8,0.2667948858040914,1.3605772817418338,1.0937823959377424,tou,pwai,pwai,tou,patne,pwai,pwai,"nae, sanei",pwai,patne,pwai,pwai,mwane,mwane,pwai,patne,patne,tou,tou,"nae, sanei",pwai,mwane,pwai,"nae, sanei",tou,pwai,mwane,pwai,pwai,mwane,patne,"nae, sanei","nae, sanei",pwai,patne,pwai,pwai,mwane,tama,tina,sae,sae,sae,tina,tama,tama,tina,nukna,tama,tina,tina,nukna,sae,nukna,tama,nukna,tina,tama
9,0.17286522602805365,1.3647683466880345,1.1919031206599808,pwai,pwai,mwane,pwai,mwane,"nae, sanei",mwane,mwane,mwane,pwai,tou,tou,patne,patne,"nae, sanei",pwai,patne,pwai,"nae, sanei",patne,patne,pwai,pwai,pwai,pwai,pwai,pwai,mwane,tou,pwai,tou,pwai,"nae, sanei",tou,pwai,"nae, sanei",pwai,patne,nukna,tina,sae,nukna,sae,tama,tama,tina,tina,nukna,tama,nukna,tama,sae,tina,tama,tina,tina,sae,tama
