simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,myZ,mFZD,mMBD,mFZS,mMBS,meZ,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fZ,feB,fyB,fyZ,fFZD,fMBD,fFZS,fMBS,feZ,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mZ,mFB,mFZ,mFeB,mFyB,mFeZ,mFyZ,fFB,fFZ,fFeB,fFyB,fFeZ,fFyZ,mF,mM,mMB,mMZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fMB,fMZ,fMeZ,fMyZ,fMeB,fMyB
0,0.12268716145391889,1.334906858227166,1.212219696773247,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,palha,ngathal,kunyjan,palha,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,murrura,palha,ngathal,ngathal,murrura,kunyjan,ngathal,ngathal,mimi,pipi,pipi,papu,ngandi,mimi,ngandi,pipi,mimi,papu,pipi,mimi,papu,ngandi,papu,papu,ngandi,ngandi,ngandi,pipi,papu,papu,mimi,papu,mimi,pipi,pipi,pipi
1,0.13144897538895695,1.220300513225574,1.088851537836617,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,kunyjan,palha,ngathal,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,murrura,kunyjan,palha,ngathal,ngathal,murrura,palha,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,papu,ngandi,papu,mimi,pipi,papu,pipi,papu,mimi,mimi,pipi,pipi,papu,ngandi,papu,ngandi,ngandi,pipi,papu,mimi,pipi,ngandi,pipi,mimi,mimi,pipi,papu,ngandi
2,0.09433240688664712,1.3669483952198902,1.272615988333243,kunyjan,ngathal,ngathal,ngathal,murrura,kunyjan,ngathal,ngathal,kunyjan,ngathal,palha,ngathal,ngathal,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,ngathal,murrura,ngathal,ngathal,palha,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,palha,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,ngandi,papu,pipi,mimi,pipi,papu,ngandi,ngandi,papu,papu,pipi,mimi,ngandi,ngandi,mimi,mimi,papu,papu,ngandi,pipi,pipi,pipi,mimi,mimi,papu,pipi,pipi,papu
3,0.06216960282921691,1.3369350547481849,1.274765451918968,ngathal,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,ngathal,murrura,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,ngathal,palha,kunyjan,ngathal,ngathal,ngathal,ngathal,murrura,ngathal,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,ngandi,mimi,ngandi,pipi,pipi,mimi,pipi,pipi,papu,pipi,pipi,mimi,papu,papu,ngandi,ngandi,mimi,pipi,ngandi,papu,pipi,papu,mimi,ngandi,mimi,papu,papu,papu
4,0.09945102570200404,1.3169981168209182,1.2175470911189141,ngathal,palha,ngathal,murrura,ngathal,ngathal,kunyjan,ngathal,palha,ngathal,ngathal,ngathal,kunyjan,kunyjan,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,murrura,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,ngathal,ngathal,mimi,pipi,papu,papu,papu,mimi,pipi,pipi,ngandi,mimi,pipi,ngandi,mimi,mimi,mimi,ngandi,ngandi,pipi,papu,pipi,pipi,ngandi,papu,pipi,papu,ngandi,papu,papu
5,0.09956001734166553,1.3704927313494455,1.27093271400778,kunyjan,ngathal,ngathal,ngathal,ngathal,murrura,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,palha,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,palha,palha,ngathal,murrura,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,palha,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,papu,pipi,pipi,mimi,papu,mimi,mimi,ngandi,ngandi,papu,pipi,papu,pipi,ngandi,papu,pipi,ngandi,papu,papu,pipi,ngandi,mimi,papu,pipi,ngandi,pipi,mimi,mimi
6,0.11355887048300839,1.353515511624949,1.2399566411419407,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,murrura,ngathal,murrura,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,palha,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,pipi,papu,papu,mimi,papu,mimi,pipi,papu,pipi,pipi,mimi,ngandi,ngandi,mimi,papu,papu,papu,pipi,ngandi,pipi,pipi,mimi,pipi,ngandi,ngandi,mimi,ngandi,papu
7,0.22121557236615663,1.3398024745180408,1.1185869021518842,ngathal,ngathal,ngathal,palha,murrura,ngathal,ngathal,murrura,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,palha,kunyjan,ngathal,palha,palha,kunyjan,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,papu,pipi,pipi,pipi,mimi,papu,ngandi,mimi,mimi,ngandi,papu,ngandi,papu,ngandi,mimi,ngandi,pipi,pipi,pipi,papu,papu,papu,pipi,mimi,pipi,mimi,ngandi,papu
8,0.10512748311961317,1.3466430891060495,1.2415156059864363,palha,ngathal,ngathal,murrura,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,palha,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,palha,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,murrura,pipi,pipi,papu,mimi,ngandi,mimi,papu,ngandi,pipi,papu,mimi,pipi,mimi,ngandi,ngandi,papu,mimi,ngandi,pipi,pipi,papu,pipi,papu,mimi,papu,ngandi,papu,pipi
9,0.08466039798023739,1.3050395430938657,1.2203791451136283,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,palha,ngathal,murrura,ngathal,kunyjan,palha,murrura,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,ngathal,kunyjan,ngathal,ngathal,ngathal,kunyjan,ngathal,kunyjan,ngathal,ngathal,ngathal,ngathal,ngathal,palha,ngathal,ngathal,palha,ngathal,ngathal,ngathal,pipi,mimi,ngandi,pipi,papu,mimi,ngandi,ngandi,ngandi,papu,papu,mimi,mimi,ngandi,mimi,pipi,pipi,ngandi,papu,pipi,papu,papu,papu,pipi,papu,mimi,pipi,pipi
