simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.3448660956980347,1.810406381973128,1.4655402862750933,uyenaru,uyeruk,naɂnai,,,,,,,naɂnai,,,,,,,,,moyi,uyese,,,,,,urui,urui,,naɂnai,,,pipi,maɂnon,,upasi,upasi,uyakon,,,,pipi,,,,uyakon,uyeruk,,uyakon,moyi,,,uyakon,,,,,,,,,,,,,,uyakon,upasi,,uyakon,urui,,,,,pipi,uyaɂyeketï,naɂnai,,,maɂnon,,uyese,,,,,maɂnon,,,,umui,uwaɂnin,amai,uwaɂnin,umui,,papai,,papai,amai,uwaɂnin,umui,usan,,usan,,uyepotorï,,,umui,amai,uyepotorï,papai,papai,amai,uwaɂnin,,
1,0.3642013107344455,1.788553766449419,1.4243524557149736,uyeruk,,,,,,,,,,upasi,,,pipi,,,uyakon,uyakon,upasi,moyi,,,,naɂnai,uyese,,uyaɂyeketï,,,,,,pipi,uyakon,maɂnon,,,,,urui,naɂnai,urui,,,,urui,uyakon,,uyenaru,,pipi,,,,,,,,,uyese,,,,uyeruk,upasi,,,,maɂnon,naɂnai,moyi,,naɂnai,,,,,,uyakon,,,,,uyakon,,,,,maɂnon,,,uwaɂnin,umui,papai,papai,papai,,uwaɂnin,,amai,umui,amai,,,,amai,amai,,papai,umui,uyepotorï,usan,usan,uwaɂnin,uyepotorï,uwaɂnin,umui,
2,0.3321512553418837,1.7839723199789204,1.4518210646370366,,,,,upasi,pipi,,uyakon,,,,,,pipi,,urui,,,,,,,,,uyaɂyeketï,naɂnai,naɂnai,,naɂnai,,,upasi,,,maɂnon,,maɂnon,,,urui,uyese,,uyese,,maɂnon,urui,,,uyakon,uyenaru,,naɂnai,upasi,moyi,,,uyakon,,,,,,uyeruk,,uyakon,,,pipi,,,,,,uyakon,,,,,,uyakon,moyi,,,,,,,uyeruk,,,,uwaɂnin,,umui,papai,,uyepotorï,papai,uwaɂnin,umui,uwaɂnin,,uwaɂnin,amai,,amai,,papai,amai,usan,,uyepotorï,umui,amai,usan,,papai,umui
3,0.4101006419066653,1.8332820153471896,1.4231813734405243,urui,uyese,,,,uyakon,,uyaɂyeketï,,upasi,uyakon,,,urui,upasi,,uyeruk,,,,moyi,,,uyakon,uyakon,,,,,,,uyakon,,,urui,,naɂnai,,,,,,,,uyeruk,pipi,,pipi,,maɂnon,pipi,,,,,,,,,naɂnai,,moyi,,,,naɂnai,,,,,,naɂnai,,uyenaru,,maɂnon,upasi,uyakon,,,,uyese,maɂnon,,,,,,,,,usan,,amai,umui,papai,papai,amai,umui,,uwaɂnin,,,,umui,amai,papai,umui,,uyepotorï,uwaɂnin,uyepotorï,amai,,usan,uwaɂnin,papai,uwaɂnin
4,0.2522687354792532,1.8527697026955845,1.6005009672163313,,,,,uyakon,pipi,moyi,,,naɂnai,,,,,,,,uyaɂyeketï,,naɂnai,,,,pipi,,naɂnai,,,uyese,,maɂnon,,uyenaru,,,,,,,,maɂnon,,urui,uyakon,uyakon,,,maɂnon,,,uyakon,,,,uyakon,,pipi,,moyi,,,,,upasi,,,,urui,,,naɂnai,,,,urui,,,,,,upasi,,,uyeruk,uyakon,uyese,,upasi,,uyeruk,,umui,uwaɂnin,amai,papai,uyepotorï,usan,papai,umui,amai,,umui,papai,umui,papai,usan,amai,amai,,uwaɂnin,,uwaɂnin,uwaɂnin,,uyepotorï,,,
5,0.31935916618853,1.8550066547452253,1.5356474885566953,uyeruk,,,,pipi,,,uyeruk,,urui,,,,,uyese,,,,naɂnai,,,,uyakon,,,upasi,uyenaru,,urui,uyaɂyeketï,,,uyese,,moyi,,pipi,,,,pipi,,uyakon,,,,,naɂnai,,,,,,uyakon,,moyi,,,urui,,naɂnai,uyakon,,,maɂnon,,maɂnon,,,,,,uyakon,,,,,naɂnai,,,maɂnon,,uyakon,upasi,,,,upasi,,,umui,uwaɂnin,,,umui,amai,amai,usan,papai,papai,umui,,amai,,uwaɂnin,uwaɂnin,papai,uyepotorï,,uyepotorï,umui,,papai,,uwaɂnin,amai,,usan
6,0.31637800968596586,1.8608945314938385,1.5445165218078727,,,,,urui,moyi,,,,,,,,pipi,,uyakon,,,,,,uyakon,,,,uyeruk,,urui,,naɂnai,,,uyakon,uyese,pipi,,,upasi,,uyese,,,upasi,,,,moyi,naɂnai,,,,,uyenaru,,,,,upasi,,,,naɂnai,,,uyakon,,uyeruk,,uyaɂyeketï,,uyakon,,,urui,,,,maɂnon,,maɂnon,,,,,naɂnai,,,maɂnon,uyakon,pipi,amai,uyepotorï,amai,uwaɂnin,,papai,,umui,uwaɂnin,uwaɂnin,umui,,umui,papai,amai,umui,amai,papai,usan,uwaɂnin,usan,uyepotorï,papai,,,,,
7,0.3287363199494595,1.7900137704934242,1.4612774505439647,,,,,,moyi,,uyeruk,,,,,,uyakon,,pipi,,,,,,uyakon,moyi,,maɂnon,,uyeruk,naɂnai,pipi,,,urui,upasi,,,maɂnon,,uyakon,uyaɂyeketï,,uyese,,urui,upasi,uyakon,,,,,naɂnai,upasi,,uyenaru,,,,,urui,uyakon,,pipi,,naɂnai,,,,uyakon,,maɂnon,,,,uyese,,,,,,,,,,,,,,,,naɂnai,,,amai,umui,umui,,papai,amai,uwaɂnin,uyepotorï,usan,,usan,umui,amai,,uwaɂnin,,umui,,amai,uwaɂnin,,papai,uwaɂnin,papai,papai,uyepotorï,
8,0.32049586181954837,1.8774205776324022,1.5569247158128539,upasi,,,urui,uyaɂyeketï,,pipi,upasi,naɂnai,,,,maɂnon,,,,,,,uyese,urui,pipi,moyi,,naɂnai,urui,,,,,,naɂnai,uyakon,,,,,maɂnon,,uyeruk,maɂnon,,,uyakon,upasi,pipi,uyakon,,uyeruk,moyi,,,,,,,,,,,,,uyenaru,,,,,naɂnai,,uyakon,,,,uyese,uyakon,,,,,,,,,,,,uyakon,,,,amai,usan,uyepotorï,uwaɂnin,,amai,umui,,,,usan,,,umui,uwaɂnin,amai,uyepotorï,papai,umui,,papai,papai,uwaɂnin,uwaɂnin,papai,umui,amai,
9,0.35200838128444234,1.8901776311168124,1.53816924983237,moyi,uyakon,,,maɂnon,,naɂnai,,maɂnon,,,uyakon,,,,uyakon,,,,pipi,,,,uyakon,,,uyeruk,,,,,uyakon,,urui,,uyenaru,upasi,,upasi,maɂnon,uyakon,,,,pipi,,naɂnai,naɂnai,,uyese,moyi,,,,,,,,,,,,,,uyeruk,,,urui,upasi,,,,,,,uyese,,,urui,,uyaɂyeketï,pipi,,,,,,naɂnai,,,papai,uwaɂnin,usan,uyepotorï,,papai,,uyepotorï,uwaɂnin,uwaɂnin,papai,,umui,amai,amai,,papai,uwaɂnin,usan,amai,,,umui,umui,,,umui,amai
