simulation_number,mutual_information,entropy,conditional_entropy,mFZS,mFeZS,mFyZS,mFeZD,mFyZD,mFZeS,mFZyS,mFZeD,mFZyD,fFZD,fFZS,fFeZS,fFyZS,fFeZD,fFyZD,fFZeS,fFZyS,fFZeD,fFZyD,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mMBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFBD,fMBD,fMZD,fFBS,fMBS,fMZS,fFeBS,fFyBS,fFeBD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.25106181432854346,1.7186349888832684,1.467573174554725,siostra wujeczna,brat stryjeczny,siostra wujeczna,brat stryjeczny,siostra wujeczna,cioteczna siostra ze strony ojca,brat stryjeczny,cioteczna siostra ze strony ojca,brat wujeczny,siostra cioteczna,brat,brat,brat wujeczny,brat cioteczny,cioteczny brat ze strony ojca,siostra,siostra cioteczna,siostra wujeczna,siostra,siostra stryjeczna,siostra wujeczna,cioteczny brat ze strony ojca,brat wujeczny,siostra cioteczna,brat cioteczny,cioteczny brat ze strony ojca,siostra stryjeczna,siostra cioteczna,brat cioteczny,brat stryjeczny,brat stryjeczny,siostra stryjeczna,cioteczny brat ze strony ojca,siostra,cioteczny brat ze strony ojca,siostra stryjeczna,siostra wujeczna,siostra,brat cioteczny,brat,brat,siostra cioteczna,siostra stryjeczna,siostra cioteczna,brat stryjeczny,brat wujeczny,siostra stryjeczna,brat stryjeczny,brat wujeczny,cioteczna siostra ze strony ojca,siostra wujeczna,brat cioteczny,brat wujeczny,siostra stryjeczna,cioteczna siostra ze strony ojca,cioteczna siostra ze strony ojca,brat,brat stryjeczny,brat wujeczny,brat stryjeczny,siostra,cioteczna siostra ze strony ojca,siostra,cioteczny brat ze strony ojca,siostra stryjeczna,siostra cioteczna,cioteczna siostra ze strony ojca,brat cioteczny,cioteczny brat ze strony ojca,brat cioteczny,brat cioteczny,siostra wujeczna,cioteczny brat ze strony ojca,siostra cioteczna,cioteczna siostra ze strony ojca,siostra stryjeczna,siostra cioteczna,brat wujeczny,cioteczna siostra ze strony ojca,brat,brat wujeczny,siostra wujeczna,cioteczny brat ze strony ojca,cioteczny brat ze strony ojca,brat wujeczny,brat cioteczny,siostra cioteczna,siostra wujeczna,cioteczna siostra ze strony ojca,brat stryjeczny,matka,stryjenka,ciotka,ciotka,ojciec,wujek,ciotka,ciotka,stryjenka,wujek,stryj,stryj,ciotka,matka,wujek,stryjenka,ojciec,wujek,stryjenka,stryjenka,stryjenka,stryj,ciotka,wujek,stryj,stryj,stryj,wujek
1,0.23003431605385916,1.655882914775558,1.425848598721699,siostra wujeczna,brat wujeczny,siostra cioteczna,siostra cioteczna,brat stryjeczny,siostra stryjeczna,brat stryjeczny,siostra wujeczna,siostra cioteczna,brat stryjeczny,brat cioteczny,brat cioteczny,cioteczny brat ze strony ojca,cioteczny brat ze strony ojca,siostra wujeczna,brat stryjeczny,siostra,brat wujeczny,cioteczny brat ze strony ojca,brat cioteczny,brat cioteczny,cioteczna siostra ze strony ojca,brat cioteczny,brat stryjeczny,brat stryjeczny,siostra,brat,siostra cioteczna,siostra,siostra stryjeczna,cioteczna siostra ze strony ojca,siostra,siostra cioteczna,brat wujeczny,brat wujeczny,brat stryjeczny,brat,siostra cioteczna,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,siostra wujeczna,cioteczny brat ze strony ojca,brat wujeczny,siostra stryjeczna,siostra wujeczna,siostra cioteczna,siostra stryjeczna,siostra stryjeczna,brat cioteczny,siostra stryjeczna,cioteczny brat ze strony ojca,brat,brat,cioteczny brat ze strony ojca,siostra,siostra wujeczna,siostra wujeczna,siostra wujeczna,siostra cioteczna,brat stryjeczny,brat cioteczny,cioteczna siostra ze strony ojca,brat cioteczny,cioteczny brat ze strony ojca,brat,siostra wujeczna,siostra wujeczna,cioteczna siostra ze strony ojca,siostra stryjeczna,brat stryjeczny,cioteczny brat ze strony ojca,cioteczny brat ze strony ojca,brat,cioteczna siostra ze strony ojca,cioteczna siostra ze strony ojca,brat wujeczny,cioteczna siostra ze strony ojca,siostra,brat wujeczny,siostra stryjeczna,siostra stryjeczna,brat stryjeczny,cioteczna siostra ze strony ojca,brat wujeczny,cioteczna siostra ze strony ojca,brat wujeczny,siostra cioteczna,brat wujeczny,siostra cioteczna,brat cioteczny,stryj,ciotka,stryj,ciotka,ciotka,ciotka,wujek,wujek,matka,stryjenka,ciotka,wujek,stryjenka,stryj,ojciec,stryjenka,stryjenka,wujek,stryj,wujek,ojciec,stryj,stryjenka,stryj,matka,wujek,stryjenka,ciotka
2,0.26615185514780126,1.6387006505288881,1.3725487953810869,brat stryjeczny,siostra cioteczna,siostra wujeczna,cioteczny brat ze strony ojca,siostra cioteczna,siostra cioteczna,siostra stryjeczna,brat cioteczny,siostra,brat wujeczny,brat stryjeczny,brat stryjeczny,brat wujeczny,siostra cioteczna,siostra stryjeczna,siostra wujeczna,siostra stryjeczna,siostra cioteczna,brat wujeczny,siostra stryjeczna,cioteczny brat ze strony ojca,brat cioteczny,cioteczna siostra ze strony ojca,brat wujeczny,brat wujeczny,brat wujeczny,brat cioteczny,brat stryjeczny,brat cioteczny,cioteczna siostra ze strony ojca,siostra,brat,siostra,brat,siostra wujeczna,cioteczny brat ze strony ojca,brat,cioteczna siostra ze strony ojca,cioteczny brat ze strony ojca,brat,cioteczna siostra ze strony ojca,siostra wujeczna,brat stryjeczny,siostra cioteczna,brat stryjeczny,cioteczny brat ze strony ojca,brat wujeczny,cioteczna siostra ze strony ojca,siostra stryjeczna,cioteczny brat ze strony ojca,siostra,siostra stryjeczna,siostra wujeczna,brat,brat wujeczny,siostra,siostra wujeczna,siostra wujeczna,brat stryjeczny,cioteczna siostra ze strony ojca,brat stryjeczny,cioteczny brat ze strony ojca,brat stryjeczny,siostra cioteczna,brat cioteczny,brat cioteczny,siostra cioteczna,brat cioteczny,siostra wujeczna,brat cioteczny,cioteczny brat ze strony ojca,brat wujeczny,cioteczna siostra ze strony ojca,cioteczna siostra ze strony ojca,cioteczny brat ze strony ojca,siostra cioteczna,cioteczny brat ze strony ojca,siostra wujeczna,brat stryjeczny,siostra cioteczna,siostra,siostra stryjeczna,siostra wujeczna,cioteczna siostra ze strony ojca,siostra stryjeczna,brat,cioteczna siostra ze strony ojca,brat wujeczny,brat cioteczny,siostra stryjeczna,wujek,stryj,ojciec,stryj,ciotka,ciotka,wujek,stryjenka,wujek,stryjenka,wujek,matka,stryj,ciotka,ciotka,wujek,stryj,stryj,stryjenka,stryj,stryjenka,matka,ojciec,ciotka,wujek,stryjenka,ciotka,stryjenka
3,0.3573861391715274,1.7540464865023202,1.3966603473307928,brat wujeczny,cioteczna siostra ze strony ojca,siostra,siostra cioteczna,siostra wujeczna,brat wujeczny,siostra,siostra cioteczna,siostra wujeczna,brat wujeczny,siostra wujeczna,siostra cioteczna,brat stryjeczny,brat,siostra stryjeczna,brat,brat wujeczny,siostra cioteczna,cioteczna siostra ze strony ojca,siostra stryjeczna,cioteczna siostra ze strony ojca,siostra cioteczna,brat,brat cioteczny,brat cioteczny,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,brat stryjeczny,brat stryjeczny,cioteczny brat ze strony ojca,siostra cioteczna,siostra cioteczna,siostra cioteczna,brat,brat cioteczny,brat wujeczny,brat stryjeczny,cioteczna siostra ze strony ojca,siostra stryjeczna,brat stryjeczny,siostra,cioteczna siostra ze strony ojca,brat wujeczny,brat cioteczny,brat stryjeczny,siostra cioteczna,brat cioteczny,siostra stryjeczna,brat,brat cioteczny,siostra,brat,brat stryjeczny,brat stryjeczny,siostra wujeczna,siostra stryjeczna,siostra wujeczna,cioteczny brat ze strony ojca,cioteczny brat ze strony ojca,siostra wujeczna,siostra stryjeczna,siostra wujeczna,cioteczny brat ze strony ojca,siostra wujeczna,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,siostra wujeczna,cioteczna siostra ze strony ojca,siostra,brat stryjeczny,siostra stryjeczna,cioteczny brat ze strony ojca,brat cioteczny,cioteczny brat ze strony ojca,siostra,brat wujeczny,siostra cioteczna,brat cioteczny,brat wujeczny,siostra stryjeczna,cioteczny brat ze strony ojca,siostra wujeczna,brat stryjeczny,brat cioteczny,brat wujeczny,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,brat wujeczny,siostra stryjeczna,cioteczna siostra ze strony ojca,matka,stryj,ciotka,wujek,stryjenka,ojciec,ciotka,stryj,ciotka,wujek,stryj,ciotka,wujek,wujek,stryjenka,wujek,matka,stryjenka,ojciec,ciotka,wujek,stryjenka,stryj,stryjenka,stryj,ciotka,stryjenka,stryj
4,0.3050341791151543,1.6940402654305287,1.3890060863153744,brat stryjeczny,brat cioteczny,siostra cioteczna,brat,brat wujeczny,cioteczna siostra ze strony ojca,siostra cioteczna,siostra stryjeczna,brat stryjeczny,brat,brat,siostra wujeczna,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,brat,siostra,siostra cioteczna,brat cioteczny,brat cioteczny,siostra wujeczna,brat cioteczny,cioteczny brat ze strony ojca,siostra,brat wujeczny,brat wujeczny,siostra stryjeczna,cioteczny brat ze strony ojca,siostra wujeczna,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,siostra cioteczna,brat,brat wujeczny,brat cioteczny,siostra wujeczna,siostra cioteczna,siostra wujeczna,siostra wujeczna,cioteczna siostra ze strony ojca,siostra stryjeczna,brat wujeczny,cioteczny brat ze strony ojca,siostra cioteczna,siostra cioteczna,cioteczna siostra ze strony ojca,siostra,brat,brat stryjeczny,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,cioteczny brat ze strony ojca,brat cioteczny,cioteczna siostra ze strony ojca,siostra wujeczna,siostra stryjeczna,siostra stryjeczna,brat stryjeczny,brat stryjeczny,siostra stryjeczna,brat stryjeczny,cioteczna siostra ze strony ojca,cioteczna siostra ze strony ojca,cioteczny brat ze strony ojca,siostra wujeczna,brat cioteczny,brat cioteczny,brat stryjeczny,siostra wujeczna,brat cioteczny,cioteczny brat ze strony ojca,siostra wujeczna,cioteczna siostra ze strony ojca,brat stryjeczny,brat stryjeczny,siostra cioteczna,siostra,siostra stryjeczna,brat wujeczny,brat wujeczny,siostra,siostra,brat wujeczny,brat wujeczny,siostra cioteczna,siostra stryjeczna,brat stryjeczny,cioteczny brat ze strony ojca,siostra stryjeczna,siostra cioteczna,brat wujeczny,ciotka,stryj,wujek,ojciec,stryj,stryjenka,stryjenka,wujek,ciotka,wujek,matka,ciotka,stryj,wujek,stryj,wujek,stryjenka,stryjenka,stryj,ojciec,stryj,ciotka,matka,stryjenka,wujek,stryjenka,ciotka,ciotka
5,0.30846351736096755,1.7097475594151994,1.4012840420542318,siostra stryjeczna,siostra wujeczna,siostra cioteczna,cioteczny brat ze strony ojca,siostra cioteczna,cioteczna siostra ze strony ojca,cioteczny brat ze strony ojca,siostra stryjeczna,brat cioteczny,siostra cioteczna,siostra,brat stryjeczny,siostra wujeczna,siostra,siostra stryjeczna,siostra,cioteczny brat ze strony ojca,brat cioteczny,siostra cioteczna,brat wujeczny,brat wujeczny,brat wujeczny,cioteczna siostra ze strony ojca,brat stryjeczny,cioteczny brat ze strony ojca,brat cioteczny,siostra wujeczna,brat stryjeczny,brat,cioteczny brat ze strony ojca,siostra wujeczna,siostra cioteczna,cioteczna siostra ze strony ojca,cioteczna siostra ze strony ojca,siostra wujeczna,brat stryjeczny,brat cioteczny,cioteczna siostra ze strony ojca,brat,siostra cioteczna,cioteczna siostra ze strony ojca,cioteczna siostra ze strony ojca,brat wujeczny,siostra stryjeczna,siostra stryjeczna,brat,brat wujeczny,brat stryjeczny,siostra cioteczna,brat cioteczny,brat wujeczny,cioteczny brat ze strony ojca,siostra wujeczna,siostra,brat stryjeczny,brat cioteczny,siostra,siostra cioteczna,cioteczna siostra ze strony ojca,brat cioteczny,brat wujeczny,brat wujeczny,brat wujeczny,brat,brat cioteczny,cioteczny brat ze strony ojca,brat stryjeczny,brat,siostra cioteczna,siostra stryjeczna,siostra wujeczna,siostra cioteczna,siostra,brat stryjeczny,brat stryjeczny,siostra wujeczna,siostra wujeczna,cioteczna siostra ze strony ojca,siostra stryjeczna,cioteczna siostra ze strony ojca,brat cioteczny,siostra wujeczna,brat,brat wujeczny,cioteczny brat ze strony ojca,cioteczny brat ze strony ojca,cioteczny brat ze strony ojca,brat stryjeczny,siostra stryjeczna,siostra stryjeczna,ciotka,ciotka,stryj,stryjenka,ciotka,ojciec,stryjenka,stryjenka,stryj,ciotka,wujek,wujek,stryjenka,matka,wujek,stryj,matka,wujek,wujek,stryjenka,ojciec,stryjenka,wujek,ciotka,ciotka,stryj,stryj,stryj
6,0.3772132276085576,1.7264072748437613,1.3491940472352038,siostra,siostra cioteczna,brat stryjeczny,brat stryjeczny,brat stryjeczny,cioteczna siostra ze strony ojca,siostra,siostra wujeczna,brat stryjeczny,siostra wujeczna,siostra wujeczna,siostra wujeczna,brat,siostra stryjeczna,cioteczna siostra ze strony ojca,cioteczna siostra ze strony ojca,brat cioteczny,cioteczna siostra ze strony ojca,brat stryjeczny,cioteczna siostra ze strony ojca,cioteczna siostra ze strony ojca,siostra wujeczna,siostra cioteczna,siostra cioteczna,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,brat,siostra stryjeczna,cioteczny brat ze strony ojca,siostra stryjeczna,siostra wujeczna,cioteczna siostra ze strony ojca,brat wujeczny,brat,siostra cioteczna,brat cioteczny,brat,siostra stryjeczna,brat wujeczny,brat cioteczny,brat stryjeczny,cioteczny brat ze strony ojca,brat stryjeczny,brat wujeczny,siostra cioteczna,brat cioteczny,siostra cioteczna,siostra cioteczna,brat wujeczny,siostra,siostra wujeczna,brat wujeczny,brat cioteczny,siostra cioteczna,brat,siostra stryjeczna,siostra stryjeczna,cioteczny brat ze strony ojca,brat stryjeczny,brat cioteczny,siostra wujeczna,brat wujeczny,siostra stryjeczna,siostra stryjeczna,brat cioteczny,brat cioteczny,cioteczny brat ze strony ojca,cioteczny brat ze strony ojca,siostra cioteczna,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,brat wujeczny,siostra cioteczna,siostra wujeczna,brat stryjeczny,cioteczny brat ze strony ojca,brat,cioteczna siostra ze strony ojca,brat wujeczny,siostra,siostra,brat wujeczny,brat cioteczny,cioteczny brat ze strony ojca,siostra,siostra wujeczna,siostra stryjeczna,brat wujeczny,cioteczny brat ze strony ojca,brat stryjeczny,ciotka,ojciec,matka,ojciec,stryj,stryjenka,stryj,matka,stryjenka,wujek,wujek,stryjenka,stryjenka,stryj,wujek,stryjenka,ciotka,stryj,ciotka,ciotka,stryjenka,ciotka,stryj,wujek,wujek,wujek,stryj,ciotka
7,0.23088332888411411,1.6795326711067398,1.4486493422226256,brat,siostra,siostra,siostra wujeczna,siostra stryjeczna,cioteczny brat ze strony ojca,brat stryjeczny,brat wujeczny,siostra wujeczna,cioteczna siostra ze strony ojca,siostra stryjeczna,brat wujeczny,brat,siostra,brat wujeczny,brat stryjeczny,brat wujeczny,brat wujeczny,cioteczny brat ze strony ojca,siostra stryjeczna,cioteczny brat ze strony ojca,brat stryjeczny,brat wujeczny,brat cioteczny,cioteczna siostra ze strony ojca,cioteczna siostra ze strony ojca,siostra stryjeczna,brat stryjeczny,siostra stryjeczna,brat cioteczny,siostra cioteczna,brat cioteczny,siostra stryjeczna,siostra cioteczna,siostra cioteczna,brat,siostra wujeczna,brat cioteczny,siostra wujeczna,siostra wujeczna,brat stryjeczny,brat,siostra cioteczna,siostra wujeczna,siostra wujeczna,brat wujeczny,siostra stryjeczna,siostra wujeczna,cioteczny brat ze strony ojca,siostra cioteczna,brat,brat wujeczny,siostra,cioteczna siostra ze strony ojca,brat stryjeczny,siostra,siostra cioteczna,siostra cioteczna,cioteczna siostra ze strony ojca,brat wujeczny,siostra stryjeczna,cioteczny brat ze strony ojca,brat cioteczny,siostra cioteczna,brat stryjeczny,brat cioteczny,brat stryjeczny,siostra stryjeczna,cioteczna siostra ze strony ojca,siostra,cioteczny brat ze strony ojca,siostra wujeczna,brat cioteczny,siostra cioteczna,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,cioteczny brat ze strony ojca,brat stryjeczny,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,brat stryjeczny,brat,siostra cioteczna,brat cioteczny,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,siostra wujeczna,brat cioteczny,cioteczna siostra ze strony ojca,brat wujeczny,ciotka,wujek,stryjenka,ojciec,stryj,stryj,ciotka,stryj,ojciec,stryj,stryjenka,wujek,stryjenka,matka,stryjenka,ciotka,stryjenka,wujek,ciotka,stryj,ciotka,wujek,ciotka,wujek,wujek,stryjenka,matka,stryj
8,0.4146300338256166,1.6892859514176393,1.2746559175920227,siostra stryjeczna,brat cioteczny,cioteczny brat ze strony ojca,brat cioteczny,cioteczny brat ze strony ojca,brat cioteczny,cioteczny brat ze strony ojca,cioteczny brat ze strony ojca,brat,cioteczny brat ze strony ojca,cioteczny brat ze strony ojca,siostra stryjeczna,brat,brat stryjeczny,brat cioteczny,brat wujeczny,cioteczna siostra ze strony ojca,siostra wujeczna,siostra cioteczna,brat wujeczny,siostra wujeczna,siostra wujeczna,siostra cioteczna,cioteczna siostra ze strony ojca,cioteczna siostra ze strony ojca,cioteczna siostra ze strony ojca,siostra cioteczna,cioteczna siostra ze strony ojca,siostra cioteczna,siostra wujeczna,siostra cioteczna,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,siostra,siostra,siostra,siostra stryjeczna,brat wujeczny,brat cioteczny,siostra wujeczna,brat cioteczny,siostra stryjeczna,brat stryjeczny,siostra cioteczna,brat cioteczny,cioteczna siostra ze strony ojca,siostra cioteczna,brat stryjeczny,siostra stryjeczna,brat stryjeczny,cioteczna siostra ze strony ojca,brat wujeczny,cioteczny brat ze strony ojca,brat,brat wujeczny,brat wujeczny,siostra wujeczna,brat wujeczny,siostra stryjeczna,siostra wujeczna,siostra stryjeczna,siostra wujeczna,brat wujeczny,brat stryjeczny,brat wujeczny,cioteczny brat ze strony ojca,cioteczna siostra ze strony ojca,brat stryjeczny,siostra stryjeczna,siostra wujeczna,brat stryjeczny,brat stryjeczny,siostra cioteczna,brat cioteczny,cioteczny brat ze strony ojca,siostra,brat cioteczny,brat stryjeczny,siostra,siostra cioteczna,cioteczna siostra ze strony ojca,brat,siostra stryjeczna,siostra wujeczna,brat wujeczny,brat,brat,brat stryjeczny,siostra cioteczna,siostra,stryj,ciotka,ojciec,stryj,ciotka,stryj,matka,stryj,wujek,stryjenka,wujek,ojciec,stryjenka,ciotka,ciotka,wujek,stryj,stryj,matka,wujek,stryjenka,wujek,stryjenka,stryjenka,ciotka,ciotka,wujek,stryjenka
9,0.32971470722407115,1.726407274843761,1.39669256761969,brat cioteczny,brat wujeczny,cioteczna siostra ze strony ojca,brat stryjeczny,brat stryjeczny,siostra wujeczna,cioteczna siostra ze strony ojca,brat stryjeczny,brat cioteczny,brat wujeczny,siostra wujeczna,brat cioteczny,cioteczny brat ze strony ojca,siostra cioteczna,siostra stryjeczna,siostra cioteczna,cioteczna siostra ze strony ojca,cioteczna siostra ze strony ojca,siostra cioteczna,siostra stryjeczna,siostra stryjeczna,siostra,cioteczna siostra ze strony ojca,brat wujeczny,siostra wujeczna,brat stryjeczny,brat wujeczny,siostra,siostra wujeczna,siostra,brat,brat wujeczny,cioteczna siostra ze strony ojca,brat wujeczny,siostra cioteczna,siostra wujeczna,cioteczna siostra ze strony ojca,siostra wujeczna,siostra,cioteczny brat ze strony ojca,siostra stryjeczna,brat wujeczny,siostra cioteczna,siostra cioteczna,brat,siostra stryjeczna,siostra cioteczna,brat cioteczny,siostra wujeczna,siostra stryjeczna,brat,siostra,siostra wujeczna,siostra stryjeczna,cioteczny brat ze strony ojca,brat wujeczny,cioteczna siostra ze strony ojca,siostra cioteczna,cioteczny brat ze strony ojca,brat stryjeczny,cioteczny brat ze strony ojca,siostra wujeczna,cioteczny brat ze strony ojca,brat stryjeczny,cioteczny brat ze strony ojca,siostra wujeczna,brat cioteczny,siostra cioteczna,brat cioteczny,brat,siostra stryjeczna,brat stryjeczny,brat cioteczny,brat stryjeczny,brat wujeczny,siostra cioteczna,brat stryjeczny,brat,brat cioteczny,cioteczna siostra ze strony ojca,siostra,siostra stryjeczna,cioteczna siostra ze strony ojca,cioteczny brat ze strony ojca,brat,cioteczny brat ze strony ojca,cioteczny brat ze strony ojca,brat cioteczny,brat stryjeczny,brat wujeczny,matka,ciotka,stryjenka,wujek,stryjenka,ojciec,stryj,stryj,stryj,stryjenka,stryj,stryjenka,ciotka,ojciec,wujek,stryj,ciotka,matka,wujek,wujek,wujek,stryjenka,ciotka,stryj,stryjenka,ciotka,wujek,ciotka
