simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09113835704216888,1.0251925226189378,0.9340541655767689,prima,prima,prima,prima,prima,prima,primo,prima,prima,primo,prima,primo,prima,prima,primo,prima,primo,prima,prima,primo,primo,primo,primo,primo,irmão,primo,primo,primo,prima,prima,primo,primo,primo,prima,primo,irmã,primo,prima,prima,primo,primo,primo,primo,prima,prima,prima,primo,prima,primo,primo,prima,prima,prima,prima,prima,prima,primo,primo,primo,primo,prima,primo,prima,primo,primo,prima,primo,prima,primo,prima,primo,primo,primo,primo,prima,prima,prima,irmã,prima,primo,prima,tio,pai,tia,tio,tio,tia,tia,tio,mãe,tio,tia,pai,mãe,tio,tia,tio,tio,tio,tia,tia,tio,tia,tia,tio,tia,tia,tio,tia
1,0.02578232606795816,1.207795536698082,1.1820132106301238,primo,primo,prima,primo,prima,prima,primo,prima,prima,prima,irmão,primo,primo,primo,primo,prima,primo,primo,primo,primo,prima,primo,prima,prima,primo,primo,irmã,primo,primo,prima,primo,prima,primo,primo,primo,prima,prima,prima,prima,primo,prima,primo,primo,prima,primo,prima,prima,primo,primo,prima,primo,primo,prima,primo,primo,primo,prima,prima,prima,primo,prima,prima,prima,primo,prima,prima,prima,prima,primo,prima,primo,primo,irmã,prima,prima,primo,prima,primo,prima,prima,prima,tio,tia,tia,mãe,tia,tio,tio,tio,tia,tio,tia,tia,tio,tio,tia,tia,tio,tio,pai,mãe,tia,tia,tia,tio,tia,tio,tio,pai
2,0.04717546705512787,1.0251925226189378,0.9780170555638099,primo,prima,prima,primo,primo,primo,prima,prima,prima,primo,primo,prima,prima,primo,primo,prima,prima,primo,primo,prima,primo,prima,prima,prima,primo,irmã,prima,primo,primo,primo,primo,primo,prima,prima,primo,prima,prima,prima,prima,primo,irmã,irmão,prima,prima,prima,primo,prima,prima,primo,primo,primo,primo,primo,prima,primo,primo,primo,prima,prima,primo,prima,primo,prima,prima,primo,prima,prima,primo,primo,primo,prima,primo,prima,prima,prima,primo,primo,primo,primo,prima,prima,pai,tia,tio,tia,tio,tia,mãe,tia,tio,tia,mãe,tio,tio,tia,tio,tia,tio,tia,tio,tia,tia,tio,tio,tio,tio,tia,tia,pai
3,0.07329513092648421,1.1538938959939262,1.080598765067442,prima,prima,primo,prima,prima,prima,primo,primo,primo,primo,primo,prima,primo,prima,prima,prima,primo,primo,primo,prima,prima,prima,prima,primo,prima,prima,primo,primo,primo,prima,primo,prima,prima,prima,prima,prima,primo,prima,primo,prima,irmão,prima,primo,primo,prima,primo,prima,prima,prima,primo,prima,prima,primo,prima,primo,primo,prima,primo,primo,primo,prima,primo,primo,primo,primo,prima,primo,prima,primo,irmã,prima,prima,irmã,prima,primo,primo,primo,primo,primo,primo,prima,tia,tia,tia,mãe,tio,tio,tia,tio,tio,tio,tia,tia,tio,tio,tia,tia,tio,tio,tia,pai,tio,tia,pai,tia,tia,tio,tio,mãe
4,0.045179648938443284,1.0230105178959226,0.9778308689574793,prima,prima,prima,primo,prima,prima,primo,primo,primo,irmã,primo,prima,prima,prima,primo,prima,prima,prima,primo,primo,prima,prima,primo,prima,prima,primo,prima,primo,prima,primo,primo,primo,primo,primo,prima,prima,primo,prima,primo,prima,prima,primo,prima,primo,prima,prima,primo,prima,primo,primo,primo,prima,primo,primo,primo,prima,prima,primo,primo,primo,primo,prima,prima,primo,irmã,prima,prima,primo,prima,primo,primo,primo,prima,primo,prima,prima,prima,primo,prima,irmão,primo,tia,tio,tia,tio,tia,tio,tio,mãe,tio,tio,tio,mãe,tia,tio,tia,tio,tio,tia,tia,tia,tio,pai,pai,tia,tia,tia,tio,tia
5,0.04816614699092481,1.044761968232509,0.9965958212415843,prima,primo,primo,prima,primo,prima,prima,prima,primo,prima,prima,prima,primo,prima,primo,primo,irmã,primo,prima,primo,primo,prima,prima,irmã,prima,prima,prima,prima,prima,irmão,primo,prima,prima,primo,primo,primo,primo,prima,primo,primo,primo,primo,prima,primo,prima,primo,prima,prima,primo,primo,primo,primo,prima,prima,prima,primo,prima,prima,prima,prima,prima,primo,prima,primo,primo,prima,prima,prima,prima,primo,primo,primo,primo,primo,prima,primo,primo,prima,primo,primo,primo,pai,tia,tio,pai,tia,tia,tio,tio,tio,tio,tia,tia,tia,tia,tio,tia,tia,tia,tio,tio,tio,mãe,tio,tia,tio,tio,tia,mãe
6,0.08063368127071047,1.123335577813374,1.0427018965426635,prima,primo,prima,prima,prima,prima,primo,prima,primo,primo,primo,prima,primo,prima,prima,prima,prima,primo,prima,primo,primo,prima,primo,primo,prima,prima,prima,primo,prima,primo,primo,prima,prima,primo,prima,prima,prima,primo,prima,primo,primo,prima,primo,primo,prima,primo,prima,prima,primo,prima,primo,irmã,prima,primo,primo,primo,primo,primo,irmão,prima,primo,prima,primo,primo,primo,primo,prima,primo,prima,prima,prima,primo,prima,primo,prima,irmã,primo,prima,primo,prima,primo,tia,tio,tio,tio,tia,tio,tia,tia,tio,tio,tia,tia,tia,pai,tio,tio,tia,tio,pai,tia,tio,tia,tia,mãe,mãe,tio,tio,tia
7,0.05993432598780357,1.0539469233522794,0.9940125973644758,primo,primo,prima,primo,prima,prima,primo,primo,primo,prima,prima,primo,primo,primo,prima,prima,prima,prima,prima,prima,primo,primo,prima,irmã,primo,prima,primo,primo,primo,prima,prima,prima,primo,prima,prima,prima,irmão,prima,primo,primo,primo,prima,prima,prima,primo,prima,primo,prima,prima,primo,prima,primo,prima,primo,primo,primo,prima,primo,prima,prima,primo,prima,prima,primo,prima,prima,prima,primo,prima,primo,primo,primo,primo,prima,primo,primo,irmã,primo,prima,primo,primo,tio,tio,tio,tia,tio,tio,tio,mãe,tia,tia,tia,tio,tia,tio,tia,tia,tio,tia,tio,tio,tio,tia,mãe,pai,pai,tia,tia,tia
8,0.07317484925548379,1.0251925226189378,0.952017673363454,primo,primo,primo,primo,prima,primo,primo,prima,prima,prima,primo,prima,primo,prima,primo,primo,primo,primo,prima,prima,primo,prima,primo,prima,primo,primo,prima,primo,primo,primo,prima,primo,prima,prima,primo,prima,prima,prima,prima,primo,primo,prima,prima,irmã,primo,irmão,prima,prima,prima,primo,prima,prima,primo,prima,primo,primo,prima,primo,prima,prima,prima,prima,prima,primo,prima,primo,prima,primo,primo,prima,primo,irmã,primo,primo,prima,primo,prima,prima,primo,prima,primo,tio,tia,tia,tio,tia,tio,tia,tia,pai,mãe,tio,tio,tia,pai,tio,tia,tia,tia,tio,tio,tio,mãe,tia,tia,tio,tio,tia,tio
9,0.11055602183355429,1.0337005498525014,0.9231445280189471,prima,prima,primo,prima,primo,primo,primo,primo,prima,prima,primo,primo,prima,primo,primo,primo,irmã,primo,prima,prima,prima,primo,primo,irmão,primo,primo,prima,primo,primo,primo,prima,primo,prima,prima,primo,prima,prima,primo,prima,prima,primo,prima,primo,primo,primo,prima,prima,prima,prima,prima,prima,primo,prima,prima,prima,prima,irmã,primo,prima,primo,primo,primo,prima,prima,primo,prima,primo,primo,primo,prima,primo,primo,prima,prima,prima,prima,prima,primo,prima,primo,primo,tia,tia,tio,tio,tia,tio,tia,tio,tia,tia,tia,tia,mãe,tio,tia,pai,pai,tio,tio,tio,tia,tia,tio,tia,mãe,tio,tio,tio
