simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.3939281966011724,1.3801087571572688,0.9861805605560964,-pe-wãi,-hã-wãi i-tɨt,-hã-wãi,-pe-wãi,-hã-wãi,-hã-wãi,-hã-wãi,-pe-wãi,-pe-wãi i-tɨt,-pe-wãi i-tɨt,-hã-wãi i-tɨt,-in,-iha,-wota,-i-bəi,-i-bəi,-wota,-iha,-i,-inha,-wota,-iha,-i-bəi,-iha,-i-bəi,-i,-wota,-iha,-inha,-wota,-inha,-i-bəi,-in,-i-bəi,-inha,-wota,-iha,-inha,-inha
1,0.21467178565881817,1.072043343575071,0.8573715579162527,-pe-wãi i-tɨt,-pe-wãi,-hã-wãi i-tɨt,-pe-wãi i-tɨt,-hã-wãi,-hã-wãi,-hã-wãi,-pe-wãi,-hã-wãi i-tɨt,-pe-wãi,-hã-wãi,-i-bəi,-iha,-in,-inha,-in,-wota,-i-bəi,-inha,-iha,-iha,-inha,-iha,-iha,-i,-wota,-wota,-wota,-inha,-iha,-wota,-i-bəi,-inha,-i-bəi,-i,-i-bəi,-wota,-inha,-i-bəi
2,0.18560244433856554,1.3801087571572688,1.1945063128187032,-pe-wãi i-tɨt,-hã-wãi i-tɨt,-pe-wãi,-pe-wãi,-hã-wãi,-pe-wãi i-tɨt,-hã-wãi,-hã-wãi,-pe-wãi,-hã-wãi i-tɨt,-hã-wãi,-i,-iha,-i,-wota,-iha,-i-bəi,-i-bəi,-inha,-iha,-inha,-inha,-wota,-inha,-iha,-i-bəi,-inha,-wota,-iha,-inha,-in,-i-bəi,-wota,-in,-iha,-i-bəi,-i-bəi,-wota,-wota
3,0.05429304547150782,1.0366279688586069,0.982334923387099,-pe-wãi,-pe-wãi i-tɨt,-hã-wãi i-tɨt,-hã-wãi,-hã-wãi,-pe-wãi,-hã-wãi,-hã-wãi,-pe-wãi,-pe-wãi i-tɨt,-hã-wãi i-tɨt,-wota,-iha,-wota,-iha,-wota,-iha,-iha,-iha,-inha,-inha,-i,-inha,-inha,-wota,-i,-wota,-i-bəi,-i-bəi,-i-bəi,-i-bəi,-in,-inha,-i-bəi,-i-bəi,-in,-inha,-iha,-wota
4,0.04327343538603112,0.5297061990576545,0.48643276367162336,-hã-wãi,-hã-wãi,-hã-wãi i-tɨt,-pe-wãi,-hã-wãi,-pe-wãi i-tɨt,-pe-wãi,-pe-wãi i-tɨt,-hã-wãi,-hã-wãi i-tɨt,-pe-wãi,-wota,-wota,-inha,-iha,-i-bəi,-in,-wota,-in,-i-bəi,-wota,-inha,-inha,-iha,-iha,-wota,-i-bəi,-inha,-iha,-iha,-inha,-i,-i,-i-bəi,-iha,-i-bəi,-wota,-inha,-i-bəi
5,0.20448011509360964,1.036627968858607,0.8321478537649974,-hã-wãi,-pe-wãi,-hã-wãi i-tɨt,-pe-wãi,-pe-wãi,-pe-wãi i-tɨt,-hã-wãi,-pe-wãi i-tɨt,-hã-wãi,-hã-wãi i-tɨt,-hã-wãi,-inha,-i-bəi,-wota,-inha,-inha,-wota,-i,-i-bəi,-inha,-i,-inha,-i-bəi,-wota,-i-bəi,-inha,-iha,-iha,-wota,-wota,-in,-i-bəi,-in,-iha,-i-bəi,-iha,-iha,-wota,-iha
6,0.2664644349031122,1.0366279688586069,0.7701635339554946,-pe-wãi i-tɨt,-hã-wãi,-pe-wãi i-tɨt,-hã-wãi,-hã-wãi,-hã-wãi i-tɨt,-pe-wãi,-hã-wãi,-pe-wãi,-pe-wãi,-hã-wãi i-tɨt,-wota,-i-bəi,-wota,-i,-iha,-in,-iha,-iha,-wota,-i,-inha,-wota,-i-bəi,-iha,-wota,-inha,-inha,-in,-i-bəi,-wota,-i-bəi,-inha,-iha,-iha,-inha,-i-bəi,-i-bəi,-inha
7,0.2728104682993234,1.072043343575071,0.7992328752757475,-pe-wãi,-pe-wãi,-hã-wãi,-hã-wãi i-tɨt,-hã-wãi,-pe-wãi i-tɨt,-pe-wãi,-hã-wãi,-pe-wãi i-tɨt,-hã-wãi i-tɨt,-hã-wãi,-in,-inha,-iha,-wota,-i-bəi,-in,-iha,-iha,-i-bəi,-inha,-i,-i-bəi,-inha,-i-bəi,-wota,-wota,-i-bəi,-wota,-iha,-wota,-inha,-inha,-wota,-iha,-i-bəi,-i,-inha,-iha
8,0.3309491509398288,1.3801087571572688,1.04915960621744,-hã-wãi i-tɨt,-pe-wãi i-tɨt,-hã-wãi,-pe-wãi,-hã-wãi i-tɨt,-pe-wãi,-pe-wãi i-tɨt,-hã-wãi,-pe-wãi,-hã-wãi,-hã-wãi,-i-bəi,-iha,-i,-wota,-iha,-wota,-i,-iha,-inha,-iha,-i-bəi,-inha,-wota,-i-bəi,-in,-wota,-iha,-i-bəi,-i-bəi,-wota,-wota,-inha,-i-bəi,-inha,-in,-iha,-inha,-inha
9,0.18944808150756265,1.0366279688586069,0.8471798873510442,-pe-wãi,-pe-wãi i-tɨt,-hã-wãi,-hã-wãi,-hã-wãi,-pe-wãi,-hã-wãi i-tɨt,-hã-wãi i-tɨt,-pe-wãi i-tɨt,-hã-wãi,-pe-wãi,-wota,-i-bəi,-i-bəi,-inha,-i-bəi,-iha,-inha,-inha,-i,-i-bəi,-inha,-iha,-inha,-i-bəi,-i-bəi,-iha,-in,-inha,-wota,-wota,-iha,-wota,-i,-wota,-iha,-in,-wota,-iha
