simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,mFBD,mMZD,mFBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,feB,fyB,feZ,fFBD,fMZD,fFBS,fMZS,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mF,mM,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB
0,0.46346941963320276,1.9116001549382928,1.44813073530509,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,𝛿okxamí.k,ancén,ancén,𝛿okxamí.k,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,𝛿okxamí.k,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,asúc,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,*Sacu.má.v,asúc,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,ancén,naví,antáy,nakwí,namúy,nyaxu.márv,naví,nasí,nakwí,nyakús,antáy,nasí,nakwí,nyaxu.márv,namúy,nyakús,nakwí
1,0.5133961461879146,1.8867931315534994,1.3733969853655847,𝛿opkasí.nyk,asúc,𝛿opkasí.nyk,asúc,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,𝛿okxamí.k,*Sacu.má.v,ancén,ancén,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,ancén,𝛿okxamí.k,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,𝛿okxamí.k,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,nakwí,naví,naví,namúy,nyakús,nyakús,nakwí,nyaxu.márv,nasí,nasí,namúy,antáy,antáy,nyaxu.márv,nakwí,nakwí
2,0.31881946871847466,1.693585188135502,1.3747657194170273,*Sacu.má.v,ancén,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,asúc,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,ancén,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,ancén,*Sacu.má.v,𝛿okxamí.k,asúc,𝛿okxamí.k,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,𝛿okxamí.k,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,*Sacu.má.v,nakwí,nyaxu.márv,nakwí,nyakús,nasí,namúy,naví,naví,antáy,nasí,nyakús,nakwí,namúy,nakwí,antáy,nyaxu.márv
3,0.45350283477517106,1.867372080005261,1.4138692452300898,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,𝛿okxamí.k,𝛿opkasí.nyk,𝛿opkasí.nyk,ancén,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,asúc,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,𝛿okxamí.k,𝛿okxamí.k,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,ancén,𝛿opkasí.nyk,𝛿okxamí.k,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,asúc,𝛿okxamí.k,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,ancén,𝛿opkasí.nyk,*Sacu.má.v,nyaxu.márv,namúy,nyakús,nyaxu.márv,naví,naví,antáy,nakwí,nakwí,antáy,nasí,nakwí,nasí,nakwí,namúy,nyakús
4,0.2870228358812257,1.7077735217205832,1.4207506858393575,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,ancén,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,𝛿okxamí.k,ancén,𝛿opkasí.nyk,*Sacu.má.v,asúc,𝛿okxamí.k,asúc,𝛿okxamí.k,*Sacu.má.v,𝛿opkasí.nyk,ancén,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,*Sacu.má.v,𝛿opkasí.nyk,𝛿okxamí.k,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,antáy,nasí,nyaxu.márv,nakwí,nyakús,nakwí,antáy,nakwí,namúy,nakwí,namúy,nyakús,nyaxu.márv,nasí,naví,naví
5,0.3777359739663604,1.7320210118137163,1.3542850378473559,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,𝛿okxamí.k,𝛿okxamí.k,asúc,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,𝛿opkasí.nyk,𝛿opkasí.nyk,𝛿okxamí.k,*Sacu.má.v,ancén,𝛿okxamí.k,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,ancén,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,ancén,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,asúc,*Sacu.má.v,nyaxu.márv,namúy,nasí,naví,nakwí,nasí,antáy,nyaxu.márv,antáy,nyakús,nakwí,nyakús,nakwí,nakwí,naví,namúy
6,0.5551593638831946,1.781635058583303,1.2264756947001083,𝛿opkasí.nyk,𝛿opkasí.nyk,asúc,𝛿opkasí.nyk,asúc,ancén,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,𝛿okxamí.k,𝛿okxamí.k,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,ancén,𝛿opkasí.nyk,ancén,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,𝛿opkasí.nyk,𝛿opkasí.nyk,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,𝛿okxamí.k,naví,antáy,namúy,nakwí,nasí,nyakús,nakwí,nakwí,nakwí,antáy,namúy,nyakús,nasí,naví,nyaxu.márv,nyaxu.márv
7,0.33259794713017743,1.8867931315534994,1.554195184423322,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,ancén,*Sacu.má.v,*Sacu.má.v,𝛿okxamí.k,𝛿opkasí.nyk,𝛿opkasí.nyk,ancén,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,ancén,𝛿okxamí.k,*Sacu.má.v,asúc,𝛿opkasí.nyk,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,asúc,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,𝛿okxamí.k,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,naví,nasí,nyaxu.márv,nakwí,nakwí,nyakús,antáy,nakwí,antáy,nyakús,namúy,namúy,naví,nyaxu.márv,nakwí,nasí
8,0.5709399992998883,1.7622140070350647,1.1912740077351764,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,𝛿okxamí.k,𝛿okxamí.k,*Sacu.má.v,𝛿okxamí.k,asúc,𝛿opkasí.nyk,𝛿opkasí.nyk,𝛿okxamí.k,𝛿opkasí.nyk,ancén,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,ancén,*Sacu.má.v,ancén,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,asúc,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,𝛿okxamí.k,𝛿opkasí.nyk,*Sacu.má.v,antáy,namúy,nakwí,nakwí,nyaxu.márv,nyaxu.márv,nyakús,nyakús,naví,namúy,nasí,nakwí,antáy,nasí,naví,nakwí
9,0.3591500398901726,1.6150800259343028,1.2559299860441302,𝛿opkasí.nyk,asúc,ancén,𝛿opkasí.nyk,𝛿opkasí.nyk,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,𝛿okxamí.k,*Sacu.má.v,𝛿okxamí.k,𝛿opkasí.nyk,*Sacu.má.v,𝛿opkasí.nyk,𝛿opkasí.nyk,ancén,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,𝛿okxamí.k,𝛿opkasí.nyk,𝛿opkasí.nyk,asúc,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,*Sacu.má.v,𝛿opkasí.nyk,*Sacu.má.v,ancén,*Sacu.má.v,𝛿okxamí.k,𝛿opkasí.nyk,𝛿okxamí.k,*Sacu.má.v,nakwí,antáy,nyaxu.márv,nasí,nakwí,namúy,naví,naví,antáy,nakwí,namúy,nyakús,nasí,nakwí,nyaxu.márv,nyakús
