simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,feZ,fyZ,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.04200423257778585,0.9106613685442826,0.8686571359664967,tugane,tugane,tugane,tugane,tuahine,tuahine,tuahine,tuahine,tuahine,tugane,tugane,tuahine,tuahine,tuakana,tuahine,tugane,tuahine,tuakana,teina,tugane,tuakana,tugane,teina,tuahine,teina,tuahine,tuakana,tuahine,tugane,tuakana,teina,tuakana,tuakana,tugane,tuahine,tugane,tuahine,tugane,tuahine,teina,tuakana,tugane,tuahine,tugane,tuakana,tuahine,teina,tuahine,tuahine,tugane,teina,tuakana,tuahine,tugane,tugane,teina,tuahine,tugane,tuahine,tugane,teina,tugane,teina,tugane,makuahine,makui,makuhine,makui,makui,makui,makui,makui,makui,makuahine,makuahine,makuahine,makui,makuahine,makuahine,makuahine,makuahine,makuahine,makui,makuahine,makuhine,makuahine,makui,makui,makuahine,makui,makui,makui
1,0.09370388890015757,0.9106613685442826,0.816957479644125,tuakana,tugane,tuakana,tuahine,tuahine,tugane,tugane,tuahine,tuahine,tuahine,tuahine,tuahine,tuahine,tugane,tuakana,teina,tugane,tugane,tugane,tuahine,tuahine,tuahine,tuahine,tuahine,tuahine,tuahine,teina,tugane,tuakana,tugane,tugane,teina,tuahine,tugane,tuakana,teina,tuakana,tugane,tuakana,tugane,tuakana,teina,tuahine,tugane,teina,tugane,teina,teina,tugane,tugane,teina,tuakana,tuahine,tuahine,tuahine,teina,tugane,tugane,tuakana,tugane,tugane,tuahine,tuahine,tugane,makuahine,makui,makui,makuhine,makuahine,makui,makuahine,makuahine,makui,makuahine,makuahine,makui,makui,makui,makuahine,makui,makui,makuahine,makuahine,makuahine,makuahine,makui,makui,makui,makui,makui,makuahine,makuhine
2,0.030127236119414924,0.7861620463775798,0.7560348102581649,tuahine,tuakana,tuahine,tugane,tugane,tuakana,tugane,tuakana,tuakana,tuahine,tuahine,tuahine,tuahine,tugane,tuakana,teina,tugane,teina,tuahine,tugane,tugane,tuahine,tuahine,teina,teina,tuahine,tuahine,tugane,tugane,tugane,tugane,teina,tuahine,tugane,teina,tuakana,teina,tuahine,tugane,teina,tuahine,tuahine,tugane,tuahine,tuakana,tuakana,tuahine,teina,tuahine,tugane,tugane,tugane,tugane,tuahine,tugane,tuahine,tugane,tugane,tuakana,tugane,tuakana,teina,tuahine,tuahine,makuahine,makui,makui,makui,makuahine,makui,makuahine,makui,makui,makuahine,makuahine,makuahine,makui,makui,makuahine,makui,makui,makuahine,makui,makuahine,makuahine,makui,makuhine,makuhine,makuahine,makui,makuahine,makui
3,0.059341390001027894,0.9095923046136882,0.8502509146126603,teina,tugane,teina,tuakana,tugane,tugane,tuahine,tugane,tuakana,tuakana,tugane,tuahine,tuakana,tuahine,teina,tuahine,tuahine,tuahine,tugane,tugane,tuakana,tuahine,tugane,tugane,tuahine,tuahine,tugane,tugane,teina,tugane,tuahine,tuahine,tuahine,tuahine,tuahine,teina,tuahine,tugane,tugane,tugane,tuakana,tuakana,tugane,tuahine,tugane,tuahine,tuahine,tuakana,tugane,tugane,tuahine,tugane,tuahine,tuakana,tugane,teina,tuahine,tuakana,teina,tugane,teina,teina,teina,tuahine,makuahine,makuahine,makui,makui,makuahine,makui,makuahine,makuahine,makuahine,makuhine,makui,makui,makui,makuahine,makui,makui,makui,makuahine,makuahine,makuhine,makuahine,makui,makui,makuahine,makui,makuahine,makui,makui
4,0.08987083434269183,0.8253171672302271,0.7354463328875352,teina,tuakana,tuahine,tuahine,tuahine,tuakana,tuahine,tuakana,tuahine,tuahine,tuakana,tuahine,tuakana,tugane,teina,tuahine,tuahine,tugane,tuahine,tuakana,tugane,teina,teina,tuahine,teina,teina,tuakana,tuahine,tugane,tuakana,tuahine,tugane,tugane,tugane,tuahine,tuahine,tugane,tuahine,tugane,tuahine,teina,tugane,tugane,teina,teina,tuahine,tuahine,tuakana,tuahine,tugane,tuahine,tugane,tugane,tuakana,tugane,tugane,tugane,tugane,tugane,tugane,tuahine,tugane,tugane,teina,makuahine,makui,makuahine,makuahine,makui,makui,makui,makuhine,makuahine,makuahine,makui,makui,makuahine,makuahine,makui,makuahine,makuahine,makui,makui,makui,makui,makui,makui,makuahine,makuahine,makui,makuahine,makuhine
5,0.06580495643924567,0.8719047755760232,0.8060998191367775,tuakana,tuahine,tugane,tuakana,tuahine,tuahine,teina,tugane,tuakana,tugane,tuahine,tugane,teina,tuahine,tuakana,tuahine,tugane,tuahine,tuahine,teina,teina,tuahine,tuahine,tuahine,tugane,tuakana,tuakana,tugane,tuahine,tuakana,tugane,tugane,tugane,tugane,tugane,teina,tuahine,tuahine,tugane,teina,tugane,teina,tuahine,teina,tugane,tugane,tuahine,tugane,tuahine,tuakana,tugane,tugane,tugane,tuakana,tuahine,teina,tuahine,teina,tugane,tuahine,tuahine,tuahine,tugane,tuakana,makui,makuhine,makui,makuahine,makui,makui,makui,makuahine,makuahine,makuahine,makui,makuahine,makuahine,makui,makuahine,makui,makuahine,makuahine,makui,makui,makui,makui,makuahine,makuahine,makuahine,makuhine,makui,makui
6,0.06909490955255426,0.9095923046136882,0.840497395061134,tuahine,tuahine,tugane,tuakana,tugane,tuahine,teina,tuakana,tuahine,tuahine,teina,tuahine,teina,tugane,tuakana,tuahine,tuahine,tugane,tugane,tugane,tugane,tugane,teina,teina,tugane,teina,tuahine,tugane,tuahine,tugane,tuakana,tuahine,tuakana,tugane,tuahine,tugane,tugane,tuakana,tuahine,tuakana,tuahine,tugane,tuahine,teina,tugane,tuakana,tuakana,tuahine,tugane,tuahine,tugane,tuahine,tuahine,tuahine,tugane,teina,tugane,tuahine,tuakana,tugane,teina,tuahine,teina,tugane,makuhine,makui,makuahine,makuahine,makui,makui,makuahine,makuahine,makui,makui,makuahine,makuahine,makui,makui,makui,makuahine,makuahine,makui,makuahine,makui,makuahine,makuahine,makui,makui,makuahine,makuhine,makui,makui
7,0.04310650326949628,0.9053077514393735,0.8622012481698772,tugane,teina,tugane,tugane,tugane,tuahine,teina,tuahine,teina,tugane,tuahine,tuahine,tuahine,tuakana,tugane,tugane,teina,tuahine,tuakana,tuakana,tuahine,tugane,teina,tuakana,tugane,tuakana,tugane,tuakana,tugane,tugane,tuahine,tugane,tuahine,tuahine,tuakana,tugane,teina,tugane,tugane,tuahine,tuahine,tuahine,tuahine,teina,tuakana,tuahine,tugane,tugane,teina,tugane,teina,tuahine,tuahine,tuakana,tugane,tuahine,tuahine,teina,tuakana,tuahine,tugane,tuahine,tuahine,tugane,makuahine,makui,makui,makui,makuahine,makuhine,makui,makui,makuahine,makui,makui,makui,makuahine,makui,makui,makuahine,makui,makui,makuahine,makuahine,makuahine,makuahine,makui,makuahine,makuhine,makuahine,makuahine,makui
8,0.03360915331462644,0.7942836814586635,0.760674528144037,teina,tuakana,tugane,tuahine,tuahine,tuahine,tugane,tuahine,tuakana,tuakana,tuahine,tuahine,teina,teina,tugane,tugane,tuahine,tuahine,tugane,teina,tuahine,tugane,teina,tugane,tuakana,teina,tugane,tuahine,teina,teina,tugane,tuahine,tugane,tuahine,tugane,teina,tugane,tugane,tuahine,tugane,tuakana,tuakana,tuakana,tuahine,tuahine,tugane,tuahine,tugane,tugane,tugane,tuakana,tuakana,tuakana,tuahine,tugane,tugane,tuahine,tugane,tuahine,tuahine,teina,tugane,tuahine,tuahine,makui,makui,makuahine,makuahine,makuahine,makuahine,makui,makui,makuahine,makui,makuahine,makui,makui,makuahine,makuahine,makui,makuahine,makui,makui,makui,makuahine,makuahine,makuahine,makuhine,makui,makui,makuhine,makui
9,0.15947566898859378,0.9078086915252535,0.7483330225366597,tuahine,tuahine,tuahine,tuahine,tuakana,tugane,tugane,teina,tugane,tuahine,teina,tugane,teina,tuahine,tuahine,tuahine,teina,tugane,tuahine,tugane,tuahine,teina,teina,tuakana,tugane,tugane,tuakana,teina,tuakana,tuahine,tuakana,tugane,tuahine,tugane,tuahine,tuahine,tugane,teina,tugane,tuahine,tuahine,tuahine,tuahine,teina,tugane,tuakana,tuakana,tugane,tugane,tugane,tugane,tuakana,tuakana,teina,tuahine,tuahine,tuahine,tugane,tugane,tugane,tuahine,tugane,tuakana,tugane,makui,makuahine,makui,makui,makuahine,makuhine,makui,makuahine,makui,makuahine,makui,makuahine,makui,makuahine,makuahine,makui,makui,makui,makuahine,makuahine,makuahine,makui,makui,makuahine,makui,makui,makuahine,makuhine
