simulation_number,mutual_information,entropy,conditional_entropy,myB,mFZD,mFBD,mMBD,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fB,feZ,fyZ,fMBD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,fMBeD,fMByD,mZ,mFBS,mFZS,mMBS,mMZS,fFZD,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMZeS,mMZyS,fFeZD,fFyZD,fMeBD,fMyBD,fFZeD,fFZyD,mF,mM,mFB,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFB,fFZ,fFeB,fFyB,fFeZ,fFyZ,mMB,mMeB,mMyB,fMB,fMeB,fMyB
0,0.12767409241484473,1.0552947428114356,0.9276206503965909,tu'aatina,tunga'ane,tu'aatina,tuhahine,taina,ha'anga,tuhahine,ta'okete,tu'aatina,tuhahine,ta'okete,tuhahine,tuhahine,tuhahine,ha'anga,ha'anga,ha'anga,tuhahine,ha'anga,ha'anga,ha'anga,ha'anga,tunga'ane,tu'aatina,tu'aatina,taina,tunga'ane,ha'anga,tuhahine,taina,ha'anga,tu'aatina,tuhahine,tunga'ane,tunga'ane,ha'anga,ha'anga,ha'anga,tuhahine,tunga'ane,tu'aatina,ha'anga,tuhahine,tunga'ane,tunga'ane,tunga'ane,ha'anga,tunga'ane,tunga'ane,ha'anga,ta'okete,ha'anga,ha'anga,tunga'ane,tunga'ane,tu'aatina,tunga'ane,tu'aatina,tuhahine,tu'aatina,ha'anga,tunga'ane,ha'anga,tuhahine,ha'anga,tunga'ane,ha'anga,tuhahine,tu'aatina,tu'aatina,taina,ha'anga,ha'anga,tinana,tu'aatina,tu'aatina,tinana,tamana,tamana,tinana,tinana,tinana,tamana,tinana,tinana,tinana,tu'aatina,tinana,tamana,tamana,tamana,tamana,tinana,tinana,tamana,tu'aatina,tu'aatina,tu'aatina
1,0.11707303237081668,1.0097546267622388,0.8926815943914221,tu'aatina,tu'aatina,ha'anga,tu'aatina,tuhahine,ha'anga,tuhahine,ha'anga,ha'anga,taina,ha'anga,tunga'ane,tunga'ane,tuhahine,ha'anga,ha'anga,ta'okete,tunga'ane,tu'aatina,tunga'ane,ha'anga,tuhahine,tunga'ane,taina,tuhahine,ha'anga,ha'anga,tunga'ane,ha'anga,tu'aatina,tunga'ane,tunga'ane,tuhahine,tuhahine,tu'aatina,tu'aatina,ha'anga,ha'anga,ha'anga,tu'aatina,tunga'ane,tuhahine,ha'anga,tuhahine,tu'aatina,ha'anga,tunga'ane,ha'anga,ha'anga,ha'anga,taina,tuhahine,tu'aatina,tu'aatina,ta'okete,tuhahine,tunga'ane,ha'anga,taina,ta'okete,tunga'ane,ha'anga,tu'aatina,tuhahine,tuhahine,ha'anga,ha'anga,ha'anga,tunga'ane,tuhahine,tunga'ane,tunga'ane,tunga'ane,tu'aatina,tu'aatina,tinana,tamana,tamana,tinana,tamana,tinana,tinana,tinana,tinana,tu'aatina,tamana,tamana,tinana,tu'aatina,tinana,tu'aatina,tamana,tinana,tu'aatina,tamana,tamana,tinana,tinana
2,0.07497812484010169,1.074000860841648,0.9990227360015463,ha'anga,taina,tuhahine,tuhahine,tu'aatina,ha'anga,ha'anga,tunga'ane,ha'anga,tuhahine,ta'okete,tuhahine,ha'anga,tunga'ane,tunga'ane,tuhahine,tunga'ane,ha'anga,ha'anga,tuhahine,ha'anga,ha'anga,tu'aatina,tunga'ane,tu'aatina,tu'aatina,ha'anga,tunga'ane,tu'aatina,tuhahine,tunga'ane,tunga'ane,ha'anga,ta'okete,ha'anga,tu'aatina,tu'aatina,ha'anga,ha'anga,ha'anga,ha'anga,tunga'ane,tu'aatina,ha'anga,ha'anga,tunga'ane,tu'aatina,tu'aatina,tuhahine,tuhahine,taina,tunga'ane,ha'anga,ta'okete,tunga'ane,tuhahine,taina,ha'anga,tuhahine,tunga'ane,tuhahine,tuhahine,tu'aatina,tunga'ane,ha'anga,ha'anga,tunga'ane,ha'anga,tu'aatina,ha'anga,tuhahine,taina,tunga'ane,tinana,tamana,tinana,tinana,tinana,tamana,tu'aatina,tu'aatina,tinana,tinana,tinana,tinana,tamana,tamana,tu'aatina,tamana,tinana,tamana,tinana,tamana,tinana,tu'aatina,tu'aatina,tamana,tu'aatina
3,0.13920234292314737,1.084245568073389,0.9450432251502415,ha'anga,ha'anga,tu'aatina,ha'anga,tunga'ane,taina,tunga'ane,tuhahine,tuhahine,ha'anga,ha'anga,tuhahine,tu'aatina,ta'okete,tuhahine,ha'anga,tuhahine,tuhahine,tunga'ane,tuhahine,ha'anga,tunga'ane,tuhahine,tuhahine,taina,ha'anga,tu'aatina,tunga'ane,tuhahine,ha'anga,tuhahine,tu'aatina,tu'aatina,ha'anga,ha'anga,tu'aatina,taina,ha'anga,ha'anga,ha'anga,ha'anga,tunga'ane,ha'anga,tuhahine,tu'aatina,ha'anga,tunga'ane,ha'anga,ha'anga,ta'okete,tu'aatina,tunga'ane,tu'aatina,ha'anga,tunga'ane,ha'anga,tunga'ane,tunga'ane,tu'aatina,tu'aatina,ha'anga,ha'anga,tunga'ane,tuhahine,ta'okete,tuhahine,taina,ha'anga,tunga'ane,tunga'ane,tu'aatina,tunga'ane,tunga'ane,tinana,tinana,tu'aatina,tinana,tu'aatina,tu'aatina,tamana,tu'aatina,tinana,tinana,tamana,tinana,tamana,tu'aatina,tinana,tamana,tinana,tinana,tamana,tu'aatina,tamana,tinana,tamana,tamana,tinana
4,0.08189959446909778,1.0792300300625979,0.9973304355935001,taina,tuhahine,ha'anga,tuhahine,tunga'ane,ha'anga,tuhahine,tu'aatina,ha'anga,ta'okete,ha'anga,tunga'ane,tuhahine,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,tunga'ane,tunga'ane,taina,tunga'ane,ha'anga,tuhahine,tu'aatina,tuhahine,ha'anga,tunga'ane,ha'anga,tu'aatina,taina,ha'anga,tunga'ane,ha'anga,tunga'ane,tuhahine,ta'okete,tu'aatina,tu'aatina,ha'anga,ha'anga,tuhahine,tu'aatina,tu'aatina,ha'anga,tuhahine,tuhahine,ha'anga,tu'aatina,ta'okete,tu'aatina,ha'anga,tuhahine,ha'anga,taina,ha'anga,tunga'ane,tuhahine,ha'anga,tunga'ane,tunga'ane,tu'aatina,tuhahine,tunga'ane,tunga'ane,ha'anga,tu'aatina,tu'aatina,tuhahine,ha'anga,tunga'ane,tunga'ane,tunga'ane,tinana,tinana,tamana,tamana,tu'aatina,tinana,tamana,tamana,tamana,tinana,tu'aatina,tinana,tamana,tinana,tu'aatina,tinana,tu'aatina,tinana,tamana,tamana,tu'aatina,tu'aatina,tinana,tinana,tinana
5,0.10335707123785598,1.0310926192094352,0.9277355479715792,ha'anga,tuhahine,tuhahine,taina,ha'anga,tu'aatina,ha'anga,tuhahine,tu'aatina,ta'okete,tunga'ane,tunga'ane,tuhahine,taina,ha'anga,ha'anga,ta'okete,tuhahine,ha'anga,tunga'ane,ta'okete,ha'anga,tuhahine,tunga'ane,ha'anga,ha'anga,ha'anga,tunga'ane,taina,ha'anga,ha'anga,tu'aatina,tuhahine,ha'anga,tuhahine,ha'anga,ha'anga,tunga'ane,tunga'ane,ha'anga,tu'aatina,ha'anga,tu'aatina,ha'anga,tunga'ane,ha'anga,tunga'ane,tu'aatina,tunga'ane,tuhahine,tunga'ane,tuhahine,ha'anga,tunga'ane,ha'anga,tu'aatina,taina,tuhahine,tu'aatina,tunga'ane,tunga'ane,tunga'ane,ha'anga,tuhahine,tu'aatina,tuhahine,tu'aatina,ha'anga,tunga'ane,tuhahine,ha'anga,tu'aatina,tu'aatina,tinana,tinana,tamana,tinana,tamana,tinana,tu'aatina,tamana,tinana,tinana,tamana,tamana,tu'aatina,tinana,tinana,tamana,tu'aatina,tu'aatina,tinana,tamana,tinana,tamana,tinana,tu'aatina,tu'aatina
6,0.11843617686722563,1.0332179337404424,0.9147817568732167,tu'aatina,tuhahine,tuhahine,ha'anga,tuhahine,tuhahine,ha'anga,ha'anga,ha'anga,tuhahine,tu'aatina,tuhahine,tunga'ane,tuhahine,tu'aatina,tunga'ane,ha'anga,tuhahine,tuhahine,taina,ha'anga,tunga'ane,ha'anga,taina,tuhahine,tuhahine,tu'aatina,ha'anga,ta'okete,tu'aatina,tu'aatina,taina,tunga'ane,tunga'ane,ha'anga,tunga'ane,tu'aatina,tunga'ane,ha'anga,tuhahine,tunga'ane,taina,ha'anga,tunga'ane,ha'anga,tu'aatina,ta'okete,ha'anga,ha'anga,tunga'ane,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,tunga'ane,tu'aatina,ta'okete,tunga'ane,tu'aatina,tunga'ane,tunga'ane,tu'aatina,ha'anga,ha'anga,ha'anga,tunga'ane,tu'aatina,tuhahine,tuhahine,ha'anga,ha'anga,tunga'ane,tamana,tinana,tamana,tinana,tinana,tu'aatina,tamana,tamana,tinana,tu'aatina,tinana,tinana,tinana,tamana,tamana,tu'aatina,tamana,tu'aatina,tu'aatina,tinana,tinana,tu'aatina,tinana,tinana,tamana
7,0.052210676031964276,1.0837372908615097,1.0315266148295454,tunga'ane,tunga'ane,ha'anga,ha'anga,taina,tu'aatina,tu'aatina,tu'aatina,tunga'ane,tunga'ane,tunga'ane,tuhahine,ha'anga,tunga'ane,ta'okete,ha'anga,ha'anga,ha'anga,ta'okete,tuhahine,ha'anga,tunga'ane,tuhahine,tu'aatina,ha'anga,ha'anga,tu'aatina,taina,tuhahine,tuhahine,ha'anga,tunga'ane,tu'aatina,tu'aatina,tunga'ane,ta'okete,tu'aatina,ha'anga,tuhahine,ha'anga,ha'anga,tuhahine,ha'anga,tunga'ane,ha'anga,ha'anga,taina,tu'aatina,tuhahine,ha'anga,tunga'ane,tu'aatina,ha'anga,taina,tu'aatina,tunga'ane,tuhahine,tunga'ane,tuhahine,tu'aatina,tuhahine,tunga'ane,ha'anga,tuhahine,tunga'ane,ha'anga,tuhahine,ha'anga,ha'anga,ha'anga,tuhahine,ha'anga,tunga'ane,tinana,tamana,tamana,tu'aatina,tu'aatina,tamana,tinana,tamana,tu'aatina,tamana,tu'aatina,tinana,tinana,tamana,tinana,tamana,tinana,tu'aatina,tinana,tinana,tinana,tinana,tu'aatina,tamana,tinana
8,0.12260040354633761,1.0286171896851135,0.9060167861387759,tuhahine,ha'anga,ha'anga,tuhahine,tuhahine,tuhahine,ha'anga,tunga'ane,tunga'ane,tu'aatina,tu'aatina,tu'aatina,tunga'ane,ha'anga,ha'anga,ha'anga,tuhahine,tu'aatina,ha'anga,tunga'ane,tuhahine,tunga'ane,ha'anga,tu'aatina,tuhahine,tunga'ane,taina,ha'anga,tunga'ane,tu'aatina,tunga'ane,tuhahine,tu'aatina,ha'anga,tunga'ane,ha'anga,ha'anga,ha'anga,ha'anga,tunga'ane,tu'aatina,ta'okete,ha'anga,ha'anga,taina,tunga'ane,tuhahine,tuhahine,tunga'ane,ha'anga,ha'anga,ha'anga,tu'aatina,tunga'ane,tu'aatina,ha'anga,tunga'ane,tunga'ane,tunga'ane,ha'anga,tuhahine,ta'okete,ta'okete,ha'anga,tuhahine,tu'aatina,ha'anga,tuhahine,tuhahine,taina,ha'anga,tu'aatina,taina,tinana,tu'aatina,tamana,tinana,tinana,tamana,tinana,tu'aatina,tinana,tamana,tu'aatina,tamana,tamana,tu'aatina,tamana,tinana,tu'aatina,tinana,tinana,tamana,tinana,tu'aatina,tinana,tamana,tinana
9,0.2119646446097908,1.0887341634397132,0.8767695188299224,tu'aatina,tunga'ane,tuhahine,tunga'ane,tuhahine,tunga'ane,tunga'ane,ha'anga,tuhahine,tu'aatina,tuhahine,tunga'ane,tuhahine,tuhahine,ha'anga,tunga'ane,ha'anga,tu'aatina,ta'okete,tu'aatina,tu'aatina,tuhahine,tuhahine,ha'anga,tunga'ane,tuhahine,tunga'ane,tuhahine,ha'anga,ha'anga,taina,tuhahine,tu'aatina,tu'aatina,taina,taina,ha'anga,ha'anga,tu'aatina,taina,ha'anga,tu'aatina,ha'anga,ha'anga,tuhahine,ha'anga,tuhahine,tunga'ane,ha'anga,ta'okete,ha'anga,tunga'ane,ha'anga,ha'anga,tu'aatina,tunga'ane,tunga'ane,tu'aatina,ha'anga,ha'anga,ha'anga,ha'anga,tunga'ane,tuhahine,ta'okete,ha'anga,ha'anga,ha'anga,tu'aatina,tunga'ane,ha'anga,tunga'ane,tunga'ane,tinana,tinana,tamana,tamana,tu'aatina,tinana,tu'aatina,tu'aatina,tinana,tinana,tamana,tinana,tinana,tamana,tinana,tamana,tinana,tinana,tu'aatina,tu'aatina,tinana,tu'aatina,tamana,tamana,tamana
