simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFZS,mMBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fZ,feB,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFZS,fMBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,meZ,feZ,mF,mM,mFB,mMZ,mFeB,mFyB,mMeZ,mMyZ,fF,fM,fFB,fMZ,fFeB,fFyB,fMeZ,fMyZ,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB
0,0.1796974896391137,1.5452974227120853,1.3655999330729716,yapa,galay,galay,dhuway,dhuway,dhuway,yapa,yapa,yapa,gutha('),dhuway,yapa,yapa,yapa,yapa,yapa,dhuway,yapa,yapa,galay,galay,dhuway,galay,galay,dhuway,yapa,galay,galay,gutha('),yapa,dhuway,yapa,wäwa,dhuway,gutha('),dhuway,galay,dhuway,wäwa,yapa,yapa,yapa,yapa,yapa,dhuway,galay,galay,dhuway,galay,galay,galay,yapa,gutha('),galay,galay,dhuway,galay,galay,galay,dhuway,yapa,galay,dhuway,yapa,dhuway,dhuway,dhuway,dhuway,yapa,bäpa,ngaarnrdi,bäpa,mukul,gaykay,ŋäṉḏi,bäpa,ngaarnrdi,gaykay,mukul,gaykay,ngaarnrdi,ngaarnrdi,mukul,mukul,bäpa,bäpa,ngaarnrdi,gaykay,bäpa,gaykay,gaykay,mukul,ŋäṉḏi,bäpa,bäpa,mukul,ngaarnrdi
1,0.13385322157704094,1.5043258104054194,1.3704725888283784,galay,galay,yapa,galay,yapa,galay,galay,galay,yapa,yapa,yapa,galay,dhuway,wäwa,wäwa,yapa,galay,galay,yapa,yapa,dhuway,dhuway,dhuway,dhuway,yapa,yapa,dhuway,galay,dhuway,yapa,galay,yapa,gutha('),yapa,yapa,galay,dhuway,yapa,galay,yapa,gutha('),dhuway,dhuway,yapa,dhuway,dhuway,dhuway,galay,galay,yapa,dhuway,dhuway,galay,gutha('),gutha('),dhuway,dhuway,galay,dhuway,yapa,yapa,yapa,galay,dhuway,dhuway,galay,galay,yapa,yapa,gaykay,bäpa,gaykay,mukul,ŋäṉḏi,gaykay,bäpa,gaykay,bäpa,ngaarnrdi,gaykay,bäpa,bäpa,ngaarnrdi,ngaarnrdi,bäpa,mukul,ngaarnrdi,ŋäṉḏi,bäpa,mukul,ngaarnrdi,bäpa,mukul,mukul,gaykay,ngaarnrdi,mukul
2,0.10608559193939349,1.517182207029511,1.4110966150901174,yapa,wäwa,gutha('),yapa,dhuway,galay,yapa,galay,wäwa,galay,yapa,yapa,dhuway,dhuway,dhuway,gutha('),yapa,galay,yapa,yapa,galay,yapa,yapa,galay,dhuway,dhuway,dhuway,galay,galay,dhuway,dhuway,dhuway,yapa,dhuway,yapa,galay,dhuway,galay,yapa,galay,yapa,galay,dhuway,yapa,yapa,galay,dhuway,galay,yapa,galay,gutha('),galay,yapa,yapa,galay,dhuway,dhuway,gutha('),yapa,galay,galay,yapa,galay,dhuway,dhuway,dhuway,dhuway,yapa,yapa,ngaarnrdi,bäpa,bäpa,ngaarnrdi,gaykay,bäpa,ngaarnrdi,bäpa,gaykay,bäpa,bäpa,ngaarnrdi,bäpa,gaykay,ngaarnrdi,gaykay,mukul,mukul,gaykay,ngaarnrdi,mukul,mukul,mukul,gaykay,ŋäṉḏi,bäpa,ŋäṉḏi,mukul
3,0.18574642827768417,1.5182526386577082,1.332506210380024,yapa,yapa,yapa,yapa,dhuway,galay,wäwa,yapa,yapa,dhuway,dhuway,dhuway,galay,galay,yapa,galay,yapa,yapa,wäwa,galay,yapa,dhuway,dhuway,galay,dhuway,dhuway,dhuway,yapa,dhuway,yapa,gutha('),yapa,dhuway,galay,yapa,dhuway,galay,yapa,yapa,yapa,yapa,dhuway,dhuway,galay,gutha('),dhuway,galay,gutha('),galay,yapa,yapa,galay,dhuway,galay,galay,galay,dhuway,galay,galay,galay,galay,dhuway,yapa,dhuway,yapa,yapa,gutha('),dhuway,galay,bäpa,bäpa,ngaarnrdi,ŋäṉḏi,mukul,bäpa,ngaarnrdi,ŋäṉḏi,mukul,gaykay,mukul,bäpa,mukul,bäpa,gaykay,mukul,ngaarnrdi,ngaarnrdi,bäpa,gaykay,gaykay,ngaarnrdi,bäpa,gaykay,ngaarnrdi,gaykay,mukul,bäpa
4,0.13340744916238068,1.5296196168616532,1.3962121676992725,galay,wäwa,gutha('),dhuway,gutha('),yapa,galay,gutha('),yapa,galay,dhuway,dhuway,galay,dhuway,gutha('),dhuway,dhuway,yapa,dhuway,dhuway,dhuway,yapa,galay,yapa,yapa,yapa,dhuway,galay,dhuway,galay,galay,galay,galay,yapa,yapa,yapa,galay,galay,galay,yapa,galay,yapa,galay,yapa,yapa,wäwa,yapa,dhuway,yapa,galay,yapa,dhuway,yapa,yapa,dhuway,dhuway,yapa,dhuway,galay,dhuway,dhuway,dhuway,galay,yapa,yapa,yapa,galay,dhuway,galay,bäpa,ngaarnrdi,mukul,mukul,bäpa,bäpa,bäpa,ngaarnrdi,mukul,gaykay,mukul,gaykay,bäpa,bäpa,ngaarnrdi,bäpa,gaykay,ngaarnrdi,gaykay,mukul,ŋäṉḏi,ŋäṉḏi,gaykay,bäpa,mukul,ngaarnrdi,gaykay,ngaarnrdi
5,0.19977770656011162,1.516716621866819,1.3169389153067075,galay,yapa,galay,yapa,dhuway,dhuway,yapa,galay,dhuway,galay,galay,galay,yapa,gutha('),galay,dhuway,yapa,dhuway,yapa,gutha('),dhuway,dhuway,yapa,yapa,yapa,dhuway,galay,galay,galay,yapa,yapa,dhuway,dhuway,galay,yapa,yapa,galay,yapa,gutha('),dhuway,galay,dhuway,yapa,yapa,galay,yapa,dhuway,yapa,yapa,dhuway,galay,dhuway,dhuway,dhuway,gutha('),dhuway,yapa,wäwa,galay,galay,dhuway,yapa,wäwa,galay,dhuway,galay,galay,yapa,yapa,ngaarnrdi,bäpa,gaykay,bäpa,bäpa,mukul,ŋäṉḏi,bäpa,gaykay,bäpa,ŋäṉḏi,ngaarnrdi,gaykay,ngaarnrdi,mukul,ngaarnrdi,gaykay,mukul,mukul,bäpa,gaykay,ngaarnrdi,mukul,bäpa,bäpa,mukul,gaykay,ngaarnrdi
6,0.10776038167257851,1.5554938603136006,1.447733478641022,dhuway,galay,galay,dhuway,galay,yapa,dhuway,yapa,yapa,dhuway,dhuway,yapa,dhuway,dhuway,dhuway,yapa,yapa,galay,galay,galay,yapa,dhuway,dhuway,yapa,dhuway,galay,galay,yapa,yapa,yapa,yapa,galay,galay,dhuway,dhuway,dhuway,dhuway,galay,gutha('),galay,yapa,yapa,yapa,dhuway,dhuway,galay,yapa,galay,yapa,galay,galay,gutha('),dhuway,dhuway,wäwa,gutha('),yapa,galay,gutha('),wäwa,yapa,dhuway,yapa,galay,yapa,galay,yapa,yapa,galay,bäpa,bäpa,mukul,bäpa,gaykay,gaykay,mukul,ngaarnrdi,mukul,ngaarnrdi,mukul,ngaarnrdi,ngaarnrdi,ngaarnrdi,bäpa,bäpa,ngaarnrdi,ŋäṉḏi,mukul,gaykay,bäpa,bäpa,gaykay,mukul,gaykay,bäpa,ŋäṉḏi,gaykay
7,0.09335599869490308,1.5063175983676582,1.4129615996727551,galay,gutha('),yapa,yapa,galay,galay,dhuway,dhuway,yapa,galay,galay,yapa,yapa,yapa,dhuway,yapa,yapa,wäwa,galay,yapa,yapa,dhuway,dhuway,gutha('),yapa,gutha('),yapa,dhuway,gutha('),dhuway,galay,galay,galay,dhuway,yapa,galay,dhuway,galay,dhuway,dhuway,yapa,dhuway,galay,galay,dhuway,yapa,dhuway,galay,yapa,dhuway,dhuway,yapa,dhuway,yapa,galay,yapa,galay,galay,galay,yapa,dhuway,yapa,yapa,wäwa,galay,dhuway,yapa,galay,dhuway,bäpa,mukul,mukul,mukul,bäpa,gaykay,gaykay,mukul,gaykay,gaykay,ŋäṉḏi,ngaarnrdi,mukul,ngaarnrdi,gaykay,mukul,bäpa,bäpa,gaykay,bäpa,ngaarnrdi,ŋäṉḏi,ngaarnrdi,bäpa,bäpa,ngaarnrdi,ngaarnrdi,bäpa
8,0.1591919363523726,1.499453310481649,1.3402613741292764,dhuway,yapa,galay,yapa,galay,dhuway,yapa,dhuway,dhuway,galay,dhuway,galay,dhuway,dhuway,dhuway,dhuway,yapa,yapa,dhuway,galay,yapa,galay,dhuway,yapa,yapa,galay,gutha('),galay,yapa,gutha('),yapa,galay,galay,yapa,galay,galay,yapa,galay,galay,yapa,dhuway,yapa,yapa,dhuway,yapa,wäwa,galay,yapa,galay,yapa,dhuway,yapa,gutha('),wäwa,dhuway,gutha('),dhuway,dhuway,yapa,yapa,dhuway,galay,yapa,dhuway,galay,galay,dhuway,galay,yapa,gaykay,bäpa,ngaarnrdi,ngaarnrdi,gaykay,gaykay,ngaarnrdi,ngaarnrdi,bäpa,bäpa,gaykay,mukul,bäpa,gaykay,ngaarnrdi,bäpa,mukul,mukul,mukul,gaykay,ngaarnrdi,mukul,bäpa,mukul,ŋäṉḏi,bäpa,ŋäṉḏi,bäpa
9,0.15203095040193726,1.5692407103643669,1.4172097599624296,yapa,galay,yapa,yapa,dhuway,dhuway,yapa,wäwa,gutha('),dhuway,galay,dhuway,galay,dhuway,yapa,dhuway,yapa,dhuway,galay,yapa,yapa,yapa,galay,galay,yapa,yapa,galay,dhuway,gutha('),yapa,galay,yapa,dhuway,dhuway,galay,wäwa,dhuway,yapa,galay,galay,galay,dhuway,gutha('),yapa,dhuway,gutha('),galay,galay,yapa,galay,yapa,yapa,dhuway,galay,dhuway,yapa,yapa,dhuway,galay,galay,dhuway,yapa,yapa,galay,galay,dhuway,yapa,dhuway,dhuway,bäpa,mukul,mukul,ngaarnrdi,bäpa,gaykay,gaykay,bäpa,ngaarnrdi,mukul,ngaarnrdi,ŋäṉḏi,bäpa,gaykay,ngaarnrdi,mukul,gaykay,bäpa,ngaarnrdi,bäpa,bäpa,mukul,gaykay,ŋäṉḏi,ngaarnrdi,mukul,bäpa,gaykay
