simulation_number,mutual_information,entropy,conditional_entropy,meZ,feB,feZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,meB,myB,myZ,fB,fZ,fyB,fyZ,mM,fM,mF,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1328010196933611,1.0745032984683227,0.9417022787749616,vǎr,varǎ,vǎr,vǎr,vǎr,vǎr,vǎr,varǎ,varǎ,varǎ,[dodǎ],vǎr,varǎ,varǎ,varǎ,vǎr,vǎr,vǎr,varǎ,varǎ,vǎr,vǎr,vǎr,vǎr,varǎ,frate,sorǎ,vǎr,vǎr,vǎr,vǎr,varǎ,vǎr,vǎr,varǎ,frate,vǎr,varǎ,varǎ,varǎ,sorǎ,varǎ,vǎr,varǎ,frate,varǎ,varǎ,sorǎ,varǎ,vǎr,vǎr,vǎr,vǎr,varǎ,varǎ,[bade],vǎr,varǎ,varǎ,varǎ,vǎr,vǎr,varǎ,varǎ,varǎ,frate,vǎr,vǎr,varǎ,varǎ,varǎ,vǎr,varǎ,vǎr,vǎr,[bade],varǎ,vǎr,vǎr,sorǎ,[dodǎ],varǎ,varǎ,vǎr,varǎ,vǎr,vǎr,varǎ,varǎ,varǎ,unchi,mǎtusǎ,mamǎ,mǎtusǎ,mǎtusǎ,unchi,unchi,mǎtusǎ,unchi,mǎtusǎ,unchi,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,unchi,unchi,mǎtusǎ,unchi,mǎtusǎ,mǎtusǎ,tatǎ,mamǎ,unchi,unchi,mǎtusǎ,tatǎ
1,0.07244587891373389,1.1293095059452896,1.0568636270315557,[dodǎ],varǎ,varǎ,varǎ,varǎ,varǎ,vǎr,varǎ,frate,vǎr,varǎ,vǎr,varǎ,varǎ,varǎ,sorǎ,varǎ,vǎr,vǎr,varǎ,vǎr,varǎ,varǎ,vǎr,vǎr,varǎ,varǎ,varǎ,vǎr,vǎr,[dodǎ],vǎr,vǎr,vǎr,sorǎ,varǎ,vǎr,varǎ,vǎr,vǎr,varǎ,[bade],vǎr,vǎr,vǎr,varǎ,varǎ,vǎr,vǎr,vǎr,varǎ,vǎr,varǎ,vǎr,vǎr,varǎ,varǎ,varǎ,varǎ,varǎ,varǎ,frate,vǎr,vǎr,varǎ,varǎ,sorǎ,vǎr,vǎr,vǎr,vǎr,vǎr,varǎ,vǎr,varǎ,frate,vǎr,[bade],vǎr,sorǎ,varǎ,frate,vǎr,varǎ,varǎ,vǎr,varǎ,vǎr,vǎr,varǎ,mǎtusǎ,unchi,unchi,unchi,mǎtusǎ,mǎtusǎ,mamǎ,unchi,mǎtusǎ,mamǎ,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,unchi,unchi,mǎtusǎ,tatǎ,unchi,unchi,tatǎ,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,unchi,mǎtusǎ
2,0.1024188076022502,1.0472879586365091,0.944869151034259,vǎr,vǎr,frate,varǎ,vǎr,varǎ,vǎr,vǎr,varǎ,vǎr,varǎ,varǎ,varǎ,vǎr,vǎr,frate,varǎ,vǎr,vǎr,vǎr,vǎr,varǎ,vǎr,vǎr,sorǎ,vǎr,varǎ,varǎ,varǎ,varǎ,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,sorǎ,frate,varǎ,vǎr,vǎr,varǎ,sorǎ,vǎr,varǎ,varǎ,varǎ,varǎ,varǎ,vǎr,varǎ,varǎ,[bade],sorǎ,varǎ,vǎr,varǎ,varǎ,varǎ,varǎ,varǎ,vǎr,vǎr,varǎ,[dodǎ],vǎr,vǎr,vǎr,varǎ,varǎ,vǎr,vǎr,vǎr,varǎ,varǎ,vǎr,varǎ,vǎr,vǎr,varǎ,vǎr,[bade],varǎ,vǎr,varǎ,vǎr,frate,vǎr,[dodǎ],vǎr,unchi,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,mǎtusǎ,unchi,mamǎ,mamǎ,mǎtusǎ,tatǎ,unchi,unchi,tatǎ,mǎtusǎ,unchi,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,unchi,unchi,mǎtusǎ,mǎtusǎ,unchi
3,0.09440800446529041,1.0723661881542688,0.9779581836889784,vǎr,vǎr,sorǎ,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,frate,sorǎ,vǎr,vǎr,vǎr,varǎ,vǎr,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,varǎ,vǎr,varǎ,varǎ,varǎ,vǎr,varǎ,varǎ,vǎr,vǎr,vǎr,vǎr,sorǎ,varǎ,varǎ,frate,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,vǎr,vǎr,varǎ,varǎ,vǎr,varǎ,varǎ,varǎ,vǎr,vǎr,varǎ,varǎ,vǎr,vǎr,vǎr,vǎr,vǎr,frate,varǎ,vǎr,varǎ,varǎ,[bade],varǎ,vǎr,[bade],varǎ,varǎ,varǎ,vǎr,vǎr,varǎ,vǎr,[dodǎ],vǎr,varǎ,vǎr,sorǎ,vǎr,varǎ,varǎ,[dodǎ],varǎ,varǎ,frate,mǎtusǎ,unchi,tatǎ,unchi,unchi,mǎtusǎ,unchi,tatǎ,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,mǎtusǎ,mamǎ,mǎtusǎ,unchi,unchi,unchi,mǎtusǎ,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,mǎtusǎ,mamǎ,unchi,unchi
4,0.12067065617318085,1.0389697938843159,0.918299137711135,varǎ,frate,vǎr,vǎr,varǎ,vǎr,varǎ,varǎ,varǎ,varǎ,sorǎ,varǎ,[dodǎ],vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,sorǎ,vǎr,[dodǎ],varǎ,varǎ,sorǎ,varǎ,vǎr,frate,varǎ,vǎr,vǎr,vǎr,varǎ,vǎr,varǎ,vǎr,vǎr,vǎr,vǎr,varǎ,[bade],varǎ,varǎ,vǎr,varǎ,varǎ,varǎ,varǎ,vǎr,vǎr,vǎr,vǎr,varǎ,vǎr,varǎ,vǎr,vǎr,[bade],varǎ,vǎr,varǎ,vǎr,varǎ,varǎ,varǎ,frate,varǎ,sorǎ,vǎr,varǎ,vǎr,vǎr,varǎ,varǎ,vǎr,vǎr,varǎ,varǎ,vǎr,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,vǎr,frate,vǎr,vǎr,unchi,unchi,tatǎ,mǎtusǎ,mǎtusǎ,unchi,unchi,unchi,tatǎ,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,unchi,mǎtusǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,unchi,mamǎ,mǎtusǎ,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,mamǎ
5,0.07941827687927727,1.168554925967082,1.0891366490878047,vǎr,varǎ,vǎr,varǎ,frate,vǎr,varǎ,varǎ,vǎr,varǎ,vǎr,vǎr,varǎ,varǎ,vǎr,varǎ,varǎ,vǎr,vǎr,vǎr,varǎ,vǎr,vǎr,vǎr,vǎr,varǎ,[dodǎ],vǎr,varǎ,varǎ,varǎ,vǎr,varǎ,sorǎ,vǎr,vǎr,vǎr,varǎ,varǎ,varǎ,vǎr,varǎ,vǎr,varǎ,varǎ,varǎ,frate,varǎ,frate,sorǎ,varǎ,vǎr,vǎr,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,vǎr,vǎr,varǎ,vǎr,sorǎ,vǎr,varǎ,frate,vǎr,vǎr,varǎ,varǎ,varǎ,vǎr,vǎr,varǎ,varǎ,varǎ,vǎr,[bade],varǎ,varǎ,vǎr,varǎ,vǎr,sorǎ,vǎr,varǎ,vǎr,[bade],[dodǎ],tatǎ,mǎtusǎ,mǎtusǎ,unchi,mamǎ,mǎtusǎ,mamǎ,unchi,mǎtusǎ,unchi,tatǎ,unchi,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,mǎtusǎ,unchi,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,unchi,mǎtusǎ,unchi,unchi
6,0.05276429844281871,1.0947802405230918,1.042015942080273,vǎr,varǎ,vǎr,varǎ,varǎ,frate,sorǎ,vǎr,vǎr,varǎ,vǎr,varǎ,varǎ,vǎr,vǎr,varǎ,varǎ,sorǎ,varǎ,varǎ,frate,varǎ,varǎ,varǎ,varǎ,vǎr,sorǎ,vǎr,varǎ,varǎ,vǎr,vǎr,vǎr,vǎr,varǎ,varǎ,varǎ,varǎ,vǎr,vǎr,vǎr,vǎr,varǎ,[dodǎ],vǎr,vǎr,varǎ,vǎr,vǎr,frate,vǎr,vǎr,vǎr,[dodǎ],vǎr,vǎr,varǎ,vǎr,vǎr,vǎr,vǎr,[bade],vǎr,vǎr,vǎr,vǎr,varǎ,vǎr,varǎ,varǎ,vǎr,varǎ,varǎ,vǎr,varǎ,varǎ,vǎr,vǎr,varǎ,[bade],frate,varǎ,varǎ,varǎ,sorǎ,varǎ,varǎ,varǎ,varǎ,varǎ,unchi,tatǎ,mǎtusǎ,unchi,mǎtusǎ,unchi,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,tatǎ,mǎtusǎ,unchi,mamǎ,unchi,mamǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,mǎtusǎ
7,0.042416292114359155,1.1196362455635307,1.0772199534491715,varǎ,varǎ,varǎ,vǎr,varǎ,varǎ,varǎ,frate,vǎr,varǎ,varǎ,varǎ,varǎ,vǎr,varǎ,vǎr,varǎ,[bade],vǎr,varǎ,varǎ,varǎ,vǎr,[dodǎ],vǎr,frate,vǎr,varǎ,vǎr,varǎ,varǎ,vǎr,varǎ,[bade],vǎr,vǎr,sorǎ,vǎr,varǎ,vǎr,vǎr,varǎ,sorǎ,varǎ,vǎr,varǎ,varǎ,vǎr,vǎr,vǎr,vǎr,vǎr,varǎ,vǎr,vǎr,frate,[dodǎ],varǎ,vǎr,vǎr,vǎr,varǎ,varǎ,vǎr,varǎ,vǎr,varǎ,vǎr,sorǎ,varǎ,varǎ,varǎ,frate,vǎr,varǎ,sorǎ,varǎ,vǎr,vǎr,vǎr,vǎr,varǎ,varǎ,vǎr,vǎr,vǎr,varǎ,vǎr,vǎr,varǎ,mamǎ,unchi,unchi,unchi,unchi,unchi,mǎtusǎ,unchi,tatǎ,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,unchi,unchi,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,mamǎ,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,mǎtusǎ,tatǎ,unchi,mǎtusǎ
8,0.12478006892973914,1.0745032984683227,0.9497232295385836,vǎr,varǎ,vǎr,varǎ,vǎr,sorǎ,vǎr,vǎr,vǎr,varǎ,frate,varǎ,vǎr,vǎr,vǎr,varǎ,vǎr,varǎ,frate,varǎ,varǎ,varǎ,vǎr,vǎr,vǎr,[dodǎ],[dodǎ],varǎ,[bade],vǎr,varǎ,vǎr,varǎ,varǎ,varǎ,frate,[bade],frate,varǎ,varǎ,vǎr,vǎr,vǎr,vǎr,varǎ,varǎ,vǎr,varǎ,vǎr,vǎr,vǎr,varǎ,varǎ,varǎ,varǎ,varǎ,vǎr,vǎr,varǎ,varǎ,vǎr,varǎ,varǎ,vǎr,varǎ,varǎ,sorǎ,vǎr,sorǎ,sorǎ,vǎr,varǎ,vǎr,vǎr,varǎ,varǎ,varǎ,varǎ,varǎ,vǎr,vǎr,vǎr,vǎr,varǎ,vǎr,vǎr,varǎ,vǎr,vǎr,varǎ,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,mǎtusǎ,tatǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,unchi,tatǎ,mǎtusǎ,unchi,unchi,unchi,mǎtusǎ,mǎtusǎ,unchi,mǎtusǎ,mamǎ,unchi,unchi,mamǎ,mǎtusǎ,mǎtusǎ,unchi,unchi
9,0.07044634868101407,1.1374532757035984,1.0670069270225844,varǎ,varǎ,frate,varǎ,varǎ,sorǎ,vǎr,vǎr,varǎ,vǎr,vǎr,varǎ,vǎr,varǎ,varǎ,vǎr,vǎr,vǎr,varǎ,vǎr,[dodǎ],varǎ,varǎ,vǎr,vǎr,varǎ,vǎr,vǎr,vǎr,varǎ,vǎr,vǎr,[bade],vǎr,vǎr,varǎ,vǎr,varǎ,varǎ,varǎ,vǎr,vǎr,varǎ,varǎ,vǎr,varǎ,frate,vǎr,varǎ,vǎr,vǎr,vǎr,varǎ,varǎ,vǎr,varǎ,vǎr,varǎ,[dodǎ],vǎr,varǎ,vǎr,vǎr,varǎ,vǎr,varǎ,varǎ,varǎ,vǎr,vǎr,sorǎ,varǎ,vǎr,varǎ,vǎr,vǎr,varǎ,frate,varǎ,varǎ,sorǎ,varǎ,vǎr,sorǎ,[bade],vǎr,varǎ,varǎ,varǎ,frate,tatǎ,mǎtusǎ,unchi,unchi,unchi,unchi,tatǎ,unchi,mǎtusǎ,unchi,unchi,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,mamǎ,mǎtusǎ,mǎtusǎ,mǎtusǎ,unchi,mǎtusǎ,unchi,unchi,mamǎ,mǎtusǎ,unchi,mǎtusǎ,mǎtusǎ
