simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeZ,mFyZ,fFeZ,fFyZ
0,0.03177940506117327,1.0634187732433902,1.031639368182217,tua-gane,tua-gane,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-fafine,tua-fafine,tua-gane,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-gane,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-fafine,tua-gane,tua-fafine,tua-'aa,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-gane,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-fafine,tua-fafine,tua-fafine,tua-gane,tua-fafine,tua-'aa,tua-fafine,tua-gane,tua-fafine,tua-gane,tua-fafine,tua-'aa,tua-fafine,tua-fafine,tua-gane,tua-'aa,tua-'aa,ilamutu,tamaa,tinaa,tamaa,ilamutu,ilamutu,tinaa,ilamutu
1,0.11195362668959585,1.0382400185693474,0.9262863918797516,tua-'aa,tua-fafine,tua-fafine,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-gane,tua-gane,tua-gane,tua-gane,tua-fafine,tua-gane,tua-'aa,tua-'aa,tua-gane,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-fafine,tua-fafine,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-fafine,tua-gane,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-gane,tua-gane,tua-gane,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-fafine,tua-gane,tua-fafine,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tinaa,ilamutu,ilamutu,tinaa,ilamutu,ilamutu,tamaa,tamaa
2,0.050926565229202025,1.0382400185693472,0.9873134533401452,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-gane,tua-gane,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-gane,tua-fafine,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-gane,tua-fafine,tua-gane,tua-fafine,tua-fafine,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-fafine,tua-fafine,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-fafine,tua-gane,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-gane,tua-fafine,tua-'aa,tua-'aa,tua-gane,tua-fafine,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tamaa,ilamutu,tinaa,ilamutu,ilamutu,ilamutu,tinaa,tamaa
3,0.0355855471566906,1.0382400185693474,1.0026544714126568,tua-gane,tua-'aa,tua-fafine,tua-fafine,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-fafine,tua-fafine,tua-'aa,tua-fafine,tua-fafine,tua-'aa,tua-gane,tua-gane,tua-gane,tua-gane,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-gane,tua-fafine,tua-gane,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-fafine,tua-gane,tua-gane,tua-fafine,tua-fafine,tua-gane,tua-gane,tua-fafine,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-gane,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-fafine,tua-gane,tua-gane,ilamutu,ilamutu,ilamutu,tamaa,tamaa,ilamutu,tinaa,tinaa
4,0.06554254622518751,1.0634187732433902,0.9978762270182027,tua-fafine,tua-fafine,tua-'aa,tua-gane,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-gane,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-fafine,tua-fafine,tua-gane,tua-fafine,tua-'aa,tua-gane,tua-fafine,tua-'aa,tua-gane,tua-gane,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,ilamutu,tamaa,tamaa,tinaa,ilamutu,ilamutu,ilamutu,tinaa
5,0.06021781783734492,1.0382400185693472,0.9780222007320023,tua-'aa,tua-gane,tua-gane,tua-gane,tua-fafine,tua-'aa,tua-gane,tua-fafine,tua-'aa,tua-fafine,tua-gane,tua-gane,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-fafine,tua-gane,tua-fafine,tua-gane,tua-'aa,tua-gane,tua-'aa,tua-fafine,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-fafine,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-fafine,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-gane,tua-fafine,tua-fafine,tua-fafine,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tamaa,tinaa,tamaa,ilamutu,ilamutu,tinaa,ilamutu,ilamutu
6,0.09037341041597069,1.0382400185693474,0.9478666081533768,tua-'aa,tua-'aa,tua-gane,tua-gane,tua-gane,tua-gane,tua-gane,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-gane,tua-gane,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-fafine,tua-fafine,tua-gane,tua-fafine,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-fafine,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-fafine,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-fafine,tua-gane,tua-fafine,tua-fafine,tua-fafine,tua-'aa,tua-gane,tua-'aa,tinaa,ilamutu,tinaa,ilamutu,ilamutu,tamaa,ilamutu,tamaa
7,0.13197716457727882,1.0100997593541636,0.8781225947768848,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-fafine,tua-fafine,tua-gane,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-gane,tua-'aa,tua-gane,tua-fafine,tua-fafine,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-gane,tua-gane,tua-'aa,tua-gane,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-gane,tua-fafine,tua-gane,tua-gane,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-fafine,tua-fafine,tua-'aa,tua-fafine,tua-fafine,tua-gane,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-gane,tamaa,ilamutu,ilamutu,ilamutu,ilamutu,tamaa,tinaa,tinaa
8,0.10039865537597847,1.0579054247036734,0.957506769327695,tua-gane,tua-fafine,tua-gane,tua-fafine,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-gane,tua-gane,tua-fafine,tua-gane,tua-'aa,tua-gane,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-fafine,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-gane,tua-gane,tua-'aa,tua-fafine,tua-gane,tua-gane,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-gane,tua-gane,tua-'aa,tua-fafine,tua-fafine,tua-'aa,tua-'aa,tua-gane,tua-fafine,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-fafine,tua-'aa,tua-fafine,tua-gane,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tinaa,ilamutu,tamaa,tamaa,ilamutu,ilamutu,ilamutu,tinaa
9,0.046923660291342095,1.0382400185693472,0.9913163582780051,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-gane,tua-fafine,tua-'aa,tua-fafine,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-fafine,tua-gane,tua-'aa,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-fafine,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-fafine,tua-fafine,tua-fafine,tua-gane,tua-'aa,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-'aa,tua-gane,tua-'aa,tua-fafine,tua-fafine,tua-fafine,tua-fafine,tua-'aa,tua-'aa,tua-fafine,tua-gane,tua-gane,tua-gane,tua-'aa,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-fafine,tua-gane,tua-fafine,tua-'aa,tua-'aa,tua-fafine,tua-fafine,tua-'aa,tua-'aa,tua-gane,tua-'aa,ilamutu,tamaa,tinaa,ilamutu,ilamutu,tamaa,ilamutu,tinaa
