simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB
0,0.0810355447421427,1.3953109749443104,1.3142754302021677,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,nsanga,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mpangi,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,ngudi,mpangi a tata,mbunji a tata,ngwa,ngudi,mbunji a tata,ngudi,ngudi,ngudi,ngudi,tata,ngudi,tata,ngwa,ngudi,ngudi,ngudi,mpangi a tata,ngudi,ngudi
1,0.0635538036573613,1.2345586307907772,1.171004827133416,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,nsanga,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,tata,ngudi,mpangi a tata,ngudi,ngudi,mbunji a tata,mpangi a tata,ngudi,ngudi,ngudi,mbunji a tata,ngwa,ngudi,ngudi,ngudi,ngudi,tata,ngudi,ngudi,ngwa
2,0.07079606510679048,1.1163652211942314,1.045569156087441,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,nsanga,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mpangi,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji a tata,ngudi,mbunji a tata,ngudi,ngudi,mpangi a tata,ngudi,ngwa,ngudi,ngudi,ngudi,ngudi,ngudi,ngudi,tata,ngwa,ngudi,ngudi,tata,mpangi a tata
3,0.07326719540368942,1.2546924550199718,1.1814252596162824,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,nsanga,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,ngudi,ngudi,mpangi a tata,ngudi,ngudi,ngudi,mbunji a tata,ngudi,ngudi,ngwa,ngudi,mbunji a tata,ngudi,ngwa,mpangi a tata,ngudi,tata,ngudi,ngudi,tata
4,0.10278479955563746,1.1071429837864282,1.0043581842307907,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,nsanga,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,ngudi,mbunji a tata,ngudi,ngudi,ngwa,ngudi,tata,mpangi a tata,ngudi,ngudi,ngudi,ngudi,ngudi,ngudi,mpangi a tata,ngudi,mbunji a tata,tata,ngudi,ngwa
5,0.032086645220253285,1.208549794044263,1.1764631488240098,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,nsanga,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mpangi,mwana a ngwa ankaji,ngudi,ngudi,ngwa,ngudi,mbunji a tata,ngudi,tata,mbunji a tata,ngudi,ngudi,ngudi,mpangi a tata,ngudi,tata,ngudi,ngwa,ngudi,mpangi a tata,ngudi,ngudi
6,0.013684449501504714,1.208549794044263,1.1948653445427584,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,nsanga,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,tata,ngudi,ngudi,ngudi,mpangi a tata,mpangi a tata,ngudi,ngudi,ngudi,tata,mbunji a tata,ngudi,ngwa,ngudi,mbunji a tata,ngudi,ngudi,ngwa,ngudi,ngudi
7,0.06985002356423387,1.2546924550199716,1.1848424314557378,mwana a ngwa ankaji,mpangi,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,nsanga,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,ngudi,ngudi,mpangi a tata,ngudi,ngudi,ngudi,mbunji a tata,tata,ngudi,ngudi,ngudi,ngwa,ngudi,tata,mpangi a tata,ngudi,ngudi,ngwa,mbunji a tata,ngudi
8,0.06588524561022102,1.2781427214641639,1.2122574758539428,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,nsanga,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,ngudi,mpangi a tata,ngudi,ngudi,mbunji a tata,ngudi,ngwa,ngudi,mbunji a tata,ngudi,ngudi,mpangi a tata,tata,ngwa,ngudi,ngudi,ngudi,ngudi,tata,ngudi
9,0.04534975610231795,1.2546924550199716,1.2093426989176537,mwana a ngwa ankaji,mbunji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,nsanga,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mwana a ngwa ankaji,mbunji,mwana a ngwa ankaji,mwana a ngwa ankaji,mpangi a tata,ngudi,ngudi,ngwa,ngudi,tata,ngudi,ngudi,ngudi,mbunji a tata,ngudi,ngudi,tata,ngudi,mpangi a tata,ngudi,ngudi,ngudi,ngwa,mbunji a tata
