simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.0832998264807332,1.0636685270030921,0.9803687005223589,sorrasta,sorrasta,sorrasta,sorrasta,frade,sorrasta,sorrasta,fradile,sorrasta,fradile,fradile,sorrasta,sorrasta,sorre,fradile,sorrasta,fradile,sorre,fradile,fradile,sorrasta,fradile,fradile,sorrasta,sorrasta,sorrasta,sorrasta,fradile,fradile,fradile,frade,fradile,sorrasta,sorrasta,fradile,frade,sorrasta,sorrasta,sorrasta,fradile,fradile,fradile,fradile,fradile,sorre,sorrasta,fradile,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,fradile,fradile,sorre,fradile,frade,fradile,sorrasta,frade,fradile,fradile,fradile,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,sorrasta,sorrasta,sorrasta,fradile,fradile,sorre,sorrasta,fradile,frade,fradile,fradile,sorrasta,fradile,fradile,sorre,sorrasta,fradile,fradile,sorrasta,sorrasta,tia,tiu,tiu,tiu,tia,tiu,tiu,tia,tia,tiu,tia,tia,tiu,tiu,padre,padre,tia,tia,tia,tia,tiu,tia,tiu,madre,tiu,madre,tiu,tia
1,0.05690347089437964,1.1174400811009688,1.0605366102065892,fradile,sorrasta,sorrasta,fradile,fradile,sorre,fradile,fradile,fradile,fradile,sorrasta,sorrasta,fradile,fradile,sorrasta,sorrasta,frade,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,fradile,sorre,frade,sorrasta,sorrasta,fradile,sorrasta,sorrasta,fradile,fradile,frade,sorrasta,fradile,fradile,sorrasta,fradile,frade,fradile,fradile,fradile,fradile,sorre,sorrasta,fradile,frade,sorrasta,sorrasta,frade,fradile,fradile,fradile,sorre,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,fradile,fradile,fradile,sorrasta,sorrasta,sorrasta,fradile,fradile,sorre,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,fradile,sorre,sorrasta,fradile,fradile,fradile,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,fradile,fradile,fradile,tiu,tia,tia,tia,tia,madre,tia,tiu,tia,tiu,tiu,tia,tiu,padre,tiu,tia,tiu,tia,madre,tiu,tiu,tiu,tia,tiu,padre,tiu,tia,tia
2,0.08645426994918481,1.1203228140548949,1.03386854410571,sorrasta,sorrasta,sorrasta,sorrasta,sorre,frade,fradile,sorrasta,fradile,sorre,sorre,sorrasta,fradile,sorrasta,fradile,fradile,sorre,fradile,fradile,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,fradile,fradile,sorrasta,sorrasta,sorre,fradile,fradile,sorrasta,sorrasta,frade,sorrasta,fradile,sorrasta,fradile,fradile,fradile,fradile,fradile,fradile,sorrasta,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,fradile,sorrasta,fradile,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,fradile,fradile,fradile,fradile,fradile,frade,frade,sorre,fradile,sorrasta,fradile,fradile,sorrasta,sorrasta,fradile,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,frade,fradile,sorrasta,frade,sorrasta,sorrasta,sorrasta,tia,tiu,tia,tia,madre,tia,tia,tia,madre,tiu,padre,tia,tia,tiu,tia,tiu,padre,tia,tia,tiu,tiu,tiu,tia,tiu,tiu,tiu,tiu,tiu
3,0.06183895024255004,1.062817879624815,1.000978929382265,sorrasta,sorrasta,fradile,fradile,sorrasta,sorrasta,fradile,fradile,fradile,sorrasta,sorrasta,fradile,sorrasta,sorrasta,frade,sorre,fradile,fradile,fradile,sorrasta,fradile,fradile,fradile,sorrasta,sorrasta,fradile,fradile,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,fradile,fradile,frade,sorre,fradile,fradile,sorrasta,fradile,fradile,sorrasta,sorre,sorrasta,sorrasta,sorrasta,sorrasta,fradile,sorrasta,fradile,sorrasta,sorrasta,sorrasta,fradile,fradile,sorre,fradile,fradile,sorrasta,sorrasta,sorre,sorrasta,fradile,sorrasta,sorre,sorrasta,sorrasta,fradile,fradile,frade,fradile,fradile,fradile,sorrasta,frade,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,fradile,fradile,fradile,sorrasta,sorrasta,fradile,frade,frade,sorrasta,tia,tiu,tiu,tiu,tiu,tia,tiu,tia,tiu,tia,tiu,tia,tiu,tia,padre,tia,tia,tiu,madre,tiu,padre,madre,tiu,tia,tia,tiu,tia,tia
4,0.06287314593501736,1.1677998563479501,1.1049267104129328,sorrasta,sorrasta,sorrasta,fradile,fradile,sorrasta,frade,fradile,fradile,fradile,sorrasta,frade,fradile,sorrasta,fradile,fradile,sorrasta,fradile,fradile,sorrasta,sorrasta,fradile,fradile,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,sorrasta,fradile,frade,sorrasta,fradile,sorrasta,sorrasta,sorrasta,sorrasta,fradile,fradile,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,sorre,fradile,frade,fradile,sorrasta,sorrasta,fradile,fradile,fradile,sorre,sorrasta,fradile,fradile,fradile,sorrasta,frade,sorrasta,fradile,fradile,sorrasta,sorrasta,sorre,sorrasta,sorrasta,sorre,fradile,sorrasta,sorrasta,fradile,sorrasta,frade,sorrasta,fradile,fradile,fradile,fradile,sorrasta,sorre,fradile,fradile,sorre,sorrasta,fradile,sorrasta,fradile,padre,tia,tiu,tia,padre,tia,tiu,tiu,tia,tiu,madre,tia,tiu,tiu,tiu,tiu,tia,tia,madre,tiu,tiu,tia,tiu,tia,tia,tiu,tia,tia
5,0.04096621392792987,1.0762815311530085,1.0353153172250786,sorre,sorrasta,frade,fradile,sorrasta,sorrasta,fradile,sorrasta,sorre,sorrasta,sorre,fradile,fradile,sorrasta,sorrasta,fradile,sorrasta,fradile,fradile,frade,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,sorrasta,frade,fradile,sorrasta,sorre,fradile,fradile,fradile,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,sorrasta,fradile,sorre,frade,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,sorre,sorrasta,frade,fradile,fradile,sorrasta,fradile,sorrasta,fradile,fradile,fradile,fradile,fradile,fradile,fradile,sorrasta,fradile,fradile,frade,fradile,fradile,sorrasta,sorrasta,fradile,sorrasta,fradile,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,fradile,fradile,tia,madre,tiu,tiu,tia,tia,tiu,tia,tiu,tiu,tiu,padre,tiu,tia,tiu,tiu,tia,tia,tia,tiu,padre,tiu,madre,tiu,tia,tia,tia,tia
6,0.04647956938342701,1.06036939019662,1.013889820813193,fradile,sorrasta,sorrasta,sorrasta,sorrasta,fradile,fradile,frade,sorrasta,sorrasta,sorrasta,fradile,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,fradile,fradile,sorre,fradile,sorre,sorrasta,frade,fradile,fradile,sorrasta,sorrasta,sorrasta,fradile,fradile,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,fradile,sorre,fradile,fradile,sorre,sorrasta,fradile,fradile,frade,sorrasta,sorrasta,sorrasta,fradile,sorrasta,fradile,fradile,sorre,sorrasta,fradile,fradile,fradile,fradile,fradile,sorrasta,sorrasta,frade,sorrasta,fradile,fradile,sorrasta,sorre,fradile,sorrasta,fradile,fradile,sorrasta,fradile,fradile,fradile,sorrasta,fradile,fradile,fradile,frade,fradile,fradile,sorrasta,sorrasta,frade,fradile,sorrasta,fradile,sorrasta,tiu,tiu,tiu,tia,tia,madre,tia,tia,tiu,tia,tiu,tiu,tiu,tia,padre,tia,tiu,tiu,tia,tia,tiu,padre,tiu,tia,tia,tiu,tia,madre
7,0.043246050022532456,1.1397322162276198,1.0964861662050873,fradile,fradile,frade,sorrasta,sorre,fradile,sorrasta,sorrasta,sorrasta,frade,fradile,sorrasta,frade,fradile,sorrasta,sorre,fradile,sorrasta,fradile,sorre,sorrasta,frade,fradile,fradile,fradile,fradile,frade,fradile,fradile,sorrasta,fradile,sorrasta,sorrasta,sorrasta,fradile,sorrasta,fradile,fradile,fradile,fradile,sorrasta,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,sorre,sorrasta,fradile,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,fradile,sorrasta,sorrasta,sorrasta,sorrasta,fradile,sorre,sorrasta,fradile,fradile,fradile,fradile,sorrasta,sorrasta,fradile,sorrasta,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,fradile,fradile,sorrasta,frade,fradile,sorre,sorrasta,fradile,fradile,sorrasta,sorrasta,fradile,tia,tia,tiu,tiu,padre,tiu,tia,tiu,tia,tiu,tia,tia,madre,tiu,padre,tiu,tiu,tia,tiu,madre,tia,tia,tia,tiu,tia,tia,tiu,tiu
8,0.07383344799545477,1.20702036199004,1.1331869139945852,fradile,sorre,sorrasta,sorrasta,fradile,sorrasta,fradile,fradile,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,sorrasta,fradile,fradile,sorrasta,fradile,sorrasta,fradile,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,fradile,sorrasta,frade,sorrasta,sorrasta,sorrasta,frade,fradile,sorrasta,fradile,frade,fradile,fradile,sorrasta,sorrasta,sorrasta,sorrasta,sorre,fradile,fradile,sorrasta,sorre,sorrasta,sorre,fradile,fradile,fradile,fradile,frade,fradile,sorrasta,sorrasta,fradile,sorrasta,frade,sorrasta,sorrasta,fradile,fradile,fradile,fradile,sorrasta,sorrasta,sorrasta,sorrasta,fradile,sorrasta,sorre,fradile,sorrasta,frade,fradile,fradile,sorrasta,sorre,fradile,fradile,fradile,sorrasta,sorrasta,madre,tiu,padre,tia,madre,tiu,tia,tia,tia,tiu,tia,tia,tia,tiu,tia,tiu,tiu,tia,tiu,padre,tiu,tiu,tia,tia,tia,tiu,tiu,tiu
9,0.0879402826308906,1.1293095059452896,1.041369223314399,fradile,sorrasta,sorrasta,frade,fradile,frade,fradile,sorrasta,sorre,sorrasta,fradile,sorrasta,sorrasta,fradile,sorrasta,sorre,fradile,sorrasta,fradile,frade,fradile,fradile,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,fradile,sorrasta,fradile,fradile,frade,frade,fradile,fradile,fradile,fradile,sorrasta,fradile,fradile,sorrasta,sorrasta,sorrasta,fradile,sorrasta,fradile,fradile,fradile,fradile,fradile,sorrasta,fradile,fradile,frade,sorre,sorre,fradile,fradile,fradile,sorrasta,sorrasta,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,sorrasta,sorre,sorrasta,fradile,fradile,sorrasta,sorrasta,fradile,sorrasta,fradile,sorre,sorrasta,fradile,sorrasta,sorrasta,sorrasta,sorrasta,sorrasta,tia,tiu,tia,tia,tiu,tiu,tiu,tiu,tiu,tiu,tia,tiu,tiu,tia,tia,tia,madre,tia,tiu,padre,padre,tia,tiu,tia,tia,tia,tiu,madre
