simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mFZD,mMBD,mMZD,mFZS,mMBS,mMZS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fMBD,fMZD,fFZS,fMBS,fMZS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mFBS,mFeBS,mFyBS,mFBeS,mFByS,fFBS,fFeBS,fFyBS,fFBeS,fFByS,mFBD,mFeBD,mFyBD,mFBeD,mFByD,fFBD,fFeBD,fFBeD,fFByD,mF,mM,fF,fM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.21380859358332227,1.3687626435435334,1.1549540499602111,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,brat od strica,rodjak,rodjakinja,rodjak,rodjakinja,brat od strica,rodjak,rodjak,brat,rodjak,rodjak,rodjak,rodjak,rodjak,sestra od strica,rodjak,rodjak,sestra od strica,sestra od strica,rodjakinja,brat od strica,sestra,rodjakinja,brat,sestra od strica,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,brat od strica,sestra od strica,rodjakinja,rodjakinja,sestra,rodjakinja,rodjak,brat,sestra od strica,rodjakinja,sestra,brat od strica,rodjakinja,brat od strica,rodjakinja,rodjak,sestra,brat,rodjak,sestra,rodjak,brat,brat,rodjakinja,sestra,rodjak,rodjakinja,sestra od strica,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,sestra od strica,sestra od strica,brat od strica,brat od strica,rodjakinja,rodjak,brat od strica,rodjak,rodjak,rodjakinja,rodjakinja,brat od strica,rodjakinja,rodjakinja,tetka,ujak,majka,ujak,tetka,tetka,tetka,ujak,tetka,tetka,ujak,tetka,tetka,otac,tetka,tetka,ujak,stric,stric,stric,stric,ujak,stric,tetka,stric,majka,tetka,otac
1,0.11713639366018547,1.3923155259583841,1.2751791322981987,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,brat,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,brat od strica,rodjakinja,rodjakinja,rodjakinja,sestra,rodjak,brat,sestra od strica,brat,rodjak,rodjakinja,rodjakinja,brat od strica,rodjak,sestra,rodjakinja,brat od strica,rodjakinja,rodjak,sestra od strica,rodjak,brat od strica,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,sestra od strica,sestra od strica,sestra,rodjakinja,sestra,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjak,sestra od strica,brat od strica,sestra od strica,brat od strica,rodjakinja,rodjak,rodjak,rodjakinja,brat od strica,rodjakinja,sestra od strica,rodjak,rodjak,sestra,brat,sestra,brat od strica,sestra od strica,rodjak,rodjak,rodjak,brat,brat od strica,rodjakinja,rodjak,brat od strica,rodjak,brat,sestra od strica,rodjak,rodjak,tetka,stric,ujak,tetka,tetka,ujak,tetka,tetka,ujak,ujak,tetka,tetka,stric,ujak,majka,stric,tetka,stric,majka,otac,stric,ujak,tetka,stric,tetka,otac,tetka,tetka
2,0.19208549866311309,1.2993628076065153,1.1072773089434023,rodjak,rodjak,brat,rodjakinja,rodjak,sestra od strica,sestra,rodjak,sestra od strica,sestra,rodjak,brat od strica,sestra od strica,rodjakinja,brat od strica,rodjak,rodjak,sestra od strica,rodjakinja,sestra,rodjak,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,brat,rodjak,sestra,sestra od strica,brat od strica,brat,rodjak,rodjakinja,brat od strica,brat od strica,rodjak,rodjakinja,rodjak,brat,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,brat od strica,rodjakinja,rodjak,rodjakinja,rodjakinja,brat od strica,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,sestra,rodjakinja,rodjak,brat,brat od strica,rodjak,rodjak,rodjakinja,rodjak,rodjak,sestra od strica,rodjakinja,rodjak,brat od strica,sestra,sestra od strica,sestra od strica,rodjakinja,rodjak,sestra od strica,brat,rodjakinja,rodjak,rodjakinja,brat od strica,rodjak,tetka,tetka,ujak,tetka,tetka,stric,ujak,tetka,ujak,stric,majka,stric,ujak,ujak,otac,otac,stric,stric,tetka,stric,ujak,majka,tetka,tetka,tetka,tetka,tetka,tetka
3,0.1355234467594446,1.3895197579075247,1.25399631114808,rodjak,brat,brat,sestra,rodjak,rodjak,rodjakinja,rodjak,sestra od strica,rodjak,sestra,rodjak,sestra od strica,rodjakinja,rodjak,rodjakinja,brat od strica,rodjakinja,rodjakinja,sestra od strica,rodjakinja,rodjak,rodjak,sestra od strica,rodjak,sestra od strica,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,sestra,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,brat od strica,sestra od strica,rodjakinja,brat od strica,sestra,rodjakinja,brat,rodjak,brat od strica,brat od strica,rodjak,rodjak,rodjakinja,sestra od strica,sestra,rodjak,rodjakinja,rodjakinja,brat,rodjak,rodjakinja,rodjakinja,sestra,rodjakinja,rodjakinja,rodjak,brat,rodjak,rodjakinja,brat od strica,brat od strica,rodjak,rodjak,rodjakinja,sestra od strica,rodjakinja,brat od strica,rodjakinja,sestra od strica,rodjakinja,rodjakinja,rodjakinja,brat od strica,rodjak,rodjak,rodjak,brat od strica,brat,rodjakinja,rodjakinja,tetka,stric,tetka,ujak,tetka,stric,tetka,ujak,ujak,tetka,tetka,ujak,stric,majka,stric,otac,otac,stric,tetka,stric,tetka,tetka,tetka,ujak,ujak,majka,tetka,tetka
4,0.1559546953593718,1.4369234548109726,1.2809687594516008,rodjak,rodjakinja,brat,sestra od strica,rodjak,rodjak,rodjakinja,rodjakinja,rodjakinja,brat,rodjakinja,brat od strica,sestra od strica,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjak,brat od strica,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,brat od strica,sestra od strica,brat od strica,rodjakinja,rodjak,rodjak,brat od strica,rodjakinja,brat,rodjak,rodjak,rodjakinja,sestra od strica,rodjakinja,rodjakinja,rodjak,rodjakinja,brat od strica,rodjakinja,sestra od strica,rodjak,brat,brat,rodjak,rodjak,brat,sestra,sestra od strica,rodjakinja,sestra od strica,rodjakinja,sestra,sestra od strica,rodjak,rodjak,sestra,rodjakinja,brat od strica,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjakinja,sestra,rodjakinja,brat od strica,rodjak,rodjak,rodjak,brat od strica,rodjak,rodjakinja,sestra,rodjak,rodjakinja,brat od strica,rodjak,rodjakinja,rodjakinja,sestra od strica,rodjakinja,rodjak,sestra,stric,tetka,majka,majka,otac,tetka,tetka,stric,ujak,ujak,tetka,tetka,stric,stric,stric,tetka,ujak,ujak,stric,ujak,ujak,tetka,tetka,tetka,tetka,tetka,otac,tetka
5,0.10503906068461455,1.4137153661989281,1.3086763055143136,rodjakinja,rodjak,sestra od strica,rodjakinja,brat od strica,brat,brat,rodjak,rodjakinja,brat,brat od strica,rodjak,rodjakinja,sestra od strica,rodjakinja,sestra,sestra,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,brat od strica,rodjak,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjak,sestra od strica,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjak,sestra od strica,rodjak,rodjak,rodjakinja,rodjak,sestra od strica,brat,rodjakinja,rodjak,rodjakinja,brat od strica,brat,brat od strica,rodjak,rodjak,sestra,rodjak,rodjakinja,sestra,rodjak,brat od strica,brat od strica,brat od strica,rodjak,rodjak,brat od strica,rodjakinja,rodjakinja,rodjakinja,rodjakinja,sestra od strica,rodjakinja,rodjak,sestra,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,brat,brat od strica,sestra od strica,rodjakinja,rodjakinja,rodjakinja,sestra od strica,rodjakinja,rodjak,sestra,sestra od strica,rodjakinja,rodjak,stric,ujak,stric,tetka,stric,tetka,stric,tetka,ujak,ujak,stric,tetka,ujak,tetka,majka,stric,tetka,tetka,otac,otac,ujak,tetka,tetka,ujak,majka,tetka,tetka,tetka
6,0.22969599307340438,1.4412036720987773,1.211507679025373,sestra od strica,rodjakinja,rodjakinja,rodjak,sestra,rodjak,brat od strica,rodjak,rodjakinja,brat od strica,sestra od strica,rodjakinja,brat,rodjak,brat od strica,sestra od strica,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,brat,rodjakinja,sestra,rodjak,rodjak,rodjakinja,brat od strica,rodjak,rodjak,rodjak,brat od strica,rodjak,rodjakinja,sestra od strica,rodjakinja,rodjakinja,rodjak,rodjakinja,brat od strica,rodjak,rodjak,sestra od strica,rodjak,rodjakinja,sestra od strica,sestra od strica,sestra,rodjak,sestra od strica,rodjak,sestra,rodjak,rodjak,rodjakinja,brat,rodjakinja,rodjak,brat od strica,sestra,rodjak,rodjakinja,rodjak,brat od strica,sestra od strica,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,brat,rodjak,rodjakinja,sestra,rodjakinja,rodjakinja,brat od strica,brat,rodjak,rodjakinja,brat,rodjakinja,rodjakinja,rodjak,brat od strica,rodjakinja,rodjakinja,rodjakinja,rodjakinja,ujak,ujak,stric,tetka,tetka,stric,tetka,stric,tetka,tetka,tetka,ujak,stric,tetka,tetka,ujak,otac,majka,tetka,stric,tetka,tetka,stric,ujak,majka,otac,ujak,tetka
7,0.14332605665234532,1.329329731703375,1.1860036750510297,rodjakinja,brat,sestra od strica,rodjak,rodjak,brat od strica,rodjakinja,rodjak,rodjakinja,sestra od strica,rodjak,rodjakinja,rodjakinja,brat od strica,sestra od strica,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,sestra,brat od strica,rodjakinja,rodjakinja,sestra,rodjak,sestra od strica,rodjak,sestra od strica,rodjak,sestra od strica,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,brat od strica,rodjakinja,rodjakinja,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjak,rodjak,brat,rodjakinja,rodjakinja,rodjak,brat od strica,rodjakinja,brat od strica,rodjak,rodjak,rodjakinja,rodjak,sestra od strica,rodjak,rodjak,rodjakinja,rodjak,rodjak,sestra,rodjak,rodjak,sestra,rodjak,brat od strica,rodjak,brat,sestra od strica,brat od strica,brat od strica,sestra od strica,rodjak,rodjakinja,brat,brat od strica,rodjak,rodjakinja,brat,sestra,rodjakinja,brat,rodjak,sestra,stric,tetka,otac,stric,tetka,stric,tetka,ujak,tetka,stric,ujak,tetka,ujak,ujak,stric,stric,otac,tetka,tetka,tetka,majka,majka,tetka,tetka,ujak,tetka,ujak,tetka
8,0.18385538197017892,1.3689870214362587,1.1851316394660798,sestra od strica,sestra od strica,rodjakinja,rodjak,rodjakinja,rodjakinja,sestra od strica,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjakinja,sestra od strica,sestra,brat od strica,sestra,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,sestra,brat,rodjak,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,rodjakinja,sestra od strica,rodjakinja,brat,brat od strica,brat od strica,rodjak,rodjak,rodjakinja,sestra,rodjakinja,brat od strica,brat od strica,rodjakinja,rodjak,rodjak,rodjak,sestra,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,brat,brat,sestra od strica,brat od strica,rodjakinja,rodjak,rodjak,sestra od strica,brat od strica,brat,rodjak,brat od strica,rodjakinja,rodjakinja,brat od strica,sestra,rodjakinja,rodjak,brat,rodjak,rodjak,sestra od strica,rodjakinja,brat od strica,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,sestra od strica,tetka,ujak,stric,tetka,tetka,ujak,stric,stric,otac,stric,majka,otac,tetka,tetka,stric,tetka,ujak,ujak,ujak,tetka,stric,tetka,tetka,ujak,tetka,tetka,tetka,majka
9,0.10332447533720246,1.3935885053679737,1.2902640300307713,sestra od strica,rodjak,rodjakinja,rodjak,rodjak,sestra od strica,sestra od strica,sestra,brat,rodjakinja,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,brat od strica,rodjak,rodjakinja,rodjak,rodjakinja,brat od strica,brat,rodjak,rodjakinja,rodjak,rodjakinja,sestra,rodjak,rodjakinja,rodjak,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,sestra od strica,brat od strica,rodjak,sestra,rodjakinja,rodjak,rodjakinja,sestra od strica,rodjak,brat,rodjak,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjakinja,sestra,rodjakinja,rodjak,rodjakinja,rodjakinja,sestra,brat,rodjak,sestra od strica,rodjakinja,rodjakinja,rodjakinja,rodjak,brat,rodjak,brat od strica,brat od strica,rodjakinja,brat od strica,rodjakinja,brat,rodjakinja,rodjakinja,rodjak,rodjakinja,rodjak,rodjak,rodjakinja,brat od strica,brat od strica,brat od strica,rodjak,brat od strica,sestra od strica,rodjak,sestra od strica,rodjakinja,sestra,sestra od strica,tetka,majka,tetka,ujak,stric,tetka,ujak,tetka,stric,ujak,tetka,ujak,tetka,tetka,tetka,stric,ujak,stric,tetka,ujak,stric,tetka,majka,stric,tetka,otac,otac,tetka
