simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.07441245837228205,1.6856270700922065,1.6112146117199244,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-yāk,-aitš,-χāk,-yāk,-χāk,-aitš,-χāk,-χāk,-yāk,-yāk,-ntāk,-aitš,-aitš,-am,-yāk,-yāk,-ntāk,-ata,-ntāk,-χāk,-am,-aitš,-ntāk,-χāk,-ntāk,-ata,-aitš,-ntāk
1,0.06154602989840385,1.6522533974890787,1.5907073675906749,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-ntāk,-ntāk,-aitš,-χāk,-am,-aitš,-aitš,-ata,-aitš,-aitš,-yāk,-yāk,-χāk,-yāk,-am,-yāk,-χāk,-χāk,-aitš,-χāk,-χāk,-ntāk,-yāk,-yāk,-ntāk,-ntāk,-ntāk,-ata
2,0.05759148670086067,1.6197061104550559,1.5621146237541952,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,-akaš,āmo o'yakx,-aitš,-yāk,-ntāk,-yāk,-ntāk,-χāk,-aitš,-am,-aitš,-χāk,-ntāk,-ntāk,-yāk,-aitš,-am,-ata,-yāk,-χāk,-ntāk,-χāk,-ntāk,-aitš,-χāk,-yāk,-yāk,-ata,-χāk,-aitš
3,0.06782580439435115,1.6794213256042783,1.611595521209927,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-aitš,-am,-ata,-yāk,-ntāk,-ntāk,-ntāk,-yāk,-am,-χāk,-χāk,-ntāk,-yāk,-yāk,-aitš,-χāk,-χāk,-yāk,-aitš,-ntāk,-yāk,-ntāk,-aitš,-aitš,-aitš,-ata,-χāk,-χāk
4,0.07326191299998008,1.6943162553737061,1.621054342373726,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-yāk,-aitš,-χāk,-yāk,-ata,-ntāk,-χāk,-yāk,-ata,-aitš,-ntāk,-ntāk,-aitš,-χāk,-aitš,-yāk,-χāk,-ntāk,-aitš,-yāk,-ntāk,-ntāk,-am,-aitš,-am,-χāk,-χāk,-yāk
5,0.045663990539458466,1.6470961639615436,1.601432173422085,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-ntāk,-aitš,-yāk,-yāk,-yāk,-χāk,-χāk,-yāk,-ntāk,-ntāk,-am,-aitš,-ntāk,-ata,-aitš,-ata,-χāk,-ntāk,-aitš,-aitš,-am,-χāk,-χāk,-ntāk,-yāk,-aitš,-yāk,-χāk
6,0.08707884957207979,1.618927948597387,1.5318490990253073,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-ntāk,-yāk,-aitš,-ntāk,-χāk,-χāk,-ntāk,-aitš,-χāk,-ata,-χāk,-χāk,-yāk,-yāk,-ata,-aitš,-yāk,-aitš,-yāk,-aitš,-am,-am,-ntāk,-ntāk,-χāk,-aitš,-ntāk,-yāk
7,0.06983517815919682,1.6807475318262994,1.6109123536671026,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-yāk,-ata,-am,-yāk,-yāk,-χāk,-ntāk,-yāk,-ntāk,-aitš,-aitš,-ntāk,-ata,-χāk,-aitš,-χāk,-χāk,-yāk,-ntāk,-aitš,-aitš,-yāk,-χāk,-ntāk,-am,-aitš,-χāk,-ntāk
8,0.10491194650080793,1.6548956452689343,1.5499836987681264,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,-am,-χāk,-aitš,-yāk,-yāk,-χāk,-yāk,-aitš,-ata,-ata,-yāk,-aitš,-ntāk,-yāk,-ntāk,-χāk,-aitš,-ntāk,-ntāk,-ntāk,-aitš,-χāk,-aitš,-χāk,-yāk,-χāk,-ntāk,-am
9,0.04659782829075909,1.6366989444081341,1.590101116117375,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-atkš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-akaš,āmo o'yakx,āmo o'yakx,āmo o'yakx,āmo o'yakx,-aitš,-χāk,-yāk,-yāk,-χāk,-yāk,-ntāk,-χāk,-am,-am,-aitš,-aitš,-ata,-ntāk,-yāk,-aitš,-yāk,-aitš,-χāk,-yāk,-ntāk,-ntāk,-ntāk,-χāk,-aitš,-ntāk,-χāk,-ata
