simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fMBS,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fMeBS,fMyBS,fMeBD,fMyBD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.36688698434042233,1.7753427105987127,1.4084557262582904,"man, nate viroc, prata",alwon,alwon,alwon,"avenhai, prata",avenhai,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,"man, prata",alwon,alwon,alwon,alwon,alwon,alwon,alwon,avenhai,alwon,alwon,veven,alwon,alwon,alwon,alwon,alwon,alwon,alwon,veven,"ndetwon, retun, ndinmepelec","itviroc, nate viroc",itviroc,"mama, namou, ndinme","etmen, itmen, nate, papa","ndetwon, retun, ndinmepelec",metan,metan,metan,"namou viroc, ndetwon, retun","itviroc, nate viroc","ndetwon, retun, ndinmepelec, namou viroc","mama, namou, ndinme",itviroc,"namou viroc, ndetwon, retun","namou viroc, ndetwon, retun",metan,"ndetwon, retun, ndinmepelec, namou viroc","namou viroc, ndetwon, retun","etmen, itmen, nate, papa"
1,0.4153368080005042,1.6755706094650713,1.260233801464567,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,avenhai,alwon,"man, prata","man, nate viroc, prata","avenhai, prata",alwon,alwon,alwon,alwon,alwon,alwon,veven,alwon,alwon,alwon,veven,alwon,alwon,alwon,avenhai,itviroc,"ndetwon, retun, ndinmepelec","ndetwon, retun, ndinmepelec","namou viroc, ndetwon, retun","itviroc, nate viroc","itviroc, nate viroc","namou viroc, ndetwon, retun",metan,itviroc,"namou viroc, ndetwon, retun","namou viroc, ndetwon, retun",metan,"etmen, itmen, nate, papa",metan,metan,"ndetwon, retun, ndinmepelec, namou viroc","etmen, itmen, nate, papa","ndetwon, retun, ndinmepelec, namou viroc","mama, namou, ndinme","mama, namou, ndinme"
2,0.3235811402151467,1.6755706094650713,1.3519894692499246,alwon,veven,alwon,alwon,veven,alwon,"man, prata",alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,avenhai,alwon,alwon,alwon,alwon,alwon,"man, nate viroc, prata",alwon,alwon,"avenhai, prata",alwon,alwon,alwon,avenhai,alwon,alwon,alwon,"ndetwon, retun, ndinmepelec","namou viroc, ndetwon, retun",itviroc,"namou viroc, ndetwon, retun","etmen, itmen, nate, papa",metan,"namou viroc, ndetwon, retun",itviroc,"ndetwon, retun, ndinmepelec","itviroc, nate viroc","etmen, itmen, nate, papa","mama, namou, ndinme","itviroc, nate viroc",metan,"ndetwon, retun, ndinmepelec, namou viroc",metan,metan,"ndetwon, retun, ndinmepelec, namou viroc","namou viroc, ndetwon, retun","mama, namou, ndinme"
3,0.4341863763150049,1.8664657038572257,1.4322793275422208,avenhai,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,avenhai,"avenhai, prata",alwon,alwon,alwon,alwon,veven,alwon,alwon,alwon,alwon,"man, prata",alwon,alwon,alwon,"man, nate viroc, prata",alwon,alwon,alwon,alwon,alwon,alwon,veven,alwon,alwon,alwon,alwon,alwon,"namou viroc, ndetwon, retun","mama, namou, ndinme",metan,"mama, namou, ndinme","etmen, itmen, nate, papa","namou viroc, ndetwon, retun","itviroc, nate viroc",itviroc,"ndetwon, retun, ndinmepelec","ndetwon, retun, ndinmepelec, namou viroc",metan,"ndetwon, retun, ndinmepelec",metan,"etmen, itmen, nate, papa","namou viroc, ndetwon, retun","ndetwon, retun, ndinmepelec, namou viroc",itviroc,metan,"itviroc, nate viroc","namou viroc, ndetwon, retun"
4,0.14472011474196278,1.5574809976693198,1.412760882927357,alwon,alwon,alwon,alwon,alwon,avenhai,alwon,alwon,alwon,alwon,veven,alwon,alwon,alwon,alwon,alwon,alwon,alwon,veven,alwon,alwon,alwon,alwon,"avenhai, prata",alwon,avenhai,alwon,alwon,alwon,"man, nate viroc, prata",alwon,alwon,alwon,alwon,alwon,alwon,"man, prata",metan,itviroc,"namou viroc, ndetwon, retun","ndetwon, retun, ndinmepelec, namou viroc","ndetwon, retun, ndinmepelec","etmen, itmen, nate, papa",itviroc,"namou viroc, ndetwon, retun","mama, namou, ndinme",metan,"mama, namou, ndinme","namou viroc, ndetwon, retun","namou viroc, ndetwon, retun",metan,"etmen, itmen, nate, papa","ndetwon, retun, ndinmepelec","ndetwon, retun, ndinmepelec, namou viroc",metan,"itviroc, nate viroc","itviroc, nate viroc"
5,0.17681565991810055,1.6755706094650715,1.498754949546971,avenhai,alwon,alwon,alwon,alwon,"avenhai, prata",alwon,alwon,alwon,alwon,alwon,alwon,"man, nate viroc, prata",alwon,alwon,alwon,alwon,veven,alwon,alwon,alwon,alwon,"man, prata",alwon,alwon,alwon,avenhai,alwon,alwon,veven,alwon,alwon,alwon,alwon,alwon,alwon,alwon,"ndetwon, retun, ndinmepelec",metan,itviroc,"namou viroc, ndetwon, retun","ndetwon, retun, ndinmepelec","namou viroc, ndetwon, retun",itviroc,"mama, namou, ndinme","namou viroc, ndetwon, retun","namou viroc, ndetwon, retun","ndetwon, retun, ndinmepelec, namou viroc","ndetwon, retun, ndinmepelec, namou viroc","etmen, itmen, nate, papa","itviroc, nate viroc",metan,"etmen, itmen, nate, papa",metan,"itviroc, nate viroc","mama, namou, ndinme",metan
6,0.1544288526385238,1.706867145572548,1.5524382929340241,alwon,alwon,alwon,alwon,alwon,alwon,avenhai,alwon,veven,alwon,veven,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,avenhai,"avenhai, prata",alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,"man, nate viroc, prata",alwon,alwon,"man, prata",alwon,alwon,"namou viroc, ndetwon, retun",metan,"ndetwon, retun, ndinmepelec","etmen, itmen, nate, papa","namou viroc, ndetwon, retun","namou viroc, ndetwon, retun",metan,"ndetwon, retun, ndinmepelec","namou viroc, ndetwon, retun","mama, namou, ndinme",metan,"itviroc, nate viroc","etmen, itmen, nate, papa","ndetwon, retun, ndinmepelec, namou viroc",itviroc,"mama, namou, ndinme",metan,"ndetwon, retun, ndinmepelec, namou viroc",itviroc,"itviroc, nate viroc"
7,0.25145595153421074,2.015851851760454,1.764395900226243,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,"man, nate viroc, prata",veven,alwon,alwon,alwon,alwon,alwon,veven,alwon,alwon,alwon,alwon,"avenhai, prata",alwon,alwon,alwon,"man, prata",alwon,alwon,alwon,alwon,avenhai,alwon,alwon,avenhai,alwon,alwon,"namou viroc, ndetwon, retun","mama, namou, ndinme","ndetwon, retun, ndinmepelec","itviroc, nate viroc","namou viroc, ndetwon, retun",metan,"itviroc, nate viroc",itviroc,"ndetwon, retun, ndinmepelec, namou viroc",itviroc,"etmen, itmen, nate, papa","ndetwon, retun, ndinmepelec","namou viroc, ndetwon, retun",metan,"ndetwon, retun, ndinmepelec, namou viroc",metan,"etmen, itmen, nate, papa",metan,"mama, namou, ndinme","namou viroc, ndetwon, retun"
8,0.10730252159413967,1.6949916610133098,1.5876891394191701,alwon,alwon,alwon,alwon,avenhai,alwon,alwon,alwon,alwon,"avenhai, prata",alwon,"man, nate viroc, prata",alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,"man, prata",alwon,veven,alwon,veven,alwon,alwon,alwon,avenhai,alwon,alwon,alwon,alwon,alwon,alwon,alwon,"ndetwon, retun, ndinmepelec","ndetwon, retun, ndinmepelec","namou viroc, ndetwon, retun","mama, namou, ndinme","itviroc, nate viroc",metan,"ndetwon, retun, ndinmepelec, namou viroc","namou viroc, ndetwon, retun","namou viroc, ndetwon, retun",metan,"etmen, itmen, nate, papa","mama, namou, ndinme",itviroc,metan,itviroc,"ndetwon, retun, ndinmepelec, namou viroc",metan,"itviroc, nate viroc","namou viroc, ndetwon, retun","etmen, itmen, nate, papa"
9,0.40455291438531704,1.736500607502236,1.331947693116919,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,"man, nate viroc, prata",alwon,alwon,veven,avenhai,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,alwon,"avenhai, prata",alwon,"man, prata",veven,avenhai,alwon,alwon,alwon,alwon,alwon,metan,"ndetwon, retun, ndinmepelec",metan,"ndetwon, retun, ndinmepelec","ndetwon, retun, ndinmepelec, namou viroc",metan,"namou viroc, ndetwon, retun","mama, namou, ndinme","itviroc, nate viroc","etmen, itmen, nate, papa","namou viroc, ndetwon, retun","namou viroc, ndetwon, retun","ndetwon, retun, ndinmepelec, namou viroc",metan,itviroc,"mama, namou, ndinme","etmen, itmen, nate, papa","namou viroc, ndetwon, retun","itviroc, nate viroc",itviroc
