simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,meZ,myB,myZ,fB,fZ,feB,feZ,fyB,fyZ,mFBS,mFZS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMZeS,mMZyS,fFBS,fFZS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMZyS,mFZD,mFBD,mMBD,mMZD,mMBS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fMBS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFZ,mFyB,mMyZ,mFeZ,mFyZ,fF,fM,fFZ,fFyB,fMyZ,fFeZ,fFyZ,mMZ,mMeZ,fMZ,fMeZ,mFB,mFeB,fFB,fFeB,mMB,mMeB,mMyB,fMB,fMeB,fMyB
0,0.12487583038515915,1.4682285417321725,1.3433527113470134,luganda,luganda,luganda,muganda,luganda,luganda,luganda,luganda,luganda,mwanhina omukulu,luganda,luganda,luganda,luganda,luganda,muganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina omukulu,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,muganda omukulu,luganda,luganda,luganda,luganda,muganda,luganda,songa,songa,kogya,mukaire,lata omuto,songa,mukaire omuto,lata omuto,songa,songa,kogya,songa,songa,kogya,kogya,lata,songa,songa,songa,kogya,kogya,kogya,mukaire,kogya,mukaire omuto,lata,kogya,kogya
1,0.1619030457929893,1.4528679478996698,1.2909649021066805,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,mwanhina,muganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,luganda,luganda,mwanhina omukulu,luganda,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda omukulu,mwanhina omukulu,luganda,luganda,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,songa,kogya,lata omuto,kogya,lata,kogya,mukaire omuto,kogya,songa,kogya,mukaire,mukaire,songa,kogya,lata omuto,kogya,songa,songa,lata,kogya,kogya,songa,songa,songa,kogya,songa,mukaire omuto,songa
2,0.10156304722741916,1.4390799851195497,1.3375169378921306,luganda,luganda,luganda,luganda,luganda,muganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,luganda,luganda,mwanhina,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina omukulu,luganda,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mukaire,songa,songa,songa,songa,lata,songa,kogya,songa,mukaire omuto,kogya,songa,songa,kogya,kogya,lata,kogya,songa,kogya,mukaire omuto,kogya,lata omuto,songa,kogya,kogya,kogya,lata omuto,mukaire
3,0.10588146719146474,1.4430083517157328,1.337126884524268,mwanhina omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina omukulu,luganda,muganda,luganda,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,muganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,lata,kogya,mukaire omuto,songa,songa,songa,lata,kogya,kogya,mukaire,lata omuto,songa,kogya,songa,kogya,kogya,songa,songa,kogya,mukaire,kogya,mukaire omuto,songa,songa,lata omuto,kogya,songa,kogya
4,0.12350073720516996,1.485047714345424,1.361546977140254,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,luganda,luganda,muganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,mwanhina,luganda,luganda,luganda,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda omukulu,luganda,mwanhina omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,luganda,luganda,songa,lata omuto,songa,kogya,songa,mukaire omuto,kogya,kogya,kogya,mukaire,songa,lata,songa,kogya,kogya,mukaire,mukaire omuto,kogya,songa,lata,kogya,songa,songa,lata omuto,kogya,songa,kogya,songa
5,0.11398611213182575,1.4901083049674346,1.3761221928356089,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,muganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,luganda,luganda,mwanhina omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,muganda omukulu,luganda,luganda,luganda,muganda omukulu,luganda,luganda,muganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,mwanhina omukulu,luganda,luganda,mwanhina,songa,songa,songa,kogya,mukaire omuto,songa,lata,kogya,songa,kogya,kogya,kogya,songa,lata omuto,mukaire,songa,kogya,songa,songa,kogya,kogya,kogya,mukaire,mukaire omuto,lata omuto,lata,songa,kogya
6,0.09612873247950526,1.4803904988493137,1.3842617663698085,luganda,luganda,luganda,luganda,luganda,muganda,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina omukulu,luganda,luganda,luganda,luganda,luganda,muganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,mwanhina,muganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mukaire,kogya,mukaire omuto,lata,songa,lata omuto,songa,kogya,songa,mukaire,lata omuto,songa,songa,songa,kogya,songa,songa,kogya,kogya,kogya,lata,songa,kogya,mukaire omuto,songa,kogya,kogya,kogya
7,0.0935321098390498,1.4009874606385373,1.3074553507994875,mwanhina,luganda,mwanhina,luganda,luganda,muganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,mwanhina,muganda,luganda,luganda,luganda,luganda,luganda,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina omukulu,luganda,luganda,mukaire omuto,songa,kogya,lata omuto,songa,kogya,lata omuto,songa,kogya,lata,mukaire,kogya,kogya,kogya,songa,songa,kogya,mukaire,songa,songa,songa,kogya,kogya,lata,mukaire omuto,songa,kogya,songa
8,0.1284887309161813,1.4925071856332242,1.3640184547170429,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,luganda,luganda,luganda,muganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,luganda,mwanhina,luganda,luganda,luganda,luganda,muganda,luganda,mwanhina omukulu,luganda,luganda,mwanhina omukulu,luganda,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,muganda omukulu,luganda,mwanhina,luganda,luganda,kogya,lata,mukaire omuto,songa,songa,kogya,kogya,songa,songa,songa,mukaire omuto,songa,lata omuto,kogya,kogya,lata omuto,songa,songa,mukaire,lata,songa,kogya,kogya,kogya,kogya,mukaire,kogya,songa
9,0.09255585847902159,1.4892033234383408,1.3966474649593192,luganda,luganda,luganda,muganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda omukulu,mwanhina,mwanhina omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,luganda,muganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,luganda,luganda,luganda,luganda,mwanhina omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,kogya,songa,lata,mukaire,mukaire omuto,songa,kogya,songa,kogya,kogya,songa,lata omuto,kogya,kogya,kogya,mukaire,kogya,songa,mukaire omuto,kogya,lata,kogya,songa,songa,songa,songa,lata omuto,songa
