simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.21207426669985324,0.6829081047004717,0.47083383800061845,indamowa,injemeito,indamowa,injemeito,indagona,indamehito,injemeito,injemeito,indigbegena,indagto,indamehito,indagona,indigbegena,indamehito,indagto,indigbegena,indagto,indigbegena,injemeito,injemeito,indamehito,indamehito,indamehito,indigbegena,indamowa,injemeito,indamowa,indamowa,injemeito,indamowa,indagto,indigbegena,indagona,indagto,indigbegena,indigbegena,indagona,injemeito,indim,indim,indunyo,indunyo,indim,indunyo,indim,indina,indim,indim,indim,indina,indim,indina,indina,indim,indina,indina,indunyo,indim
1,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,injemeito,indamehito,indamowa,indigbegena,indigbegena,indagto,injemeito,indigbegena,indagona,indamowa,indamowa,indamehito,injemeito,indamehito,injemeito,indigbegena,indagona,indagto,indigbegena,indigbegena,indigbegena,indamehito,indagto,indamehito,indamehito,injemeito,indamowa,indagona,injemeito,injemeito,indagto,injemeito,indamowa,indamowa,injemeito,indagto,indigbegena,indagona,indim,indunyo,indunyo,indim,indina,indina,indim,indina,indim,indim,indim,indim,indunyo,indim,indina,indina,indim,indim,indunyo,indina
2,0.07889316864309681,0.5982695885852573,0.5193764199421604,indamehito,indamehito,indagona,indigbegena,indagto,injemeito,indigbegena,indagto,injemeito,indamehito,indigbegena,indigbegena,indagto,injemeito,injemeito,indamowa,indagona,indamehito,indamehito,indigbegena,injemeito,indamowa,indigbegena,indagto,indamehito,indagona,injemeito,indigbegena,indamowa,injemeito,indamowa,indamowa,injemeito,indamowa,indigbegena,injemeito,indagto,indagona,indim,indim,indina,indim,indunyo,indina,indunyo,indim,indim,indunyo,indina,indina,indim,indim,indim,indina,indim,indim,indina,indunyo
3,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,injemeito,indagto,indagona,indigbegena,injemeito,indagona,indigbegena,indamowa,indigbegena,injemeito,indagona,indamehito,indigbegena,indamowa,indamehito,indamehito,injemeito,indamehito,indagto,indamehito,indigbegena,injemeito,injemeito,indagto,indagona,injemeito,indigbegena,indigbegena,injemeito,indamowa,indamowa,indamehito,indigbegena,indamowa,indagto,injemeito,indagto,indamowa,indina,indim,indina,indim,indunyo,indim,indim,indim,indim,indina,indunyo,indim,indina,indim,indim,indina,indunyo,indunyo,indim,indina
4,0.1373245318763464,0.9799711820833054,0.842646650206959,indamowa,indamowa,indamehito,indamehito,indamehito,indagto,indamowa,indagto,indagto,indagona,injemeito,indagona,indagona,injemeito,indamehito,indamowa,indagto,injemeito,indagto,indigbegena,indamowa,indigbegena,injemeito,injemeito,injemeito,indigbegena,indigbegena,indagona,indamehito,injemeito,indamowa,indigbegena,injemeito,injemeito,indigbegena,indigbegena,indamehito,indigbegena,indim,indunyo,indina,indina,indina,indim,indim,indunyo,indina,indim,indim,indim,indim,indina,indina,indunyo,indim,indim,indim,indunyo
5,0.14341200076168037,1.0346012329101812,0.8911892321485009,indagona,indigbegena,indagto,indagto,injemeito,indigbegena,injemeito,injemeito,indamowa,indamehito,injemeito,injemeito,indigbegena,indagto,indamehito,indamowa,indamehito,indigbegena,indigbegena,injemeito,indigbegena,indagona,injemeito,indamowa,indigbegena,injemeito,indagona,indigbegena,indagto,indagona,indamehito,indamowa,indamowa,indamehito,injemeito,indagto,indamowa,indamehito,indim,indunyo,indina,indunyo,indina,indina,indim,indim,indina,indim,indina,indim,indim,indim,indim,indina,indunyo,indim,indunyo,indim
6,0.242433026555958,1.034601232910181,0.792168206354223,indamowa,indamehito,indigbegena,injemeito,indigbegena,indamehito,indagto,indamowa,injemeito,indamehito,indamowa,indagona,injemeito,injemeito,indamehito,injemeito,indagto,indigbegena,indamehito,indagto,indigbegena,indagto,injemeito,indagona,indamowa,indigbegena,indagto,indamowa,indamowa,indagona,injemeito,indamehito,indigbegena,indagona,injemeito,indigbegena,injemeito,indigbegena,indim,indina,indim,indunyo,indina,indim,indina,indim,indim,indim,indina,indina,indunyo,indim,indunyo,indina,indim,indunyo,indim,indim
7,0.005147809834208705,0.5195798391305154,0.5144320292963067,indigbegena,indigbegena,injemeito,indamowa,injemeito,indamowa,injemeito,indamehito,indamehito,indigbegena,injemeito,indamowa,indagto,indagto,indagona,injemeito,indagto,injemeito,indagona,indamehito,indagto,indamehito,indagto,injemeito,indamowa,indigbegena,indagona,indamowa,indamehito,injemeito,indamowa,indigbegena,indigbegena,injemeito,indigbegena,indigbegena,indamehito,indagona,indina,indim,indim,indim,indunyo,indunyo,indim,indina,indunyo,indim,indina,indim,indim,indina,indim,indina,indunyo,indim,indina,indim
8,0.06679396821673317,0.5195798391305154,0.45278587091378225,indamehito,indagto,indigbegena,indigbegena,indagona,indigbegena,indamehito,indagona,indagona,indigbegena,indamowa,indamehito,indamehito,injemeito,indamehito,indigbegena,injemeito,injemeito,indagto,indagto,indagto,indigbegena,indamehito,indagona,injemeito,indamowa,indamowa,indamowa,indamowa,injemeito,injemeito,indagto,indamowa,indigbegena,injemeito,indigbegena,injemeito,injemeito,indim,indina,indim,indim,indunyo,indim,indunyo,indim,indim,indunyo,indim,indim,indina,indim,indina,indina,indim,indina,indunyo,indina
9,0.22251676174768176,0.5195798391305154,0.29706307738283366,indagto,indigbegena,indamehito,indagona,indagona,indamowa,indigbegena,indigbegena,injemeito,injemeito,indagto,indamowa,injemeito,indamehito,indamowa,injemeito,injemeito,indigbegena,indamehito,indamehito,indagto,indigbegena,indamowa,indigbegena,indigbegena,indagto,indamehito,injemeito,indamehito,indamowa,indagona,injemeito,indigbegena,injemeito,indagto,injemeito,indamowa,indagona,indina,indim,indina,indina,indim,indina,indunyo,indina,indim,indim,indim,indim,indim,indunyo,indunyo,indim,indina,indim,indim,indunyo
