simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,mB,mZ,fB,fZ,meZ,myZ,feZ,fyZ,mF,mM,mMB,mMeB,mMyB,fF,fM,fMB,fMeB,fMyB,mFZ,mFeZ,mFyZ,fFZ,fFeZ,fFyZ,mFB,mMZ,mFeB,mFyB,mMeZ,mMyZ,fFB,fMZ,fFeB,fFyB,fMeZ,fMyZ
0,0.3695903875970511,1.366158847569202,0.9965684599721508,iluumbu,nzana,nkulu,zpua,kulu,nkulu,ndugu,zpua,nzana,ndugu,kulu,iluumbu,sèèngi,þaaþå,mayu,sèèngi,maarrub,maayu,mayu,sèèngi,mayu,sèèngi,baba,mayu,þaaþå,maarrub,maarrub,sèèngi,baba,baba,baba,maarrub,mayu,maarrub,maarrub,baba,baba,maayu,sèèngi,mayu
1,0.18780864061729485,1.0888999753452238,0.9010913347279289,iluumbu,zpua,kulu,nzana,nzana,ndugu,zpua,ndugu,nkulu,kulu,nkulu,iluumbu,maayu,baba,mayu,baba,mayu,maarrub,maarrub,sèèngi,baba,sèèngi,þaaþå,maayu,mayu,maarrub,baba,mayu,maarrub,baba,sèèngi,sèèngi,maarrub,baba,þaaþå,sèèngi,sèèngi,mayu,mayu,maarrub
2,0.1717139902044118,1.0296530140645737,0.8579390238601619,nkulu,nkulu,nzana,zpua,nzana,iluumbu,zpua,kulu,kulu,ndugu,iluumbu,ndugu,mayu,maarrub,maarrub,sèèngi,sèèngi,baba,mayu,baba,sèèngi,mayu,þaaþå,baba,maayu,maayu,mayu,baba,sèèngi,þaaþå,maarrub,maarrub,maarrub,sèèngi,sèèngi,maarrub,baba,baba,mayu,mayu
3,0.369590387597051,1.366158847569202,0.9965684599721509,nzana,ndugu,zpua,iluumbu,kulu,zpua,kulu,nkulu,iluumbu,ndugu,nzana,nkulu,maayu,mayu,maarrub,mayu,mayu,baba,sèèngi,maarrub,þaaþå,mayu,baba,maarrub,maarrub,sèèngi,sèèngi,baba,þaaþå,baba,sèèngi,sèèngi,baba,maarrub,sèèngi,maarrub,mayu,mayu,maayu,baba
4,0.369590387597051,1.366158847569202,0.9965684599721509,kulu,ndugu,zpua,kulu,nzana,nkulu,zpua,nzana,iluumbu,iluumbu,ndugu,nkulu,baba,þaaþå,baba,maayu,mayu,maarrub,maayu,sèèngi,sèèngi,sèèngi,sèèngi,maarrub,mayu,baba,maarrub,mayu,þaaþå,mayu,baba,mayu,baba,maarrub,maarrub,sèèngi,mayu,sèèngi,baba,maarrub
5,0.1717139902044118,1.0296530140645737,0.8579390238601619,nkulu,ndugu,zpua,nkulu,iluumbu,nzana,zpua,ndugu,kulu,iluumbu,kulu,nzana,mayu,baba,sèèngi,maayu,maarrub,sèèngi,mayu,mayu,mayu,maarrub,maarrub,sèèngi,baba,maarrub,baba,þaaþå,sèèngi,mayu,mayu,sèèngi,baba,baba,baba,sèèngi,maayu,maarrub,þaaþå,maarrub
6,0.6468492598210291,1.0888999753452238,0.44205071552419456,kulu,iluumbu,nzana,ndugu,kulu,nzana,nkulu,zpua,zpua,iluumbu,nkulu,ndugu,maarrub,sèèngi,baba,sèèngi,þaaþå,mayu,mayu,maarrub,sèèngi,baba,baba,mayu,sèèngi,maayu,maayu,maarrub,baba,þaaþå,sèèngi,mayu,sèèngi,mayu,baba,maarrub,mayu,maarrub,baba,maarrub
7,0.369590387597051,1.366158847569202,0.9965684599721509,kulu,nzana,iluumbu,zpua,nzana,ndugu,zpua,kulu,iluumbu,nkulu,ndugu,nkulu,þaaþå,mayu,baba,sèèngi,mayu,maarrub,sèèngi,baba,sèèngi,baba,maarrub,baba,þaaþå,sèèngi,maayu,maarrub,baba,mayu,baba,mayu,sèèngi,maarrub,sèèngi,maarrub,maayu,mayu,mayu,maarrub
8,0.369590387597051,1.366158847569202,0.9965684599721509,nkulu,kulu,iluumbu,zpua,nkulu,iluumbu,ndugu,nzana,nzana,zpua,kulu,ndugu,baba,maarrub,mayu,mayu,baba,sèèngi,maayu,maarrub,baba,mayu,maarrub,mayu,þaaþå,maarrub,sèèngi,sèèngi,mayu,sèèngi,baba,mayu,maarrub,sèèngi,sèèngi,maarrub,baba,þaaþå,maayu,baba
9,0.39575279478527847,0.9502705392332347,0.5545177444479562,ndugu,nzana,zpua,nzana,iluumbu,ndugu,zpua,kulu,nkulu,iluumbu,kulu,nkulu,mayu,mayu,þaaþå,mayu,maayu,baba,maarrub,mayu,maarrub,baba,baba,sèèngi,sèèngi,baba,sèèngi,maarrub,baba,maarrub,maayu,sèèngi,þaaþå,baba,sèèngi,maarrub,maarrub,mayu,sèèngi,mayu
