simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,0.31825708414740617,1.0986122886681096,0.7803552045207034,foek,sanōhī fīna,kàk,sanōhī,sanōhī fīna,kàk,foek,sanōhī,bàba kaka,jaja,bàba tīna,bàba tīna,jaja,màma tība,màma kaka,bàba kaka,màma kaka,bàba,màma tība
1,0.3182570841474063,1.0986122886681096,0.7803552045207033,sanōhī,sanōhī fīna,foek,foek,kàk,sanōhī fīna,sanōhī,kàk,bàba,bàba kaka,bàba tīna,màma tība,màma kaka,bàba tīna,màma kaka,jaja,jaja,bàba kaka,màma tība
2,0.31825708414740617,1.0986122886681096,0.7803552045207034,foek,foek,sanōhī,kàk,kàk,sanōhī fīna,sanōhī,sanōhī fīna,màma tība,màma kaka,bàba,bàba kaka,bàba kaka,bàba tīna,màma kaka,jaja,jaja,bàba tīna,màma tība
3,0.3182570841474064,0.6365141682948128,0.3182570841474064,sanōhī fīna,sanōhī fīna,sanōhī,sanōhī,foek,kàk,kàk,foek,bàba kaka,jaja,jaja,màma kaka,bàba kaka,màma tība,bàba tīna,màma kaka,bàba,màma tība,bàba tīna
4,0.3182570841474063,1.0986122886681096,0.7803552045207033,sanōhī fīna,sanōhī,kàk,foek,sanōhī,kàk,foek,sanōhī fīna,màma tība,bàba kaka,jaja,màma kaka,màma kaka,bàba kaka,màma tība,bàba,jaja,bàba tīna,bàba tīna
5,0.3182570841474063,1.0986122886681096,0.7803552045207033,sanōhī fīna,sanōhī,kàk,sanōhī,foek,sanōhī fīna,foek,kàk,màma tība,jaja,bàba tīna,bàba kaka,màma tība,jaja,màma kaka,bàba kaka,màma kaka,bàba,bàba tīna
6,0.087208023960758,0.6365141682948128,0.5493061443340548,sanōhī,sanōhī,kàk,sanōhī fīna,kàk,sanōhī fīna,foek,foek,màma kaka,màma kaka,bàba kaka,bàba kaka,màma tība,jaja,bàba,jaja,màma tība,bàba tīna,bàba tīna
7,0.087208023960758,0.6365141682948128,0.5493061443340548,kàk,sanōhī,foek,sanōhī fīna,sanōhī,foek,sanōhī fīna,kàk,màma tība,bàba kaka,màma tība,bàba kaka,jaja,màma kaka,bàba,màma kaka,bàba tīna,jaja,bàba tīna
8,0.3182570841474063,1.0986122886681096,0.7803552045207033,kàk,sanōhī,sanōhī fīna,foek,kàk,sanōhī fīna,sanōhī,foek,màma tība,bàba tīna,bàba kaka,jaja,bàba tīna,bàba kaka,màma kaka,màma tība,màma kaka,jaja,bàba
9,0.087208023960758,0.6365141682948128,0.5493061443340548,foek,sanōhī,sanōhī fīna,sanōhī,kàk,kàk,foek,sanōhī fīna,bàba tīna,bàba tīna,jaja,màma tība,jaja,màma tība,bàba kaka,bàba kaka,màma kaka,bàba,màma kaka
