simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.19619307042802858,1.4169444981667936,1.220751427738765,"lanceuk, akang",adi misan,"lanceuk, teteh",teteh misan,adi,teteh misan,adi misan,teteh misan,adi misan,adi misan,akang misan,adi misan,adi misan,"lanceuk, teteh",akang misan,adi,adi misan,adi,adi misan,adi misan,adi misan,akang misan,akang misan,adi misan,adi misan,adi misan,teteh misan,akang misan,adi misan,akang misan,akang misan,teteh misan,adi,teteh misan,teteh misan,akang misan,adi misan,teteh misan,ua,emang,ua,ua,ua,"embi, bibi",emang,emak,ua,emak,emang,ua,ua,abah,emang,abah,"embi, bibi","embi, bibi",ua,"embi, bibi"
1,0.30355634246459884,1.4288303734552859,1.125274030990687,teteh misan,akang misan,adi misan,"lanceuk, teteh",adi misan,adi misan,adi misan,teteh misan,adi misan,akang misan,akang misan,adi misan,adi,adi,adi misan,teteh misan,akang misan,adi misan,teteh misan,"lanceuk, akang","lanceuk, teteh",akang misan,akang misan,adi,teteh misan,adi misan,akang misan,teteh misan,adi misan,adi misan,teteh misan,adi misan,adi misan,adi misan,akang misan,adi misan,teteh misan,adi,abah,"embi, bibi",emang,ua,"embi, bibi",emak,ua,ua,ua,"embi, bibi",emang,ua,emang,abah,ua,"embi, bibi",emang,ua,ua,emak
2,0.2983500972773794,1.4813328615293826,1.1829827642520032,adi misan,adi misan,adi misan,adi misan,adi misan,adi misan,teteh misan,teteh misan,akang misan,adi misan,teteh misan,adi misan,teteh misan,"lanceuk, teteh",akang misan,akang misan,"lanceuk, akang","lanceuk, teteh",akang misan,adi misan,teteh misan,akang misan,akang misan,adi,adi misan,adi misan,teteh misan,teteh misan,adi misan,akang misan,adi misan,adi,akang misan,adi,teteh misan,adi,adi misan,adi misan,"embi, bibi",emang,ua,emang,ua,"embi, bibi",ua,emang,abah,ua,"embi, bibi",ua,"embi, bibi",ua,emang,ua,ua,emak,abah,emak
3,0.22929362287073007,1.491132380578441,1.261838757707711,adi misan,akang misan,teteh misan,akang misan,adi misan,teteh misan,adi misan,adi,adi misan,akang misan,akang misan,akang misan,teteh misan,akang misan,teteh misan,teteh misan,adi misan,adi misan,adi,adi misan,"lanceuk, akang",teteh misan,adi misan,adi misan,adi misan,adi,adi,adi misan,adi misan,teteh misan,adi misan,adi misan,adi misan,"lanceuk, teteh",akang misan,teteh misan,"lanceuk, teteh",akang misan,ua,"embi, bibi",emang,"embi, bibi",abah,emak,ua,ua,"embi, bibi",ua,"embi, bibi",ua,emang,ua,emang,ua,abah,ua,emang,emak
4,0.21737840145022091,1.4813328615293826,1.2639544600791617,adi,adi misan,adi misan,"lanceuk, akang",akang misan,akang misan,akang misan,adi misan,teteh misan,akang misan,"lanceuk, teteh",teteh misan,akang misan,akang misan,teteh misan,adi misan,adi misan,teteh misan,adi misan,teteh misan,akang misan,adi misan,"lanceuk, teteh",adi misan,adi,adi misan,adi,adi,adi misan,akang misan,adi misan,teteh misan,adi misan,adi misan,teteh misan,adi misan,adi misan,teteh misan,abah,emak,ua,emang,emak,abah,"embi, bibi","embi, bibi",ua,"embi, bibi",ua,ua,ua,ua,ua,emang,ua,"embi, bibi",emang,emang
5,0.30030255969373987,1.4552911983990653,1.1549886387053254,adi,adi misan,adi misan,adi misan,teteh misan,adi misan,teteh misan,"lanceuk, teteh",adi misan,adi misan,adi misan,adi misan,akang misan,akang misan,adi misan,teteh misan,akang misan,akang misan,akang misan,akang misan,adi misan,teteh misan,teteh misan,teteh misan,teteh misan,akang misan,adi misan,adi,"lanceuk, akang","lanceuk, teteh",adi,adi,teteh misan,adi misan,adi misan,adi misan,akang misan,adi misan,emak,emang,"embi, bibi",ua,"embi, bibi","embi, bibi",abah,ua,emang,"embi, bibi",ua,ua,emang,emang,emak,ua,ua,ua,abah,ua
6,0.2438491281956443,1.4288303734552859,1.1849812452596415,teteh misan,adi misan,adi,adi misan,teteh misan,akang misan,adi misan,adi misan,adi misan,teteh misan,adi,adi misan,adi misan,akang misan,adi misan,akang misan,teteh misan,akang misan,adi misan,akang misan,"lanceuk, teteh",teteh misan,adi misan,"lanceuk, akang",akang misan,adi misan,adi misan,teteh misan,adi,"lanceuk, teteh",teteh misan,adi misan,akang misan,adi misan,teteh misan,akang misan,adi misan,adi,ua,emang,ua,"embi, bibi",ua,emang,emang,emang,abah,abah,"embi, bibi",ua,ua,emak,emak,ua,"embi, bibi",ua,ua,"embi, bibi"
7,0.1649331971359418,1.4509601978775435,1.2860270007416017,teteh misan,adi misan,adi,adi misan,adi,adi misan,teteh misan,adi misan,adi misan,akang misan,adi,adi misan,adi misan,akang misan,teteh misan,adi misan,akang misan,adi misan,akang misan,teteh misan,adi misan,adi misan,akang misan,"lanceuk, akang",adi,teteh misan,"lanceuk, teteh",adi misan,akang misan,adi misan,teteh misan,akang misan,"lanceuk, teteh",teteh misan,adi misan,adi misan,akang misan,teteh misan,ua,"embi, bibi",emak,emang,emang,abah,"embi, bibi",ua,emang,ua,"embi, bibi",ua,ua,abah,ua,emang,ua,emak,ua,"embi, bibi"
8,0.11489001125628584,1.4400494041854583,1.3251593929291725,adi misan,adi misan,teteh misan,"lanceuk, teteh","lanceuk, akang",teteh misan,adi misan,akang misan,akang misan,akang misan,teteh misan,adi,adi misan,teteh misan,adi misan,adi misan,teteh misan,"lanceuk, teteh",akang misan,adi misan,adi,adi misan,teteh misan,adi misan,adi misan,adi misan,adi,akang misan,akang misan,adi misan,teteh misan,adi misan,akang misan,teteh misan,adi,adi misan,akang misan,adi misan,ua,"embi, bibi","embi, bibi",emang,ua,ua,ua,ua,ua,"embi, bibi",ua,ua,emang,abah,emak,emak,emang,emang,"embi, bibi",abah
9,0.3038020356209521,1.4813328615293826,1.1775308259084305,"lanceuk, teteh",adi misan,adi misan,adi misan,akang misan,adi misan,adi misan,akang misan,adi,adi misan,akang misan,adi,adi misan,teteh misan,akang misan,adi misan,teteh misan,teteh misan,adi misan,akang misan,"lanceuk, akang",adi misan,akang misan,akang misan,"lanceuk, teteh",adi misan,adi,teteh misan,teteh misan,adi misan,akang misan,adi misan,adi misan,teteh misan,teteh misan,adi,adi misan,teteh misan,emang,emang,"embi, bibi",ua,emang,abah,ua,ua,emak,ua,"embi, bibi",ua,emang,ua,"embi, bibi",abah,emak,ua,"embi, bibi",ua
